epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,8.013062,136.552490,6.809061,6.243306,0.399291,0.042274,0.051749,0.000000,0.018688,0.010000,0.573888,216.219565
2,3.392605,2.526796,2.858399,2.012449,0.131114,0.185131,0.180029,0.315480,0.268895,0.010000,0.499792,203.586978
3,2.850085,1.988107,2.755143,1.885587,0.118033,0.223761,0.229592,0.438927,0.403256,0.010000,0.499867,205.073113
4,2.706909,1.883072,2.906903,2.038193,0.125578,0.259475,0.261662,0.418486,0.438911,0.010000,0.499845,204.544875
5,2.645427,1.847323,2.607384,1.832783,0.112625,0.279883,0.274052,0.516106,0.532305,0.010000,0.499629,204.944272
6,2.571300,1.763927,2.622266,1.819877,0.110015,0.300292,0.301749,0.535722,0.556691,0.010000,0.499777,204.700934
7,2.526789,1.720426,2.536074,1.765129,0.105524,0.236152,0.252187,0.574775,0.608401,0.010000,0.499830,204.196389
8,2.481267,1.674732,2.474201,1.634083,0.090071,0.314140,0.312682,0.691565,0.688949,0.010000,0.499893,204.585832
9,2.451301,1.636193,2.453884,1.647426,0.089765,0.328717,0.368076,0.695050,0.712180,0.010000,0.500233,206.479846
10,2.423592,1.630988,2.417659,1.634316,0.090026,0.317784,0.374636,0.691338,0.710795,0.010000,0.500642,210.354748
11,2.400681,1.583249,2.426359,1.566882,0.081593,0.365889,0.397959,0.752918,0.750037,0.010000,0.500612,211.290502
12,2.380120,1.565547,2.388148,1.560816,0.080415,0.343294,0.393586,0.758229,0.770329,0.010000,0.500113,205.325588
13,2.357382,1.545350,2.373869,1.532987,0.077784,0.364431,0.418367,0.773139,0.781419,0.010000,0.499961,204.176851
14,2.340153,1.539578,2.359195,1.541153,0.079558,0.350583,0.392857,0.753792,0.775980,0.010000,0.499756,204.186693
15,2.318698,1.514970,2.365676,1.560842,0.080533,0.373907,0.412536,0.760031,0.762877,0.010000,0.499892,204.050126
16,2.302577,1.506106,2.318180,1.501056,0.074635,0.377551,0.428571,0.783042,0.794607,0.010000,0.499943,204.160345
17,2.288422,1.495062,2.323082,1.494715,0.074061,0.377551,0.420554,0.794591,0.807192,0.010000,0.500067,204.095891
18,2.271677,1.478191,2.315217,1.514954,0.075302,0.376822,0.401603,0.785291,0.800500,0.010000,0.500013,204.261136
19,2.255203,1.466206,2.284233,1.479792,0.071977,0.392857,0.427843,0.798988,0.816438,0.010000,0.499883,204.544236
20,2.237571,1.444648,2.290468,1.493096,0.075294,0.338192,0.394315,0.760151,0.808692,0.010000,0.500235,205.220739
21,2.227043,1.463913,2.278744,1.517048,0.076730,0.381195,0.405248,0.775037,0.778963,0.010000,0.499938,205.273665
22,2.217280,1.433483,2.268705,1.467778,0.070522,0.376093,0.427114,0.795381,0.832633,0.010000,0.500136,205.339513
23,2.206680,1.416189,2.244514,1.444473,0.068538,0.376822,0.462099,0.803353,0.846295,0.010000,0.499964,205.408841
