epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.433417,10.867932,1.265720,12.141105,0.193878,0.191691,0.368044,0.367632,0.001000,0.080276,128.095490
2,1.073069,11.495199,0.939331,11.740190,0.204082,0.203353,0.511848,0.512121,0.001000,0.066956,125.501345
3,0.864061,12.046512,0.848818,11.919463,0.216472,0.218659,0.519109,0.519673,0.001000,0.067002,125.547452
4,0.756825,12.419997,0.740684,12.257624,0.238338,0.237609,0.521195,0.519784,0.001000,0.067069,125.832546
5,0.661538,12.282555,0.653230,11.878831,0.261662,0.260204,0.562801,0.561676,0.001000,0.067208,125.840207
6,0.633871,12.688568,0.635078,13.078864,0.231778,0.228863,0.592673,0.592830,0.001000,0.067115,125.780422
7,0.565059,12.388445,0.551171,12.877292,0.218659,0.217201,0.630052,0.629220,0.001000,0.067056,125.870861
8,0.508122,12.682567,0.509861,12.059484,0.282070,0.282799,0.645867,0.646289,0.001000,0.066988,125.861644
9,0.468120,12.289172,0.441951,12.651519,0.244169,0.244898,0.653333,0.652435,0.001000,0.066981,125.846803
10,0.442148,12.171103,0.413477,12.637591,0.230321,0.231050,0.650504,0.651243,0.001000,0.067055,125.934789
11,0.401745,12.562164,0.402157,13.037958,0.222303,0.222303,0.643290,0.645261,0.001000,0.067111,126.428243
12,0.385962,12.622705,0.368892,12.849268,0.271866,0.270408,0.667353,0.668975,0.001000,0.067028,126.634443
13,0.353875,12.229114,0.351249,11.372128,0.254373,0.252915,0.672849,0.672388,0.001000,0.067010,126.630038
14,0.337844,11.822282,0.348520,11.510644,0.273324,0.274052,0.663203,0.663074,0.001000,0.067264,126.745642
15,0.321093,11.693858,0.324848,11.716865,0.270408,0.269679,0.666259,0.665807,0.001000,0.067273,126.725846
16,0.317970,11.633564,0.321549,11.425275,0.245627,0.247085,0.673617,0.675076,0.001000,0.067233,126.721705
17,0.290637,11.590756,0.307099,10.706828,0.262391,0.260933,0.670971,0.670483,0.001000,0.067280,126.757025
18,0.273448,11.211242,0.269449,10.763107,0.271137,0.271137,0.685574,0.684944,0.001000,0.067285,126.754102
19,0.255652,11.374074,0.257468,11.319843,0.294461,0.294461,0.677537,0.677013,0.001000,0.067276,126.768941
20,0.245212,11.108127,0.271811,10.848473,0.268222,0.269679,0.670885,0.671279,0.001000,0.067230,126.815215
21,0.245129,10.859717,0.252256,10.343296,0.279155,0.277697,0.640955,0.641489,0.001000,0.067256,126.828776
22,0.229325,11.049837,0.236565,10.903352,0.284985,0.282799,0.677817,0.675810,0.001000,0.067348,126.803646
23,0.224100,10.578916,0.251668,9.567056,0.311953,0.311224,0.665523,0.664572,0.001000,0.067338,126.795505
24,0.212790,10.174172,0.205932,10.022293,0.288630,0.288630,0.689993,0.691353,0.001000,0.067338,126.850973
25,0.207350,10.336769,0.214588,10.347890,0.268222,0.267493,0.684483,0.684300,0.001000,0.067347,126.756015
26,0.199066,10.549441,0.239271,9.922754,0.275510,0.276968,0.616600,0.619374,0.001000,0.067263,126.815944
27,0.202007,10.273293,0.218252,10.293782,0.272595,0.272595,0.682211,0.683607,0.001000,0.067281,126.857532
28,0.187125,10.424180,0.192630,10.323818,0.271866,0.273324,0.692008,0.694546,0.001000,0.067236,126.857827
1,0.167787,10.456172,0.172046,10.003347,0.302478,0.303207,0.725918,0.725377,0.000100,0.081508,128.239913
2,0.158460,10.377623,0.166805,10.211295,0.287172,0.287172,0.723351,0.722424,0.000100,0.068425,126.214716
3,0.154779,10.377216,0.170782,10.190948,0.280612,0.282070,0.717351,0.717690,0.000100,0.068593,126.297480
4,0.150899,10.233122,0.159522,10.000969,0.291545,0.293003,0.727534,0.728178,0.000100,0.068568,126.459152
5,0.147347,10.116970,0.165878,9.652259,0.310496,0.311224,0.722080,0.722238,0.000100,0.068643,126.794653
6,0.146513,10.081480,0.165717,10.015624,0.303207,0.303207,0.726078,0.725938,0.000100,0.068644,126.816802
7,0.142750,10.103550,0.154376,9.871506,0.303207,0.303936,0.723946,0.723159,0.000100,0.068622,126.842536
8,0.139727,10.211303,0.150727,9.968520,0.294461,0.293732,0.726231,0.726006,0.000100,0.068605,126.835200
9,0.139823,10.253673,0.148226,9.794229,0.309767,0.309038,0.734889,0.734186,0.000100,0.068603,126.899507
10,0.135597,9.995764,0.149374,9.798158,0.298834,0.301749,0.725849,0.725959,0.000100,0.068609,126.914224
11,0.133474,10.062367,0.144179,9.707840,0.303207,0.301749,0.731776,0.731775,0.000100,0.068647,127.813406
12,0.133075,10.021312,0.145106,9.779709,0.290816,0.290816,0.731248,0.730513,0.000100,0.068973,126.013808
13,0.129805,9.976609,0.146091,9.662083,0.301749,0.301749,0.729664,0.730144,0.000100,0.068840,125.784415
14,0.127059,9.862006,0.142584,9.488828,0.303207,0.304665,0.732961,0.733012,0.000100,0.068887,125.875054
15,0.128196,9.857184,0.140293,9.671845,0.293003,0.292274,0.728751,0.728336,0.000100,0.068852,125.999617
16,0.124948,9.709960,0.139434,9.457376,0.298105,0.296647,0.724251,0.725029,0.000100,0.068899,125.986686
17,0.124286,9.595101,0.139834,9.426438,0.309038,0.309038,0.726910,0.727439,0.000100,0.068967,126.354672
18,0.122734,9.587455,0.136773,9.458837,0.292274,0.294461,0.730272,0.730809,0.000100,0.068923,127.021525
19,0.120216,9.407183,0.138213,9.167643,0.300292,0.301749,0.730528,0.730715,0.000100,0.068912,127.046422
20,0.119877,9.461659,0.139958,9.020389,0.313411,0.313411,0.718306,0.718156,0.000100,0.068863,127.018311
