epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.828345,4.251510,1.813167,4.786289,0.115889,0.141399,-0.114305,0.021935,0.010000,0.317952,226.063660
2,1.798033,5.633128,1.788845,6.454445,0.162536,0.139213,0.372362,0.042012,0.010000,0.280989,144.495300
3,1.777770,7.198207,1.777912,7.415326,0.170554,0.147959,0.406753,0.075629,0.010000,0.281098,144.627192
4,1.764348,8.107028,1.767391,8.409828,0.172741,0.151603,0.386379,0.096616,0.010000,0.281176,144.149401
5,1.755127,8.638156,1.754103,8.636079,0.180758,0.150875,0.481573,0.103855,0.010000,0.281112,144.490178
6,1.745981,9.198202,1.747772,9.153019,0.188047,0.147959,0.523477,0.095692,0.010000,0.281357,145.069169
7,1.739128,9.524694,1.739569,9.371046,0.190962,0.148688,0.550532,0.111024,0.010000,0.281172,145.029212
8,1.734669,9.734372,1.735680,9.537314,0.190233,0.144315,0.547448,0.113290,0.010000,0.281146,145.107090
9,1.729428,9.988957,1.731424,9.965096,0.196793,0.141399,0.553859,0.098637,0.010000,0.281291,145.214251
10,1.724807,10.276697,1.726277,10.328673,0.180029,0.152332,0.542877,0.122356,0.010000,0.281223,145.154099
11,1.718514,10.458203,1.722960,10.382198,0.186589,0.142857,0.556716,0.122336,0.010000,0.281257,145.127493
12,1.716361,10.720586,1.718656,10.266109,0.193149,0.143586,0.576114,0.120133,0.010000,0.281230,145.045702
13,1.711601,10.731030,1.712446,10.504001,0.197522,0.141399,0.593217,0.124612,0.010000,0.281133,145.169851
14,1.706980,10.917686,1.709991,10.840860,0.198980,0.142857,0.598959,0.121007,0.010000,0.281276,145.061102
15,1.703049,11.194652,1.704247,10.812753,0.200437,0.141399,0.606873,0.127122,0.010000,0.281130,144.983086
16,1.699328,11.299600,1.701514,11.208396,0.189504,0.147230,0.591484,0.127355,0.010000,0.281232,145.044581
17,1.697251,11.480521,1.699273,11.115932,0.204082,0.144315,0.612207,0.121066,0.010000,0.281260,144.981388
18,1.691853,11.466877,1.694485,11.043491,0.201166,0.146501,0.600311,0.130408,0.010000,0.281104,145.017166
19,1.688208,11.497128,1.692469,11.367251,0.199708,0.142128,0.596097,0.127108,0.010000,0.281178,145.028242
20,1.685199,11.642606,1.685655,11.423327,0.206997,0.142857,0.632269,0.128010,0.010000,0.281131,145.015675
21,1.681785,11.694932,1.685974,11.393468,0.213557,0.140671,0.606407,0.126332,0.010000,0.281043,145.225647
22,1.679355,11.769287,1.680744,11.523744,0.198251,0.140671,0.612023,0.133484,0.010000,0.280987,144.955658
23,1.675088,11.941958,1.677616,11.715253,0.211370,0.142128,0.637339,0.128757,0.010000,0.281144,144.984690
24,1.671345,11.959992,1.675500,11.781509,0.205539,0.142128,0.621515,0.134226,0.010000,0.281287,144.904473
25,1.668210,12.067159,1.669430,11.796421,0.214286,0.140671,0.642635,0.130879,0.010000,0.281347,145.048890
26,1.663366,12.024142,1.667481,11.588755,0.218659,0.140671,0.640788,0.124500,0.010000,0.281192,144.993873
27,1.661416,12.122621,1.663798,11.683988,0.221574,0.139213,0.649331,0.125676,0.010000,0.281153,144.982453
28,1.658329,12.089902,1.660584,12.040247,0.202624,0.142857,0.610183,0.137519,0.010000,0.281156,144.967025
