epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,11.091395,11.720884,11.138051,12.586285,0.118805,0.117347,-0.059223,0.000000,0.001000,0.440607,180.787941
2,10.437600,25.587875,10.660966,27.220043,0.092566,0.117347,0.000000,0.000000,0.001000,0.405380,173.972347
3,10.307971,26.329599,10.559833,25.633984,0.092566,0.117347,0.000000,0.000000,0.001000,0.405283,174.157893
4,10.214898,24.717768,10.474891,23.932396,0.092566,0.117347,0.000000,0.000000,0.001000,0.405363,174.476344
5,10.137312,23.030519,10.404404,22.228905,0.092566,0.117347,0.000000,0.000000,0.001000,0.405591,174.339680
6,10.072945,21.313749,10.345872,20.492334,0.092566,0.117347,0.000000,0.000000,0.001000,0.405708,174.813725
7,10.019383,19.604231,10.297037,18.792160,0.092566,0.117347,0.000000,0.000000,0.001000,0.405375,175.038919
8,9.974573,18.015352,10.256060,17.281378,0.092566,0.117347,0.000000,0.000000,0.001000,0.405489,175.003591
9,9.936872,16.580217,10.221488,15.945645,0.092566,0.117347,0.000000,0.000000,0.001000,0.405415,174.906029
10,9.904988,15.363832,10.192179,14.820565,0.092566,0.117347,0.000000,0.000000,0.001000,0.405335,174.758238
11,9.877903,14.404800,10.167227,14.049970,0.092566,0.117347,0.000000,0.000000,0.001000,0.405560,174.930440
