epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,4.680135,97.314896,4.619253,110.227364,0.042274,0.092566,0.000000,0.000000,0.100000,0.324612,214.928709
2,4.638180,104.106812,4.587510,106.106560,0.042274,0.092566,0.000000,0.000000,0.100000,0.271642,165.074163
3,4.607039,100.253128,4.556977,102.072678,0.042274,0.092566,0.000000,0.000000,0.100000,0.271549,165.168697
4,4.577086,96.396393,4.527608,98.127075,0.042274,0.092566,0.000000,0.000000,0.100000,0.271675,166.141091
5,4.548274,92.752678,4.499358,94.731567,0.042274,0.092566,0.000000,0.000000,0.100000,0.271448,165.339704
6,4.520561,89.166214,4.472185,90.696686,0.042274,0.092566,0.000000,0.000000,0.100000,0.271623,165.429494
7,4.493904,85.791359,4.446048,87.544922,0.042274,0.092566,0.000000,0.000000,0.100000,0.271582,165.453494
8,4.468263,82.670273,4.420908,84.639091,0.042274,0.092566,0.000000,0.000000,0.100000,0.271506,165.321128
9,4.443600,79.471558,4.396725,81.093216,0.042274,0.092566,0.000000,0.000000,0.100000,0.271449,165.334074
10,4.419877,76.503006,4.373465,78.035095,0.042274,0.092566,0.000000,0.000000,0.100000,0.271506,165.500450
11,4.397058,73.490036,4.351091,75.071327,0.042274,0.092566,0.000000,0.000000,0.100000,0.271491,165.445504
12,4.375109,70.830124,4.329570,72.247162,0.042274,0.092566,0.000000,0.000000,0.100000,0.271633,165.499638
13,4.353997,68.055641,4.308869,69.603912,0.042274,0.092566,0.000000,0.000000,0.100000,0.271467,165.441235
14,4.333689,65.485580,4.288958,66.676857,0.042274,0.092566,0.000000,0.000000,0.100000,0.271638,165.635393
15,4.314154,63.029594,4.269804,64.265694,0.042274,0.092566,0.000000,0.000000,0.100000,0.271535,165.731810
16,4.295364,60.570229,4.251379,61.841091,0.042274,0.092566,0.000000,0.000000,0.100000,0.271463,165.477194
