epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.703701,6.459522,2.486047,1.628428,0.100416,0.396501,0.338192,0.534418,0.525005,0.010000,0.574273,266.744061
2,2.357359,1.678555,2.279364,1.439224,0.081109,0.456997,0.406706,0.675288,0.693174,0.010000,0.496283,188.390453
3,2.205029,1.645576,2.155228,1.351506,0.074071,0.486880,0.417638,0.717490,0.759100,0.010000,0.496195,187.996092
4,2.085953,1.362981,2.111460,1.412825,0.077050,0.451895,0.443878,0.677053,0.772988,0.010000,0.496911,189.143947
5,1.997707,1.305688,2.031739,1.250011,0.064236,0.518222,0.470845,0.761079,0.793616,0.010000,0.496682,194.715517
6,1.923675,1.267175,1.970831,1.261227,0.070547,0.483965,0.468659,0.708043,0.770511,0.010000,0.496605,195.133828
7,1.848510,1.282412,1.889620,1.173066,0.060648,0.544461,0.499271,0.818197,0.818480,0.010000,0.497391,194.214691
8,1.795540,1.172734,1.904447,1.228916,0.063212,0.554665,0.529155,0.762604,0.790512,0.010000,0.496954,193.777713
9,1.738693,1.109937,1.861980,1.057531,0.053945,0.586006,0.558309,0.827190,0.853427,0.010000,0.496489,192.881603
10,1.699179,1.044350,1.785891,1.038173,0.051656,0.599125,0.577259,0.816772,0.853644,0.010000,0.505024,194.371258
11,1.642455,1.062053,1.772335,1.015905,0.049303,0.620262,0.596939,0.848470,0.877446,0.010000,0.497166,195.657856
12,1.593952,0.995051,1.771835,1.147409,0.055694,0.596210,0.575073,0.800816,0.834805,0.010000,0.497076,196.421740
13,1.554709,0.954191,1.719811,1.009337,0.049786,0.639942,0.596210,0.849784,0.866584,0.010000,0.497830,196.606080
14,1.523827,0.952016,1.717077,0.986233,0.045809,0.631195,0.615889,0.853822,0.880049,0.010000,0.497564,196.837306
15,1.488923,0.914174,1.717231,0.992320,0.049513,0.606414,0.580904,0.827654,0.860619,0.010000,0.496999,196.473281
16,1.453772,0.920917,1.652319,0.990485,0.044425,0.657434,0.628280,0.869055,0.878189,0.010000,0.496807,196.394950
17,1.429518,0.878727,1.690537,0.971947,0.045179,0.631195,0.623907,0.867581,0.887039,0.010000,0.496816,195.651125
18,1.381545,0.804080,1.628656,0.898387,0.040645,0.680758,0.668367,0.896593,0.909792,0.010000,0.496760,195.139889
19,1.363088,0.860228,1.620498,0.879786,0.040184,0.679300,0.645773,0.886530,0.897911,0.010000,0.497127,195.284183
20,1.333931,0.856578,1.615773,0.852448,0.038294,0.706997,0.681487,0.884790,0.907391,0.010000,0.497227,196.583810
21,1.294584,0.732298,1.591642,0.886778,0.038685,0.679300,0.677114,0.898260,0.919034,0.010000,0.496983,194.504692
22,1.283554,0.721907,1.644160,0.905427,0.040899,0.699708,0.670554,0.889372,0.905576,0.010000,0.496895,195.044351
23,1.260869,0.701224,1.580529,0.789169,0.035800,0.718659,0.706997,0.900685,0.917208,0.010000,0.496921,194.725861
24,1.227977,0.710928,1.604425,0.884139,0.039162,0.706997,0.677843,0.891420,0.904360,0.010000,0.496773,194.376729
25,1.200589,0.722921,1.589358,0.822061,0.035434,0.727405,0.710641,0.907262,0.915685,0.010000,0.496783,194.292241
26,1.196307,0.669460,1.623250,0.899355,0.038273,0.695335,0.686589,0.903477,0.914572,0.010000,0.496750,194.387247
27,1.170938,0.621092,1.607198,0.897777,0.037217,0.708455,0.682216,0.897269,0.911591,0.010000,0.497064,194.591497
28,1.149042,0.636657,1.620871,0.894871,0.039320,0.706997,0.690233,0.887799,0.900724,0.010000,0.496615,194.103366
29,1.125090,0.588820,1.589250,0.886037,0.038670,0.706997,0.690233,0.889129,0.912759,0.010000,0.496955,194.328655
30,1.112827,0.585980,1.645857,1.251375,0.047484,0.631924,0.629009,0.868440,0.890109,0.010000,0.497234,194.261388
31,1.098178,0.588363,1.592316,0.872367,0.034386,0.736880,0.727405,0.917868,0.930310,0.010000,0.497281,194.196516
32,1.068667,0.572162,1.578351,0.900852,0.035465,0.726676,0.713557,0.904017,0.917569,0.010000,0.496756,193.777600
33,1.059381,0.550388,1.561611,0.850742,0.035475,0.733965,0.724490,0.907205,0.924567,0.010000,0.497014,193.906739
34,1.050359,0.561615,1.575481,0.801499,0.033124,0.760204,0.739796,0.911870,0.924241,0.010000,0.496881,193.899147
35,1.039256,0.485765,1.598557,0.934411,0.035647,0.731778,0.720845,0.908173,0.922319,0.010000,0.496852,193.829865
36,1.024468,0.506776,1.535048,0.789654,0.032364,0.760204,0.741983,0.912782,0.926060,0.010000,0.496868,194.573763
37,1.007778,0.469380,1.593936,0.901254,0.035978,0.740525,0.727405,0.894634,0.908001,0.010000,0.496903,195.146066
38,0.991899,0.442974,1.603117,0.900772,0.032831,0.763120,0.744898,0.917895,0.925202,0.010000,0.497628,194.886157
39,0.981080,0.454797,1.547778,0.865956,0.033358,0.752915,0.739796,0.914540,0.921854,0.010000,0.496877,194.604459
40,0.978165,0.516978,1.539227,0.860641,0.032391,0.758746,0.750000,0.918628,0.931192,0.010000,0.496916,194.437167
41,0.959302,0.382247,1.608717,0.917840,0.032717,0.774781,0.762391,0.919561,0.924926,0.010000,0.496744,194.385186
42,0.963280,0.361710,1.620550,0.963543,0.033400,0.757289,0.752915,0.919703,0.929252,0.010000,0.497340,194.381255
43,0.947351,0.492225,1.609006,0.941738,0.032772,0.747813,0.747813,0.920133,0.932250,0.010000,0.496948,194.205801
44,0.922195,0.328433,1.635236,0.942219,0.035344,0.755102,0.737609,0.907178,0.918552,0.010000,0.496949,194.679208
45,0.932430,0.393494,1.562182,0.859766,0.031201,0.779883,0.768950,0.919745,0.929127,0.010000,0.496791,194.009933
46,0.914129,0.297428,1.665773,0.975682,0.034276,0.763120,0.741254,0.911642,0.918220,0.010000,0.496714,193.941655
47,0.903051,0.381205,1.638952,1.001291,0.035881,0.741254,0.736152,0.902076,0.915055,0.010000,0.496813,193.760815
48,0.911757,0.371941,1.601306,0.863423,0.031321,0.774052,0.758017,0.918085,0.929503,0.010000,0.497136,193.619613
49,0.885804,0.283115,1.661522,0.996863,0.032465,0.763848,0.754373,0.914529,0.926566,0.010000,0.497407,193.515157
50,0.890063,0.331885,1.620064,0.893768,0.030803,0.782799,0.766035,0.925081,0.928824,0.010000,0.496736,193.628361
51,0.873065,0.266044,1.650001,0.893434,0.029884,0.784257,0.763120,0.929483,0.934383,0.010000,0.496362,193.818575
52,0.875595,0.380314,1.633298,1.023521,0.032238,0.768950,0.758746,0.920335,0.927996,0.010000,0.496758,193.901023
53,0.874275,0.346014,1.641547,0.918881,0.030614,0.782070,0.775510,0.924227,0.932695,0.010000,0.496722,194.250055
54,0.860809,0.354669,1.627016,1.108392,0.034611,0.755831,0.755831,0.897444,0.918386,0.010000,0.496827,193.783761
55,0.853853,0.238460,1.717616,1.082555,0.032222,0.766764,0.760933,0.922696,0.931614,0.010000,0.496774,194.677981
56,0.842540,0.231365,1.744146,1.077950,0.035111,0.737609,0.738338,0.909189,0.926658,0.010000,0.496628,194.200754
57,0.845152,0.286998,1.702472,1.091092,0.033999,0.763848,0.758746,0.917885,0.924102,0.010000,0.496885,193.394272
58,0.834925,0.278848,1.699400,1.133727,0.036911,0.745627,0.744898,0.909209,0.917286,0.010000,0.496599,192.985623
59,0.833447,0.213477,1.707580,1.109851,0.033604,0.755831,0.746356,0.920366,0.929171,0.010000,0.496730,192.789622
60,0.822363,0.280226,1.733983,1.200128,0.037048,0.743440,0.732507,0.908230,0.917848,0.010000,0.496860,192.878344
61,0.830072,0.316880,1.745732,1.100029,0.032959,0.768222,0.763848,0.918453,0.926851,0.010000,0.496807,192.720696
62,0.816295,0.206276,1.741247,1.020479,0.031728,0.778426,0.774052,0.924199,0.931009,0.010000,0.496972,194.182172
63,0.819224,0.268581,1.762869,1.214441,0.037492,0.744898,0.733965,0.912662,0.916879,0.010000,0.496909,193.038057
64,0.816798,0.222599,1.568942,0.902209,0.030781,0.789359,0.773324,0.918263,0.928317,0.010000,0.497275,194.140171
65,0.790054,0.146068,1.800279,1.111097,0.032366,0.778426,0.774781,0.920468,0.928688,0.010000,0.497572,196.166094
66,0.810391,0.212088,1.689452,1.049941,0.033262,0.776239,0.761662,0.908852,0.921515,0.010000,0.497269,195.176832
67,0.790734,0.206341,1.668542,1.038244,0.030421,0.791545,0.789359,0.930566,0.936052,0.010000,0.497049,194.143453
68,0.795172,0.203574,1.673082,1.054279,0.031967,0.782799,0.772595,0.915497,0.927360,0.010000,0.497064,194.541684
69,0.793660,0.237006,1.711812,1.018185,0.032616,0.778426,0.773324,0.916746,0.927152,0.010000,0.497545,194.402304
70,0.780110,0.191525,1.688766,1.040845,0.033586,0.771866,0.768950,0.914777,0.924337,0.010000,0.497056,194.247425
