epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.943670,7.939896,1.901696,0.119926,0.353499,0.293003,0.406340,0.337923,0.010000,340.297949
2,1.559821,1.663621,1.511531,0.086299,0.376822,0.360787,0.664678,0.689547,0.010000,329.518284
3,1.381558,1.469669,1.370231,0.071435,0.503644,0.441691,0.734101,0.759506,0.010000,339.783728
4,1.270106,1.461130,1.281925,0.068356,0.514577,0.462099,0.736408,0.793810,0.010000,327.482059
5,1.175494,1.314454,1.512746,0.086866,0.453353,0.419825,0.646679,0.683487,0.010000,331.819641
6,1.097520,1.236032,1.327946,0.069053,0.474490,0.449708,0.725785,0.782118,0.010000,330.024475
7,1.024584,1.192392,1.269493,0.063624,0.530612,0.472303,0.784007,0.800751,0.010000,328.541747
8,0.967283,1.121152,1.161135,0.061550,0.569971,0.481778,0.796561,0.817437,0.010000,331.379712
9,0.921281,1.078238,1.885080,0.116247,0.414723,0.383382,0.518487,0.590218,0.010000,331.898071
10,0.865062,1.057876,1.234538,0.060291,0.552478,0.503644,0.796892,0.836870,0.010000,334.794694
11,0.827024,0.991613,1.107985,0.053453,0.601312,0.559767,0.847270,0.868508,0.010000,335.396365
12,0.765912,0.958518,1.199813,0.059538,0.593294,0.534257,0.801061,0.845628,0.010000,333.456499
13,0.740525,0.935158,1.060486,0.050096,0.585277,0.577259,0.856470,0.873544,0.010000,336.957624
14,0.700721,0.892552,1.097812,0.052132,0.620991,0.594752,0.847478,0.873065,0.010000,361.262130
15,0.662933,0.886291,1.415393,0.062842,0.522595,0.505831,0.796888,0.811672,0.010000,359.895043
16,0.628865,0.864264,1.186215,0.056362,0.572886,0.553936,0.836315,0.856332,0.010000,358.013626
17,0.612892,0.782043,1.172865,0.058719,0.612245,0.561953,0.809214,0.855913,0.010000,348.212234
18,0.577170,0.812108,0.966035,0.045799,0.660350,0.643586,0.855543,0.886405,0.010000,342.065870
19,0.525317,0.710934,1.041643,0.049657,0.640671,0.614431,0.825480,0.849644,0.010000,351.096445
20,0.515564,0.699527,0.902859,0.041387,0.689504,0.675656,0.863983,0.888939,0.010000,344.956353
21,0.474836,0.680850,1.045019,0.048109,0.663265,0.642857,0.842855,0.863843,0.010000,333.455475
22,0.477626,0.654395,1.084493,0.047538,0.651603,0.620991,0.858483,0.877645,0.010000,331.496477
23,0.437283,0.591383,0.838155,0.038078,0.710641,0.691691,0.892132,0.909021,0.010000,328.507181
24,0.430705,0.669148,1.307218,0.051271,0.643586,0.633382,0.854840,0.874482,0.010000,327.092106
25,0.393948,0.613989,0.876576,0.037140,0.741983,0.718659,0.883541,0.905891,0.010000,327.820013
26,0.384531,0.609353,1.000342,0.043829,0.672741,0.661808,0.869241,0.893842,0.010000,331.616879
27,0.355923,0.510825,0.986138,0.042703,0.706997,0.689504,0.853049,0.872828,0.010000,330.066555
28,0.348516,0.570619,0.983969,0.043348,0.687318,0.658163,0.888614,0.898890,0.010000,327.060966
29,0.333778,0.583877,0.991835,0.037644,0.711370,0.714286,0.900741,0.911151,0.010000,332.664335
30,0.309941,0.545780,1.027767,0.040030,0.690233,0.689504,0.896922,0.910146,0.010000,331.110925
31,0.290856,0.499787,1.186413,0.044008,0.691691,0.684402,0.864059,0.882126,0.010000,336.767538
32,0.280897,0.454319,0.961916,0.040899,0.707726,0.691691,0.882894,0.905274,0.010000,332.438630
33,0.255531,0.366305,0.973521,0.040453,0.725948,0.711370,0.870397,0.890578,0.010000,339.634814
34,0.252184,0.453155,1.069734,0.047020,0.673469,0.663265,0.854821,0.877691,0.010000,333.445510
35,0.250525,0.405057,1.059025,0.040211,0.699708,0.681487,0.891530,0.906967,0.010000,330.011045
36,0.231864,0.356616,1.155522,0.047959,0.701166,0.696793,0.837890,0.868125,0.010000,338.711272
37,0.232524,0.384573,1.044474,0.039987,0.723032,0.716472,0.889616,0.899666,0.010000,331.864332
38,0.208428,0.367322,1.138945,0.038621,0.725948,0.717930,0.893935,0.906714,0.010000,336.200834
39,0.192959,0.358903,1.208799,0.044045,0.714286,0.698251,0.865474,0.875900,0.010000,330.667490
40,0.189837,0.360850,0.982439,0.036532,0.739067,0.728134,0.904525,0.920360,0.010000,330.220688
41,0.189416,0.368894,1.106076,0.037121,0.742711,0.728134,0.912942,0.916610,0.010000,336.396265
42,0.178188,0.306474,1.412541,0.054307,0.678571,0.668367,0.818997,0.837448,0.010000,330.004393
43,0.183674,0.313753,1.008719,0.040747,0.731050,0.714286,0.870465,0.890017,0.010000,329.118159
44,0.166578,0.288336,1.221003,0.041265,0.722303,0.712099,0.889007,0.900195,0.010000,329.844450
45,0.151260,0.298493,0.972358,0.034757,0.755102,0.750729,0.906694,0.920600,0.010000,341.469662
46,0.129442,0.234970,1.442808,0.043736,0.690962,0.676385,0.897466,0.905155,0.010000,330.335312
47,0.138372,0.264976,1.082864,0.038275,0.755831,0.752915,0.887883,0.903057,0.010000,329.487591
48,0.129371,0.256898,1.024115,0.036439,0.750729,0.751458,0.897576,0.910652,0.010000,328.937092
49,0.133052,0.223054,1.089981,0.038261,0.757289,0.746356,0.872884,0.892320,0.010000,333.026861
50,0.131897,0.243003,1.006930,0.035696,0.758017,0.742711,0.905881,0.914813,0.010000,341.140437
51,0.110872,0.199712,1.049878,0.036264,0.756560,0.748542,0.901940,0.920384,0.010000,329.779180
