epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,2.619600,75.614693,1.704936,0.099357,0.341108,0.304665,0.552168,0.541191,0.001000,477.494674
2,2.197338,1.565465,1.401636,0.075249,0.465015,0.361516,0.718794,0.745736,0.001000,334.774754
3,2.035807,1.396613,1.387688,0.068193,0.484694,0.459913,0.755086,0.801593,0.001000,333.848183
4,1.888494,1.292374,1.145816,0.058004,0.559767,0.520408,0.794521,0.828739,0.001000,345.898913
5,1.757707,1.245269,1.158380,0.057414,0.562682,0.503644,0.814441,0.828352,0.001000,388.605178
6,1.666010,1.183468,1.146377,0.057597,0.551749,0.522595,0.803920,0.825810,0.001000,333.060988
7,1.588198,1.220825,1.252116,0.058771,0.545918,0.508746,0.794939,0.838509,0.001000,333.263818
8,1.504946,1.091781,0.995732,0.048605,0.624636,0.568513,0.845915,0.882437,0.001000,333.345152
9,1.431583,1.056843,1.331414,0.067803,0.525510,0.526968,0.776679,0.825679,0.001000,330.968456
10,1.381973,1.005873,1.235488,0.060649,0.537901,0.526239,0.790465,0.843951,0.001000,344.531109
11,1.322708,0.978074,1.056942,0.047608,0.615160,0.595481,0.869260,0.886909,0.001000,335.372877
12,1.272540,0.940711,1.304080,0.058594,0.570700,0.535714,0.791100,0.826077,0.001000,334.891560
13,1.223814,0.872133,1.028344,0.046558,0.634840,0.621720,0.856573,0.884205,0.001000,333.075317
14,1.206161,0.849215,1.223796,0.059462,0.579446,0.547376,0.812779,0.838990,0.001000,346.424841
15,1.137558,0.822197,0.949368,0.043232,0.637026,0.631924,0.888606,0.902926,0.001000,333.688209
16,1.109720,0.787181,0.991344,0.046125,0.654519,0.618076,0.879082,0.897894,0.001000,334.631350
17,1.084428,0.768916,0.946054,0.042728,0.648688,0.650146,0.887856,0.904902,0.001000,334.746585
18,1.052698,0.750624,0.884677,0.039272,0.669825,0.653790,0.897341,0.907495,0.001000,332.784349
19,1.019316,0.690183,1.043876,0.041896,0.669096,0.661079,0.889507,0.909764,0.001000,340.414630
20,0.988799,0.668678,0.948421,0.040447,0.672012,0.669825,0.880406,0.901816,0.001000,332.735354
21,0.973915,0.714251,0.975225,0.045814,0.662536,0.652332,0.855078,0.878676,0.001000,332.886877
22,0.949153,0.677888,1.243186,0.051202,0.594752,0.591108,0.859434,0.877506,0.001000,332.985752
23,0.916059,0.636705,0.733760,0.032087,0.725219,0.722303,0.917220,0.929725,0.001000,351.617598
24,0.908987,0.626356,1.326386,0.054819,0.635569,0.626093,0.843981,0.858591,0.001000,341.697401
25,0.878829,0.650826,0.896229,0.037852,0.716472,0.687318,0.903848,0.912399,0.001000,336.085522
26,0.868387,0.699050,0.787389,0.035244,0.720117,0.709184,0.905164,0.919663,0.001000,340.209072
27,0.838687,0.530913,0.914288,0.037975,0.700437,0.690962,0.899274,0.914213,0.001000,380.010606
28,0.825286,0.523343,0.809961,0.034742,0.727405,0.710641,0.907750,0.922667,0.001000,379.861782
29,0.819575,0.582947,0.952943,0.041962,0.700437,0.686589,0.870987,0.883756,0.001000,371.776062
30,0.801891,0.477424,1.024457,0.038570,0.704810,0.692420,0.894654,0.905723,0.001000,349.744832
31,0.778522,0.470918,0.866237,0.038139,0.710641,0.688047,0.895732,0.913871,0.001000,493.736095
32,0.771011,0.501740,0.865456,0.035314,0.724490,0.722303,0.908980,0.922442,0.001000,344.568574
33,0.749299,0.453798,0.781491,0.034207,0.754373,0.742711,0.899246,0.913954,0.001000,332.467514
34,0.748779,0.463517,0.838175,0.038208,0.733236,0.728134,0.879156,0.897089,0.001000,332.842531
35,0.737775,0.415101,0.780898,0.032793,0.766035,0.764577,0.908246,0.921092,0.001000,333.785785
36,0.738739,0.452292,0.734140,0.030874,0.755831,0.750729,0.924274,0.933470,0.001000,336.226720
37,0.702091,0.400090,0.828468,0.032727,0.739796,0.739067,0.911173,0.925229,0.001000,344.145991
38,0.695714,0.431831,0.909308,0.037516,0.722303,0.715015,0.893487,0.913988,0.001000,334.743291
39,0.707331,0.462514,1.541576,0.053540,0.597668,0.586006,0.867198,0.874703,0.001000,332.762035
40,0.678121,0.354760,0.816683,0.032536,0.750000,0.736880,0.919787,0.927254,0.001000,332.367629
41,0.660726,0.324796,0.729656,0.031241,0.764577,0.756560,0.907822,0.922585,0.001000,347.060409
42,0.659132,0.408366,0.829962,0.031535,0.741983,0.739796,0.913861,0.933716,0.001000,334.780619
43,0.672523,0.354960,0.947284,0.036805,0.717201,0.711370,0.897413,0.915869,0.001000,333.715220
44,0.640365,0.338483,1.031436,0.041881,0.719388,0.696064,0.894239,0.897936,0.001000,332.584134
45,0.628308,0.330221,0.813372,0.031924,0.762391,0.757289,0.920539,0.928755,0.001000,333.280574
46,0.624952,0.323786,0.899252,0.033462,0.739067,0.727405,0.919115,0.927235,0.001000,352.417136
47,0.622523,0.304598,1.189703,0.040115,0.695335,0.690962,0.909343,0.915687,0.001000,333.047617
48,0.610737,0.391347,0.755358,0.030246,0.766035,0.763120,0.919697,0.929528,0.001000,335.788483
49,0.612996,0.303526,0.877621,0.033885,0.748542,0.739796,0.915600,0.918419,0.001000,333.029204
50,0.616705,0.304462,0.773722,0.030420,0.776968,0.760933,0.918023,0.931035,0.001000,334.404960
51,0.586472,0.310179,0.793588,0.031695,0.761662,0.758746,0.907593,0.928742,0.001000,341.412436
52,0.590377,0.267990,0.811620,0.030555,0.773324,0.753644,0.921277,0.931470,0.001000,333.802071
53,0.597183,0.284276,0.909904,0.036399,0.738338,0.723032,0.912631,0.918565,0.001000,332.875826
54,0.571576,0.241476,0.827158,0.031905,0.760204,0.756560,0.919941,0.929924,0.001000,335.625235
55,0.576917,0.253675,0.948491,0.035147,0.753644,0.746356,0.898586,0.912392,0.001000,347.314636
56,0.575596,0.290134,0.986138,0.033643,0.747085,0.728863,0.917476,0.931399,0.001000,332.235890
57,0.581129,0.276938,0.720480,0.027666,0.782070,0.769679,0.932585,0.941663,0.001000,334.830803
