epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,2.711329,6.969301,1.810024,0.113026,0.304665,0.318513,0.411566,0.520951,0.010000,192.596562
2,2.360604,1.763099,1.866997,0.121033,0.354227,0.341108,0.437853,0.527148,0.010000,183.286239
3,2.191330,1.623417,1.414177,0.078566,0.468659,0.448980,0.721898,0.760060,0.010000,181.904220
4,2.082270,1.382270,1.688655,0.107089,0.395773,0.372449,0.509274,0.596547,0.010000,182.311338
5,2.001213,1.328725,1.203184,0.060146,0.551749,0.494169,0.808864,0.821853,0.010000,182.758553
6,1.920655,1.234309,1.212347,0.064949,0.540816,0.499271,0.753864,0.796955,0.010000,182.557423
7,1.854813,1.174206,1.197054,0.061656,0.518950,0.497813,0.818008,0.837301,0.010000,182.383669
8,1.795287,1.202542,1.156356,0.056139,0.583819,0.551749,0.820050,0.838360,0.010000,182.750457
9,1.735396,1.110300,1.032271,0.052060,0.595481,0.561953,0.824101,0.848663,0.010000,180.433667
10,1.686924,1.056987,1.087206,0.057253,0.586006,0.548834,0.779459,0.830923,0.010000,179.560330
11,1.637696,1.017028,1.420575,0.071921,0.521866,0.457726,0.791685,0.829334,0.010000,183.830679
12,1.595996,1.005211,1.019205,0.048492,0.618805,0.594752,0.844527,0.877135,0.010000,183.029261
13,1.543742,0.905316,0.951536,0.045401,0.644315,0.616618,0.867170,0.887027,0.010000,182.281432
14,1.506345,0.876656,0.969515,0.045153,0.658892,0.625364,0.864279,0.882273,0.010000,183.269450
15,1.470098,0.879752,0.987015,0.046697,0.634840,0.607143,0.856973,0.869555,0.010000,182.734388
16,1.436430,0.849886,1.297558,0.054300,0.615889,0.588192,0.841909,0.854408,0.010000,182.343010
17,1.415635,0.870047,1.185523,0.051326,0.562682,0.594023,0.855477,0.870939,0.010000,182.742068
18,1.374846,0.771391,1.014953,0.043005,0.677114,0.672012,0.879309,0.896901,0.010000,182.413728
19,1.349280,0.755640,1.064883,0.049407,0.613703,0.593294,0.846030,0.863949,0.010000,183.383880
20,1.322855,0.750308,1.086829,0.047173,0.639213,0.625364,0.863415,0.881463,0.010000,182.618063
21,1.280048,0.685757,1.008520,0.048023,0.663994,0.645044,0.861645,0.878244,0.010000,176.082400
22,1.264375,0.779078,0.882495,0.041556,0.712099,0.676385,0.876569,0.893362,0.010000,175.594398
23,1.239556,0.609785,0.999163,0.044350,0.655248,0.647230,0.868829,0.903089,0.010000,175.751664
24,1.207624,0.621811,0.896216,0.038308,0.703353,0.683673,0.887716,0.905949,0.010000,175.319182
25,1.178433,0.570420,1.074786,0.043962,0.677114,0.656706,0.885051,0.893838,0.010000,175.244220
26,1.159638,0.597394,1.076305,0.042659,0.678571,0.658163,0.891070,0.905087,0.010000,175.813432
27,1.144262,0.596675,1.504267,0.049185,0.656706,0.640671,0.874856,0.884072,0.010000,179.421595
28,1.126259,0.577176,1.457908,0.067293,0.626093,0.608601,0.757735,0.786795,0.010000,197.380584
29,1.103727,0.545514,0.856981,0.037153,0.727405,0.701166,0.893701,0.907643,0.010000,257.367784
30,1.087932,0.490284,1.527346,0.058814,0.606414,0.577988,0.826332,0.832513,0.010000,248.939348
31,1.070181,0.498606,0.913765,0.037508,0.720845,0.713557,0.893010,0.912296,0.010000,183.384785
32,1.048717,0.471439,0.992262,0.037710,0.728863,0.717201,0.891324,0.908222,0.010000,183.938163
33,1.035824,0.458171,1.306973,0.048033,0.635569,0.639213,0.870443,0.888828,0.010000,183.266627
34,1.025118,0.424436,0.894110,0.039305,0.715015,0.698980,0.877107,0.900404,0.010000,183.109529
35,1.009959,0.437074,1.041704,0.041569,0.717930,0.698980,0.887559,0.895837,0.010000,183.235069
36,0.993493,0.410550,1.217640,0.045459,0.702624,0.696064,0.854914,0.871490,0.010000,183.320569
37,0.989753,0.429483,0.955313,0.036558,0.747085,0.723032,0.896737,0.910718,0.010000,181.871526
38,0.971174,0.408396,0.998535,0.038709,0.727405,0.712099,0.885751,0.902252,0.010000,183.082171
39,0.965616,0.397191,0.977491,0.034983,0.752915,0.730321,0.905254,0.911733,0.010000,183.757497
40,0.942918,0.350288,0.825982,0.033089,0.756560,0.745627,0.905723,0.923169,0.010000,183.526858
1,0.864429,0.101465,0.732031,0.028296,0.799563,0.781341,0.921670,0.930418,0.001000,188.570375
2,0.833000,0.068327,0.751118,0.027357,0.806122,0.787901,0.933529,0.937982,0.001000,178.292088
3,0.824082,0.060819,0.747748,0.027248,0.799563,0.788630,0.936728,0.940978,0.001000,178.518022
4,0.818385,0.055394,0.747444,0.028052,0.801020,0.793003,0.922544,0.934025,0.001000,178.817918
5,0.815164,0.051021,0.713373,0.026429,0.803936,0.795918,0.929612,0.940271,0.001000,179.179791
6,0.810539,0.046672,0.752370,0.027043,0.798105,0.782070,0.934205,0.940164,0.001000,179.659109
7,0.806321,0.044340,0.761422,0.028151,0.803207,0.793003,0.927676,0.934403,0.001000,179.894766
8,0.802684,0.039348,0.775229,0.026773,0.797376,0.793732,0.927632,0.937370,0.001000,180.085562
9,0.802917,0.040030,0.750313,0.027175,0.811224,0.798834,0.930060,0.936517,0.001000,180.021395
10,0.800502,0.038053,0.770931,0.026358,0.809038,0.800292,0.933417,0.942572,0.001000,180.112901
11,0.797336,0.035255,0.775767,0.027120,0.804665,0.800292,0.931424,0.939196,0.001000,180.002845
12,0.796721,0.034650,0.757097,0.027401,0.801749,0.798105,0.931117,0.938442,0.001000,180.115649
13,0.794067,0.031989,0.786752,0.027094,0.798105,0.790816,0.928094,0.938487,0.001000,180.255859
14,0.791365,0.029412,0.785303,0.027304,0.793003,0.785714,0.927828,0.939875,0.001000,180.309250
15,0.791793,0.029986,0.783622,0.026313,0.810496,0.803207,0.934864,0.940942,0.001000,180.087675
16,0.789977,0.029909,0.786434,0.026923,0.808309,0.801749,0.928131,0.936295,0.001000,180.176700
17,0.786642,0.025989,0.839040,0.029257,0.787901,0.774052,0.923053,0.931033,0.001000,180.151976
18,0.785450,0.025436,0.779037,0.027755,0.803207,0.794461,0.924453,0.937439,0.001000,180.124302
19,0.783942,0.024423,0.754919,0.025645,0.814140,0.804665,0.933228,0.941759,0.001000,180.250046
20,0.783549,0.023869,0.803145,0.027009,0.817784,0.809038,0.931626,0.938688,0.001000,180.250821
21,0.781806,0.021776,0.825379,0.028515,0.797376,0.797376,0.926763,0.936116,0.001000,180.298492
22,0.780393,0.021050,0.838637,0.027514,0.803207,0.795190,0.930944,0.938461,0.001000,180.340315
23,0.779194,0.020054,0.809778,0.027096,0.811953,0.805394,0.926696,0.937978,0.001000,180.339887
24,0.776552,0.017592,0.828236,0.026915,0.810496,0.808309,0.931563,0.940370,0.001000,180.402526
25,0.776721,0.018531,0.826944,0.026399,0.811224,0.800292,0.935045,0.941164,0.001000,180.402481
26,0.774660,0.015756,0.788733,0.026871,0.807580,0.792274,0.933551,0.936926,0.001000,180.443167
