epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.576561,1.719354,2.309319,1.460251,0.443878,0.384111,0.664152,0.686742,0.001000,0.437571,186.340665
2,2.187932,1.353063,2.107883,1.288485,0.465743,0.448251,0.652646,0.733077,0.001000,0.402840,179.933815
3,2.026944,1.222946,2.063824,1.275579,0.516035,0.473032,0.747342,0.770794,0.001000,0.402771,180.013424
4,1.885768,1.113548,1.877474,1.121176,0.535714,0.528426,0.786580,0.843837,0.001000,0.403172,180.284741
5,1.775495,1.033920,1.786709,1.059827,0.590379,0.540816,0.822926,0.844593,0.001000,0.403011,180.579795
6,1.695487,0.982306,1.757920,1.058026,0.564869,0.535714,0.788642,0.816902,0.001000,0.403118,181.211832
7,1.604250,0.916725,1.659166,0.984212,0.588921,0.559038,0.858923,0.870188,0.001000,0.403023,181.358683
8,1.533382,0.869521,1.621056,0.968386,0.623178,0.585277,0.842939,0.869124,0.001000,0.402834,181.334733
9,1.467986,0.825826,1.525905,0.893997,0.644315,0.624636,0.867971,0.887418,0.001000,0.402929,181.352129
10,1.409651,0.786883,1.532073,0.917802,0.630466,0.580904,0.847890,0.870314,0.001000,0.403093,181.374119
11,1.339714,0.733998,1.460210,0.862542,0.669825,0.647959,0.891388,0.906408,0.001000,0.402853,181.251683
12,1.301319,0.710706,1.452152,0.868363,0.652332,0.634111,0.867632,0.888716,0.001000,0.403025,181.367793
13,1.268282,0.690627,1.404820,0.833216,0.694606,0.680029,0.890332,0.908017,0.001000,0.403361,181.212011
14,1.203439,0.638109,1.439611,0.880392,0.690233,0.645044,0.875104,0.894513,0.001000,0.403200,181.374302
15,1.174281,0.619632,1.388299,0.838565,0.656706,0.642128,0.863334,0.881916,0.001000,0.402992,181.475180
16,1.142184,0.597330,1.336217,0.795000,0.690233,0.672012,0.900717,0.914672,0.001000,0.403046,181.497248
17,1.105145,0.568060,1.353766,0.819930,0.691691,0.673469,0.892848,0.907133,0.001000,0.403140,181.342173
18,1.063422,0.533994,1.325819,0.800025,0.706997,0.698251,0.902896,0.921568,0.001000,0.402897,181.469652
19,1.032447,0.510161,1.295783,0.777100,0.715015,0.696793,0.895349,0.915427,0.001000,0.402922,181.358816
20,1.028752,0.512437,1.245771,0.731533,0.723761,0.701166,0.907139,0.919367,0.001000,0.403098,181.365672
21,0.964283,0.453311,1.270875,0.762352,0.706268,0.690962,0.909420,0.923145,0.001000,0.403295,181.465120
22,0.956559,0.450840,1.350160,0.846751,0.711370,0.688776,0.905578,0.916785,0.001000,0.403003,181.438223
23,0.929976,0.429175,1.247602,0.748669,0.735423,0.732507,0.916674,0.924993,0.001000,0.402805,181.458749
24,0.912571,0.415356,1.235545,0.739724,0.730321,0.703353,0.912474,0.921004,0.001000,0.403031,181.513078
25,0.899831,0.405668,1.224761,0.731373,0.751458,0.735423,0.914962,0.926057,0.001000,0.403198,181.418717
26,0.870198,0.378883,1.224702,0.734845,0.742711,0.725219,0.917303,0.926542,0.001000,0.403089,181.528198
27,0.877337,0.388528,1.228165,0.739877,0.748542,0.736152,0.914772,0.930938,0.001000,0.403374,181.458674
28,0.853423,0.367022,1.270470,0.785454,0.733965,0.733236,0.906943,0.924846,0.001000,0.403153,181.544041
29,0.801155,0.317947,1.237713,0.756529,0.746356,0.725219,0.912496,0.923749,0.001000,0.402899,181.396254
30,0.797513,0.317572,1.293772,0.815445,0.710641,0.696064,0.903314,0.911746,0.001000,0.403264,181.544542
31,0.805894,0.327893,1.259514,0.782281,0.760204,0.745627,0.899084,0.914334,0.001000,0.402970,181.374080
32,0.778407,0.302406,1.198755,0.723281,0.754373,0.748542,0.917372,0.926756,0.001000,0.402904,181.420354
33,0.754568,0.280968,1.199381,0.726921,0.720845,0.702624,0.903236,0.918962,0.001000,0.403062,181.392755
34,0.767294,0.295748,1.189464,0.717921,0.760933,0.750000,0.920668,0.926870,0.001000,0.403225,181.545084
35,0.736047,0.266733,1.202766,0.734706,0.733236,0.724490,0.914130,0.929185,0.001000,0.403059,181.529940
36,0.730990,0.264547,1.208244,0.742369,0.763120,0.750729,0.914821,0.924473,0.001000,0.403158,181.505506
37,0.710573,0.246136,1.232893,0.770649,0.756560,0.743440,0.920121,0.927108,0.001000,0.403134,181.530572
1,0.589644,0.128710,1.116663,0.657354,0.803936,0.792274,0.938821,0.944699,0.000100,0.438757,182.364082
2,0.535805,0.078227,1.132164,0.676389,0.809038,0.804665,0.940994,0.945833,0.000100,0.403284,180.745335
3,0.514133,0.060154,1.140909,0.688752,0.820700,0.813411,0.938686,0.945451,0.000100,0.403283,180.660310
4,0.498360,0.047988,1.162708,0.714153,0.812682,0.803936,0.942962,0.950665,0.000100,0.403318,181.285379
5,0.487874,0.041110,1.190948,0.746004,0.819242,0.809038,0.936374,0.942406,0.000100,0.403214,181.460079
6,0.477770,0.034617,1.225158,0.783793,0.820700,0.807580,0.944365,0.947417,0.000100,0.403169,181.509795
7,0.471726,0.032145,1.266189,0.828414,0.811953,0.813411,0.937466,0.945609,0.000100,0.403276,181.756280
8,0.461763,0.025708,1.251092,0.816818,0.812682,0.814140,0.942123,0.948782,0.000100,0.403215,181.811147
9,0.456039,0.023512,1.188135,0.757373,0.827259,0.821429,0.945063,0.948695,0.000100,0.403101,182.305728
10,0.452056,0.023018,1.284550,0.857239,0.814869,0.805394,0.941756,0.945458,0.000100,0.403244,182.265242
11,0.446388,0.020758,1.230767,0.806850,0.825802,0.823615,0.939006,0.947926,0.000100,0.403267,182.355019
12,0.438912,0.016691,1.294761,0.874247,0.813411,0.817055,0.936372,0.943518,0.000100,0.403359,182.236652
13,0.433260,0.014430,1.283573,0.866469,0.817784,0.814869,0.938797,0.947970,0.000100,0.403401,182.126567
14,0.431653,0.016228,1.297468,0.883729,0.822157,0.819242,0.932598,0.939943,0.000100,0.403468,182.154252
15,0.429670,0.017532,1.271694,0.861173,0.836735,0.827988,0.949236,0.950464,0.000100,0.403286,182.153568
16,0.421255,0.012371,1.328270,0.921047,0.823615,0.811953,0.937552,0.945252,0.000100,0.403322,182.146550
17,0.419304,0.013649,1.323749,0.919723,0.816327,0.809767,0.943620,0.947296,0.000100,0.403115,182.101098
18,0.415642,0.013161,1.343751,0.942817,0.813411,0.804665,0.936215,0.944998,0.000100,0.403398,182.252113
19,0.411176,0.011791,1.345837,0.948020,0.822886,0.817055,0.943779,0.945917,0.000100,0.403035,181.969207
20,0.409807,0.013494,1.295506,0.900716,0.824344,0.819242,0.936461,0.945572,0.000100,0.403231,181.898246
21,0.404615,0.011307,1.278165,0.886354,0.830175,0.822886,0.936514,0.947663,0.000100,0.403420,181.997535
22,0.401206,0.010871,1.294203,0.905351,0.815598,0.811224,0.939961,0.944872,0.000100,0.403324,181.863718
23,0.398921,0.011444,1.322513,0.936459,0.827988,0.826531,0.939274,0.945916,0.000100,0.403152,182.241772
24,0.395704,0.011068,1.294886,0.911694,0.823615,0.815598,0.944014,0.947691,0.000100,0.403266,182.002413
25,0.392523,0.010705,1.271390,0.891011,0.820700,0.816327,0.936151,0.942267,0.000100,0.403366,182.067588
26,0.389381,0.010403,1.311608,0.934032,0.825073,0.819971,0.943917,0.949498,0.000100,0.403402,181.968109
27,0.385799,0.009574,1.331392,0.956573,0.827988,0.819242,0.944936,0.947091,0.000100,0.403357,182.096595
28,0.380196,0.006760,1.348183,0.976173,0.816327,0.806122,0.938506,0.944477,0.000100,0.403249,181.959430
29,0.379152,0.008493,1.329554,0.960265,0.819242,0.811224,0.928507,0.940833,0.000100,0.403193,181.887950
