epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.894456,1.087862,1.735485,1.005579,0.708594,0.641434,0.263844,0.296214,0.001000,0.075428,466.045208
2,1.640249,0.992815,1.554756,0.986422,0.661070,0.551224,0.338261,0.334543,0.001000,0.069878,316.237846
3,1.457829,0.955746,1.402662,0.960731,0.708594,0.609846,0.347589,0.363502,0.001000,0.069965,317.321499
4,1.330266,0.936325,1.306151,0.955137,0.726522,0.675299,0.315817,0.374369,0.001000,0.069920,318.707245
5,1.229927,0.913879,1.199189,0.914430,0.715993,0.608993,0.425291,0.440074,0.001000,0.069992,320.023371
6,1.151133,0.891058,1.124423,0.886970,0.737336,0.694650,0.403967,0.454054,0.001000,0.069839,319.120373
7,1.091798,0.872199,1.058048,0.854763,0.717701,0.643142,0.507519,0.502428,0.001000,0.069892,320.036053
8,1.049814,0.859708,1.043454,0.865047,0.732214,0.678145,0.457747,0.492910,0.001000,0.069750,319.472462
9,1.013353,0.845444,1.012957,0.854313,0.757257,0.734775,0.410656,0.454967,0.001000,0.069681,318.893314
10,0.990048,0.839218,0.992470,0.849398,0.732214,0.639442,0.518574,0.517452,0.001000,0.069771,319.190081
11,0.964770,0.827843,0.985386,0.853995,0.741605,0.700341,0.487277,0.511140,0.001000,0.069822,319.493096
12,0.951758,0.825317,0.947279,0.825793,0.737052,0.679567,0.518951,0.539763,0.001000,0.069810,319.010697
13,0.932690,0.815465,0.937205,0.823624,0.738475,0.664200,0.518674,0.532498,0.001000,0.069747,319.058089
14,0.918276,0.808870,0.933572,0.828577,0.750427,0.701480,0.527086,0.542736,0.001000,0.069820,319.536222
15,0.912817,0.810328,0.926284,0.826853,0.703187,0.630051,0.465620,0.474527,0.001000,0.069625,318.094440
16,0.899300,0.802367,0.911012,0.816845,0.737336,0.696073,0.573444,0.534828,0.001000,0.069774,319.278106
17,0.886856,0.795215,0.898599,0.809397,0.729937,0.681275,0.617822,0.558378,0.001000,0.069771,319.239257
18,0.880121,0.793019,0.903133,0.818033,0.749004,0.729368,0.562055,0.523563,0.001000,0.069811,319.028726
19,0.871598,0.788600,0.873502,0.792042,0.736483,0.701764,0.623993,0.581242,0.001000,0.069811,319.552827
20,0.860648,0.781356,0.867452,0.790080,0.726522,0.678429,0.625408,0.561492,0.001000,0.069781,319.509748
21,0.857928,0.781767,0.879263,0.804238,0.738475,0.708310,0.606614,0.625103,0.001000,0.069737,319.436855
22,0.852967,0.779460,0.850980,0.778985,0.749004,0.717416,0.607507,0.626946,0.001000,0.069737,319.406213
23,0.847037,0.776241,0.869002,0.799295,0.736483,0.701195,0.624038,0.639840,0.001000,0.069724,319.601943
24,0.843237,0.774523,0.864160,0.796497,0.747012,0.686966,0.610654,0.634418,0.001000,0.069635,319.577716
25,0.838540,0.771790,0.846926,0.781147,0.733921,0.662777,0.625128,0.630120,0.001000,0.069618,318.282540
26,0.834312,0.769429,0.850778,0.786576,0.749289,0.707171,0.597851,0.629313,0.001000,0.069792,319.837874
27,0.829950,0.766466,0.841877,0.779221,0.747012,0.706887,0.624460,0.642432,0.001000,0.069687,319.448683
28,0.825745,0.763724,0.841989,0.780652,0.745020,0.702334,0.622432,0.643187,0.001000,0.069677,319.550907
29,0.819512,0.758932,0.828971,0.768848,0.724246,0.653956,0.652623,0.654288,0.001000,0.069672,319.746013
30,0.822956,0.763277,0.838191,0.778888,0.744166,0.703472,0.638457,0.655404,0.001000,0.069757,319.972730
31,0.819796,0.761049,0.823275,0.765022,0.762379,0.731360,0.626846,0.654474,0.001000,0.069741,319.993432
32,0.816733,0.758909,0.836764,0.779238,0.752703,0.727092,0.611829,0.639980,0.001000,0.069718,320.084935
33,0.813296,0.756301,0.812560,0.755969,0.754411,0.725669,0.633227,0.657775,0.001000,0.069744,319.784887
34,0.808795,0.752492,0.817284,0.761306,0.755549,0.725953,0.618900,0.649963,0.001000,0.069687,319.806496
35,0.809156,0.753577,0.812537,0.757311,0.721969,0.666192,0.664033,0.664217,0.001000,0.069851,319.984419
36,0.806871,0.751988,0.824189,0.769488,0.752703,0.726522,0.639505,0.659423,0.001000,0.069731,319.764201
37,0.806996,0.752550,0.823710,0.769423,0.754126,0.704326,0.639248,0.654662,0.001000,0.069742,320.147989
38,0.802520,0.748520,0.807200,0.753563,0.750996,0.701480,0.651703,0.661407,0.001000,0.069690,319.995887
39,0.799322,0.745993,0.825627,0.772531,0.740751,0.695504,0.646939,0.661346,0.001000,0.069705,319.832338
40,0.796018,0.743155,0.815005,0.762255,0.749289,0.720831,0.642146,0.663947,0.001000,0.069836,320.161634
41,0.796579,0.743943,0.817736,0.765272,0.736198,0.674445,0.664673,0.662750,0.001000,0.069735,320.239318
42,0.792174,0.739937,0.839076,0.787060,0.741036,0.687820,0.636558,0.643323,0.001000,0.069710,320.189334
43,0.791551,0.739577,0.808056,0.756311,0.739898,0.689243,0.666347,0.669267,0.001000,0.069738,319.732507
44,0.786486,0.734959,0.807165,0.755843,0.741605,0.682982,0.653430,0.660978,0.001000,0.069801,320.274958
45,0.789007,0.737711,0.806128,0.754889,0.727376,0.680706,0.667330,0.664192,0.001000,0.069723,319.829185
46,0.786166,0.735077,0.804381,0.753403,0.729937,0.656232,0.669531,0.663783,0.001000,0.069695,319.929443
47,0.782879,0.731951,0.799239,0.748430,0.752419,0.724530,0.659063,0.677704,0.001000,0.069711,319.371118
48,0.784219,0.733397,0.794072,0.743369,0.757826,0.735629,0.666134,0.663098,0.001000,0.069721,319.680358
49,0.783992,0.733461,0.803505,0.753143,0.753842,0.737621,0.647432,0.648955,0.001000,0.069734,319.954811
50,0.780511,0.730095,0.812005,0.761590,0.744451,0.717131,0.659779,0.654863,0.001000,0.069739,319.868822
51,0.778822,0.728389,0.805556,0.755153,0.722538,0.680421,0.659505,0.642404,0.001000,0.069639,319.843149
52,0.778112,0.727647,0.801386,0.750941,0.743312,0.708879,0.676211,0.669952,0.001000,0.069748,319.899480
53,0.773549,0.723182,0.795470,0.745021,0.763517,0.732214,0.659472,0.668911,0.001000,0.069692,319.678109
54,0.775845,0.725393,0.793453,0.743025,0.767786,0.722823,0.659375,0.667778,0.001000,0.069654,319.787003
