epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.136454,1.338329,0.934259,1.095688,0.717416,0.677006,0.150776,0.213696,0.001000,0.075560,321.198396
2,0.814590,1.054037,0.717116,1.045079,0.656801,0.558338,0.302171,0.298091,0.001000,0.073897,315.617314
3,0.652009,1.018034,0.597803,1.024694,0.717416,0.663347,0.333754,0.357045,0.001000,0.074798,316.116088
4,0.562138,0.987272,0.547672,1.036090,0.725100,0.696927,0.345056,0.385129,0.001000,0.075043,315.848736
5,0.504804,0.962065,0.493219,0.986886,0.666762,0.601878,0.462949,0.473602,0.001000,0.075457,316.069810
6,0.460364,0.921144,0.447563,0.924710,0.744451,0.721116,0.367331,0.423792,0.001000,0.070104,311.738436
7,0.430003,0.896192,0.431435,0.910917,0.724246,0.662777,0.467496,0.483145,0.001000,0.069194,311.113505
8,0.412368,0.884913,0.408314,0.879240,0.729937,0.684690,0.512682,0.536782,0.001000,0.069219,311.158666
9,0.395485,0.869244,0.396704,0.880858,0.739044,0.704041,0.487362,0.518734,0.001000,0.069158,311.161364
10,0.382483,0.863903,0.396208,0.879995,0.706887,0.655094,0.576140,0.581177,0.001000,0.069178,311.361175
11,0.371766,0.847176,0.374658,0.875050,0.739044,0.695504,0.507668,0.524363,0.001000,0.069204,311.284192
12,0.361785,0.845112,0.367169,0.846620,0.735913,0.699203,0.557486,0.569164,0.001000,0.069111,311.383485
13,0.354886,0.834122,0.355784,0.847851,0.749004,0.717416,0.522847,0.551926,0.001000,0.069062,311.528091
14,0.346562,0.825629,0.350964,0.831921,0.744735,0.712009,0.541513,0.573131,0.001000,0.069023,311.272634
15,0.343366,0.826475,0.350246,0.844163,0.725953,0.669892,0.567656,0.560276,0.001000,0.069017,311.213645
16,0.335074,0.815396,0.353309,0.878312,0.738759,0.698065,0.535496,0.550690,0.001000,0.068933,311.115792
17,0.331281,0.813315,0.339336,0.811184,0.745304,0.711440,0.588660,0.603844,0.001000,0.068995,311.348061
18,0.329407,0.810505,0.335075,0.827908,0.748719,0.727376,0.572555,0.594717,0.001000,0.068874,311.131600
19,0.322787,0.801607,0.324496,0.799188,0.749573,0.719693,0.609552,0.611151,0.001000,0.068867,311.337467
20,0.319954,0.798415,0.328645,0.813406,0.753842,0.719408,0.614658,0.623550,0.001000,0.069034,311.657538
21,0.318184,0.797590,0.331991,0.834707,0.755834,0.735629,0.561317,0.575425,0.001000,0.069143,311.740908
22,0.314197,0.791972,0.322417,0.798715,0.758110,0.727661,0.599607,0.604303,0.001000,0.068996,311.655300
23,0.313865,0.790450,0.319019,0.792101,0.750427,0.727092,0.624698,0.631907,0.001000,0.069075,311.787957
24,0.311024,0.789051,0.321461,0.812221,0.763517,0.738190,0.576392,0.595745,0.001000,0.068997,311.666783
25,0.308829,0.782391,0.331905,0.838221,0.717701,0.661924,0.581447,0.568780,0.001000,0.068904,311.244975
26,0.307199,0.783661,0.323280,0.826164,0.765509,0.740751,0.544496,0.564261,0.001000,0.069019,311.686098
27,0.306782,0.782457,0.308722,0.783331,0.759533,0.742174,0.623134,0.639939,0.001000,0.068845,311.266486
28,0.301823,0.773911,0.308035,0.788916,0.756972,0.731360,0.621516,0.627622,0.001000,0.068996,310.884903
29,0.300690,0.771423,0.311011,0.787487,0.753557,0.726807,0.633367,0.649937,0.001000,0.069053,311.877183
30,0.301249,0.772955,0.304373,0.782443,0.759249,0.736483,0.627064,0.629118,0.001000,0.069000,311.936019
31,0.298760,0.770566,0.313920,0.820889,0.771201,0.759533,0.560482,0.578304,0.001000,0.069023,312.040744
32,0.299003,0.772138,0.305271,0.780224,0.760956,0.744735,0.616060,0.623827,0.001000,0.069149,311.194084
33,0.298350,0.771071,0.304513,0.775594,0.762379,0.749289,0.616911,0.621399,0.001000,0.069208,311.257662
34,0.297331,0.766978,0.302260,0.793436,0.766363,0.736767,0.624980,0.634511,0.001000,0.071125,313.533622
35,0.294509,0.765165,0.306510,0.784720,0.758395,0.721685,0.636843,0.634803,0.001000,0.079478,315.876324
36,0.295225,0.765002,0.297184,0.770628,0.763802,0.737052,0.618987,0.628888,0.001000,0.076268,315.976650
37,0.294634,0.764825,0.299194,0.789482,0.770063,0.755834,0.623843,0.635980,0.001000,0.075934,315.941675
38,0.293426,0.763478,0.298170,0.779332,0.771770,0.764371,0.614964,0.640571,0.001000,0.076404,317.138787
39,0.293084,0.762753,0.297415,0.754963,0.759249,0.729084,0.669424,0.677614,0.001000,0.076850,317.925871
40,0.291487,0.759095,0.304490,0.793948,0.770347,0.753273,0.606647,0.619277,0.001000,0.076791,317.428817
41,0.291800,0.759412,0.307665,0.774537,0.738475,0.705464,0.654856,0.661613,0.001000,0.076770,317.621852
42,0.291072,0.757251,0.309594,0.791288,0.751281,0.709732,0.619768,0.623606,0.001000,0.077051,318.447536
43,0.290393,0.756791,0.299627,0.766275,0.767786,0.738190,0.636048,0.642683,0.001000,0.077085,318.007431
44,0.288638,0.753352,0.295884,0.772251,0.762664,0.732499,0.650219,0.656555,0.001000,0.076535,318.277853
45,0.287496,0.750992,0.299441,0.768082,0.756403,0.735629,0.646317,0.667517,0.001000,0.076413,318.881454
46,0.286925,0.749537,0.290876,0.750185,0.746158,0.715993,0.648364,0.645595,0.001000,0.076618,319.117046
