epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.924731,1.107530,1.783403,1.028423,0.668469,0.570575,0.327989,0.347049,0.001000,0.104742,396.188296
2,1.690720,1.006178,1.595036,0.980141,0.658509,0.533295,0.344733,0.323962,0.001000,0.097262,316.167933
3,1.519264,0.966583,1.454022,0.959366,0.731360,0.672453,0.299929,0.352116,0.001000,0.097199,318.739506
4,1.381857,0.936700,1.358115,0.958014,0.672168,0.587365,0.418986,0.435186,0.001000,0.097245,319.031875
5,1.280630,0.918542,1.253821,0.926482,0.607001,0.476949,0.489207,0.461979,0.001000,0.097321,319.428256
6,1.185800,0.886861,1.171414,0.898524,0.710586,0.633751,0.463649,0.478757,0.001000,0.097319,320.307719
7,1.119132,0.867505,1.092792,0.860445,0.731929,0.661070,0.480385,0.508312,0.001000,0.097385,319.784342
8,1.069837,0.853642,1.068130,0.866658,0.718839,0.645418,0.545560,0.556714,0.001000,0.097373,319.238528
9,1.031127,0.842065,1.034840,0.857032,0.721685,0.671030,0.583637,0.594844,0.001000,0.097342,318.677351
10,1.007999,0.838973,1.022213,0.862424,0.692658,0.584804,0.584586,0.572894,0.001000,0.097311,319.822632
11,0.982288,0.830274,1.014490,0.869337,0.737621,0.691235,0.477150,0.507367,0.001000,0.097317,320.759344
12,0.964759,0.825247,0.960911,0.826658,0.721400,0.658224,0.561807,0.571469,0.001000,0.097379,320.465791
13,0.946636,0.817320,0.955758,0.830506,0.738190,0.692658,0.541547,0.560516,0.001000,0.097360,320.852544
14,0.931429,0.810062,0.957601,0.840345,0.717985,0.643426,0.578021,0.576111,0.001000,0.097212,320.599319
15,0.923023,0.809078,0.956695,0.845575,0.732499,0.686397,0.543747,0.572790,0.001000,0.097332,320.366157
16,0.911771,0.803155,0.911729,0.805911,0.727945,0.659932,0.575913,0.591655,0.001000,0.097366,320.198779
17,0.899183,0.796225,0.902879,0.802381,0.743597,0.691520,0.574262,0.594310,0.001000,0.097335,320.916123
18,0.893025,0.794571,0.935231,0.838569,0.741036,0.704041,0.574289,0.577748,0.001000,0.097379,320.608616
19,0.885794,0.790991,0.897230,0.803540,0.733921,0.683267,0.563439,0.582883,0.001000,0.097287,320.839920
20,0.873029,0.781282,0.891324,0.801597,0.722254,0.665339,0.617076,0.616433,0.001000,0.097208,320.355291
21,0.872408,0.784409,0.893704,0.807140,0.741605,0.704895,0.589573,0.601317,0.001000,0.097337,320.727366
22,0.862827,0.777306,0.882469,0.798318,0.750142,0.713432,0.620445,0.634211,0.001000,0.097261,322.094207
23,0.859429,0.776732,0.880034,0.798645,0.741320,0.702618,0.592070,0.596203,0.001000,0.097195,320.993525
24,0.853993,0.773766,0.885056,0.806231,0.749289,0.700341,0.597775,0.606317,0.001000,0.097309,321.572293
25,0.846729,0.768682,0.872875,0.795623,0.729937,0.663347,0.621596,0.616915,0.001000,0.097122,316.262543
26,0.843574,0.767496,0.858796,0.783544,0.747297,0.707171,0.639741,0.643178,0.001000,0.096947,314.921034
27,0.839085,0.764530,0.849647,0.775788,0.748150,0.709163,0.643488,0.645893,0.001000,0.096924,314.848287
28,0.830236,0.757101,0.848392,0.776134,0.754980,0.718839,0.620717,0.626867,0.001000,0.096973,315.039736
29,0.829784,0.758183,0.845685,0.774587,0.721116,0.655948,0.623727,0.611681,0.001000,0.096983,314.990160
30,0.827153,0.756768,0.853351,0.783547,0.733637,0.684974,0.595857,0.600498,0.001000,0.097033,315.861496
31,0.823027,0.753695,0.853341,0.784569,0.763802,0.737906,0.582969,0.607170,0.001000,0.097469,322.581271
32,0.819183,0.750985,0.835748,0.768189,0.744451,0.701480,0.640179,0.643266,0.001000,0.097096,316.460088
33,0.820398,0.753283,0.829834,0.763141,0.751850,0.722254,0.620614,0.641993,0.001000,0.097104,315.802067
34,0.817411,0.751131,0.832126,0.766386,0.764656,0.729937,0.628278,0.638019,0.001000,0.097258,319.410915
35,0.811296,0.745901,0.836118,0.771104,0.706602,0.645134,0.632489,0.620388,0.001000,0.097432,320.567425
36,0.809134,0.744436,0.833627,0.769211,0.755265,0.723392,0.625979,0.625285,0.001000,0.097220,317.513452
37,0.809760,0.745651,0.835210,0.771412,0.751565,0.722538,0.625322,0.636981,0.001000,0.096957,314.272135
38,0.810281,0.746813,0.820917,0.757851,0.752419,0.719977,0.656628,0.669853,0.001000,0.096904,314.198073
39,0.803232,0.740364,0.828804,0.766126,0.753273,0.705748,0.651362,0.651103,0.001000,0.096929,314.789352
40,0.800487,0.738097,0.817803,0.755609,0.758395,0.719408,0.646799,0.660819,0.001000,0.097038,315.084906
41,0.798822,0.736933,0.825430,0.763842,0.747012,0.694935,0.665672,0.663963,0.001000,0.097002,314.815646
42,0.799658,0.738257,0.844331,0.783254,0.748435,0.698349,0.629652,0.631579,0.001000,0.097040,315.061859
43,0.794726,0.733839,0.820832,0.760186,0.736198,0.675014,0.654392,0.640968,0.001000,0.097028,313.930100
44,0.790685,0.730308,0.814374,0.754153,0.729937,0.683836,0.660494,0.652609,0.001000,0.096993,314.842786
45,0.789611,0.729510,0.817861,0.757887,0.739044,0.700626,0.664132,0.673105,0.001000,0.097094,315.278346
46,0.789038,0.729196,0.820322,0.760602,0.715709,0.645418,0.630836,0.616797,0.001000,0.097030,314.317686
47,0.787490,0.727929,0.810430,0.751069,0.762379,0.735060,0.642268,0.640796,0.001000,0.096979,314.689371
48,0.790631,0.731212,0.811137,0.751767,0.756118,0.713717,0.672344,0.678775,0.001000,0.096963,314.430155
49,0.787094,0.727870,0.801770,0.742794,0.762664,0.729653,0.645658,0.658937,0.001000,0.097018,314.426750
50,0.781779,0.722993,0.811610,0.752986,0.755265,0.719693,0.653188,0.660282,0.001000,0.096977,314.358320
51,0.783690,0.725177,0.800110,0.741698,0.760102,0.716847,0.669509,0.664280,0.001000,0.097071,315.651349
52,0.781155,0.722713,0.805677,0.747376,0.744451,0.682129,0.653990,0.645989,0.001000,0.097027,314.577538
53,0.775777,0.717438,0.802262,0.743946,0.755834,0.708025,0.676318,0.677340,0.001000,0.097098,314.692156
54,0.779228,0.720957,0.804898,0.746769,0.756972,0.717131,0.665021,0.674395,0.001000,0.097043,314.538774
55,0.781659,0.723654,0.807219,0.749348,0.757541,0.717701,0.650494,0.661938,0.001000,0.097040,314.432001
56,0.777750,0.719975,0.803678,0.746023,0.760102,0.717701,0.649769,0.662170,0.001000,0.097047,314.587761
57,0.777128,0.719592,0.818808,0.761394,0.761525,0.725100,0.622599,0.632798,0.001000,0.097076,315.639025
58,0.772591,0.715231,0.806553,0.749307,0.740751,0.677006,0.656725,0.645498,0.001000,0.096938,313.946050
