epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.881300,1.062158,1.667452,0.911173,0.745304,0.616392,0.000000,0.234566,0.001000,0.106175,665.487318
2,1.580671,0.898649,1.490739,0.882586,0.745304,0.554923,0.000000,0.298193,0.001000,0.097919,547.776771
3,1.417704,0.875482,1.338485,0.858117,0.745304,0.645418,0.000000,0.347627,0.001000,0.098008,476.615531
4,1.287902,0.859448,1.246254,0.865721,0.745304,0.677006,0.000000,0.357881,0.001000,0.098287,513.755681
5,1.187824,0.847177,1.168233,0.864447,0.745304,0.504269,0.000000,0.341587,0.001000,0.098415,490.394699
6,1.111317,0.837748,1.069784,0.824243,0.745304,0.670176,0.000000,0.437617,0.001000,0.098230,503.149879
7,1.050903,0.827821,1.015787,0.813502,0.745304,0.634035,0.000000,0.467528,0.001000,0.097994,483.527566
8,1.001480,0.816442,0.976982,0.807618,0.745304,0.626067,0.000000,0.471541,0.001000,0.098284,478.432562
9,0.965330,0.809367,0.951962,0.808460,0.745304,0.689243,0.000000,0.429641,0.001000,0.098180,509.965109
10,0.937100,0.803903,0.933743,0.810092,0.745304,0.595902,0.000000,0.489786,0.001000,0.098268,482.948982
11,0.915657,0.799934,0.904229,0.795937,0.745304,0.678998,0.000000,0.503283,0.001000,0.098176,505.609811
12,0.898081,0.795889,0.885030,0.789148,0.745304,0.625498,0.000000,0.517082,0.001000,0.098571,498.476445
13,0.880904,0.789914,0.865623,0.779293,0.745304,0.669892,0.000000,0.525692,0.001000,0.098300,486.751819
14,0.865891,0.784045,0.866600,0.788712,0.745304,0.674445,0.000000,0.523808,0.001000,0.098072,504.036777
15,0.860523,0.785662,0.866163,0.794202,0.745304,0.645418,0.000000,0.481438,0.001000,0.096139,437.151413
16,0.851823,0.782656,0.855488,0.789091,0.745304,0.644565,0.000000,0.503039,0.001000,0.096206,459.717361
17,0.842975,0.778896,0.833008,0.771410,0.745304,0.677860,0.000000,0.537868,0.001000,0.097866,490.502173
18,0.834646,0.774949,0.836532,0.778678,0.745304,0.717131,0.000000,0.530921,0.001000,0.098567,507.107924
19,0.829145,0.772608,0.821637,0.766328,0.745304,0.686966,0.000000,0.552885,0.001000,0.098308,517.494697
20,0.821256,0.767795,0.814190,0.762270,0.745304,0.684974,0.000000,0.559374,0.001000,0.098356,525.447579
21,0.820224,0.769214,0.821207,0.771117,0.745304,0.711155,0.000000,0.539601,0.001000,0.098250,511.611649
22,0.816834,0.767921,0.803983,0.756079,0.745304,0.715424,0.000000,0.568670,0.001000,0.097664,498.366759
23,0.812137,0.765038,0.811313,0.764933,0.745304,0.682413,0.000000,0.571222,0.001000,0.098090,498.376738
24,0.809001,0.763200,0.801433,0.756382,0.745304,0.698634,0.000000,0.551508,0.001000,0.098390,518.443616
25,0.805323,0.760758,0.805078,0.760908,0.745304,0.682698,0.000000,0.564111,0.001000,0.097898,497.175812
26,0.804354,0.760908,0.809421,0.766472,0.745304,0.698634,0.000000,0.555320,0.001000,0.098311,521.734548
27,0.803833,0.761082,0.793971,0.751655,0.745304,0.723392,0.000000,0.570322,0.001000,0.098601,514.476599
28,0.799189,0.757314,0.794867,0.753482,0.745304,0.699488,0.000000,0.574910,0.001000,0.098207,499.949598
29,0.797085,0.756049,0.791330,0.750515,0.745304,0.683267,0.000000,0.578320,0.001000,0.098530,513.206173
30,0.795863,0.755217,0.790612,0.750209,0.745304,0.706318,0.000000,0.569699,0.001000,0.098237,488.356263
31,0.793271,0.753241,0.799092,0.759427,0.745304,0.717131,0.000000,0.563791,0.001000,0.098383,505.894455
32,0.792073,0.752588,0.793972,0.754676,0.745304,0.705748,0.000000,0.578264,0.001000,0.099089,522.074705
33,0.790177,0.751015,0.780942,0.741951,0.745304,0.719977,0.000000,0.591565,0.001000,0.097897,483.137707
34,0.786880,0.748121,0.780140,0.741529,0.745304,0.726807,0.000000,0.592315,0.001000,0.098108,492.896705
35,0.788014,0.749588,0.786977,0.748809,0.745304,0.694081,0.000000,0.585722,0.001000,0.098446,509.800921
36,0.784036,0.746099,0.791044,0.753236,0.745304,0.721116,0.000000,0.572037,0.001000,0.098291,491.608615
37,0.786122,0.748493,0.773610,0.736077,0.745304,0.745589,0.000000,0.596553,0.001000,0.098306,505.988248
38,0.783999,0.746526,0.770483,0.733199,0.745304,0.727945,0.006762,0.597685,0.001000,0.098280,490.898790
39,0.780565,0.743393,0.791910,0.754769,0.746443,0.690666,0.107429,0.567004,0.001000,0.098077,492.974099
40,0.779594,0.742600,0.777661,0.740687,0.749289,0.722538,0.165970,0.592308,0.001000,0.098057,488.127265
41,0.778293,0.741461,0.782875,0.746117,0.754980,0.717701,0.394702,0.579869,0.001000,0.098408,527.042148
42,0.778606,0.741879,0.795458,0.758778,0.754126,0.676153,0.383582,0.566453,0.001000,0.098165,472.512388
43,0.774643,0.737997,0.766773,0.730205,0.754411,0.721116,0.588766,0.638710,0.001000,0.095830,353.867300
44,0.763543,0.726952,0.768510,0.731880,0.755549,0.716562,0.598637,0.635239,0.001000,0.095899,355.636007
45,0.758969,0.722381,0.774232,0.737486,0.747297,0.686682,0.608485,0.627961,0.001000,0.095835,351.436796
46,0.760466,0.723643,0.762080,0.725167,0.752703,0.674730,0.578623,0.605970,0.001000,0.095927,350.489631
47,0.757169,0.720118,0.757234,0.720070,0.766648,0.757257,0.592979,0.651005,0.001000,0.095881,349.643596
