epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.003823,1.150332,1.879802,1.043608,0.687536,0.610985,0.283094,0.324137,0.001000,0.103529,461.719365
2,1.824046,1.013572,1.773414,0.991033,0.672453,0.556346,0.343202,0.343516,0.001000,0.096041,343.660265
3,1.732187,0.980403,1.721828,1.001664,0.737052,0.685544,0.221493,0.299181,0.001000,0.095988,343.675770
4,1.637473,0.949977,1.612083,0.957845,0.696073,0.617814,0.400617,0.423231,0.001000,0.095998,342.885995
5,1.554580,0.933100,1.545430,0.956385,0.557769,0.435401,0.422732,0.393860,0.001000,0.096092,343.565233
6,1.467713,0.909670,1.449671,0.921919,0.697496,0.618668,0.469104,0.477489,0.001000,0.096032,343.534189
7,1.387708,0.889309,1.351724,0.881896,0.722254,0.655948,0.500429,0.521955,0.001000,0.096003,344.349325
8,1.314444,0.871201,1.293327,0.875424,0.727092,0.656801,0.482170,0.506007,0.001000,0.096236,347.666402
9,1.246288,0.852107,1.254488,0.883281,0.698919,0.619806,0.567286,0.566419,0.001000,0.096093,344.346965
10,1.197909,0.847326,1.195766,0.865219,0.708310,0.628059,0.572765,0.558438,0.001000,0.096242,346.673390
11,1.152805,0.840306,1.154458,0.859281,0.725669,0.667900,0.496968,0.510597,0.001000,0.096057,344.325563
12,1.109266,0.829947,1.098197,0.833964,0.718554,0.642288,0.591099,0.586608,0.001000,0.096040,344.498923
13,1.073621,0.823100,1.067940,0.829860,0.735060,0.684121,0.525344,0.554847,0.001000,0.096145,343.933332
14,1.041219,0.814844,1.050703,0.835597,0.711440,0.642573,0.591147,0.585919,0.001000,0.096108,345.001909
15,1.020498,0.815026,1.056270,0.860386,0.735629,0.698065,0.563874,0.572956,0.001000,0.095999,342.546998
16,0.995938,0.808014,0.992645,0.812838,0.739898,0.692943,0.554168,0.596934,0.001000,0.096070,342.996053
17,0.978692,0.805546,0.991977,0.824937,0.721685,0.630620,0.628987,0.605777,0.001000,0.095973,343.014238
18,0.964113,0.803136,0.975682,0.819313,0.737336,0.688674,0.579583,0.594308,0.001000,0.095889,342.336667
19,0.946210,0.795316,0.938236,0.793557,0.745304,0.719693,0.573561,0.601390,0.001000,0.095973,342.535229
20,0.923327,0.783372,0.934553,0.798879,0.736483,0.687536,0.606638,0.607197,0.001000,0.095883,342.312648
21,0.922425,0.789227,0.949683,0.820008,0.737336,0.700911,0.594966,0.609076,0.001000,0.095990,342.995342
22,0.908370,0.782499,0.932004,0.809996,0.736767,0.679283,0.631676,0.620612,0.001000,0.095969,342.944783
23,0.905499,0.785558,0.923030,0.805462,0.732214,0.672168,0.634815,0.628164,0.001000,0.095931,342.630571
24,0.891874,0.776831,0.922477,0.810135,0.760672,0.704895,0.550739,0.575327,0.001000,0.095956,342.792482
