epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.731584,0.941644,1.598168,0.904869,0.739613,0.553785,0.150632,0.272449,0.001000,0.462846,508.419143
2,1.486412,0.888701,1.384090,0.874802,0.740467,0.589926,0.241048,0.363127,0.001000,0.443277,501.865645
3,1.306401,0.867013,1.232417,0.855211,0.745874,0.641434,0.174023,0.352546,0.001000,0.443269,499.731176
4,1.180373,0.851538,1.142895,0.856931,0.741036,0.663347,0.327621,0.415924,0.001000,0.443869,502.933325
5,1.089098,0.836190,1.047984,0.825224,0.743597,0.584519,0.384381,0.456356,0.001000,0.444830,502.893558
6,1.018827,0.819603,0.990792,0.812328,0.748150,0.663347,0.373744,0.476277,0.001000,0.443907,504.662181
7,0.969647,0.807826,0.958078,0.811263,0.745020,0.631474,0.464435,0.529038,0.001000,0.444124,503.510255
8,0.935486,0.800826,0.910696,0.786988,0.749573,0.688105,0.421958,0.524122,0.001000,0.444131,503.957391
9,0.905687,0.790767,0.892812,0.785836,0.752134,0.705464,0.452478,0.537344,0.001000,0.442969,501.622280
10,0.888079,0.787731,0.880685,0.786703,0.748435,0.606716,0.537911,0.555094,0.001000,0.444426,504.574316
11,0.873374,0.784256,0.872835,0.788258,0.749004,0.688389,0.490083,0.557862,0.001000,0.443887,503.616145
12,0.858142,0.777693,0.856584,0.779859,0.744451,0.633182,0.535190,0.571786,0.001000,0.443382,503.322437
13,0.848180,0.774365,0.849510,0.778526,0.751850,0.657940,0.515755,0.576662,0.001000,0.443732,504.132208
14,0.838358,0.769979,0.853249,0.787482,0.751281,0.666477,0.518187,0.562151,0.001000,0.443310,504.144107
15,0.833780,0.769630,0.840028,0.777609,0.752703,0.679852,0.508041,0.569842,0.001000,0.443188,500.281678
16,0.826394,0.765790,0.832228,0.773441,0.755549,0.680706,0.490722,0.563816,0.001000,0.443092,503.708076
17,0.818603,0.760918,0.814618,0.757763,0.755549,0.680990,0.553836,0.607260,0.001000,0.442602,504.949779
18,0.816801,0.761244,0.817181,0.762788,0.751565,0.716278,0.518805,0.598817,0.001000,0.442306,503.541470
19,0.810327,0.756860,0.807227,0.754517,0.752988,0.699203,0.551221,0.608349,0.001000,0.442036,503.149783
20,0.803318,0.751352,0.814615,0.763390,0.753842,0.697496,0.557344,0.614757,0.001000,0.442161,504.204924
21,0.803131,0.752367,0.825498,0.775143,0.742174,0.687536,0.554578,0.589033,0.001000,0.442072,501.552276
22,0.798170,0.748175,0.803745,0.753797,0.757541,0.692943,0.551690,0.623753,0.001000,0.441654,500.918560
23,0.796560,0.745829,0.793832,0.742510,0.760387,0.709448,0.603170,0.636860,0.001000,0.441389,503.617863
24,0.784634,0.733261,0.784683,0.733055,0.770916,0.697780,0.556854,0.599205,0.001000,0.441735,503.877889
25,0.777470,0.725747,0.786343,0.734551,0.771201,0.678145,0.592804,0.619550,0.001000,0.441673,502.949639
26,0.772044,0.720314,0.785152,0.733335,0.773762,0.718270,0.537120,0.592269,0.001000,0.441705,503.520364
27,0.768451,0.716766,0.762743,0.711154,0.772908,0.704610,0.608176,0.634017,0.001000,0.441338,503.583316
28,0.761109,0.709624,0.761704,0.710253,0.771201,0.708025,0.617107,0.641386,0.001000,0.440424,498.000819
29,0.760650,0.709339,0.752973,0.701872,0.776039,0.690381,0.622380,0.635415,0.001000,0.440935,503.538024
30,0.758469,0.707391,0.759728,0.708811,0.778031,0.694081,0.600479,0.622206,0.001000,0.441079,503.492630
31,0.752412,0.701550,0.764594,0.713807,0.781161,0.729368,0.558738,0.613400,0.001000,0.440898,504.512576
32,0.753950,0.703110,0.753734,0.703161,0.781446,0.737336,0.599468,0.641643,0.001000,0.441028,503.328654
33,0.749039,0.698620,0.757456,0.707217,0.776892,0.731360,0.634501,0.655071,0.001000,0.441233,505.799701
34,0.746291,0.695848,0.747798,0.697561,0.785145,0.722254,0.622973,0.653611,0.001000,0.440940,503.708153
