epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.164204,1.796257,0.964037,1.200064,0.722538,0.688958,0.108621,0.169233,0.001000,0.127202,608.132186
2,0.838031,1.129027,0.737843,1.118683,0.669607,0.598463,0.316139,0.331755,0.001000,0.118978,580.130771
3,0.670595,1.078732,0.618302,1.083068,0.707456,0.664200,0.343342,0.355152,0.001000,0.119241,565.222738
4,0.577942,1.035003,0.557653,1.065101,0.707171,0.669607,0.396210,0.419943,0.001000,0.119007,561.447335
5,0.514494,0.993703,0.513374,1.038834,0.624360,0.563176,0.458531,0.452081,0.001000,0.119000,559.140566
6,0.470656,0.953383,0.458420,0.977863,0.737052,0.715709,0.421098,0.457025,0.001000,0.119049,564.832653
7,0.439728,0.930268,0.438884,0.944701,0.735913,0.705179,0.439208,0.459662,0.001000,0.119001,562.835893
8,0.416735,0.902588,0.416909,0.897688,0.725384,0.677291,0.501264,0.505600,0.001000,0.118974,561.123963
9,0.400016,0.887012,0.400185,0.907925,0.741036,0.713717,0.510856,0.535795,0.001000,0.118964,559.262737
10,0.388173,0.877530,0.406037,0.918731,0.706887,0.662777,0.550572,0.547865,0.001000,0.118958,560.171666
11,0.375258,0.863016,0.381146,0.896513,0.742174,0.719408,0.518843,0.539585,0.001000,0.119135,564.926550
12,0.366793,0.859234,0.373902,0.878182,0.729937,0.680137,0.491968,0.514804,0.001000,0.119582,573.224664
13,0.359626,0.848750,0.364040,0.863636,0.740751,0.706602,0.535665,0.547817,0.001000,0.119439,568.532703
14,0.350890,0.837207,0.359009,0.857018,0.741890,0.695504,0.536970,0.555885,0.001000,0.119696,571.681633
15,0.346162,0.836721,0.358576,0.872368,0.740751,0.714855,0.537232,0.555901,0.001000,0.119167,568.826254
16,0.339136,0.826886,0.349279,0.863066,0.737621,0.694081,0.556301,0.554880,0.001000,0.118987,564.374477
17,0.331892,0.819404,0.341110,0.822068,0.733352,0.672453,0.590085,0.587379,0.001000,0.118967,559.156924
18,0.331062,0.818840,0.339886,0.848489,0.748150,0.733352,0.549821,0.577145,0.001000,0.118930,559.609723
19,0.326098,0.811084,0.335406,0.829394,0.750711,0.717701,0.590639,0.594785,0.001000,0.118989,557.935039
