epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.043903,1.206773,1.881357,1.082345,0.641719,0.552931,0.340056,0.332801,0.001000,0.419226,668.928918
2,1.808398,1.058075,1.728166,1.028484,0.634035,0.529311,0.371731,0.355741,0.001000,0.405510,439.272894
3,1.659726,1.010217,1.652837,1.052092,0.732499,0.690950,0.198775,0.260288,0.001000,0.405255,437.008217
4,1.522706,0.967686,1.494227,0.983097,0.696642,0.634604,0.407694,0.426350,0.001000,0.405532,439.675671
5,1.420645,0.948978,1.415251,0.980744,0.620376,0.503415,0.505692,0.474495,0.001000,0.405493,439.751682
6,1.317479,0.915390,1.296334,0.925139,0.712578,0.649972,0.483709,0.501585,0.001000,0.405259,434.886926
7,1.233177,0.888673,1.205038,0.885474,0.706887,0.637166,0.526818,0.532258,0.001000,0.404911,431.930004
8,1.173539,0.875201,1.159124,0.880211,0.717985,0.655948,0.527945,0.537248,0.001000,0.405172,436.597655
9,1.115556,0.854450,1.130326,0.885930,0.716278,0.644565,0.588179,0.584277,0.001000,0.405319,436.801805
10,1.081104,0.850039,1.088169,0.870516,0.666762,0.562891,0.583047,0.559302,0.001000,0.405081,435.195752
11,1.053994,0.846910,1.058214,0.861164,0.736198,0.690097,0.497640,0.533137,0.001000,0.404974,436.905055
12,1.021243,0.833369,1.017813,0.838551,0.711725,0.653102,0.564570,0.569812,0.001000,0.405117,436.635403
13,0.999394,0.827313,1.016176,0.849899,0.736198,0.691235,0.503866,0.521087,0.001000,0.405454,436.420389
14,0.977201,0.817236,0.993466,0.840090,0.731360,0.681844,0.590370,0.594377,0.001000,0.405319,436.838401
15,0.964892,0.816813,0.997533,0.853386,0.737906,0.701480,0.565229,0.581903,0.001000,0.405103,437.042544
16,0.952077,0.812038,0.946212,0.810558,0.732783,0.676437,0.601674,0.603268,0.001000,0.405321,436.594168
17,0.937316,0.805275,0.963935,0.834915,0.722823,0.667331,0.589463,0.590199,0.001000,0.405439,436.745912
18,0.930170,0.804043,0.953756,0.829980,0.731360,0.706602,0.575528,0.594394,0.001000,0.405331,436.249073
19,0.911901,0.791946,0.923875,0.807077,0.744451,0.719124,0.549237,0.584473,0.001000,0.405377,436.038328
20,0.900537,0.786473,0.916263,0.805081,0.731360,0.681559,0.612356,0.614875,0.001000,0.405132,434.801881
21,0.899176,0.790092,0.925912,0.819304,0.737621,0.706602,0.588353,0.602620,0.001000,0.405294,434.313851
22,0.888065,0.783195,0.905144,0.802569,0.746443,0.704326,0.626337,0.639263,0.001000,0.405150,434.180239
23,0.881116,0.780623,0.898798,0.800134,0.734206,0.686113,0.630113,0.636180,0.001000,0.405316,433.636273
24,0.873462,0.776353,0.906739,0.811438,0.752703,0.721685,0.555737,0.582778,0.001000,0.405351,433.529785
25,0.865624,0.771776,0.889021,0.796152,0.731076,0.670176,0.621313,0.623564,0.001000,0.405303,434.330961
26,0.862328,0.771315,0.899550,0.809868,0.742174,0.703756,0.619997,0.624833,0.001000,0.405206,433.732099
27,0.857441,0.768805,0.880800,0.793554,0.750142,0.719124,0.613088,0.631153,0.001000,0.405325,434.179976
28,0.849291,0.763661,0.871028,0.786962,0.737621,0.682982,0.630805,0.623932,0.001000,0.405339,433.842689
29,0.844196,0.761055,0.865382,0.783006,0.725100,0.668469,0.615835,0.620359,0.001000,0.405319,434.186452
30,0.842879,0.761332,0.855745,0.775197,0.745304,0.692373,0.608419,0.615242,0.001000,0.405208,433.922265
31,0.835108,0.755786,0.845913,0.767771,0.760672,0.742459,0.609720,0.625088,0.001000,0.405229,432.394328
32,0.829984,0.752614,0.848574,0.772243,0.753273,0.719408,0.616165,0.626577,0.001000,0.404964,431.177653
33,0.828437,0.752908,0.843756,0.768990,0.754411,0.712863,0.626598,0.633527,0.001000,0.405039,430.771747
34,0.825195,0.751234,0.844741,0.771551,0.759249,0.729653,0.633976,0.643668,0.001000,0.405135,434.426141
35,0.822120,0.749586,0.838866,0.767006,0.702618,0.641150,0.621811,0.609070,0.001000,0.405121,434.534333
36,0.817364,0.746146,0.845766,0.775098,0.743882,0.699488,0.636225,0.633279,0.001000,0.405188,434.745666
37,0.818406,0.748106,0.847303,0.777423,0.759249,0.731645,0.631227,0.638666,0.001000,0.405091,434.610693
38,0.812858,0.743631,0.833408,0.764856,0.761241,0.729368,0.651052,0.656347,0.001000,0.404788,434.662616
39,0.808098,0.740124,0.854797,0.787151,0.729084,0.680990,0.634857,0.636311,0.001000,0.404955,434.713837
40,0.804668,0.737423,0.832049,0.765360,0.758680,0.710586,0.647267,0.651031,0.001000,0.405171,434.171227
41,0.803100,0.736772,0.819542,0.753701,0.756118,0.711155,0.667324,0.660530,0.001000,0.405270,434.134800
42,0.798374,0.732847,0.850903,0.785692,0.745874,0.692089,0.644245,0.634763,0.001000,0.405084,434.590066
43,0.797416,0.732506,0.814882,0.750218,0.750142,0.697780,0.675853,0.662618,0.001000,0.405572,433.507500
44,0.794332,0.730093,0.816146,0.752214,0.743312,0.698919,0.662877,0.653700,0.001000,0.405644,434.284927
45,0.792839,0.729167,0.840700,0.777161,0.739898,0.698634,0.655663,0.647733,0.001000,0.405762,435.294975
46,0.793954,0.730762,0.826446,0.763637,0.739898,0.687536,0.640318,0.644720,0.001000,0.405656,435.349182
47,0.788636,0.725971,0.808865,0.746574,0.772055,0.749858,0.655132,0.663777,0.001000,0.405612,434.493479
