epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.977153,1.128906,1.903305,1.059298,0.667046,0.522482,0.191781,0.233436,0.000100,0.103036,586.690932
2,1.891074,1.052064,1.866205,1.032462,0.621799,0.478372,0.269791,0.283205,0.000100,0.095539,343.631120
3,1.847751,1.019602,1.831293,1.008912,0.708879,0.620945,0.237379,0.302907,0.000100,0.095617,344.165966
4,1.817764,1.001391,1.829033,1.018815,0.700911,0.615538,0.302410,0.324623,0.000100,0.095605,342.925693
5,1.790913,0.987038,1.785165,0.987777,0.665908,0.546670,0.337654,0.340186,0.000100,0.095602,343.385544
6,1.762799,0.971985,1.761203,0.977082,0.710586,0.620091,0.316507,0.349758,0.000100,0.095536,343.374126
7,1.739270,0.961923,1.742147,0.971687,0.693227,0.599032,0.358284,0.370941,0.000100,0.095549,343.685936
8,1.715460,0.951943,1.728426,0.971949,0.682129,0.579112,0.414643,0.421379,0.000100,0.095670,344.679612
9,1.692463,0.943039,1.703188,0.960922,0.705464,0.631190,0.341508,0.383703,0.000100,0.095582,343.749677
10,1.671594,0.936499,1.697870,0.970014,0.669892,0.539271,0.428970,0.418477,0.000100,0.095555,343.132759
11,1.651788,0.931125,1.655864,0.942472,0.696927,0.601594,0.383790,0.404389,0.000100,0.095715,344.117435
12,1.632872,0.926714,1.648775,0.949909,0.659932,0.551508,0.425744,0.426100,0.000100,0.095691,343.067418
13,1.607865,0.916240,1.630808,0.946465,0.691235,0.603870,0.385791,0.403032,0.000100,0.095767,344.749102
14,1.589597,0.912500,1.609079,0.939287,0.703472,0.636881,0.403955,0.421433,0.000100,0.095694,343.379675
15,1.569369,0.906778,1.585497,0.930161,0.715709,0.643995,0.371019,0.410440,0.000100,0.095757,343.759315
16,1.548697,0.900471,1.561184,0.920113,0.695504,0.599317,0.443839,0.459558,0.000100,0.095719,343.860129
17,1.535473,0.901446,1.556620,0.929648,0.699488,0.603870,0.423909,0.446309,0.000100,0.095581,343.210117
18,1.511283,0.891214,1.535379,0.922227,0.714001,0.659363,0.429306,0.458036,0.000100,0.095816,343.911830
19,1.491065,0.884701,1.526169,0.926608,0.697780,0.622368,0.445589,0.459228,0.000100,0.095743,344.845141
20,1.475123,0.882196,1.512960,0.926673,0.701480,0.639727,0.456862,0.477895,0.000100,0.095690,343.867999
21,1.458853,0.879052,1.498734,0.925404,0.705748,0.645134,0.448768,0.472858,0.000100,0.095587,343.478576
22,1.442650,0.875630,1.470280,0.909560,0.714001,0.641150,0.453346,0.484291,0.000100,0.095687,344.043965
23,1.426862,0.872271,1.466050,0.917555,0.687820,0.608139,0.488542,0.499681,0.000100,0.095760,344.136164
24,1.406215,0.863643,1.452138,0.915494,0.702334,0.615538,0.451839,0.469796,0.000100,0.095768,345.097085
25,1.396474,0.865540,1.418734,0.893476,0.700911,0.618953,0.507507,0.506159,0.000100,0.095647,344.109092
26,1.376447,0.856758,1.402330,0.888168,0.695504,0.622937,0.492071,0.500738,0.000100,0.095753,344.978426
27,1.361525,0.852668,1.397329,0.893769,0.724530,0.674445,0.463467,0.494952,0.000100,0.095661,344.355585
28,1.348230,0.849810,1.379000,0.885705,0.725953,0.659363,0.452793,0.488609,0.000100,0.095667,344.452408
29,1.337481,0.849152,1.371711,0.888321,0.722254,0.668184,0.482456,0.495311,0.000100,0.095761,345.646670
30,1.324937,0.846342,1.364608,0.890790,0.716562,0.645703,0.456752,0.481612,0.000100,0.095753,344.005295
31,1.311754,0.842539,1.345872,0.881246,0.721116,0.664200,0.460901,0.496686,0.000100,0.095869,344.562297
32,1.295763,0.835617,1.331683,0.875976,0.715139,0.643142,0.502883,0.520908,0.000100,0.095693,344.293802
33,1.287302,0.835923,1.315416,0.868340,0.718554,0.652533,0.509569,0.517798,0.000100,0.095788,344.395188
34,1.272650,0.829739,1.334446,0.895670,0.737052,0.692089,0.459096,0.485821,0.000100,0.095778,344.855554
35,1.264090,0.829287,1.301531,0.870692,0.710017,0.641434,0.503519,0.521376,0.000100,0.095814,344.374588
36,1.251261,0.824278,1.307650,0.884472,0.719693,0.659647,0.491585,0.504085,0.000100,0.095814,344.639624
37,1.243059,0.823587,1.284603,0.868783,0.722538,0.660216,0.517986,0.536784,0.000100,0.095719,344.563524
38,1.229252,0.816971,1.282374,0.873631,0.718554,0.663062,0.521120,0.532979,0.000100,0.095843,344.381758
