epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.963881,1.126374,1.837799,1.039450,0.671599,0.567445,0.316191,0.338789,0.001000,0.077075,486.163428
2,1.757548,1.008809,1.682336,0.985084,0.689243,0.588503,0.342989,0.366059,0.001000,0.076395,356.769200
3,1.615964,0.969117,1.574622,0.976946,0.734491,0.677575,0.232827,0.303815,0.001000,0.077289,357.309724
4,1.494403,0.942322,1.457426,0.949045,0.693796,0.619237,0.416125,0.433858,0.001000,0.077283,356.605776
5,1.396788,0.927700,1.372701,0.940924,0.589072,0.468697,0.459701,0.432496,0.001000,0.077366,356.666474
6,1.295381,0.896361,1.272082,0.904028,0.721400,0.660216,0.467575,0.496913,0.001000,0.077226,356.615601
7,1.217269,0.876156,1.187116,0.871357,0.730222,0.665339,0.501498,0.517723,0.001000,0.077389,356.950047
8,1.157416,0.863997,1.154921,0.881953,0.711440,0.624929,0.526875,0.536200,0.001000,0.077452,357.015448
9,1.103526,0.848786,1.115760,0.878054,0.716847,0.643426,0.576518,0.581260,0.001000,0.077346,356.974381
10,1.063862,0.840655,1.082053,0.872835,0.691520,0.589926,0.559641,0.548997,0.001000,0.077322,356.835861
11,1.034805,0.837201,1.054105,0.867515,0.731076,0.673591,0.476090,0.513161,0.001000,0.077317,355.724426
12,1.002921,0.826047,0.992417,0.824414,0.713717,0.636881,0.571677,0.566444,0.001000,0.077184,355.801941
13,0.980073,0.819986,0.994910,0.841709,0.738759,0.696357,0.517728,0.538742,0.001000,0.077086,356.804916
14,0.956109,0.809709,0.983189,0.843355,0.728515,0.666762,0.573267,0.573641,0.001000,0.077122,356.597269
15,0.943617,0.808949,0.981686,0.851808,0.731929,0.685544,0.539963,0.568859,0.001000,0.077241,357.061578
16,0.931573,0.805491,0.936937,0.815246,0.733637,0.671315,0.568807,0.584263,0.001000,0.077321,357.172031
17,0.912652,0.794641,0.924264,0.809759,0.727945,0.669892,0.602693,0.612197,0.001000,0.077170,356.548762
18,0.904705,0.793317,0.938178,0.829392,0.743028,0.716278,0.559630,0.583797,0.001000,0.077002,356.473186
19,0.895710,0.789820,0.895707,0.792016,0.738759,0.694365,0.579018,0.600871,0.001000,0.077024,357.272322
1,0.890730,0.788905,0.907478,0.809494,0.741320,0.700341,0.597069,0.607896,0.001000,0.104166,600.531004
2,0.875858,0.780654,0.879009,0.786646,0.740182,0.667900,0.609964,0.604600,0.001000,0.097191,357.239188
3,0.865156,0.774629,0.881851,0.793373,0.739044,0.703187,0.594279,0.617831,0.001000,0.097302,347.256625
4,0.861664,0.775269,0.890346,0.805123,0.740182,0.703756,0.583290,0.599210,0.001000,0.097219,347.452877
5,0.854179,0.770395,0.862064,0.779813,0.741605,0.674445,0.656703,0.650696,0.001000,0.097230,347.056558
6,0.849005,0.767981,0.867712,0.788004,0.749858,0.708594,0.582528,0.601486,0.001000,0.097137,347.040973
7,0.841219,0.762219,0.853521,0.775604,0.747581,0.704041,0.613007,0.622651,0.001000,0.097097,347.651774
8,0.838162,0.761446,0.852071,0.776319,0.739044,0.692089,0.633783,0.630734,0.001000,0.097202,347.591328
9,0.831725,0.756782,0.854427,0.780349,0.758110,0.725100,0.585112,0.605593,0.001000,0.097118,347.543347
10,0.831303,0.757712,0.862324,0.789497,0.740751,0.675014,0.654349,0.649379,0.001000,0.097001,349.546160
11,0.825366,0.752987,0.850882,0.779139,0.739328,0.698634,0.602056,0.626365,0.001000,0.097046,346.705718
