epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.054939,200.361832,1.116180,0.075359,0.732214,0.566875,0.265875,0.302349,0.001000,480.584216
2,0.722515,1.718706,0.933378,0.073164,0.746727,0.696642,0.185335,0.281477,0.001000,528.243896
3,0.581241,1.331689,1.255930,0.086818,0.746158,0.737906,0.031204,0.092696,0.001000,542.599894
4,0.507491,1.160708,0.877449,0.084856,0.724246,0.400398,0.458205,0.412508,0.001000,492.128639
5,0.457571,1.019228,0.889183,0.072519,0.760672,0.739898,0.252320,0.346990,0.001000,461.678850
6,0.421658,1.015389,0.784346,0.072306,0.752703,0.745589,0.139492,0.270139,0.001000,437.058585
7,0.396980,0.975330,0.781389,0.070641,0.758964,0.747012,0.207200,0.316898,0.001000,439.591201
8,0.378969,0.955202,0.694644,0.061266,0.775470,0.574274,0.494512,0.523908,0.001000,441.001623
9,0.362694,0.924406,0.750339,0.064416,0.769209,0.751850,0.303754,0.407564,0.001000,440.444490
10,0.353028,0.780648,0.813186,0.078433,0.731645,0.412351,0.534092,0.515331,0.001000,471.513106
11,0.344660,1.098870,0.866570,0.071350,0.741036,0.484348,0.333045,0.358523,0.001000,479.484902
12,0.335597,0.984435,0.667830,0.056954,0.787706,0.667615,0.553210,0.598865,0.001000,441.753467
13,0.326265,0.881944,0.701896,0.061755,0.774616,0.572567,0.508293,0.542271,0.001000,440.363531
14,0.320595,1.164612,1.020576,0.098272,0.657655,0.346044,0.426290,0.406400,0.001000,445.588477
15,0.316384,0.776731,1.073525,0.073547,0.735629,0.619806,0.443651,0.451545,0.001000,441.187427
16,0.308572,0.854145,0.741153,0.067473,0.763233,0.411497,0.548386,0.500797,0.001000,439.449332
17,0.304112,0.728521,0.661053,0.055768,0.787991,0.734775,0.477693,0.541565,0.001000,440.859652
18,0.302645,0.791702,0.674816,0.057057,0.789983,0.756118,0.479067,0.528341,0.001000,444.316696
19,0.296878,0.716163,0.738998,0.060936,0.766932,0.651110,0.575909,0.590477,0.001000,436.799781
20,0.295233,0.757563,0.790167,0.073381,0.724530,0.486625,0.534225,0.524094,0.001000,436.785279
21,0.292434,0.713170,0.663517,0.054019,0.798520,0.752703,0.580317,0.613277,0.001000,441.847529
22,0.289440,0.724443,0.862781,0.072019,0.762948,0.752703,0.305808,0.352000,0.001000,439.752385
23,0.287110,0.731991,0.632891,0.052589,0.796813,0.701480,0.531864,0.591278,0.001000,441.752285
24,0.285861,0.690707,0.635233,0.053272,0.793682,0.752703,0.518876,0.584010,0.001000,442.229129
25,0.284607,0.715680,0.624079,0.052009,0.797382,0.684690,0.573608,0.623406,0.001000,443.030324
26,0.282033,0.651755,0.693446,0.060814,0.775754,0.566306,0.516195,0.510945,0.001000,444.005456
27,0.282088,0.721213,0.629731,0.052507,0.790837,0.753273,0.543003,0.621692,0.001000,442.895031
28,0.277506,0.666356,0.638739,0.052692,0.801366,0.638304,0.643808,0.645688,0.001000,445.448843
29,0.277832,0.672533,0.649179,0.054291,0.791406,0.751565,0.526028,0.590293,0.001000,444.485001
30,0.277158,0.664319,0.667215,0.057241,0.778031,0.599317,0.599474,0.609724,0.001000,444.667713
31,0.276787,0.670105,0.752967,0.068274,0.744451,0.475242,0.534187,0.501440,0.001000,444.278357
32,0.274401,0.660978,0.635954,0.051877,0.792829,0.753273,0.557290,0.621013,0.001000,436.481758
33,0.274572,0.691292,0.747303,0.061735,0.781730,0.763517,0.439086,0.499989,0.001000,444.909447
34,0.275003,0.686651,0.630281,0.051687,0.801366,0.660785,0.617058,0.646650,0.001000,444.867813
35,0.271935,0.674718,0.604989,0.049123,0.805635,0.726807,0.608433,0.646865,0.001000,444.579701
36,0.271174,0.655430,0.689539,0.059983,0.776608,0.556061,0.613830,0.604086,0.001000,444.056228
37,0.271684,0.659445,0.615928,0.050073,0.804496,0.754696,0.587186,0.634331,0.001000,446.209771
38,0.270983,0.663227,0.636229,0.052743,0.795959,0.643995,0.619460,0.640648,0.001000,445.262181
39,0.269214,0.656016,0.711044,0.056753,0.793398,0.772055,0.542649,0.572113,0.001000,444.585006
40,0.267670,0.644003,0.633811,0.052150,0.795674,0.750996,0.544150,0.605501,0.001000,438.281370
41,0.267025,0.704833,0.679685,0.058056,0.782299,0.681275,0.576946,0.642712,0.001000,443.215919
42,0.268140,0.642775,0.634728,0.052342,0.801651,0.766079,0.543794,0.581129,0.001000,441.581599
43,0.266305,0.653439,0.620246,0.051052,0.799659,0.718839,0.548296,0.620907,0.001000,436.568014
44,0.264780,0.636751,0.614093,0.050454,0.804496,0.674445,0.631284,0.652329,0.001000,439.216941
45,0.264576,0.649844,0.617864,0.051203,0.799943,0.693512,0.625581,0.666348,0.001000,444.265339
46,0.267596,0.645240,0.613326,0.050022,0.806488,0.694935,0.593758,0.624957,0.001000,443.946862
47,0.264331,0.655653,0.854520,0.080244,0.688105,0.421172,0.493892,0.482034,0.001000,443.610667
48,0.263434,0.639609,0.650195,0.054698,0.791121,0.595902,0.627724,0.631847,0.001000,439.233257
49,0.263789,0.667774,0.609725,0.049957,0.805635,0.686966,0.601778,0.630782,0.001000,443.456731
50,0.261309,0.620091,0.639229,0.052881,0.792829,0.673591,0.624869,0.638706,0.001000,441.248427
