epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.268865,3.625455,1.187780,0.129683,0.481218,0.122368,0.168282,0.130955,0.010000,432.183325
2,1.219590,0.978442,1.725856,0.233243,0.297382,0.110131,0.114104,0.083243,0.010000,419.962867
3,1.195429,0.994143,0.793393,0.071507,0.745020,0.648833,0.193071,0.350917,0.010000,421.857848
4,1.177150,0.957786,0.931104,0.095199,0.684690,0.346044,0.384572,0.320511,0.010000,423.612625
5,1.163651,1.074571,2.324347,0.282653,0.176722,0.073421,0.112169,0.067929,0.010000,423.499042
6,1.147231,0.962910,1.071463,0.085183,0.747866,0.741890,0.078742,0.136173,0.010000,423.829475
7,1.134410,0.981316,0.936960,0.080954,0.747866,0.736767,0.083318,0.176853,0.010000,423.451487
8,1.124469,0.968480,0.742064,0.066444,0.755265,0.617245,0.361868,0.446749,0.010000,423.848316
9,1.110858,0.958671,0.774273,0.070353,0.736767,0.545817,0.409019,0.459948,0.010000,419.837631
10,1.099770,0.914583,0.752515,0.069092,0.747012,0.582242,0.396818,0.468687,0.010000,419.079715
11,1.088542,0.985222,1.253448,0.152564,0.497723,0.207740,0.283549,0.242100,0.010000,418.978688
12,1.076194,0.971084,0.775061,0.071570,0.739898,0.498862,0.459416,0.453765,0.010000,418.690421
13,1.067658,0.926169,0.914523,0.095197,0.675583,0.309619,0.427096,0.361215,0.010000,419.083619
14,1.056123,0.937517,0.722826,0.065050,0.761241,0.601024,0.463495,0.496149,0.010000,418.894967
15,1.045448,0.970499,0.729896,0.064692,0.756403,0.597040,0.449278,0.471510,0.010000,419.120803
16,1.033808,0.844783,0.744774,0.063939,0.766648,0.704610,0.386579,0.464338,0.010000,419.005563
17,1.027718,0.861541,0.807541,0.069117,0.760387,0.736198,0.295473,0.370434,0.010000,419.408031
18,1.015588,0.846987,0.923425,0.073841,0.757826,0.737336,0.274853,0.325395,0.010000,419.192137
19,1.004998,0.838003,0.947930,0.097655,0.637166,0.352305,0.394905,0.395405,0.010000,420.445159
20,0.995946,0.819507,0.720170,0.062262,0.764656,0.649118,0.478270,0.517131,0.010000,423.432027
21,0.986346,0.831184,0.749321,0.064431,0.765509,0.718839,0.361523,0.425034,0.010000,424.230517
22,0.975274,0.819431,0.740592,0.063149,0.773762,0.728799,0.412707,0.473295,0.010000,422.966231
23,0.966235,0.785914,1.051036,0.108338,0.581673,0.299374,0.360449,0.358612,0.010000,423.420021
24,0.956149,0.758464,0.930654,0.092621,0.660216,0.397268,0.456099,0.439798,0.010000,423.753627
25,0.946281,0.754452,0.688856,0.060823,0.768640,0.648833,0.519355,0.565882,0.010000,423.509271
26,0.936986,0.737604,0.684639,0.058041,0.779169,0.706602,0.443824,0.520869,0.010000,423.714228
27,0.926791,0.772736,0.795648,0.064185,0.771770,0.752134,0.399006,0.453038,0.010000,423.299949
28,0.920468,0.723741,0.686620,0.059125,0.774616,0.603017,0.557877,0.580986,0.010000,423.670554
29,0.910418,0.735727,0.669875,0.056802,0.782584,0.732499,0.487310,0.549821,0.010000,423.225187
30,0.902502,0.728702,0.691632,0.060313,0.769493,0.618384,0.545959,0.571241,0.010000,423.328921
31,0.893119,0.715952,0.670985,0.056932,0.777462,0.686966,0.543702,0.592932,0.010000,423.171524
32,0.886187,0.724806,0.654274,0.054452,0.791121,0.685544,0.587713,0.603980,0.010000,423.356118
33,0.880736,0.730204,0.776783,0.063506,0.776039,0.745304,0.390000,0.425587,0.010000,423.081988
34,0.873010,0.690825,0.663105,0.056156,0.784861,0.634889,0.580195,0.595935,0.010000,423.481326
35,0.863674,0.683236,0.691595,0.056363,0.787991,0.745020,0.534030,0.581232,0.010000,423.141804
36,0.857896,0.729750,0.664071,0.054505,0.789983,0.743597,0.537348,0.600492,0.010000,423.231202
37,0.851130,0.685588,0.673195,0.055175,0.791690,0.725669,0.520453,0.559016,0.010000,422.762388
38,0.843928,0.685338,0.747358,0.060151,0.780307,0.760956,0.457525,0.505709,0.010000,423.207321
39,0.837311,0.667979,0.769162,0.062522,0.782584,0.758110,0.460556,0.503154,0.010000,422.818292
40,0.830260,0.700773,0.663246,0.055090,0.793398,0.745589,0.523646,0.563847,0.010000,422.826227
41,0.823045,0.700792,0.652386,0.055227,0.785430,0.636312,0.588479,0.620943,0.010000,423.013598
42,0.816488,0.695861,0.848059,0.069436,0.769778,0.757257,0.302493,0.344521,0.010000,422.900981
43,0.809493,0.684773,0.683960,0.059633,0.772908,0.627205,0.581971,0.613248,0.010000,423.077006
44,0.803113,0.651551,0.656473,0.056197,0.788560,0.631190,0.616303,0.631667,0.010000,422.817729
45,0.797211,0.684967,0.644016,0.052882,0.793398,0.744735,0.575217,0.630382,0.010000,423.265378
46,0.789258,0.665907,0.628550,0.051922,0.801081,0.662208,0.602402,0.624092,0.010000,421.713083
47,0.784681,0.686062,0.662223,0.053061,0.794252,0.739044,0.580818,0.616038,0.010000,418.560414
48,0.781485,0.677115,0.624291,0.050615,0.804212,0.732783,0.611125,0.627666,0.010000,418.397261
49,0.773180,0.643266,0.755132,0.072423,0.747297,0.578543,0.508137,0.551363,0.010000,419.699615
50,0.767978,0.654866,0.657715,0.056359,0.783153,0.620945,0.573046,0.604871,0.010000,418.109453
51,0.761175,0.668818,0.650843,0.054387,0.789129,0.604155,0.610826,0.626223,0.010000,418.415442
52,0.755185,0.660700,0.719685,0.058398,0.787991,0.758964,0.494281,0.531052,0.010000,418.242237
53,0.748927,0.686011,0.886911,0.087392,0.669892,0.376209,0.492700,0.498664,0.010000,418.568341
54,0.743662,0.660955,0.675523,0.056734,0.787422,0.741890,0.537947,0.600411,0.010000,418.351658
55,0.737990,0.652536,0.662435,0.054405,0.793113,0.761525,0.556977,0.603010,0.010000,418.237275
56,0.733600,0.655413,0.728604,0.057909,0.784861,0.764940,0.465433,0.518292,0.010000,421.187199
57,0.728749,0.649555,0.620840,0.050666,0.800797,0.750427,0.596095,0.643356,0.010000,422.795992
58,0.722114,0.653629,0.835151,0.078524,0.697780,0.503130,0.500621,0.532732,0.010000,423.052884
59,0.717555,0.652068,0.628941,0.051150,0.799089,0.737621,0.628267,0.653300,0.010000,422.710847
