epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.142585,1.405649,0.914201,0.990675,0.703187,0.470404,0.254913,0.245076,0.001000,0.421539,618.809137
2,0.797283,0.917573,0.685706,0.798008,0.755265,0.650825,0.258102,0.353428,0.001000,0.407240,553.715870
3,0.631621,0.820456,0.585496,0.787304,0.752988,0.670176,0.151386,0.308396,0.001000,0.407185,469.213238
4,0.542111,0.775365,0.516186,0.766080,0.750996,0.629197,0.345882,0.416614,0.001000,0.406998,461.614513
5,0.486098,0.762090,0.481829,0.762817,0.745874,0.511668,0.427484,0.441317,0.001000,0.406973,458.423757
6,0.444328,0.733690,0.428345,0.712976,0.757541,0.700057,0.356739,0.475134,0.001000,0.406982,459.907196
7,0.411799,0.711456,0.408514,0.700190,0.771485,0.689812,0.408903,0.483999,0.001000,0.406998,462.257413
8,0.389382,0.693231,0.395136,0.700040,0.771201,0.620945,0.505869,0.535872,0.001000,0.406948,449.872997
9,0.372296,0.685512,0.373879,0.678542,0.782015,0.712009,0.467976,0.550291,0.001000,0.406914,451.226296
10,0.362307,0.680024,0.381003,0.697386,0.752419,0.566306,0.506095,0.539496,0.001000,0.406949,456.002745
11,0.347473,0.666239,0.353832,0.672644,0.782015,0.706318,0.499268,0.557077,0.001000,0.407013,457.697376
12,0.341791,0.667028,0.337488,0.657534,0.789698,0.676722,0.565881,0.613288,0.001000,0.407130,460.624641
13,0.331500,0.657300,0.337603,0.657106,0.791121,0.698919,0.527203,0.582045,0.001000,0.407135,462.419584
14,0.324746,0.653200,0.332506,0.655087,0.787991,0.680706,0.557725,0.593303,0.001000,0.407110,457.576704
15,0.319749,0.654028,0.332230,0.661392,0.786568,0.688105,0.520474,0.563239,0.001000,0.407107,459.308229
16,0.312056,0.643807,0.317634,0.641974,0.797097,0.676437,0.569240,0.600487,0.001000,0.407119,454.049954
17,0.307816,0.642215,0.314726,0.639010,0.798236,0.687820,0.579380,0.611449,0.001000,0.407173,452.540693
18,0.306647,0.645039,0.314886,0.647225,0.793682,0.732783,0.563338,0.613792,0.001000,0.407217,452.387233
19,0.301595,0.635673,0.302422,0.630315,0.795959,0.710302,0.588145,0.641716,0.001000,0.407167,451.898758
20,0.299025,0.635109,0.310277,0.641875,0.788560,0.692373,0.584768,0.630338,0.001000,0.407250,453.958536
21,0.294764,0.631107,0.302136,0.636102,0.798236,0.728799,0.580231,0.627050,0.001000,0.407444,451.936553
22,0.292905,0.631856,0.301944,0.635905,0.796244,0.710586,0.589949,0.640019,0.001000,0.407449,453.637536
23,0.292855,0.630806,0.296887,0.629204,0.799089,0.689812,0.602889,0.641422,0.001000,0.407444,452.946846
24,0.288973,0.626880,0.303145,0.639120,0.795390,0.690666,0.563811,0.612880,0.001000,0.407491,452.103105
25,0.287811,0.627589,0.303027,0.639722,0.798236,0.693227,0.583112,0.617103,0.001000,0.407461,448.452271
26,0.283720,0.622034,0.296163,0.634019,0.799943,0.738759,0.554659,0.608772,0.001000,0.407573,450.940644
27,0.282720,0.622011,0.297627,0.637444,0.795390,0.720831,0.596807,0.640572,0.001000,0.407524,451.352577
28,0.281333,0.619634,0.288111,0.619961,0.802220,0.704610,0.604679,0.651802,0.001000,0.407633,453.864259
29,0.279721,0.617512,0.283350,0.614811,0.797666,0.670176,0.605164,0.647331,0.001000,0.407615,452.430547
30,0.279839,0.620402,0.286410,0.622150,0.792829,0.674730,0.598535,0.615019,0.001000,0.407546,449.742014
31,0.276985,0.616385,0.290897,0.627315,0.797666,0.748435,0.560444,0.606286,0.001000,0.407591,453.565471
32,0.276596,0.615777,0.277502,0.610428,0.808480,0.727661,0.628968,0.660768,0.001000,0.407522,452.226199
33,0.276996,0.615420,0.276278,0.607065,0.805350,0.737906,0.606032,0.647211,0.001000,0.407633,453.080231
34,0.275147,0.613774,0.283521,0.620673,0.807911,0.729937,0.594951,0.639274,0.001000,0.407742,456.196450
35,0.273020,0.611784,0.283711,0.620595,0.802220,0.712863,0.623784,0.657492,0.001000,0.407686,459.882286
36,0.272978,0.611691,0.282619,0.620232,0.802220,0.741320,0.614188,0.654584,0.001000,0.407777,463.927835
37,0.271978,0.610775,0.276715,0.611023,0.810472,0.734491,0.602919,0.654540,0.001000,0.407748,463.973774
38,0.270815,0.610004,0.278727,0.608521,0.805065,0.741320,0.617151,0.665842,0.001000,0.407695,465.111882
