epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.576912,44.408978,16.452185,0.192466,0.073421,0.073136,0.005466,0.005219,0.001000,804.242716
2,1.242015,7.876523,2.716072,0.095613,0.541264,0.505122,0.234361,0.226196,0.001000,781.703287
1,1.052350,4.545045,2.320497,0.094089,0.573705,0.554069,0.271051,0.261371,0.001000,617.570795
2,0.956045,4.613827,2.470945,0.097986,0.537849,0.476096,0.261731,0.244529,0.001000,449.146772
3,0.910418,3.239514,2.430202,0.092507,0.570859,0.537849,0.283634,0.271121,0.001000,318.072042
4,0.873757,2.901411,1.499407,0.082131,0.714001,0.705464,0.232996,0.249815,0.001000,334.549305
5,0.848834,3.319162,1.270891,0.082830,0.732214,0.727661,0.165316,0.190408,0.001000,314.683615
6,0.821975,2.973348,1.271934,0.082487,0.738190,0.733068,0.138570,0.180288,0.001000,316.753622
7,0.728640,2.217251,0.859782,0.075725,0.742459,0.655378,0.051189,0.216152,0.001000,305.631473
8,0.646622,0.937715,1.016687,0.078564,0.753557,0.751281,0.188166,0.251821,0.001000,308.478125
9,0.616819,0.825773,0.777601,0.061866,0.772055,0.738475,0.401487,0.487964,0.001000,307.172366
10,0.603437,0.836639,0.788973,0.062209,0.762094,0.568298,0.551588,0.576046,0.001000,312.780883
11,0.593424,0.883132,0.747384,0.059636,0.768355,0.626921,0.476751,0.537042,0.001000,340.047393
12,0.582651,0.864487,0.936480,0.064100,0.766079,0.749858,0.466655,0.524365,0.001000,308.370556
13,0.571991,0.838104,0.735988,0.059920,0.778031,0.574843,0.532657,0.549088,0.001000,316.376857
14,0.564197,0.781322,0.740255,0.058863,0.770063,0.647695,0.533513,0.578892,0.001000,297.278300
15,0.562640,0.805277,0.783615,0.068855,0.769209,0.417758,0.519634,0.481485,0.001000,298.671262
16,0.552777,0.807118,0.753034,0.059585,0.772624,0.636027,0.440583,0.534853,0.001000,294.947600
17,0.542884,0.837517,0.896980,0.063191,0.774047,0.760387,0.365392,0.457119,0.001000,293.530080
18,0.543890,0.820817,0.749963,0.055387,0.787422,0.684690,0.551353,0.595940,0.001000,305.182439
19,0.536570,0.810807,0.760902,0.054491,0.783438,0.723961,0.510810,0.596878,0.001000,298.199406
20,0.529520,0.810192,0.788558,0.067924,0.763517,0.493739,0.567875,0.542008,0.001000,301.202736
21,0.530593,0.778246,0.799761,0.054984,0.785145,0.715993,0.558714,0.609970,0.001000,294.633767
22,0.522575,0.803223,0.774096,0.054653,0.782299,0.747297,0.524109,0.609783,0.001000,289.756637
23,0.524245,0.836142,0.782226,0.053083,0.794536,0.730507,0.562446,0.600531,0.001000,332.310135
24,0.523128,0.815049,0.790320,0.055386,0.787422,0.748150,0.488174,0.565085,0.001000,296.710492
25,0.518357,0.833019,0.718974,0.055300,0.793682,0.597325,0.603909,0.613456,0.001000,292.263691
26,0.511825,0.765959,0.713451,0.051942,0.795959,0.691520,0.569818,0.603473,0.001000,295.407126
27,0.510180,0.786977,0.841586,0.056539,0.787422,0.754126,0.517632,0.574479,0.001000,291.998026
28,0.509435,0.780098,0.729741,0.052149,0.795390,0.678145,0.632155,0.661038,0.001000,284.892685
1,0.507779,0.759822,0.809932,0.060270,0.784291,0.768071,0.410928,0.479621,0.001000,599.328025
2,0.503810,0.762808,0.730368,0.053870,0.789983,0.698349,0.587711,0.643837,0.001000,298.736050
3,0.501491,0.754940,0.813156,0.054652,0.795390,0.764087,0.520800,0.572772,0.001000,297.306609
4,0.494898,0.764530,0.712251,0.050447,0.799943,0.708025,0.611756,0.661002,0.001000,298.607403
5,0.495758,0.763083,0.741215,0.051907,0.792260,0.748435,0.575041,0.648027,0.001000,298.806060
6,0.494318,0.752366,0.717702,0.049970,0.799374,0.748435,0.613741,0.651407,0.001000,298.790871
