epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.983879,75.750412,56.619324,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,460.534875
2,1.906556,54.248863,51.238686,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,450.037184
3,1.836819,49.164989,46.715355,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,458.484749
4,1.773653,44.572598,42.704075,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,451.747101
5,1.716439,40.435482,38.456196,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,451.510365
6,1.664617,36.660503,34.845284,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,450.477330
7,1.617678,33.225590,31.682692,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,454.300744
8,1.575162,30.137157,28.381210,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,452.371889
9,1.536652,27.325882,25.814116,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,448.333578
10,1.501771,24.778349,23.422394,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,448.672172
11,1.470177,22.462311,21.365404,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,449.448385
12,1.441560,20.376734,19.336313,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,449.394342
13,1.415639,18.486174,17.472538,0.199140,0.067160,0.067160,0.000000,0.000000,0.100000,449.034281
14,1.392160,16.742367,15.852079,0.199139,0.067160,0.067160,0.000000,0.000000,0.100000,449.384437
15,1.370892,15.114026,14.259521,0.199138,0.067160,0.067160,0.000000,0.000000,0.100000,449.133537
16,1.351609,13.452828,12.588540,0.199122,0.067160,0.067160,0.000000,0.000000,0.100000,448.239636
17,1.112568,19.632151,1.300390,0.083130,0.712578,0.700341,0.128090,0.166628,0.100000,449.979057
18,0.958649,10.292466,31.757158,0.173981,0.141150,0.136027,0.051861,0.047417,0.100000,448.371358
19,0.923435,6.097116,3.911982,0.102344,0.485771,0.446784,0.247170,0.224890,0.100000,447.961309
20,0.904939,6.605565,1.994542,0.081351,0.697496,0.675299,0.218022,0.234913,0.100000,448.600908
21,0.885641,5.178639,4.562057,0.089471,0.652817,0.640296,0.269098,0.267990,0.100000,447.060093
22,0.872410,4.647246,3.241405,0.084021,0.686682,0.668184,0.268732,0.285231,0.100000,446.792691
23,0.861238,3.756483,3.790008,0.086011,0.653956,0.608708,0.300293,0.308301,0.100000,446.792729
24,0.847658,3.710097,3.351783,0.083954,0.681275,0.651679,0.271541,0.281392,0.100000,446.804669
25,0.837742,3.845715,1.830156,0.081299,0.721685,0.712863,0.210613,0.239040,0.100000,446.559178
26,0.825435,3.727142,4.445651,0.122509,0.387308,0.266079,0.203691,0.135943,0.100000,446.643515
27,0.813969,3.654075,2.136967,0.079851,0.717131,0.701764,0.250470,0.291416,0.100000,448.061280
28,0.802726,3.624870,2.730525,0.081317,0.671315,0.629482,0.334329,0.342853,0.100000,448.885798
29,0.796407,3.321945,1.660483,0.077508,0.725100,0.705464,0.265254,0.299344,0.100000,447.888049
30,0.723620,2.122551,1.018813,0.061915,0.764940,0.708025,0.391613,0.487417,0.100000,448.468650
31,0.641468,1.226743,0.981603,0.063353,0.768071,0.592487,0.550675,0.543298,0.100000,448.064198
32,0.621836,1.113808,1.086364,0.060468,0.776323,0.726522,0.444291,0.511003,0.100000,447.921118
33,0.609941,1.048185,0.946162,0.061151,0.761810,0.688674,0.483187,0.548227,0.100000,447.791960
