epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.980549,84.080650,64.578682,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,500.704904
2,1.899179,60.693851,58.098965,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,399.980480
3,1.826231,54.710518,52.658070,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.414906
4,1.760527,49.353634,47.086788,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.554484
5,1.701347,44.488441,42.571083,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.379388
6,1.648044,40.099651,38.669575,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.547603
7,1.600033,36.174587,34.696705,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.621809
8,1.556790,32.628300,31.189728,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.719694
9,1.517841,29.423737,28.174517,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.447869
10,1.482759,26.542816,25.373686,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.683449
11,1.451161,23.941389,23.013607,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,400.456351
12,1.422700,21.603886,20.756855,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,400.375332
13,1.397066,19.484688,18.661072,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,400.398953
14,1.373976,17.580448,16.728525,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,400.402628
15,1.353178,15.822853,15.146714,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,400.622264
16,1.334439,14.139528,13.366042,0.201558,0.063140,0.063140,0.000000,0.000000,0.100000,400.491261
17,1.255584,60.222279,2.931368,0.097633,0.672355,0.672355,0.095619,0.095619,0.100000,400.587254
18,0.953920,9.442499,1.933771,0.090736,0.722981,0.723549,0.138096,0.138522,0.100000,400.766455
19,0.911607,5.739382,4.812158,0.096891,0.562571,0.551763,0.282074,0.288261,0.100000,400.684176
20,0.887736,4.975516,9.734128,0.121783,0.426621,0.399886,0.235176,0.225830,0.100000,400.660363
21,0.873228,3.703120,8.261592,0.129201,0.372582,0.288396,0.210436,0.151278,0.100000,400.519149
22,0.856436,3.620711,5.085823,0.098941,0.581911,0.538680,0.295351,0.269139,0.100000,400.623652
23,0.847101,3.718498,3.759459,0.089130,0.652446,0.626280,0.276827,0.285114,0.100000,400.484471
24,0.833849,3.541122,5.006692,0.098566,0.565984,0.521615,0.289730,0.288232,0.100000,400.555448
25,0.827702,3.617998,5.516355,0.111435,0.472127,0.415813,0.259558,0.242426,0.100000,400.419844
26,0.815774,3.021556,2.356049,0.086215,0.668373,0.626849,0.283794,0.296692,0.100000,400.325349
27,0.810022,2.967617,2.713110,0.084952,0.673493,0.652446,0.293162,0.315649,0.100000,400.425465
28,0.803093,2.863232,3.504875,0.092369,0.629124,0.596132,0.317894,0.322242,0.100000,400.398970
