epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.980549,84.080650,1.973010,64.926224,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.315096,407.449544
2,1.899179,60.725471,1.896197,58.489956,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.292008,398.776476
3,1.826231,54.742279,1.827011,52.828732,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291671,399.671767
4,1.760527,49.372391,1.764696,47.436001,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291669,401.067042
5,1.701347,44.517662,1.708568,42.857727,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291584,401.290385
6,1.648044,40.122456,1.658013,38.778290,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291767,401.365351
7,1.600033,36.186176,1.612478,34.889523,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291582,401.534792
8,1.556790,32.645184,1.571465,31.402372,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291704,401.612822
9,1.517841,29.441948,1.534524,28.355402,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291911,401.509813
10,1.482759,26.558170,1.501252,25.541693,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291835,401.582037
11,1.451161,23.954697,1.471283,23.119495,0.201563,0.063140,0.063140,0.000000,0.000000,0.100000,0.291615,401.652350
12,1.422700,21.613894,1.444290,20.849150,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,0.291441,401.392226
13,1.397066,19.493505,1.419977,18.779997,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,0.291709,401.561399
14,1.373976,17.590172,1.398078,16.875702,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,0.291661,401.452617
15,1.353178,15.834587,1.378351,15.222426,0.201562,0.063140,0.063140,0.000000,0.000000,0.100000,0.291772,401.476924
16,1.334439,14.146100,1.360567,13.420753,0.201558,0.063140,0.063140,0.000000,0.000000,0.100000,0.291902,401.734016
17,1.249801,21.087572,1.049384,2.198811,0.091109,0.707622,0.705916,0.099124,0.102158,0.100000,0.291818,401.617841
18,0.946653,8.004245,0.976065,4.253997,0.094418,0.613766,0.607509,0.256327,0.262676,0.100000,0.291803,401.594131
19,0.911593,6.352786,0.948144,3.922761,0.087731,0.671217,0.666098,0.267412,0.273784,0.100000,0.291705,401.571506
20,0.886607,4.911318,0.939073,7.149072,0.108366,0.514221,0.487486,0.263180,0.258429,0.100000,0.291420,401.759298
21,0.873203,4.384737,0.922255,4.125761,0.097357,0.588168,0.519909,0.277762,0.273442,0.100000,0.291872,401.991209
22,0.857468,3.708750,0.895717,2.825613,0.088622,0.644482,0.583049,0.299079,0.296184,0.100000,0.291665,401.577020
23,0.844188,3.548945,0.911792,3.266436,0.086918,0.683732,0.663254,0.267281,0.275689,0.100000,0.291662,401.573195
24,0.833634,3.514650,0.885468,2.372943,0.085171,0.701365,0.691695,0.248964,0.275238,0.100000,0.291833,401.587697
25,0.820853,3.686955,0.859330,2.557523,0.092900,0.587600,0.527873,0.302894,0.284321,0.100000,0.291674,401.714413
26,0.805507,3.213732,0.836617,2.511619,0.081188,0.699090,0.664391,0.308964,0.333456,0.100000,0.291801,401.770657
27,0.797504,2.994741,0.836594,3.167730,0.082775,0.686007,0.656997,0.337526,0.358021,0.100000,0.291814,401.637255
28,0.787735,2.640563,0.688684,1.142734,0.063671,0.759954,0.683163,0.434072,0.516547,0.100000,0.291512,402.897302
29,0.652021,1.424134,0.637301,1.018675,0.060079,0.762230,0.699090,0.530417,0.580744,0.100000,0.291612,404.421556
30,0.622080,1.093585,0.654521,1.215046,0.079603,0.705347,0.529579,0.532187,0.521405,0.100000,0.291674,402.863935
31,0.607740,1.030512,0.657243,1.034059,0.081122,0.711604,0.398749,0.550641,0.494560,0.100000,0.291819,401.502242
32,0.601499,1.001033,0.643033,0.866281,0.063836,0.762230,0.530717,0.552673,0.555605,0.100000,0.292405,402.115201
33,0.593581,1.052618,0.618356,1.028007,0.068580,0.724687,0.606371,0.584520,0.587555,0.100000,0.292072,404.426152
34,0.588710,0.967858,0.598742,0.889374,0.058138,0.769625,0.728100,0.509438,0.581602,0.100000,0.291871,402.192613
35,0.582237,0.934297,0.578840,0.802535,0.055681,0.778157,0.608077,0.591455,0.621935,0.100000,0.291911,401.902163
36,0.569067,0.900226,0.578562,0.827914,0.055894,0.773606,0.729807,0.557282,0.622496,0.100000,0.291725,401.752408
37,0.566729,0.883032,0.586988,0.859075,0.057373,0.774175,0.678043,0.621912,0.653272,0.100000,0.292185,401.949150
38,0.566090,0.879039,0.602323,0.798216,0.058118,0.763936,0.738339,0.493309,0.597873,0.100000,0.292172,407.012533
39,0.559135,0.876873,0.610860,0.834611,0.058170,0.767349,0.743458,0.539936,0.595377,0.100000,0.291655,406.638075
40,0.559774,0.850501,0.573789,0.781794,0.056034,0.769625,0.630262,0.607355,0.636033,0.100000,0.292097,406.664623
41,0.558535,0.837138,0.595369,0.744385,0.055543,0.775313,0.718999,0.544830,0.613690,0.100000,0.291791,408.423764
1,0.513019,0.738770,0.514310,0.720359,0.049824,0.787258,0.730944,0.639938,0.690340,0.010000,0.315893,412.498711
2,0.497611,0.745491,0.529522,0.750652,0.051036,0.784983,0.728669,0.634618,0.676017,0.010000,0.292370,401.212797
3,0.489867,0.749947,0.529265,0.764548,0.051373,0.785552,0.733220,0.638778,0.683778,0.010000,0.292690,401.892565
4,0.491944,0.751601,0.506695,0.755008,0.049402,0.787827,0.744596,0.649529,0.699789,0.010000,0.292486,402.930794
5,0.489045,0.748644,0.507730,0.756837,0.049375,0.789534,0.730944,0.653360,0.698775,0.010000,0.292546,403.340508
6,0.485234,0.751627,0.521713,0.745878,0.050238,0.783276,0.730944,0.636764,0.692449,0.010000,0.292540,403.436049
7,0.481814,0.754037,0.513085,0.751769,0.049751,0.791240,0.741752,0.653594,0.694102,0.010000,0.292291,402.508055
8,0.482196,0.759713,0.526899,0.772178,0.051634,0.778726,0.730944,0.625747,0.692082,0.010000,0.292109,404.235705
9,0.477256,0.755659,0.493724,0.747933,0.048583,0.792947,0.749716,0.655059,0.706077,0.010000,0.292643,403.559217
10,0.475198,0.749718,0.530448,0.747722,0.050918,0.787827,0.718999,0.631816,0.676076,0.010000,0.292545,402.757176
11,0.474802,0.753242,0.515983,0.746699,0.049376,0.790102,0.742890,0.642910,0.699109,0.010000,0.292329,403.174059
12,0.474693,0.767305,0.508619,0.765204,0.050491,0.788965,0.753129,0.629836,0.684734,0.010000,0.292640,405.742134
13,0.469941,0.758250,0.497653,0.773420,0.049168,0.793515,0.724687,0.685641,0.717123,0.010000,0.292326,406.844945
14,0.469825,0.761812,0.495357,0.745104,0.048198,0.794653,0.741752,0.673420,0.708081,0.010000,0.292442,406.133300
15,0.464110,0.763221,0.501630,0.749565,0.049055,0.790671,0.752560,0.643397,0.694156,0.010000,0.292513,406.116083
16,0.460811,0.768697,0.520615,0.807340,0.051085,0.786689,0.740614,0.635256,0.692247,0.010000,0.292766,406.125285
17,0.462723,0.768239,0.504569,0.782197,0.049763,0.790102,0.722412,0.661170,0.717279,0.010000,0.292925,405.754353
18,0.458943,0.768018,0.500815,0.753128,0.049073,0.792947,0.746303,0.646489,0.693459,0.010000,0.292857,405.635962
19,0.460075,0.757597,0.495373,0.770926,0.049079,0.791240,0.742321,0.652595,0.700866,0.010000,0.292546,406.247641
20,0.456934,0.767598,0.512039,0.764576,0.049381,0.795222,0.734926,0.657580,0.698205,0.010000,0.292455,405.958515
21,0.457319,0.766040,0.488753,0.776191,0.049052,0.789534,0.705347,0.686347,0.721027,0.010000,0.292786,406.054108
22,0.453511,0.770461,0.503578,0.791006,0.049574,0.790671,0.736064,0.648662,0.699419,0.010000,0.292256,407.734516
23,0.450716,0.757126,0.520201,0.804618,0.051098,0.792947,0.722981,0.666989,0.695546,0.010000,0.293003,407.894048
24,0.455204,0.772626,0.489984,0.796105,0.048846,0.794653,0.738339,0.683252,0.718194,0.010000,0.292343,405.678073
25,0.447614,0.770299,0.514842,0.761787,0.049713,0.793515,0.731513,0.646266,0.690024,0.010000,0.292388,406.541950
26,0.446168,0.764802,0.491775,0.743821,0.048757,0.793515,0.741752,0.654043,0.704823,0.010000,0.292532,407.401392
27,0.444414,0.770612,0.497269,0.771701,0.049622,0.796359,0.765074,0.644611,0.707625,0.010000,0.292537,406.980827
28,0.447533,0.761566,0.487474,0.791352,0.048696,0.789534,0.748009,0.656309,0.720433,0.010000,0.292091,406.725002
29,0.444988,0.762671,0.483236,0.772104,0.048506,0.795791,0.738908,0.677553,0.715640,0.010000,0.292486,406.066917
30,0.444540,0.763271,0.499442,0.758857,0.048970,0.798635,0.743458,0.677752,0.696775,0.010000,0.292961,406.238454
31,0.435840,0.767513,0.506148,0.768042,0.049185,0.801479,0.748009,0.676215,0.713231,0.010000,0.292565,407.246986
32,0.439710,0.773060,0.499279,0.792205,0.049222,0.799772,0.728100,0.687045,0.703900,0.010000,0.292501,406.797204
33,0.435571,0.767546,0.486079,0.791323,0.048358,0.798066,0.759954,0.669304,0.720661,0.010000,0.292544,405.915342
34,0.434490,0.769500,0.474886,0.788934,0.047941,0.796928,0.753129,0.657928,0.718299,0.010000,0.292523,406.155369
35,0.430825,0.777697,0.478980,0.801919,0.048761,0.792378,0.749147,0.675687,0.722840,0.010000,0.292710,406.862683
36,0.431588,0.774952,0.501865,0.822910,0.050879,0.788396,0.752560,0.637598,0.697942,0.010000,0.292510,406.464997
37,0.430455,0.777940,0.492511,0.816256,0.050106,0.787827,0.752560,0.665740,0.710654,0.010000,0.292446,406.610945
38,0.429176,0.769314,0.480141,0.786877,0.048707,0.797497,0.759954,0.657883,0.698570,0.010000,0.292487,406.901913
39,0.421159,0.775190,0.485546,0.801410,0.048492,0.798066,0.751991,0.679080,0.714433,0.010000,0.292500,406.417185
