epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.372967,21.524870,1.351351,20.800985,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.502810,476.672912
2,1.367580,21.468857,1.343066,20.600187,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470429,437.357525
3,1.359334,21.290438,1.334860,20.452503,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470452,437.367709
4,1.351168,21.055124,1.326734,20.246078,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470415,439.923732
5,1.343081,20.899101,1.318686,20.152288,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470117,440.467153
6,1.335073,20.714603,1.310716,19.940912,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470222,440.866772
7,1.327142,20.486992,1.302828,19.737293,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470404,441.045389
8,1.319294,20.351784,1.295019,19.464725,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470427,441.067311
9,1.311524,20.128139,1.287287,19.301464,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470733,441.188283
10,1.303828,19.983223,1.279628,19.226896,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470280,440.955002
11,1.296207,19.812416,1.272044,19.076738,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470469,440.925582
12,1.288659,19.615213,1.264533,18.836050,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470657,441.291254
13,1.281185,19.420080,1.257097,18.677219,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470362,440.868805
14,1.273788,19.243422,1.249738,18.527390,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470473,441.225943
15,1.266465,19.086000,1.242450,18.334120,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470550,440.815152
16,1.259213,18.912371,1.235234,18.173166,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470539,440.774325
17,1.252031,18.740982,1.228087,18.003052,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470503,440.819837
18,1.244918,18.597284,1.221009,17.833941,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470320,440.707795
19,1.237875,18.401478,1.214000,17.700075,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470430,440.874244
20,1.230900,18.244181,1.207063,17.456453,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470536,440.987744
21,1.223999,18.113766,1.200196,17.402117,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470445,441.130738
22,1.217165,17.932404,1.193395,17.333860,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470771,441.525799
23,1.210398,17.784319,1.186660,17.055027,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470471,440.577017
24,1.203695,17.599512,1.179990,16.960295,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470511,441.231843
25,1.197058,17.439835,1.173385,16.833130,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470334,441.233554
26,1.190484,17.292814,1.166844,16.673172,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470615,440.927740
27,1.183977,17.168783,1.160372,16.447174,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470776,440.792128
28,1.177538,17.014475,1.153964,16.313255,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470442,440.722098
29,1.171160,16.827089,1.147618,16.245449,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470460,440.642595
30,1.164844,16.691189,1.141333,16.059477,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470613,441.146188
31,1.158590,16.533846,1.135109,15.852601,0.101588,0.745304,0.745304,0.000000,0.000000,0.010000,0.470607,440.581918
