epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.120768,2.745186,1.911155,1.106131,0.096501,0.535287,0.260102,0.327876,0.241488,0.010000,0.827088,988.259834
2,1.827469,1.230480,1.859072,1.179272,0.105837,0.494593,0.264087,0.357811,0.279329,0.010000,0.564335,852.003414
3,1.783537,1.225632,1.748243,0.921200,0.073112,0.703756,0.566591,0.337094,0.391266,0.010000,0.564220,858.559906
4,1.755904,1.223823,1.757936,0.988007,0.081856,0.640581,0.480933,0.433894,0.408907,0.010000,0.563712,851.954343
5,1.728041,1.218009,1.712555,0.991494,0.082560,0.620660,0.449061,0.435446,0.395758,0.010000,0.563797,860.461540
6,1.704604,1.148631,1.792579,0.960072,0.078842,0.655663,0.450484,0.470865,0.418062,0.010000,0.563623,859.639944
7,1.689398,1.095040,1.702038,0.925532,0.069597,0.729368,0.680421,0.367029,0.406401,0.010000,0.564239,853.152928
8,1.668638,1.109733,1.682051,0.886913,0.068134,0.725953,0.651110,0.433326,0.466489,0.010000,0.564622,838.089535
9,1.645155,1.113655,1.662373,0.910830,0.068663,0.733637,0.683552,0.400764,0.441811,0.010000,0.563849,842.639314
10,1.627120,1.004717,1.641709,0.862907,0.066758,0.715993,0.644280,0.485028,0.509914,0.010000,0.564597,834.640299
11,1.607994,1.061930,1.611998,0.935478,0.076803,0.643142,0.527888,0.507348,0.470207,0.010000,0.564259,864.078527
12,1.591484,0.971929,1.602600,0.902061,0.072279,0.671030,0.548947,0.564649,0.551590,0.010000,0.564184,841.289301
13,1.575724,0.949813,1.580352,0.839756,0.064867,0.712294,0.616961,0.558189,0.554112,0.010000,0.564065,888.047635
14,1.559924,0.941142,1.578943,0.833077,0.061880,0.737621,0.669892,0.519276,0.523001,0.010000,0.564180,836.451215
15,1.551209,0.908375,1.579283,0.826480,0.062115,0.733637,0.662493,0.524440,0.547749,0.010000,0.564220,849.210187
16,1.533310,0.960069,1.537709,0.854610,0.066923,0.682698,0.566306,0.584490,0.550943,0.010000,0.564356,845.258972
17,1.523607,0.895099,1.549955,0.811512,0.060781,0.735913,0.675583,0.542239,0.557207,0.010000,0.564281,849.338560
18,1.513600,0.844319,1.517723,0.795786,0.059178,0.734491,0.683552,0.564103,0.581975,0.010000,0.564675,863.353912
19,1.498251,0.872889,1.518089,0.888949,0.071332,0.671884,0.550370,0.608695,0.567482,0.010000,0.564012,854.451503
20,1.489087,0.905536,1.507000,0.803070,0.060530,0.727092,0.653671,0.623758,0.609856,0.010000,0.563576,854.968566
21,1.481377,0.953917,1.503601,0.794660,0.059413,0.734491,0.672453,0.605738,0.611977,0.010000,0.564016,847.585227
22,1.468793,0.817101,1.475699,0.785437,0.057832,0.746443,0.703472,0.578565,0.600969,0.010000,0.563776,859.022397
23,1.460524,0.875680,1.468992,0.783300,0.057403,0.739613,0.702334,0.584572,0.621352,0.010000,0.564208,848.200602
24,1.448244,0.838454,1.462859,0.782041,0.056805,0.749004,0.695219,0.609376,0.622114,0.010000,0.563616,869.240950
25,1.437800,0.824600,1.452318,0.774824,0.057095,0.741890,0.697211,0.596724,0.612231,0.010000,0.564258,904.083347
26,1.430443,0.811808,1.444784,0.784870,0.057093,0.754980,0.715139,0.555691,0.578903,0.010000,0.564017,853.187276
27,1.419201,0.823400,1.432064,0.771719,0.056881,0.743312,0.692943,0.625899,0.630099,0.010000,0.564256,845.351855
28,1.411686,0.865390,1.419485,0.769247,0.056395,0.744166,0.674445,0.626321,0.624920,0.010000,0.564362,860.306063
29,1.403872,0.801982,1.440057,0.800532,0.060537,0.718270,0.630620,0.642511,0.621765,0.010000,0.564089,836.553996
30,1.395434,0.798922,1.402524,0.760517,0.055448,0.750711,0.707171,0.582657,0.616396,0.010000,0.564000,858.203913
31,1.388196,0.802704,1.414995,0.777478,0.056844,0.738759,0.690097,0.604719,0.619226,0.010000,0.564420,865.276685
32,1.378257,0.811613,1.398178,0.771377,0.057213,0.735629,0.670176,0.647220,0.640209,0.010000,0.564495,856.987841
33,1.371701,0.807555,1.379011,0.759192,0.055300,0.749573,0.708025,0.605237,0.627746,0.010000,0.563854,843.457045
34,1.363473,0.827361,1.381748,0.770850,0.056792,0.737052,0.675014,0.658265,0.649975,0.010000,0.564520,855.339896
35,1.354537,0.786904,1.374983,0.786106,0.059098,0.722538,0.635174,0.653953,0.633212,0.010000,0.564448,845.643089
36,1.351254,0.790641,1.382408,0.776753,0.055408,0.756972,0.721969,0.578862,0.608736,0.010000,0.564483,851.186123
37,1.340556,0.784819,1.360028,0.762864,0.054726,0.751565,0.717985,0.615776,0.624875,0.010000,0.564715,885.266888
38,1.331554,0.806418,1.368256,0.761398,0.055645,0.743028,0.687251,0.664949,0.654520,0.010000,0.564308,852.401015
39,1.324180,0.775540,1.342656,0.768557,0.054619,0.761525,0.744451,0.570553,0.606406,0.010000,0.564422,850.461668
40,1.320427,0.777149,1.342183,0.772695,0.054737,0.754980,0.735629,0.591540,0.628923,0.010000,0.564510,866.105694
41,1.312273,0.797063,1.324204,0.743344,0.053985,0.746443,0.708879,0.651441,0.663590,0.010000,0.564468,869.255614
42,1.302616,0.788790,1.336385,0.783443,0.055092,0.760956,0.741036,0.569322,0.608705,0.010000,0.564676,841.391125
43,1.299072,0.816529,1.320461,0.763764,0.056634,0.729368,0.645987,0.659614,0.648512,0.010000,0.564491,851.366636
