epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.264762,1.332966,1.235513,1.007962,0.088934,0.661639,0.418042,0.249513,0.258320,0.010000,0.538633,706.794674
2,1.226881,1.212019,1.213569,0.960075,0.081348,0.696073,0.503415,0.269545,0.291592,0.010000,0.508013,448.705290
3,1.202899,1.226716,1.193527,0.918129,0.072908,0.728230,0.642857,0.251596,0.342529,0.010000,0.507733,449.385494
4,1.184671,1.176898,1.183337,0.940108,0.072485,0.733068,0.659363,0.304856,0.379180,0.010000,0.507679,450.904787
5,1.172241,1.236110,1.173930,1.256405,0.126818,0.528173,0.305919,0.259689,0.219423,0.010000,0.508006,451.333858
6,1.156550,1.230268,1.160066,1.086224,0.075638,0.741320,0.707171,0.253229,0.317256,0.010000,0.508001,452.590906
7,1.144715,1.107359,1.148418,0.954894,0.071838,0.740751,0.700057,0.280814,0.367481,0.010000,0.507928,453.275190
8,1.134943,1.104285,1.134841,0.892568,0.069235,0.735344,0.673022,0.355858,0.413918,0.010000,0.508155,453.624256
9,1.121829,1.101017,1.134444,0.901539,0.074915,0.699488,0.538418,0.418626,0.420987,0.010000,0.508123,451.870776
10,1.111434,1.069375,1.123559,0.870854,0.069208,0.731360,0.645418,0.420400,0.463168,0.010000,0.508724,452.188805
11,1.101303,1.172044,1.107593,0.876765,0.069270,0.723961,0.625213,0.439851,0.462214,0.010000,0.508493,454.056424
12,1.090839,1.081917,1.094774,0.857091,0.066871,0.736198,0.666762,0.399860,0.465159,0.010000,0.508156,453.875834
13,1.080753,1.070264,1.095847,0.893388,0.068320,0.733921,0.684405,0.352988,0.441434,0.010000,0.508115,452.756947
14,1.069129,0.982316,1.078545,0.915304,0.068165,0.743312,0.708594,0.373234,0.432195,0.010000,0.508454,452.214019
15,1.058964,1.117333,1.071955,0.892769,0.067458,0.745874,0.707171,0.367251,0.433775,0.010000,0.508335,453.844580
16,1.048825,0.990695,1.058034,0.844242,0.066961,0.727092,0.610131,0.459446,0.491769,0.010000,0.508178,454.288624
17,1.038157,0.998184,1.051047,0.854616,0.065325,0.744166,0.681275,0.420001,0.480708,0.010000,0.508294,453.567019
18,1.027920,0.978682,1.039770,1.010210,0.069718,0.745020,0.729084,0.370068,0.431390,0.010000,0.508660,452.575955
19,1.016046,0.973378,1.032371,0.828608,0.066287,0.725384,0.607854,0.539687,0.548510,0.010000,0.508629,453.403314
20,1.006492,0.883821,1.019953,0.825873,0.063093,0.740467,0.683267,0.488946,0.535576,0.010000,0.508243,453.930199
21,0.995646,0.919924,1.009274,0.816222,0.062272,0.745874,0.679283,0.495122,0.532849,0.010000,0.508466,454.033370
22,0.986061,0.921371,0.995398,0.806515,0.061056,0.743882,0.665908,0.532051,0.564669,0.010000,0.508520,453.156726
23,0.978003,0.897696,0.987725,0.796974,0.060555,0.747581,0.680137,0.539783,0.570964,0.010000,0.507791,453.162899
24,0.968701,0.855898,0.977579,0.819626,0.065085,0.731076,0.605293,0.556537,0.540444,0.010000,0.508186,453.976807
25,0.959888,0.909049,0.974943,0.787109,0.060104,0.741890,0.663916,0.561921,0.585609,0.010000,0.508500,453.631764
26,0.951514,0.891662,0.963674,0.795821,0.059533,0.750996,0.700057,0.534263,0.566902,0.010000,0.508163,451.833732
27,0.942351,0.848840,0.956515,0.786999,0.060061,0.735344,0.665054,0.599965,0.608627,0.010000,0.507810,452.546311
28,0.935701,0.845661,0.941398,0.780419,0.058011,0.749289,0.702618,0.562720,0.594570,0.010000,0.507958,453.984898
29,0.927542,0.869490,0.939196,0.772245,0.058313,0.745020,0.679852,0.580616,0.604161,0.010000,0.508332,454.201709
30,0.921187,0.858557,0.929179,0.790109,0.060521,0.743028,0.648833,0.563070,0.571890,0.010000,0.508159,452.427461
31,0.911715,0.850943,0.922455,0.812409,0.059382,0.760956,0.729368,0.514980,0.570644,0.010000,0.507821,452.451245
32,0.905174,0.904683,0.911208,0.781064,0.060189,0.741320,0.632043,0.624359,0.611161,0.010000,0.507990,454.089322
33,0.898127,0.852485,0.911950,0.807949,0.059459,0.756118,0.717701,0.511386,0.553818,0.010000,0.507911,454.275319
34,0.891699,0.817196,0.901957,0.802204,0.062218,0.729653,0.629197,0.606103,0.590919,0.010000,0.508039,452.820898
35,0.883871,0.825390,0.899876,0.786434,0.058363,0.746727,0.702334,0.587731,0.605238,0.010000,0.508195,452.468554
36,0.877219,0.827422,0.884577,0.771066,0.056417,0.750142,0.696357,0.587781,0.611445,0.010000,0.508059,453.862477
37,0.870019,0.803263,0.876075,0.762453,0.055756,0.757257,0.721685,0.585037,0.614384,0.010000,0.507854,453.594405
38,0.862411,0.811683,0.873179,0.775799,0.056587,0.753557,0.700341,0.619092,0.628047,0.010000,0.507975,453.252501
39,0.857562,0.817093,0.864450,0.776053,0.056757,0.761810,0.739898,0.535036,0.586416,0.010000,0.508363,452.587757
40,0.850170,0.805779,0.862519,0.800992,0.057503,0.760956,0.736483,0.520024,0.568330,0.010000,0.507949,453.411747
41,0.843351,0.808856,0.856421,0.769182,0.058904,0.738475,0.655948,0.617208,0.617411,0.010000,0.508473,454.033303
42,0.836838,0.816680,0.846748,0.765804,0.055645,0.758964,0.708025,0.551781,0.601606,0.010000,0.508215,452.885929
43,0.830605,0.805639,0.837808,0.758047,0.055666,0.752988,0.704326,0.616191,0.638177,0.010000,0.508598,452.047022
44,0.824296,0.781938,0.837073,0.764300,0.057248,0.748150,0.687251,0.617650,0.626447,0.010000,0.508430,444.654672
45,0.817923,0.822343,0.829728,0.783668,0.055905,0.754411,0.739613,0.577753,0.615565,0.010000,0.508267,444.335622
46,0.811146,0.789149,0.824588,0.775416,0.057023,0.764940,0.674445,0.584147,0.592946,0.010000,0.507921,443.185655
47,0.805552,0.793879,0.817713,0.790202,0.054975,0.767217,0.737906,0.568377,0.610738,0.010000,0.508030,441.655412
48,0.800812,0.807770,0.806009,0.745789,0.053933,0.760102,0.736198,0.603040,0.638171,0.010000,0.507695,442.469290
49,0.793868,0.766114,0.807404,0.767961,0.058368,0.744451,0.653671,0.625813,0.612837,0.010000,0.507782,442.658679
50,0.788422,0.781751,0.798700,0.738994,0.054514,0.760102,0.718554,0.592363,0.621858,0.010000,0.508189,442.773057
51,0.783184,0.822889,0.796411,0.775846,0.055562,0.761810,0.734206,0.555923,0.595550,0.010000,0.507335,441.353209
52,0.777184,0.794496,0.793207,0.750992,0.055299,0.755265,0.721685,0.600146,0.636025,0.010000,0.507411,441.424128
53,0.770739,0.783525,0.778406,0.752699,0.055831,0.749289,0.691804,0.641757,0.651327,0.010000,0.507695,444.070216
54,0.764426,0.773347,0.773345,0.746816,0.053679,0.763233,0.739898,0.598601,0.645317,0.010000,0.507612,442.308384
55,0.760197,0.779733,0.766774,0.734428,0.054372,0.754126,0.695219,0.635997,0.648084,0.010000,0.507770,440.319114
56,0.753981,0.777449,0.769489,0.781259,0.056534,0.759533,0.747581,0.505298,0.584252,0.010000,0.508118,441.488990
57,0.749895,0.764558,0.761502,0.747174,0.053464,0.766648,0.729653,0.608949,0.639309,0.010000,0.507942,442.921612
58,0.744242,0.769548,0.764547,0.754056,0.056270,0.756972,0.670176,0.650945,0.638100,0.010000,0.508473,442.826308
59,0.739143,0.764813,0.759906,0.744445,0.054700,0.758395,0.718554,0.628030,0.640683,0.010000,0.507834,441.554149
