epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.770125,0.979685,1.629089,0.930490,0.715709,0.565168,0.239688,0.323806,0.001000,0.074379,311.670921
2,1.523430,0.916595,1.422199,0.901079,0.682413,0.488048,0.310172,0.320767,0.001000,0.070023,310.622934
3,1.342679,0.889867,1.275279,0.883230,0.740182,0.665908,0.253693,0.335557,0.001000,0.070393,312.390889
4,1.215512,0.870300,1.185793,0.881926,0.737621,0.671315,0.334972,0.413315,0.001000,0.070458,311.430562
5,1.123535,0.852032,1.082348,0.839760,0.719977,0.531873,0.480364,0.475487,0.001000,0.070503,310.566967
6,1.051748,0.831478,1.028605,0.828487,0.739044,0.637450,0.433425,0.474819,0.001000,0.070608,312.512617
7,1.006500,0.821537,0.987210,0.816205,0.748719,0.689528,0.450918,0.512904,0.001000,0.070436,312.509512
8,0.965572,0.806162,0.947446,0.798469,0.746727,0.668754,0.500756,0.542599,0.001000,0.070575,312.537722
9,0.938488,0.798102,0.938245,0.805920,0.752134,0.709732,0.468840,0.512218,0.001000,0.070569,312.613253
10,0.920891,0.794731,0.919775,0.799916,0.733068,0.599317,0.554040,0.557486,0.001000,0.070475,312.617286
11,0.902538,0.787808,0.908465,0.798370,0.752419,0.691235,0.523123,0.560778,0.001000,0.070554,312.557247
12,0.890797,0.784467,0.883778,0.781813,0.728230,0.604724,0.592489,0.586639,0.001000,0.070582,312.451165
13,0.877819,0.779318,0.878702,0.782938,0.747012,0.643711,0.555065,0.575298,0.001000,0.070480,312.566427
14,0.864785,0.772528,0.878377,0.789066,0.746727,0.678998,0.542512,0.571614,0.001000,0.070523,312.475062
15,0.861653,0.774720,0.874525,0.790027,0.727092,0.630620,0.517259,0.540482,0.001000,0.070580,312.533839
16,0.852265,0.770054,0.866962,0.786987,0.743597,0.629197,0.491088,0.540803,0.001000,0.070473,312.438794
17,0.843009,0.765022,0.847898,0.771711,0.750996,0.667331,0.578005,0.606996,0.001000,0.070498,312.472755
18,0.837853,0.763770,0.849576,0.777209,0.750427,0.714570,0.526135,0.591268,0.001000,0.070475,312.486275
19,0.830638,0.760180,0.827940,0.758768,0.747012,0.696073,0.587696,0.616811,0.001000,0.070446,312.372408
20,0.822116,0.754760,0.833146,0.767307,0.743882,0.655378,0.591698,0.599444,0.001000,0.070463,312.512477
21,0.818137,0.753499,0.824575,0.761228,0.747297,0.702049,0.588480,0.625707,0.001000,0.070391,312.366198
22,0.813882,0.751832,0.812816,0.752011,0.754126,0.711725,0.559579,0.607993,0.001000,0.070342,312.425132
23,0.813905,0.753892,0.821350,0.762561,0.746443,0.682982,0.606071,0.624057,0.001000,0.070194,312.466488
24,0.806772,0.748748,0.826026,0.768829,0.756688,0.695219,0.560899,0.604186,0.001000,0.070211,312.587258
25,0.799866,0.743572,0.819391,0.763846,0.740467,0.617530,0.587944,0.573247,0.001000,0.070230,312.370271
26,0.798928,0.744181,0.800630,0.746503,0.762379,0.723108,0.560373,0.602990,0.001000,0.070195,312.422124
27,0.797858,0.744406,0.803632,0.751036,0.753557,0.688105,0.582535,0.605471,0.001000,0.070278,312.183123
28,0.794061,0.742117,0.798573,0.747422,0.752988,0.694081,0.608140,0.635782,0.001000,0.070275,312.298703
29,0.788117,0.737591,0.793170,0.743108,0.750996,0.647126,0.632379,0.627332,0.001000,0.070161,312.164852
30,0.790005,0.740482,0.791079,0.742083,0.756972,0.684121,0.591965,0.616774,0.001000,0.070201,312.111474
31,0.786279,0.737622,0.796455,0.748261,0.758964,0.741036,0.547742,0.615407,0.001000,0.070193,312.094917
32,0.783408,0.735506,0.785289,0.737617,0.757257,0.719408,0.576297,0.626978,0.001000,0.070094,311.984984
33,0.782236,0.735043,0.786699,0.740039,0.754980,0.713717,0.594095,0.630632,0.001000,0.070114,311.846588
34,0.777984,0.731568,0.792107,0.746057,0.762664,0.726238,0.560479,0.618784,0.001000,0.070083,311.850846
35,0.778849,0.733033,0.792039,0.746523,0.730791,0.649118,0.619166,0.618096,0.001000,0.070181,312.395851
36,0.775273,0.730020,0.788625,0.743616,0.757257,0.727376,0.596634,0.645226,0.001000,0.070110,311.775629
37,0.774714,0.730012,0.788750,0.744281,0.761241,0.724530,0.615656,0.644690,0.001000,0.070141,311.653260
38,0.775178,0.730900,0.777237,0.733218,0.761810,0.716847,0.629321,0.655355,0.001000,0.070178,311.662364
39,0.772023,0.728218,0.796096,0.752394,0.743882,0.687820,0.616929,0.637349,0.001000,0.070131,311.623300
40,0.769473,0.725938,0.774715,0.731330,0.762664,0.725953,0.572921,0.628986,0.001000,0.070173,311.586736
41,0.767588,0.724334,0.781487,0.738276,0.751850,0.678998,0.650608,0.650074,0.001000,0.070076,311.559937
42,0.766551,0.723550,0.802557,0.759716,0.760956,0.707171,0.571778,0.603921,0.001000,0.070040,311.646405
43,0.767085,0.724314,0.767954,0.725274,0.762664,0.715139,0.620509,0.657589,0.001000,0.070206,312.558927
44,0.764401,0.721908,0.771247,0.728799,0.752419,0.691520,0.637050,0.646683,0.001000,0.070233,311.768472
45,0.762354,0.719922,0.785394,0.743007,0.728799,0.661070,0.628141,0.632592,0.001000,0.070160,311.523372
46,0.762591,0.720334,0.783763,0.741561,0.760956,0.678998,0.610721,0.633827,0.001000,0.070168,311.460399
47,0.761829,0.719580,0.779345,0.737131,0.765225,0.735629,0.613906,0.655186,0.001000,0.070152,311.510838
48,0.760207,0.718069,0.772234,0.730198,0.761525,0.716847,0.629177,0.662289,0.001000,0.070188,311.526149
49,0.760356,0.718394,0.769356,0.727486,0.761525,0.737052,0.605255,0.647595,0.001000,0.070174,311.502499
50,0.760324,0.718619,0.768740,0.727136,0.758680,0.721116,0.617173,0.656669,0.001000,0.070143,311.571777
51,0.757205,0.715630,0.772534,0.731027,0.763233,0.717701,0.624808,0.657131,0.001000,0.070130,311.385682
52,0.756882,0.715377,0.767700,0.726261,0.757826,0.687536,0.642518,0.660745,0.001000,0.070035,311.364631
53,0.755123,0.713705,0.767426,0.725944,0.761810,0.728230,0.621729,0.666187,0.001000,0.070246,311.477201
54,0.753974,0.712465,0.767430,0.725922,0.760956,0.710302,0.624505,0.651682,0.001000,0.069962,311.351412
55,0.755564,0.714003,0.766341,0.724888,0.760387,0.719977,0.630617,0.667604,0.001000,0.070137,311.352061
56,0.753872,0.712385,0.781813,0.740384,0.753273,0.709448,0.613727,0.642420,0.001000,0.070154,311.328239
57,0.751991,0.710568,0.770708,0.729315,0.764087,0.737621,0.624954,0.662087,0.001000,0.070251,311.493777
58,0.751457,0.710061,0.764200,0.722872,0.762094,0.710586,0.641609,0.667634,0.001000,0.070000,311.402738
59,0.753068,0.711841,0.763431,0.722312,0.764371,0.714001,0.618790,0.654755,0.001000,0.070107,311.224300
60,0.748009,0.706859,0.764269,0.723157,0.763517,0.720831,0.634903,0.658159,0.001000,0.070046,311.076790
61,0.748092,0.707033,0.785273,0.744289,0.747866,0.696357,0.601457,0.627960,0.001000,0.069966,311.077307
62,0.750085,0.709130,0.763770,0.722803,0.764087,0.719977,0.645459,0.664022,0.001000,0.070227,311.430180
63,0.749850,0.708945,0.779645,0.738776,0.768071,0.688674,0.619814,0.640106,0.001000,0.070049,311.115395
64,0.748628,0.707752,0.756599,0.715775,0.759249,0.722538,0.638449,0.666613,0.001000,0.070113,311.456352
65,0.751133,0.710315,0.754636,0.713799,0.760956,0.721400,0.657480,0.670383,0.001000,0.070207,311.234434
66,0.748120,0.707306,0.764823,0.723993,0.763802,0.693512,0.650495,0.657466,0.001000,0.069989,311.153062
67,0.743378,0.702638,0.766045,0.725278,0.760672,0.716847,0.624743,0.657986,0.001000,0.070260,311.223342
68,0.744885,0.704135,0.759672,0.718921,0.765794,0.721400,0.644238,0.666684,0.001000,0.070164,311.502411
69,0.745715,0.704924,0.756921,0.716084,0.765509,0.737052,0.612607,0.659068,0.001000,0.070147,311.126147
70,0.741637,0.700857,0.771284,0.730503,0.761525,0.702618,0.649748,0.660723,0.001000,0.070180,311.173270
71,0.745656,0.704885,0.771030,0.730325,0.760387,0.728799,0.602482,0.636558,0.001000,0.070104,311.083184
72,0.742062,0.701343,0.760466,0.719729,0.766648,0.739613,0.629030,0.669877,0.001000,0.070255,311.027721
73,0.742846,0.702074,0.758964,0.718178,0.771770,0.734775,0.626636,0.655495,0.001000,0.070130,311.027319
74,0.740898,0.700116,0.756535,0.715775,0.759249,0.732783,0.646680,0.689905,0.001000,0.070136,311.021869
75,0.742860,0.702107,0.776882,0.736039,0.756403,0.711440,0.639885,0.659073,0.001000,0.070151,311.050498
76,0.742723,0.701867,0.759926,0.718938,0.762664,0.731645,0.627125,0.662068,0.001000,0.070153,310.993967
77,0.739236,0.698231,0.750990,0.710033,0.764087,0.715709,0.643880,0.675731,0.001000,0.070082,311.006512
78,0.739304,0.698393,0.752709,0.711761,0.769778,0.718554,0.642909,0.670575,0.001000,0.070054,311.012472
79,0.740448,0.699499,0.760536,0.719575,0.758680,0.716562,0.650397,0.670487,0.001000,0.070171,311.130826
80,0.744384,0.703468,0.764958,0.724116,0.762664,0.721116,0.614918,0.654762,0.001000,0.070215,311.001568
81,0.740324,0.699495,0.749372,0.708598,0.767217,0.742459,0.613098,0.661569,0.001000,0.070080,311.001485
82,0.738310,0.697491,0.756549,0.715694,0.752134,0.719408,0.635676,0.665677,0.001000,0.070242,310.997941
83,0.735849,0.694949,0.751537,0.710669,0.769493,0.740467,0.657256,0.685025,0.001000,0.070193,311.170243
84,0.742056,0.701106,0.744778,0.703796,0.761810,0.721685,0.668120,0.685102,0.001000,0.070210,311.460213
85,0.738941,0.697959,0.754283,0.713288,0.761810,0.708025,0.673297,0.681472,0.001000,0.070118,311.002112
86,0.739705,0.698707,0.749122,0.708082,0.762948,0.738190,0.622765,0.675546,0.001000,0.070291,311.021747
87,0.738996,0.697980,0.751041,0.710057,0.758110,0.719124,0.661989,0.686487,0.001000,0.070185,311.009693
88,0.733338,0.692351,0.760976,0.719975,0.762948,0.742459,0.623126,0.665483,0.001000,0.070179,311.031348
89,0.735572,0.694554,0.768875,0.727815,0.761810,0.699203,0.657166,0.654888,0.001000,0.070146,310.750076
90,0.736295,0.695248,0.750000,0.708897,0.761241,0.732214,0.586704,0.649475,0.001000,0.070239,310.879842
91,0.733854,0.692764,0.750488,0.709384,0.765509,0.723677,0.633305,0.677218,0.001000,0.070194,310.801784
92,0.734658,0.693610,0.740631,0.699591,0.761810,0.713432,0.667229,0.686938,0.001000,0.070309,310.987397
93,0.734112,0.693045,0.741666,0.700569,0.762379,0.724530,0.647225,0.683009,0.001000,0.070198,311.041956
94,0.736715,0.695686,0.749796,0.708802,0.767501,0.731645,0.626951,0.667444,0.001000,0.070237,310.864707
95,0.736373,0.695310,0.740124,0.699044,0.769209,0.753273,0.651501,0.694406,0.001000,0.070306,310.860623
96,0.735510,0.694401,0.752174,0.711075,0.769778,0.740182,0.608293,0.657237,0.001000,0.070353,311.074025
97,0.733923,0.692780,0.747609,0.706536,0.767217,0.736767,0.624343,0.671322,0.001000,0.070235,310.917505
98,0.732060,0.690973,0.759484,0.718370,0.763233,0.723108,0.646493,0.667374,0.001000,0.070240,310.979679
99,0.732478,0.691311,0.752102,0.710935,0.767217,0.738190,0.593877,0.655879,0.001000,0.070306,311.023460
100,0.733907,0.692746,0.743883,0.702668,0.762664,0.731360,0.647717,0.679547,0.001000,0.070144,310.838322
1,0.714612,0.673489,0.736950,0.695915,0.774331,0.736198,0.667531,0.691677,0.000100,0.074803,310.814122
2,0.708192,0.667243,0.726096,0.685228,0.770347,0.739613,0.673258,0.708865,0.000100,0.069919,308.880133
