epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.844224,1.406154,1.810261,1.071889,0.098421,0.624075,0.258964,0.332759,0.241616,0.010000,0.156794,416.134896
2,1.770910,1.098206,1.793449,1.111350,0.104926,0.581389,0.266648,0.349888,0.263128,0.010000,0.133714,365.558573
3,1.736559,1.139073,1.707934,0.880956,0.071347,0.737336,0.619806,0.234580,0.363032,0.010000,0.133580,366.420901
4,1.713685,1.124909,1.708484,0.934628,0.079787,0.691520,0.469835,0.407635,0.392235,0.010000,0.133713,366.614906
5,1.691249,1.125150,1.670220,1.044707,0.095858,0.610700,0.380478,0.371923,0.311238,0.010000,0.134147,366.517542
6,1.671786,1.069395,1.724989,0.880834,0.072493,0.720546,0.555777,0.402356,0.430440,0.010000,0.133413,366.210910
7,1.657200,1.050195,1.658183,0.871210,0.068425,0.735344,0.668469,0.357993,0.429779,0.010000,0.133267,366.122761
8,1.640758,1.022747,1.646605,0.850350,0.068679,0.723677,0.606431,0.421883,0.480697,0.010000,0.133509,366.118732
9,1.624181,1.013795,1.630566,0.873459,0.068864,0.741320,0.688105,0.327390,0.405680,0.010000,0.133546,366.213477
10,1.607491,0.964297,1.624596,0.868639,0.068230,0.740182,0.693227,0.370660,0.446397,0.010000,0.133662,366.352358
11,1.591375,1.021632,1.589898,0.976060,0.087224,0.642288,0.467274,0.465462,0.413188,0.010000,0.134114,366.264325
12,1.577015,0.957593,1.584647,0.835451,0.067525,0.716278,0.586511,0.524694,0.534285,0.010000,0.133673,366.087522
13,1.563168,0.947715,1.559566,0.816009,0.064862,0.730791,0.600455,0.507126,0.525028,0.010000,0.133406,366.072168
14,1.547727,0.926012,1.568816,0.823032,0.064777,0.738475,0.634889,0.496215,0.512417,0.010000,0.133538,366.040879
15,1.537316,0.916692,1.555752,0.812857,0.063448,0.739898,0.640865,0.503186,0.517547,0.010000,0.133625,366.171066
16,1.519889,0.933970,1.515207,0.798651,0.062473,0.739044,0.613830,0.546859,0.556726,0.010000,0.133567,366.009326
17,1.508980,0.881359,1.535044,0.791966,0.061333,0.743312,0.634035,0.538000,0.563032,0.010000,0.133462,365.985231
18,1.500416,0.875139,1.509472,0.801174,0.061129,0.745304,0.702618,0.495461,0.550369,0.010000,0.133699,366.056149
19,1.489225,0.917084,1.494784,0.804786,0.063508,0.732499,0.604439,0.583344,0.585208,0.010000,0.133583,366.052809
20,1.476092,0.812152,1.493138,0.798319,0.062658,0.728230,0.628059,0.576939,0.585380,0.010000,0.134263,366.398964
21,1.468831,0.885006,1.495703,0.788440,0.060965,0.743597,0.670176,0.555071,0.594392,0.010000,0.134142,366.206550
22,1.457439,0.829273,1.460009,0.773153,0.058909,0.746158,0.689243,0.543407,0.589869,0.010000,0.133609,366.067455
23,1.450161,0.858137,1.457768,0.767887,0.058496,0.745874,0.666192,0.575783,0.602529,0.010000,0.133824,366.156559
24,1.436649,0.832350,1.446397,0.765149,0.057295,0.753273,0.700626,0.543230,0.589193,0.010000,0.133861,366.366643
25,1.427296,0.819829,1.444785,0.764757,0.057866,0.745020,0.686113,0.573922,0.609227,0.010000,0.134092,366.340388
26,1.421628,0.826455,1.430220,0.760924,0.057116,0.751850,0.682982,0.582211,0.609457,0.010000,0.133911,366.264643
27,1.411136,0.798720,1.419934,0.760191,0.057800,0.749573,0.679283,0.606654,0.629641,0.010000,0.133824,366.471804
28,1.402820,0.803312,1.411961,0.756033,0.056463,0.748719,0.694650,0.600235,0.622414,0.010000,0.133764,366.201678
