epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.750222,0.957360,1.590912,0.891854,0.745304,0.519636,0.000000,0.272520,0.001000,0.469622,671.065646
2,1.496564,0.892037,1.390023,0.873218,0.742743,0.619806,0.066662,0.337994,0.001000,0.453907,481.705508
3,1.323859,0.875962,1.302912,0.909805,0.725669,0.582812,0.235798,0.288872,0.001000,0.454643,488.473766
4,1.213797,0.867726,1.161270,0.859330,0.744451,0.683836,0.062742,0.355998,0.001000,0.456545,492.768693
5,1.113150,0.844176,1.087108,0.847540,0.739328,0.525327,0.330025,0.388475,0.001000,0.454604,490.816440
6,1.049349,0.832448,1.016354,0.819520,0.744451,0.669038,0.284035,0.444887,0.001000,0.456552,495.785973
7,1.001675,0.820980,0.981273,0.815037,0.750142,0.668754,0.338656,0.457111,0.001000,0.459481,507.671158
8,0.972782,0.815976,0.961129,0.812874,0.750711,0.671599,0.288187,0.448600,0.001000,0.461043,506.697123
9,0.954744,0.814624,0.959440,0.823324,0.746158,0.658509,0.329260,0.458247,0.001000,0.462180,506.769197
10,0.933580,0.805982,0.921452,0.803603,0.750142,0.610415,0.468956,0.482565,0.001000,0.462723,506.857171
11,0.910890,0.797933,0.899794,0.792572,0.750711,0.702903,0.444800,0.522158,0.001000,0.463148,506.886411
12,0.901948,0.798460,0.889742,0.791112,0.743028,0.627205,0.521731,0.569229,0.001000,0.460179,499.718763
13,0.883663,0.788121,0.875422,0.781818,0.753273,0.710302,0.469728,0.538695,0.001000,0.452439,484.848005
14,0.866942,0.778284,0.869157,0.784625,0.749004,0.682698,0.509254,0.563199,0.001000,0.452216,484.712364
15,0.861353,0.779457,0.868930,0.789373,0.750711,0.685828,0.521944,0.532605,0.001000,0.452202,483.942598
16,0.846238,0.769478,0.847682,0.773517,0.752419,0.686682,0.496606,0.551394,0.001000,0.451792,483.217742
17,0.839686,0.767708,0.832639,0.762606,0.753842,0.691235,0.527971,0.603913,0.001000,0.451487,482.913128
18,0.830363,0.762162,0.834930,0.767764,0.752419,0.697211,0.546672,0.587722,0.001000,0.451085,482.745341
19,0.824270,0.759093,0.819138,0.755431,0.748435,0.697211,0.570187,0.595676,0.001000,0.451241,482.936066
20,0.813587,0.751282,0.823311,0.762185,0.750427,0.682129,0.568115,0.612486,0.001000,0.450987,482.691537
21,0.813693,0.753883,0.822326,0.763753,0.747581,0.719977,0.556928,0.582958,0.001000,0.450799,482.785491
22,0.806667,0.748906,0.811388,0.754558,0.756118,0.718554,0.506737,0.584744,0.001000,0.450919,483.454654
23,0.805128,0.749291,0.809971,0.755088,0.756118,0.690666,0.583805,0.630129,0.001000,0.451185,482.841302
24,0.799102,0.745081,0.801031,0.747749,0.757541,0.719693,0.560194,0.617909,0.001000,0.450912,483.584816
25,0.795631,0.742961,0.799443,0.747350,0.760672,0.682129,0.550114,0.610616,0.001000,0.450998,483.937912
26,0.789988,0.738703,0.798813,0.748087,0.760387,0.712863,0.570087,0.603197,0.001000,0.451000,483.892134
