epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.119551,1.106163,0.913529,0.961831,0.714286,0.596471,0.257627,0.329107,0.001000,0.107090,545.934501
2,0.798398,0.962411,0.692905,0.931568,0.714570,0.602447,0.350696,0.391784,0.001000,0.098625,303.887299
3,0.632776,0.922474,0.583870,0.907847,0.739044,0.675014,0.254459,0.346219,0.001000,0.098622,303.907772
4,0.545027,0.896290,0.522884,0.905641,0.735629,0.676722,0.417306,0.449535,0.001000,0.098641,304.518877
5,0.490437,0.877644,0.477519,0.870922,0.726522,0.624360,0.484556,0.505255,0.001000,0.098568,304.563104
6,0.448822,0.850543,0.437275,0.843139,0.747297,0.711155,0.402803,0.477280,0.001000,0.098530,304.732121
7,0.422326,0.834675,0.419097,0.836995,0.747012,0.704610,0.420899,0.467213,0.001000,0.098619,305.445271
8,0.401575,0.820371,0.405859,0.836032,0.747581,0.690381,0.475888,0.511666,0.001000,0.098524,305.362172
9,0.386567,0.812346,0.395865,0.839285,0.749289,0.710871,0.455949,0.508298,0.001000,0.098557,305.641180
10,0.375859,0.806005,0.379010,0.798876,0.737052,0.653386,0.575504,0.584012,0.001000,0.098540,305.839773
11,0.363499,0.795828,0.374583,0.817642,0.748435,0.708025,0.494494,0.528973,0.001000,0.098460,305.528092
12,0.357591,0.796541,0.366336,0.798675,0.748150,0.699772,0.575003,0.597440,0.001000,0.098470,305.493101
13,0.350264,0.790880,0.355438,0.805725,0.748435,0.704326,0.506382,0.558316,0.001000,0.098438,305.604196
14,0.341523,0.781866,0.351395,0.795956,0.750427,0.688674,0.531613,0.564785,0.001000,0.098465,306.468280
15,0.338315,0.784539,0.340169,0.780207,0.748435,0.681275,0.566164,0.586651,0.001000,0.098436,307.712015
16,0.331629,0.776669,0.340529,0.792581,0.748719,0.664200,0.556966,0.574138,0.001000,0.098499,308.082298
17,0.327797,0.775921,0.334088,0.772099,0.752703,0.705464,0.555785,0.588487,0.001000,0.098446,307.745510
18,0.325476,0.775828,0.337891,0.801744,0.746443,0.705179,0.550318,0.579328,0.001000,0.098422,307.729126
19,0.322027,0.772026,0.324865,0.768311,0.754696,0.710586,0.587319,0.615227,0.001000,0.098433,307.853113
20,0.316654,0.765150,0.331685,0.772973,0.737906,0.668754,0.605461,0.610959,0.001000,0.098717,310.117044
21,0.315218,0.764833,0.321620,0.771857,0.759533,0.727092,0.582395,0.622304,0.001000,0.099544,320.346449
22,0.313104,0.762993,0.321425,0.769536,0.755265,0.704610,0.593242,0.626680,0.001000,0.099666,321.691980
23,0.310650,0.760114,0.321260,0.770189,0.752419,0.715993,0.615141,0.628602,0.001000,0.099850,324.611549
24,0.309751,0.759618,0.314110,0.763313,0.757541,0.711725,0.597793,0.624252,0.001000,0.099694,322.173171
25,0.305986,0.754575,0.320112,0.779356,0.758964,0.717131,0.549148,0.596888,0.001000,0.099298,317.741058
26,0.304499,0.755124,0.313796,0.779499,0.767501,0.734775,0.547444,0.586979,0.001000,0.098899,313.105163
27,0.305441,0.756525,0.312088,0.765287,0.760387,0.731645,0.603485,0.632485,0.001000,0.099097,317.534109
28,0.301829,0.751549,0.307374,0.759662,0.759533,0.721969,0.612572,0.638756,0.001000,0.098955,315.960754
29,0.300046,0.750153,0.307010,0.752683,0.758395,0.717416,0.619282,0.633105,0.001000,0.098544,311.634167
30,0.301733,0.752903,0.304254,0.755173,0.760102,0.725953,0.570605,0.613419,0.001000,0.098595,313.093503
31,0.298286,0.747968,0.310605,0.775717,0.759533,0.751565,0.556721,0.606934,0.001000,0.098597,311.865005
32,0.298789,0.748146,0.307540,0.753186,0.752419,0.733921,0.601869,0.627506,0.001000,0.098565,311.747880
33,0.296197,0.745653,0.300667,0.738013,0.758680,0.721969,0.624807,0.655633,0.001000,0.098457,310.394953
34,0.295386,0.743851,0.308302,0.779453,0.760956,0.692658,0.613731,0.614717,0.001000,0.098566,311.314887
35,0.295250,0.745856,0.302673,0.742663,0.757826,0.698065,0.641649,0.646065,0.001000,0.098478,310.721729
36,0.294322,0.744936,0.298044,0.750918,0.769209,0.734206,0.598557,0.632802,0.001000,0.098421,310.473521
37,0.295201,0.746136,0.306794,0.769584,0.767217,0.737906,0.596170,0.613709,0.001000,0.098529,311.075388
38,0.292191,0.741971,0.292802,0.740871,0.764371,0.733921,0.641013,0.656873,0.001000,0.098549,312.087377
39,0.291476,0.739467,0.302225,0.744535,0.760672,0.725384,0.623992,0.642709,0.001000,0.098694,313.772787
40,0.290752,0.738348,0.293150,0.735590,0.761810,0.732214,0.622761,0.662105,0.001000,0.098572,312.279149
41,0.288215,0.735779,0.304604,0.746882,0.749858,0.675583,0.641989,0.624934,0.001000,0.098659,313.281741
42,0.290269,0.739604,0.303874,0.765000,0.761525,0.714286,0.612722,0.622693,0.001000,0.098800,314.141921
43,0.288404,0.736542,0.292658,0.734495,0.764371,0.740467,0.631028,0.656469,0.001000,0.098535,312.071033
44,0.288300,0.736533,0.296439,0.737574,0.744451,0.690381,0.628694,0.624029,0.001000,0.098295,309.826686
