epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.843151,1.425633,1.806070,1.021973,0.091293,0.655094,0.294536,0.336334,0.266741,0.010000,0.145565,296.625970
2,1.769887,1.180998,1.787591,1.126949,0.107319,0.573990,0.278884,0.340043,0.258704,0.010000,0.126100,288.317015
3,1.735704,1.120183,1.708977,0.888600,0.073021,0.723677,0.536141,0.312841,0.375078,0.010000,0.125776,288.741359
4,1.713061,1.108639,1.711684,0.969471,0.084572,0.666477,0.428002,0.412580,0.371730,0.010000,0.125935,289.503759
5,1.692479,1.085402,1.672354,0.910740,0.076347,0.700341,0.471827,0.392801,0.390314,0.010000,0.126356,291.915047
6,1.672363,1.031175,1.723678,0.887142,0.073677,0.715993,0.525612,0.424180,0.426880,0.010000,0.125696,292.249194
7,1.658640,1.044824,1.657117,0.912014,0.070219,0.742459,0.689812,0.303946,0.379436,0.010000,0.125589,292.314716
8,1.642251,1.007552,1.652588,0.870586,0.071297,0.715424,0.557484,0.451403,0.460078,0.010000,0.125762,292.371560
9,1.625500,1.003847,1.630790,0.865475,0.068562,0.739044,0.686682,0.341244,0.411874,0.010000,0.125772,292.232439
10,1.610165,0.941820,1.623479,0.856852,0.067698,0.738475,0.669038,0.392427,0.450925,0.010000,0.125919,292.576931
11,1.593426,0.972668,1.591253,0.843874,0.068376,0.716847,0.584519,0.508226,0.511378,0.010000,0.126323,292.361664
12,1.581695,0.963616,1.588198,0.864700,0.071386,0.707171,0.549801,0.522574,0.507060,0.010000,0.125944,292.424323
13,1.568959,0.935773,1.565885,0.863947,0.071204,0.704895,0.532726,0.522596,0.492683,0.010000,0.125727,292.647395
14,1.551824,0.944999,1.566956,0.818966,0.063511,0.745020,0.663631,0.464593,0.499611,0.010000,0.125836,292.310580
15,1.539494,0.877654,1.556810,0.812125,0.063151,0.744451,0.658224,0.481813,0.521039,0.010000,0.125871,291.923220
16,1.523245,0.948472,1.519821,0.794316,0.061867,0.743597,0.622652,0.521111,0.550375,0.010000,0.125957,291.665521
17,1.512943,0.871134,1.532559,0.790688,0.061092,0.740751,0.648549,0.522300,0.556311,0.010000,0.125744,291.812137
18,1.500985,0.849154,1.506335,0.797615,0.061160,0.743597,0.706602,0.476289,0.552308,0.010000,0.125956,291.677225
19,1.490488,0.886318,1.494833,0.803774,0.063500,0.730222,0.606431,0.575123,0.585983,0.010000,0.125891,291.910317
20,1.479509,0.837795,1.493088,0.810942,0.064336,0.725384,0.602447,0.599109,0.589473,0.010000,0.126472,291.646184
21,1.470739,0.869159,1.494134,0.793998,0.062056,0.735060,0.641434,0.571838,0.597154,0.010000,0.126361,291.392534
22,1.459887,0.831727,1.464133,0.777744,0.058748,0.748719,0.697496,0.542100,0.584045,0.010000,0.125852,291.067808
23,1.452622,0.841653,1.450247,0.758433,0.057578,0.745589,0.690097,0.572325,0.614347,0.010000,0.126033,291.158129
24,1.439501,0.821433,1.453427,0.781962,0.059778,0.747297,0.642573,0.570779,0.590335,0.010000,0.126039,291.239762
25,1.427999,0.830703,1.444081,0.767610,0.058272,0.745304,0.666477,0.573781,0.599354,0.010000,0.126357,291.972207
26,1.422527,0.821195,1.427770,0.759019,0.056945,0.758395,0.687820,0.570832,0.609864,0.010000,0.126189,292.156357
27,1.412129,0.804535,1.424077,0.764663,0.058186,0.745874,0.689243,0.590322,0.620105,0.010000,0.126047,292.042813
28,1.404311,0.824292,1.412163,0.758515,0.056820,0.747012,0.672738,0.601087,0.616594,0.010000,0.125986,291.831023
29,1.396845,0.790395,1.419067,0.761410,0.058384,0.741890,0.654525,0.613217,0.628553,0.010000,0.126009,291.695764
30,1.385821,0.789060,1.389012,0.747181,0.056498,0.749004,0.684974,0.541477,0.595289,0.010000,0.126246,291.501625
31,1.378681,0.793384,1.389809,0.756173,0.056381,0.756972,0.703756,0.548754,0.601793,0.010000,0.126857,292.387442
32,1.369153,0.796362,1.383268,0.750169,0.056250,0.750142,0.688674,0.597384,0.616888,0.010000,0.127152,292.178200
33,1.363303,0.803726,1.366038,0.747443,0.055299,0.760102,0.710871,0.562776,0.616200,0.010000,0.126035,292.015679
34,1.357263,0.792091,1.366433,0.754996,0.056491,0.749004,0.664200,0.624339,0.638758,0.010000,0.126078,291.736156
35,1.346588,0.774218,1.352684,0.742678,0.055572,0.747866,0.676153,0.634328,0.651183,0.010000,0.126073,291.726623
36,1.340203,0.795619,1.360042,0.748863,0.055441,0.755265,0.709448,0.577630,0.619252,0.010000,0.125980,291.662894
37,1.332387,0.767275,1.345541,0.754120,0.055139,0.762948,0.729653,0.579262,0.612896,0.010000,0.125916,291.994736
38,1.326732,0.779429,1.351550,0.768704,0.058766,0.739898,0.632612,0.650976,0.633127,0.010000,0.126105,292.339703
39,1.319146,0.776552,1.325782,0.733271,0.054259,0.755834,0.722254,0.599954,0.634071,0.010000,0.126100,292.031717
40,1.311197,0.766606,1.327756,0.764852,0.055725,0.758964,0.741320,0.535563,0.596506,0.010000,0.126060,292.596855
41,1.304586,0.762449,1.318499,0.743172,0.056040,0.745020,0.685544,0.636378,0.647254,0.010000,0.126267,292.469908
42,1.295423,0.755410,1.317623,0.743352,0.054514,0.759533,0.702334,0.611266,0.634650,0.010000,0.125927,291.675904
43,1.291866,0.774536,1.308485,0.749326,0.056265,0.750711,0.655094,0.639023,0.642476,0.010000,0.125907,291.724967
44,1.284359,0.750407,1.301130,0.758295,0.057811,0.744735,0.645703,0.632464,0.618087,0.010000,0.126218,292.977877
45,1.275482,0.752472,1.303962,0.757573,0.055429,0.757257,0.727661,0.561023,0.616850,0.010000,0.126823,292.181308
46,1.268988,0.756236,1.298093,0.753316,0.055506,0.763802,0.721116,0.537324,0.587098,0.010000,0.126808,292.068288
47,1.262430,0.761927,1.280055,0.732403,0.053190,0.763802,0.712294,0.614118,0.640814,0.010000,0.126671,292.071024
48,1.256768,0.751746,1.260399,0.719729,0.052363,0.760102,0.732214,0.609250,0.659200,0.010000,0.126682,292.177577
49,1.251478,0.749313,1.265857,0.733285,0.054242,0.757257,0.713147,0.587650,0.628799,0.010000,0.126664,292.112076
50,1.244664,0.748051,1.259782,0.726270,0.053834,0.753557,0.710302,0.613245,0.649655,0.010000,0.126766,292.729184
51,1.238047,0.750400,1.262634,0.738190,0.054763,0.761810,0.721685,0.539430,0.601487,0.010000,0.126762,292.313978
52,1.232195,0.759233,1.256285,0.736018,0.054982,0.750711,0.698634,0.650155,0.662183,0.010000,0.126833,292.214032
53,1.223113,0.744017,1.241822,0.729237,0.053681,0.760102,0.692658,0.639025,0.665288,0.010000,0.126579,292.127502
54,1.218510,0.745825,1.244655,0.736135,0.054846,0.749004,0.696927,0.612312,0.647047,0.010000,0.126847,292.301071
55,1.213371,0.736078,1.225022,0.721300,0.052958,0.752419,0.704610,0.639213,0.669040,0.010000,0.126501,292.115822
56,1.208977,0.749516,1.222494,0.720123,0.052834,0.762379,0.712578,0.583342,0.634782,0.010000,0.126581,292.365614
57,1.203629,0.737638,1.240706,0.753864,0.053941,0.763802,0.738190,0.587037,0.632905,0.010000,0.126593,291.883039
58,1.195902,0.733660,1.221325,0.737279,0.054424,0.757826,0.660785,0.662520,0.655563,0.010000,0.126564,291.916273
59,1.192577,0.735954,1.226090,0.747121,0.055227,0.754411,0.722538,0.606392,0.637723,0.010000,0.126661,291.973986
60,1.185365,0.734425,1.220938,0.737627,0.053337,0.761241,0.732499,0.614394,0.652087,0.010000,0.126757,292.614678
61,1.179445,0.745357,1.226746,0.759017,0.056481,0.755265,0.713432,0.586549,0.620395,0.010000,0.126900,292.629372
62,1.175183,0.753275,1.203364,0.725396,0.052895,0.764940,0.705748,0.632658,0.660281,0.010000,0.126684,292.975320
63,1.170676,0.730614,1.202253,0.730112,0.053540,0.764656,0.682982,0.650054,0.657367,0.010000,0.126839,292.377699
64,1.163187,0.726105,1.199838,0.756360,0.053749,0.766648,0.753557,0.570961,0.619966,0.010000,0.126569,292.588163
65,1.158513,0.736919,1.185777,0.724210,0.052393,0.764087,0.722538,0.625135,0.657972,0.010000,0.126641,291.966315
66,1.156517,0.734661,1.177825,0.725362,0.053350,0.756972,0.705748,0.646227,0.672602,0.010000,0.126897,292.197161
67,1.146267,0.722762,1.171552,0.721486,0.052677,0.754696,0.684405,0.668470,0.683913,0.010000,0.126553,292.033044
68,1.143536,0.727734,1.174605,0.724350,0.052623,0.764087,0.697211,0.650205,0.665590,0.010000,0.126677,292.437549
69,1.139199,0.720770,1.159034,0.711438,0.051408,0.762664,0.727376,0.638711,0.667120,0.010000,0.126728,292.122187
70,1.130345,0.734034,1.158432,0.716912,0.051557,0.765225,0.723677,0.639755,0.664347,0.010000,0.126734,292.238438
71,1.128339,0.722263,1.159498,0.722328,0.052758,0.758964,0.720831,0.618402,0.656425,0.010000,0.127186,292.430960
72,1.121062,0.715042,1.149833,0.714842,0.050956,0.766648,0.733921,0.648127,0.677277,0.010000,0.127119,292.176921
73,1.120166,0.734290,1.145182,0.717305,0.052064,0.766079,0.735344,0.597917,0.653487,0.010000,0.126512,292.012074
74,1.112823,0.720573,1.156524,0.733262,0.053129,0.761810,0.717701,0.631402,0.652466,0.010000,0.126659,292.194481
75,1.107014,0.721362,1.149830,0.736764,0.054270,0.754126,0.713717,0.630549,0.668045,0.010000,0.126650,292.103999
76,1.103468,0.711275,1.126490,0.711774,0.051553,0.768640,0.719977,0.619940,0.654863,0.010000,0.126573,292.355576
77,1.100184,0.721942,1.132959,0.722107,0.053318,0.758395,0.694935,0.640183,0.664905,0.010000,0.126588,292.215448
78,1.092554,0.701430,1.116735,0.712913,0.051233,0.768071,0.742459,0.606684,0.661387,0.010000,0.126819,292.359137
79,1.088958,0.724126,1.137341,0.734676,0.054575,0.752134,0.706033,0.644741,0.669256,0.010000,0.126656,293.360078
80,1.088878,0.718425,1.105376,0.706076,0.051904,0.765794,0.709448,0.638639,0.669177,0.010000,0.126946,294.577557
