epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.769978,0.979521,1.626673,0.927742,0.716562,0.579681,0.258089,0.334439,0.001000,0.075184,311.646550
2,1.523062,0.915607,1.420610,0.898574,0.676437,0.493739,0.309241,0.322788,0.001000,0.070637,311.059566
3,1.342969,0.889180,1.272860,0.879662,0.741036,0.668469,0.246047,0.344634,0.001000,0.070735,311.659603
4,1.214323,0.867912,1.187665,0.882356,0.741036,0.675014,0.309325,0.393554,0.001000,0.070821,311.884736
5,1.124190,0.851178,1.086190,0.842047,0.715993,0.508822,0.476267,0.470361,0.001000,0.070719,312.165689
6,1.052593,0.830885,1.024453,0.823105,0.744735,0.697496,0.413045,0.485226,0.001000,0.070731,311.834520
7,1.006477,0.820305,0.987082,0.814768,0.749004,0.687251,0.460742,0.512430,0.001000,0.070861,311.754170
8,0.964978,0.804345,0.958784,0.808470,0.747297,0.680706,0.475961,0.514351,0.001000,0.070962,311.749172
9,0.937790,0.796158,0.938457,0.804674,0.751565,0.711440,0.481892,0.535774,0.001000,0.071119,311.847158
10,0.921445,0.793962,0.920601,0.799343,0.742459,0.605578,0.566435,0.564487,0.001000,0.071029,311.568801
11,0.903090,0.786816,0.903147,0.791563,0.744166,0.684121,0.544867,0.579008,0.001000,0.071039,312.273735
12,0.890740,0.783211,0.881152,0.777919,0.740182,0.647980,0.584503,0.606579,0.001000,0.071143,312.205484
13,0.877353,0.777593,0.877517,0.780378,0.754126,0.702334,0.513122,0.567451,0.001000,0.071209,311.765118
14,0.864405,0.770763,0.873250,0.782644,0.746727,0.652533,0.566275,0.582642,0.001000,0.071200,312.051520
15,0.863222,0.775059,0.863662,0.777678,0.752703,0.690381,0.503226,0.572192,0.001000,0.071296,312.293094
16,0.852008,0.768334,0.859706,0.778017,0.749573,0.629767,0.546016,0.568914,0.001000,0.071226,311.894570
17,0.843069,0.763713,0.850248,0.772882,0.753273,0.676153,0.576128,0.600933,0.001000,0.071432,311.457196
18,0.839747,0.764208,0.841679,0.767930,0.752703,0.717985,0.523609,0.589706,0.001000,0.071249,312.550590
19,0.830454,0.758522,0.827543,0.756914,0.754411,0.688958,0.583399,0.619347,0.001000,0.071114,312.562866
20,0.821150,0.752459,0.837962,0.770836,0.732214,0.655094,0.593419,0.602553,0.001000,0.071030,312.148919
21,0.821284,0.755201,0.829400,0.764804,0.747866,0.709163,0.579344,0.618905,0.001000,0.071144,311.591050
22,0.816139,0.752757,0.813935,0.751759,0.753557,0.715993,0.558126,0.605816,0.001000,0.071079,311.902036
23,0.814515,0.753291,0.821792,0.761672,0.748150,0.689243,0.608709,0.640654,0.001000,0.071042,311.509566
24,0.807885,0.748648,0.827102,0.768836,0.755549,0.698065,0.531678,0.588334,0.001000,0.071185,311.376885
25,0.801771,0.744300,0.807213,0.750663,0.756403,0.657940,0.588537,0.606785,0.001000,0.071276,311.429879
26,0.799653,0.744046,0.812549,0.757761,0.763233,0.709732,0.555229,0.609236,0.001000,0.071360,311.583071
27,0.797885,0.743553,0.807316,0.753634,0.754126,0.690950,0.584913,0.614368,0.001000,0.071322,311.612131
28,0.793822,0.740769,0.810511,0.758132,0.750427,0.670746,0.610912,0.618757,0.001000,0.071383,311.589694
29,0.788910,0.737246,0.793698,0.742558,0.750142,0.673022,0.606332,0.635060,0.001000,0.071295,311.386151
30,0.789627,0.738943,0.796424,0.746257,0.755834,0.695504,0.592370,0.627264,0.001000,0.071388,311.273451
31,0.787742,0.738018,0.796870,0.747641,0.757257,0.737906,0.564070,0.627378,0.001000,0.071457,311.266957
32,0.784892,0.735919,0.781606,0.732947,0.756403,0.728515,0.548087,0.628938,0.001000,0.071352,310.980110
33,0.782849,0.734680,0.789086,0.741361,0.750427,0.719408,0.574324,0.621312,0.001000,0.071299,311.207129
34,0.777890,0.730441,0.787018,0.739932,0.759249,0.714855,0.571078,0.623862,0.001000,0.071468,311.082548
35,0.779320,0.732515,0.785825,0.739358,0.744735,0.668184,0.635844,0.643079,0.001000,0.071531,310.933091
36,0.775450,0.729287,0.788086,0.742186,0.759249,0.728230,0.590865,0.628264,0.001000,0.071601,310.811181
37,0.776765,0.731063,0.789748,0.744281,0.761241,0.727092,0.616938,0.652335,0.001000,0.071596,310.867482
38,0.774679,0.729450,0.778090,0.733161,0.759818,0.726807,0.597379,0.646294,0.001000,0.075150,311.709921
39,0.770389,0.725594,0.793546,0.748839,0.750996,0.696357,0.620633,0.641577,0.001000,0.071774,312.622973
40,0.768951,0.724407,0.783055,0.738569,0.760387,0.717701,0.593216,0.633590,0.001000,0.071755,312.527338
41,0.768656,0.724371,0.806867,0.762644,0.747012,0.672168,0.619208,0.623067,0.001000,0.071547,312.421093
42,0.767211,0.723185,0.791115,0.747327,0.764940,0.707456,0.583164,0.609137,0.001000,0.071468,311.993071
43,0.764760,0.721104,0.768308,0.724845,0.760102,0.705748,0.602966,0.655916,0.001000,0.071539,312.103853
44,0.762901,0.719591,0.765926,0.722717,0.753842,0.684690,0.642659,0.650623,0.001000,0.071476,311.947619
