epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.880423,1.041451,1.744708,0.943103,0.676722,0.439670,0.256771,0.284770,0.001000,0.103392,591.209729
2,1.682806,0.929167,1.612311,0.908742,0.716278,0.514229,0.287271,0.328980,0.001000,0.096144,342.661647
3,1.556375,0.902052,1.555239,0.949302,0.745304,0.722254,0.143510,0.268104,0.001000,0.096025,343.961840
4,1.441857,0.881344,1.409501,0.892940,0.736767,0.659647,0.278395,0.365329,0.001000,0.096002,344.331247
5,1.344473,0.867255,1.328308,0.888813,0.648549,0.381901,0.435885,0.372242,0.001000,0.095993,344.363492
6,1.253199,0.847073,1.216394,0.842202,0.733352,0.647695,0.412702,0.479602,0.001000,0.095974,344.460624
7,1.177219,0.830862,1.143149,0.823161,0.743597,0.665339,0.449155,0.499478,0.001000,0.096207,347.509269
8,1.116860,0.820228,1.108917,0.834142,0.741605,0.628628,0.462892,0.494186,0.001000,0.096120,348.077218
9,1.063296,0.807852,1.060608,0.823363,0.746727,0.659932,0.476135,0.528555,0.001000,0.095997,347.482081
10,1.024257,0.802733,1.013469,0.806990,0.736767,0.599886,0.531152,0.548081,0.001000,0.095861,344.378188
11,0.990017,0.796679,0.978357,0.797374,0.750427,0.701764,0.507202,0.557440,0.001000,0.096316,348.475771
12,0.962204,0.792128,0.942526,0.782675,0.726522,0.614969,0.584245,0.588597,0.001000,0.096088,348.252526
13,0.936664,0.785891,0.927928,0.785293,0.752703,0.673022,0.511756,0.562933,0.001000,0.095983,348.346050
14,0.912183,0.777141,0.936367,0.808395,0.748435,0.672738,0.508998,0.549795,0.001000,0.095734,344.756899
15,0.901412,0.779154,0.906652,0.789666,0.746727,0.678429,0.493778,0.554478,0.001000,0.095711,344.976145
16,0.884556,0.772643,0.887632,0.780342,0.751850,0.639442,0.512810,0.563843,0.001000,0.095758,345.314385
17,0.870227,0.767206,0.875139,0.776033,0.749858,0.684405,0.563282,0.599113,0.001000,0.095720,345.048737
18,0.863699,0.768053,0.884445,0.791617,0.750142,0.705748,0.499522,0.564457,0.001000,0.095677,344.850728
19,0.850473,0.760881,0.848424,0.761709,0.750996,0.693227,0.553552,0.610039,0.001000,0.095747,344.890382
20,0.841212,0.757027,0.848281,0.766591,0.744166,0.685259,0.599803,0.621175,0.001000,0.095757,344.948386
21,0.839661,0.759753,0.843745,0.765724,0.745020,0.700911,0.554547,0.603001,0.001000,0.095705,345.026084
22,0.830736,0.754765,0.836751,0.762652,0.751281,0.699772,0.559132,0.612815,0.001000,0.095694,344.921129
23,0.825505,0.752905,0.843612,0.772622,0.741320,0.668184,0.606069,0.616046,0.001000,0.095721,344.881629
24,0.819604,0.749872,0.842669,0.774503,0.756118,0.692943,0.568526,0.604154,0.001000,0.095778,344.743878
25,0.814468,0.747589,0.827479,0.761713,0.754980,0.657940,0.588742,0.598623,0.001000,0.095808,345.059082
26,0.813362,0.748784,0.817235,0.753793,0.761525,0.717701,0.579557,0.619789,0.001000,0.095770,345.242956
27,0.809103,0.746593,0.807364,0.746052,0.758110,0.707456,0.587587,0.627093,0.001000,0.095743,344.882701
28,0.801223,0.740913,0.809310,0.750071,0.757257,0.713717,0.589023,0.628099,0.001000,0.095700,344.846048
29,0.798352,0.739875,0.798513,0.740622,0.758395,0.703187,0.612998,0.643406,0.001000,0.095739,344.726785
30,0.797811,0.740474,0.803025,0.746310,0.761241,0.703472,0.576645,0.613162,0.001000,0.095699,344.308998
31,0.794377,0.738344,0.811218,0.755911,0.759533,0.733637,0.545850,0.612075,0.001000,0.095753,344.999970
32,0.792351,0.737386,0.794132,0.739547,0.755834,0.714570,0.596887,0.646804,0.001000,0.095730,345.513118
33,0.788220,0.734438,0.790702,0.737645,0.759533,0.721116,0.608968,0.648410,0.001000,0.095701,345.294672
34,0.784589,0.732049,0.792226,0.740165,0.767786,0.719408,0.583013,0.622429,0.001000,0.095702,345.064807
35,0.784702,0.733068,0.799282,0.748030,0.753842,0.683836,0.631382,0.652929,0.001000,0.095662,345.186495
36,0.781907,0.731104,0.800169,0.749761,0.757257,0.727376,0.560856,0.625983,0.001000,0.095721,345.163903
37,0.781622,0.731524,0.802317,0.752482,0.758964,0.711725,0.606050,0.636518,0.001000,0.095676,344.989797
38,0.779255,0.729835,0.795926,0.746885,0.759818,0.717131,0.598493,0.635638,0.001000,0.095717,345.026535
39,0.775031,0.726336,0.789481,0.741183,0.756688,0.699488,0.631750,0.647081,0.001000,0.095726,345.200383
40,0.772321,0.724137,0.795950,0.747847,0.758110,0.720831,0.554153,0.619584,0.001000,0.095680,345.214005
