epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.910175,1.056323,1.776585,0.938814,0.705748,0.425726,0.200946,0.250489,0.001000,0.469556,733.641451
2,1.749032,0.934966,1.708207,0.920332,0.677291,0.469835,0.281480,0.301097,0.001000,0.452665,490.095479
3,1.675754,0.915977,1.636291,0.905913,0.729368,0.642573,0.279016,0.361956,0.001000,0.453740,491.161725
4,1.593910,0.894025,1.571749,0.902693,0.734206,0.644565,0.295902,0.389202,0.001000,0.453868,491.129553
5,1.525540,0.886598,1.493001,0.883637,0.725669,0.535287,0.333896,0.396970,0.001000,0.454163,491.409966
6,1.440974,0.861182,1.415801,0.865201,0.731929,0.680421,0.347953,0.441114,0.001000,0.454226,491.387508
7,1.377978,0.854850,1.387671,0.890420,0.731929,0.648549,0.396776,0.436371,0.001000,0.451720,487.806096
8,1.314939,0.842620,1.285767,0.837549,0.730791,0.603870,0.457448,0.484565,0.001000,0.446884,482.402670
9,1.244783,0.820361,1.221326,0.820067,0.739898,0.657086,0.473443,0.525665,0.001000,0.446858,482.498569
10,1.194078,0.813782,1.185783,0.825531,0.731076,0.593910,0.501501,0.541917,0.001000,0.446897,482.726711
11,1.148628,0.806900,1.137867,0.814182,0.745304,0.664200,0.436673,0.501426,0.001000,0.446589,483.142926
12,1.108336,0.801491,1.094843,0.803788,0.724815,0.600455,0.549365,0.549486,0.001000,0.447002,482.690838
13,1.073369,0.797515,1.070869,0.809389,0.745020,0.668754,0.504165,0.556419,0.001000,0.450270,486.413943
14,1.033168,0.785345,1.040232,0.805964,0.745020,0.659647,0.527692,0.560862,0.001000,0.446476,482.321607
15,1.014137,0.791585,1.046443,0.832742,0.746158,0.690381,0.487319,0.557997,0.001000,0.446418,482.508782
16,0.985043,0.781468,0.979933,0.787639,0.745589,0.640011,0.554486,0.570025,0.001000,0.446631,482.537536
17,0.958878,0.776363,0.958018,0.783706,0.745304,0.640296,0.558315,0.585205,0.001000,0.446369,482.167692
18,0.942356,0.776444,0.946442,0.788438,0.747866,0.700057,0.434617,0.541160,0.001000,0.446460,482.345946
19,0.919741,0.769152,0.917844,0.774031,0.748150,0.682698,0.539756,0.594916,0.001000,0.446422,482.871561
20,0.899736,0.762462,0.903605,0.772363,0.750996,0.676153,0.590688,0.615713,0.001000,0.446378,482.649715
21,0.888267,0.762330,0.898096,0.777216,0.751565,0.714855,0.547923,0.592146,0.001000,0.446481,482.680025
22,0.877414,0.760808,0.870489,0.758246,0.755549,0.695788,0.565207,0.613798,0.001000,0.445964,482.563253
23,0.866623,0.758029,0.869444,0.764703,0.753273,0.672738,0.621639,0.622003,0.001000,0.445815,482.545430
24,0.859111,0.757341,0.863449,0.765225,0.761241,0.698065,0.535951,0.588445,0.001000,0.445892,482.215254
25,0.847759,0.751654,0.852379,0.758440,0.752988,0.663347,0.566929,0.602273,0.001000,0.445333,482.181264
26,0.838656,0.747606,0.842418,0.753710,0.767217,0.703472,0.585390,0.619486,0.001000,0.445277,482.024428
27,0.835004,0.747666,0.839988,0.754561,0.754980,0.698349,0.622724,0.627286,0.001000,0.444749,482.002602
28,0.824426,0.740627,0.830942,0.748439,0.756118,0.709163,0.570786,0.608355,0.001000,0.444783,482.192037
29,0.824930,0.743501,0.821241,0.741272,0.756688,0.657655,0.615631,0.614491,0.001000,0.444581,481.686719
30,0.817054,0.738837,0.820726,0.743936,0.760387,0.696357,0.557311,0.609809,0.001000,0.444148,481.679513
31,0.810649,0.734552,0.832620,0.757381,0.754696,0.726522,0.607650,0.644304,0.001000,0.444205,481.405846
32,0.806023,0.731382,0.804456,0.730939,0.756118,0.704610,0.616470,0.656052,0.001000,0.443867,481.394643
