epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.654337,7.420214,1.627658,9.739247,0.415196,0.415196,0.136711,0.136711,0.010000,0.291945,582.097373
2,1.564034,13.371047,1.567407,16.645771,0.334946,0.334946,0.132801,0.132801,0.010000,0.275659,575.430639
3,1.575785,17.397230,1.575536,19.034575,0.378771,0.378771,0.140898,0.140898,0.010000,0.275494,576.324296
4,1.537480,20.529190,1.553409,21.372890,0.377632,0.377632,0.145758,0.145758,0.010000,0.275692,579.179856
5,1.515036,19.382103,1.526225,19.453394,0.356574,0.356574,0.153357,0.153357,0.010000,0.275552,572.486063
6,1.492963,18.468267,1.551846,16.851408,0.495447,0.495447,0.187853,0.187853,0.010000,0.275607,577.775704
7,1.484757,20.134628,1.512067,24.315538,0.276039,0.276039,0.121062,0.121062,0.010000,0.275596,577.303773
8,1.477541,21.369915,1.517597,21.298130,0.429994,0.429994,0.161256,0.161256,0.010000,0.275966,573.792225
9,1.456928,20.650427,1.484929,21.927235,0.315595,0.315595,0.141247,0.141247,0.010000,0.275600,574.865512
10,1.436147,19.098633,1.452795,20.555502,0.449630,0.449630,0.193178,0.193178,0.010000,0.275606,574.955126
11,1.430625,18.983259,1.437651,22.578129,0.455037,0.455037,0.199310,0.199310,0.010000,0.275472,573.970585
12,1.417187,21.162073,1.479938,22.054411,0.423734,0.423734,0.150076,0.150076,0.010000,0.275767,575.515427
13,1.425792,21.390799,1.440251,26.500124,0.414912,0.414912,0.163689,0.163689,0.010000,0.275724,571.692075
14,1.408792,21.765755,1.443370,17.310659,0.456744,0.456744,0.209447,0.209447,0.010000,0.275657,574.102409
15,1.395286,21.194162,1.433818,24.962961,0.321571,0.321571,0.144952,0.144952,0.010000,0.275606,574.661114
16,1.385887,23.016117,1.515161,25.486246,0.270347,0.270347,0.105000,0.105000,0.010000,0.275633,574.017396
17,1.375280,26.636683,1.402916,23.214563,0.389585,0.389585,0.183016,0.183016,0.010000,0.275587,571.740193
18,1.364299,26.274149,1.386423,28.589148,0.359135,0.359135,0.178024,0.178024,0.010000,0.275651,573.462417
19,1.371450,25.200987,1.373168,19.081224,0.417188,0.417188,0.201707,0.201707,0.010000,0.275755,571.070464
20,1.339963,20.659037,1.388814,22.948978,0.374217,0.373933,0.171625,0.171379,0.010000,0.275730,577.352986
21,1.344146,24.877712,1.364774,24.212284,0.413489,0.413489,0.197125,0.197125,0.010000,0.275688,572.456967
22,1.333081,25.044838,1.400555,29.587824,0.360273,0.360273,0.162868,0.162868,0.010000,0.275655,574.848480
23,1.319714,22.547802,1.368524,21.089529,0.486625,0.486625,0.207668,0.207668,0.010000,0.275676,577.388561
24,1.313311,25.750296,1.385161,29.836231,0.315879,0.315879,0.149064,0.149064,0.010000,0.275616,576.002376
25,1.304390,25.186773,1.327516,25.555466,0.397553,0.397553,0.193767,0.193767,0.010000,0.275683,574.085503
26,1.285361,25.227610,1.321058,29.488718,0.374502,0.374502,0.188329,0.188329,0.010000,0.275661,573.596357
27,1.281898,24.998098,1.321601,22.326426,0.467843,0.467843,0.216594,0.216594,0.010000,0.275575,571.874913
28,1.278516,22.736799,1.313882,22.777765,0.449061,0.449061,0.211314,0.211314,0.010000,0.275637,579.903821
29,1.268653,26.162319,1.312158,25.742842,0.430279,0.430279,0.205339,0.205339,0.010000,0.275937,574.683884
30,1.272876,24.558495,1.292726,22.573568,0.427433,0.427433,0.206282,0.206282,0.010000,0.275706,577.690270
31,1.260843,22.031342,1.299365,24.261789,0.394138,0.394138,0.186478,0.186478,0.010000,0.275672,577.946328
32,1.253163,24.411560,1.293362,27.470343,0.349744,0.349744,0.170370,0.170370,0.010000,0.275656,576.336254
33,1.236555,25.956766,1.281581,22.090851,0.407228,0.407228,0.192861,0.192861,0.010000,0.275466,577.012550
34,1.240934,22.435019,1.249148,21.942245,0.387308,0.387308,0.191149,0.191149,0.010000,0.275640,572.321714
35,1.228520,22.701164,1.250246,23.214396,0.393853,0.393853,0.196608,0.196608,0.010000,0.275750,573.022201
36,1.221036,23.205608,1.245787,25.274454,0.429141,0.429141,0.219111,0.219111,0.010000,0.275726,573.978733
37,1.215985,26.317711,1.241303,25.153395,0.435401,0.435401,0.221596,0.221596,0.010000,0.275387,575.148524
38,1.212216,26.133181,1.272544,28.856726,0.334661,0.334661,0.158473,0.158473,0.010000,0.275780,577.403191
39,1.212441,24.071115,1.255048,18.801550,0.479226,0.479226,0.213377,0.213377,0.010000,0.275810,575.483605
40,1.188116,21.630447,1.208123,23.951754,0.414912,0.414912,0.219381,0.219381,0.010000,0.275561,572.635283
41,1.180034,23.358852,1.223713,20.419596,0.476096,0.476096,0.233214,0.233214,0.010000,0.275511,574.104402
42,1.184681,22.510584,1.219452,23.732504,0.435970,0.435970,0.219184,0.219184,0.010000,0.275689,576.685550
43,1.172635,24.720766,1.227436,23.231131,0.443654,0.443654,0.218409,0.218409,0.010000,0.275690,575.734818
44,1.176963,24.855179,1.212083,21.848713,0.473250,0.473250,0.234119,0.234119,0.010000,0.275668,571.964376
45,1.157482,24.853958,1.182655,23.720470,0.449061,0.449061,0.226363,0.226363,0.010000,0.275672,576.619381
46,1.157560,24.564093,1.177191,24.433004,0.475526,0.475526,0.230812,0.230812,0.010000,0.275638,575.750554
47,1.149548,24.645662,1.188945,24.636518,0.461298,0.461013,0.234952,0.234706,0.010000,0.275584,572.578043
48,1.139294,24.661734,1.169028,26.664438,0.399260,0.399260,0.208755,0.208755,0.010000,0.275778,571.581740
49,1.134226,26.528158,1.173404,26.942011,0.438816,0.438816,0.226755,0.226755,0.010000,0.275706,575.688537
50,1.124279,24.691763,1.160241,24.908314,0.433694,0.433694,0.234151,0.234151,0.010000,0.275601,574.129371
51,1.115772,24.940252,1.177058,22.102585,0.457598,0.457598,0.217459,0.217459,0.010000,0.275694,573.629039
52,1.125566,22.249578,1.193398,21.443495,0.500569,0.500569,0.227504,0.227504,0.010000,0.275093,576.333774
53,1.106889,21.590460,1.186437,20.616522,0.476380,0.476380,0.226955,0.226955,0.010000,0.275581,578.809847
54,1.117343,22.096411,1.150972,26.169596,0.350598,0.350598,0.177646,0.177646,0.010000,0.275635,576.827828
55,1.101605,22.848030,1.130697,20.844915,0.461582,0.461582,0.235172,0.235172,0.010000,0.275852,572.440144
56,1.102160,20.283840,1.166995,24.151691,0.433409,0.433409,0.217892,0.217892,0.010000,0.275001,576.140123
57,1.091998,24.081953,1.119602,24.157824,0.443085,0.443085,0.227496,0.227496,0.010000,0.275762,574.179142
58,1.086329,25.117426,1.124717,24.158428,0.373079,0.373079,0.187797,0.187797,0.010000,0.275694,574.598665
59,1.098100,22.755037,1.133419,23.133295,0.471542,0.471542,0.231407,0.231407,0.010000,0.275596,573.835651
60,1.085925,24.813026,1.138677,24.008652,0.447069,0.447069,0.215456,0.215456,0.010000,0.275683,579.414799
61,1.070348,23.068237,1.141488,24.678722,0.452476,0.452476,0.215487,0.215487,0.010000,0.275671,577.494412
62,1.056635,22.987663,1.103600,21.047266,0.509391,0.509391,0.259022,0.259022,0.010000,0.275616,572.280032
63,1.061889,24.471720,1.110579,23.223324,0.442516,0.442516,0.227466,0.227466,0.010000,0.275559,576.048185
64,1.047259,22.424423,1.088824,24.686756,0.446215,0.446215,0.229700,0.229700,0.010000,0.275642,577.668960
65,1.049714,22.031231,1.076381,20.490278,0.505976,0.505976,0.261894,0.261894,0.010000,0.275616,575.430303
66,1.041824,25.023504,1.072270,26.427038,0.403813,0.403529,0.220501,0.220256,0.010000,0.275628,577.617653
67,1.038866,24.461843,1.082450,25.443478,0.447638,0.447638,0.228029,0.228029,0.010000,0.275520,576.064089
68,1.036604,24.164383,1.092257,27.015018,0.398122,0.398122,0.201767,0.201767,0.010000,0.275665,574.851487
69,1.018418,24.879784,1.079901,27.940260,0.412635,0.412635,0.207321,0.207321,0.010000,0.275605,573.423646
70,1.020511,24.282639,1.070753,24.280506,0.410074,0.410074,0.213246,0.213246,0.010000,0.275593,577.595468
71,1.012626,24.002945,1.070153,25.099442,0.439101,0.439101,0.227178,0.227178,0.010000,0.275645,575.924308
72,0.998906,24.057003,1.072727,22.008709,0.481218,0.481218,0.244197,0.244197,0.010000,0.275734,577.443472
73,1.003409,22.163708,1.070813,23.660030,0.493455,0.493455,0.247448,0.247448,0.010000,0.275582,575.742602
74,0.997233,20.958260,1.032188,23.796909,0.480364,0.480364,0.247593,0.247593,0.010000,0.275609,572.977730
75,1.003937,23.765968,1.055190,23.517359,0.478088,0.477803,0.234978,0.234732,0.010000,0.275684,579.841672
76,1.001734,22.598680,1.028685,23.664997,0.461582,0.461582,0.240079,0.240079,0.010000,0.275954,574.499844
77,0.990875,22.285559,1.076974,22.453106,0.413773,0.413773,0.197010,0.197010,0.010000,0.275596,574.807924
78,0.988206,21.354418,1.042442,20.057112,0.481218,0.481218,0.244717,0.244717,0.010000,0.275590,576.310588
79,0.979159,23.573786,1.029390,25.455385,0.432271,0.432271,0.225209,0.225209,0.010000,0.275613,576.794611
80,0.971563,22.696598,1.024865,21.610790,0.491747,0.491747,0.254668,0.254668,0.010000,0.275608,575.874567
81,0.966478,21.313976,0.993666,20.030416,0.511668,0.511668,0.267786,0.267786,0.010000,0.275577,573.626837
82,0.972593,19.888718,1.016403,19.640543,0.516505,0.516505,0.262482,0.262482,0.010000,0.275563,572.803623
83,0.963787,20.570118,1.008775,21.669109,0.461013,0.461013,0.240033,0.240033,0.010000,0.275690,572.765286
84,0.957126,23.083796,1.059084,26.969122,0.342345,0.342345,0.168033,0.168033,0.010000,0.275666,572.836460
85,0.952349,24.291410,0.978669,23.184011,0.441377,0.441377,0.245484,0.245484,0.010000,0.275600,577.149536
86,0.942461,22.862408,0.992926,20.825144,0.484064,0.484064,0.263362,0.263362,0.010000,0.275611,576.147120
87,0.946570,22.480467,1.014135,25.433691,0.392430,0.392430,0.203390,0.203390,0.010000,0.275640,574.692350
88,0.945523,23.132210,0.983994,22.832026,0.465282,0.465282,0.245992,0.245992,0.010000,0.275657,572.977280
89,0.930269,21.539886,0.977372,21.682510,0.419465,0.419465,0.229169,0.229169,0.010000,0.275646,576.627604
90,0.929549,22.944582,0.968832,22.933500,0.470973,0.470973,0.254250,0.254250,0.010000,0.275818,576.447668
91,0.923996,20.766226,0.983290,21.818735,0.426579,0.426295,0.226334,0.226088,0.010000,0.275910,575.528054
92,0.925555,21.539888,0.958379,23.565962,0.428571,0.428571,0.233639,0.233639,0.010000,0.275573,574.518157
93,0.913812,20.762991,0.935167,18.301653,0.509676,0.509676,0.273379,0.273379,0.010000,0.275015,667.473098
94,0.911467,19.233759,0.933685,18.645555,0.527604,0.527604,0.289530,0.289530,0.010000,0.276023,571.910108
95,0.907037,20.285793,0.944671,22.072565,0.444508,0.444508,0.249065,0.249065,0.010000,0.275803,567.474140
96,0.907123,22.015238,0.924397,23.513933,0.418327,0.418327,0.244455,0.244455,0.010000,0.275778,566.163035
97,0.916387,21.408157,0.938699,24.232798,0.390438,0.390438,0.220837,0.220837,0.010000,0.275821,564.841503
98,0.895052,20.964954,0.923344,20.352690,0.475526,0.475526,0.269290,0.269290,0.010000,0.275744,569.126072
99,0.892895,19.481276,0.894380,18.836681,0.509960,0.509960,0.288874,0.288874,0.010000,0.275668,570.485564
100,0.892117,18.860537,0.934772,17.686979,0.530734,0.530734,0.280598,0.280598,0.010000,0.275623,566.931986
