epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.789563,64.550156,0.914789,0.085956,0.720546,0.223677,0.333688,0.230191,0.001000,365.249749
2,1.495527,1.031480,0.768012,0.068007,0.756688,0.618384,0.220640,0.375935,0.001000,370.287860
3,1.319363,1.037201,1.205505,0.087008,0.745304,0.744166,0.004826,0.026049,0.001000,370.482817
4,1.210237,0.906611,0.874821,0.083215,0.740467,0.272624,0.385235,0.325601,0.001000,371.845458
5,1.141978,0.966147,0.809256,0.068934,0.758395,0.471542,0.428634,0.459625,0.001000,370.945126
6,1.085860,0.869794,0.843461,0.077420,0.729084,0.352590,0.492993,0.415047,0.001000,371.177569
7,1.050028,1.040211,0.987672,0.100389,0.649118,0.202334,0.378358,0.306002,0.001000,372.353572
8,1.019941,0.871105,0.776934,0.068143,0.764656,0.428002,0.519439,0.492005,0.001000,372.016333
9,0.997141,0.797663,0.754477,0.059015,0.778600,0.704326,0.492397,0.546451,0.001000,371.002057
10,0.983164,0.828028,0.749101,0.060195,0.763802,0.706033,0.430513,0.556485,0.001000,370.612755
11,0.969120,0.837833,0.716265,0.060474,0.777746,0.616107,0.543801,0.581078,0.001000,370.819932
12,0.957422,0.842345,0.710395,0.056435,0.784861,0.716562,0.494667,0.571528,0.001000,371.590081
13,0.943845,0.797398,0.827357,0.074980,0.747581,0.351167,0.528871,0.451650,0.001000,372.316684
14,0.933079,0.752528,0.690384,0.056670,0.781446,0.669607,0.486149,0.564746,0.001000,371.030617
15,0.928063,0.765687,0.703235,0.058049,0.782299,0.664769,0.499351,0.539202,0.001000,371.082004
16,0.918036,0.750584,0.673593,0.054422,0.796528,0.643426,0.544515,0.586434,0.001000,370.714622
17,0.910290,0.765900,0.762179,0.061172,0.773762,0.747581,0.365370,0.469618,0.001000,370.453610
18,0.907203,0.741936,0.708478,0.056547,0.785145,0.735060,0.478202,0.555810,0.001000,370.735703
19,0.898833,0.721276,0.748807,0.063270,0.767501,0.541548,0.567662,0.552850,0.001000,370.959390
20,0.894637,0.719611,0.765618,0.066754,0.764656,0.511668,0.576998,0.563756,0.001000,371.919425
21,0.889357,0.732929,0.689892,0.055368,0.788275,0.686966,0.568549,0.619017,0.001000,371.884862
22,0.884500,0.714159,0.781972,0.062587,0.774616,0.755549,0.358339,0.433496,0.001000,371.811662
23,0.882785,0.724271,0.692493,0.054768,0.792260,0.692373,0.523321,0.588349,0.001000,371.815146
24,0.878018,0.715545,0.832616,0.065867,0.772339,0.762948,0.318278,0.380644,0.001000,370.572350
25,0.875371,0.724454,0.669845,0.053493,0.793398,0.683267,0.577002,0.628145,0.001000,371.129020
26,0.873843,0.702251,0.750521,0.059836,0.780023,0.743597,0.392771,0.478534,0.001000,370.677389
27,0.868841,0.711478,0.678397,0.053935,0.786283,0.716847,0.543888,0.625370,0.001000,370.713372
28,0.864548,0.732284,0.687450,0.054526,0.797097,0.609277,0.630591,0.645409,0.001000,370.963502
29,0.864003,0.693038,0.741656,0.065194,0.768924,0.466989,0.589858,0.544995,0.001000,370.813159
30,0.863383,0.711649,0.720859,0.060498,0.791975,0.508537,0.622127,0.573910,0.001000,370.813425
31,0.859785,0.679193,0.652595,0.052610,0.797666,0.725669,0.513382,0.578424,0.001000,370.999284
32,0.857845,0.694046,0.693070,0.054148,0.785430,0.736767,0.515198,0.586172,0.001000,371.200809
33,0.857687,0.702009,0.766043,0.060345,0.777462,0.758680,0.408144,0.476944,0.001000,371.668307
34,0.853411,0.702677,0.691164,0.055784,0.795959,0.614115,0.637730,0.621177,0.001000,371.357518
35,0.852832,0.704591,0.690515,0.056081,0.787422,0.611269,0.635896,0.625975,0.001000,371.145406
36,0.851262,0.673045,0.656757,0.051173,0.801366,0.692658,0.607565,0.651352,0.001000,370.787410
37,0.852199,0.687116,0.633822,0.049586,0.808480,0.727945,0.588537,0.626407,0.001000,370.972515
38,0.848515,0.706246,0.700961,0.056038,0.783722,0.657371,0.620268,0.666153,0.001000,371.083971
39,0.846767,0.675963,0.677547,0.054517,0.792544,0.657940,0.623086,0.654458,0.001000,370.834113
40,0.844245,0.659397,0.702207,0.056218,0.784576,0.757826,0.455659,0.548078,0.001000,370.862636
41,0.843904,0.701238,0.746318,0.062558,0.780307,0.491747,0.631348,0.584250,0.001000,370.900743
42,0.842412,0.680641,0.719735,0.056295,0.789698,0.762094,0.449767,0.517144,0.001000,370.662017
43,0.840783,0.667155,0.766036,0.067089,0.762664,0.466705,0.590053,0.552163,0.001000,371.081225
44,0.839893,0.666106,0.965247,0.101140,0.675583,0.314741,0.482039,0.435548,0.001000,371.002679
45,0.839318,0.672610,0.689340,0.056177,0.784861,0.652817,0.623862,0.643583,0.001000,370.723799
46,0.837025,0.665211,0.766078,0.067705,0.766363,0.443939,0.615321,0.549908,0.001000,370.621278
47,0.837775,0.665066,0.670633,0.052406,0.799659,0.750142,0.515515,0.586913,0.001000,370.918580
48,0.837753,0.673589,0.648182,0.050184,0.813034,0.671315,0.659217,0.672850,0.001000,371.526232
49,0.836878,0.664384,0.658631,0.050790,0.802220,0.757541,0.543808,0.612969,0.001000,370.881465
50,0.836091,0.674591,0.643259,0.050154,0.810757,0.663062,0.650952,0.651716,0.001000,372.283290
51,0.834636,0.677723,0.657814,0.051517,0.804496,0.633466,0.631841,0.655902,0.001000,371.889685
52,0.835038,0.656598,0.644911,0.050510,0.805065,0.664769,0.634482,0.667518,0.001000,373.035005
53,0.830602,0.652344,0.661503,0.052193,0.805065,0.653671,0.657027,0.669385,0.001000,373.178199
54,0.833351,0.657796,0.644024,0.050718,0.809334,0.671599,0.660734,0.675251,0.001000,372.245261
55,0.831196,0.660443,0.625936,0.047605,0.807057,0.754696,0.624513,0.688561,0.001000,371.726509
56,0.829381,0.666722,0.651295,0.050265,0.801081,0.703187,0.628869,0.661432,0.001000,370.765191
57,0.829105,0.667523,0.700366,0.055388,0.790268,0.774616,0.461650,0.540485,0.001000,370.840533
58,0.830285,0.656118,0.635103,0.048903,0.809334,0.704326,0.642241,0.679679,0.001000,370.754658
59,0.829182,0.676902,0.642801,0.049606,0.807911,0.679567,0.632485,0.667409,0.001000,372.613214
60,0.826667,0.649187,0.719818,0.058889,0.785430,0.569721,0.613691,0.607550,0.001000,371.621500
61,0.824058,0.646144,0.665609,0.052667,0.796813,0.752419,0.511561,0.578064,0.001000,371.974319
62,0.827210,0.659673,0.679053,0.054770,0.801366,0.610415,0.666955,0.640236,0.001000,371.058937
63,0.826389,0.665199,0.652252,0.050775,0.809619,0.709732,0.558533,0.617193,0.001000,371.858224
64,0.826978,0.644650,0.633002,0.049967,0.808196,0.677006,0.654551,0.671994,0.001000,370.724382
65,0.825290,0.652972,0.657322,0.051750,0.810188,0.635743,0.667580,0.667710,0.001000,371.361715
66,0.823197,0.645116,0.633517,0.048415,0.813603,0.707171,0.654888,0.685049,0.001000,368.263348
67,0.823204,0.642918,0.656961,0.050990,0.809050,0.660785,0.628122,0.635917,0.001000,368.982690
68,0.823306,0.655017,0.670605,0.052719,0.802220,0.678714,0.659168,0.659344,0.001000,369.908410
69,0.823615,0.646242,0.628832,0.047765,0.817587,0.710586,0.649027,0.670149,0.001000,370.336516
70,0.820717,0.631832,0.677800,0.055668,0.807342,0.556915,0.660145,0.626873,0.001000,370.753584
71,0.821818,0.646240,0.664560,0.050249,0.799659,0.763233,0.576821,0.644205,0.001000,371.142864
72,0.822618,0.634116,0.633206,0.049256,0.809050,0.717131,0.620072,0.668202,0.001000,371.050154
73,0.822546,0.648289,0.642429,0.049377,0.809619,0.743312,0.595895,0.644638,0.001000,371.655982
74,0.819959,0.643272,0.640970,0.049082,0.808480,0.712578,0.660821,0.670392,0.001000,371.199771
75,0.822861,0.648193,0.652264,0.051096,0.803358,0.700911,0.630449,0.656491,0.001000,372.590457
76,0.820323,0.648743,0.686476,0.055277,0.803073,0.599317,0.665370,0.632109,0.001000,371.281699
77,0.819892,0.657887,0.641766,0.048848,0.808480,0.714855,0.644645,0.689779,0.001000,371.846040
78,0.816821,0.633884,0.641690,0.050213,0.798805,0.728799,0.566440,0.631184,0.001000,373.439327
79,0.820865,0.646714,0.716155,0.057590,0.785430,0.601024,0.633878,0.624664,0.001000,374.002326
80,0.820519,0.634549,0.634264,0.048950,0.803927,0.763802,0.602110,0.668415,0.001000,371.025601
81,0.820482,0.645940,0.653815,0.049811,0.803358,0.767217,0.588806,0.630029,0.001000,372.598301
82,0.818807,0.663704,0.661756,0.053808,0.799943,0.697780,0.614259,0.659803,0.001000,371.505220
83,0.818280,0.649350,0.623776,0.047764,0.814456,0.743597,0.637842,0.674128,0.001000,371.171623
84,0.818281,0.633949,0.669713,0.053299,0.808196,0.617245,0.686622,0.669050,0.001000,371.129211
85,0.818118,0.632649,0.664551,0.052046,0.806204,0.656517,0.654304,0.660250,0.001000,371.012387
86,0.817380,0.650777,0.643765,0.048876,0.809334,0.709163,0.652092,0.694109,0.001000,371.259034
