epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,2.015603,31.882875,1.048681,0.095189,0.727945,0.080535,0.235633,0.125707,0.001000,655.653908
2,1.726317,1.193107,1.918803,0.244328,0.128344,0.098463,0.053682,0.073764,0.001000,355.229129
3,1.555056,1.115626,1.059503,0.090590,0.731076,0.085373,0.226088,0.123491,0.001000,355.360381
4,1.450214,1.074140,0.975810,0.083566,0.751565,0.101594,0.352525,0.218390,0.001000,356.681561
5,1.386700,1.094244,2.615285,0.345057,0.101024,0.039271,0.044078,0.057023,0.001000,357.073622
6,1.339343,1.103669,1.046302,0.087917,0.646272,0.087365,0.367606,0.163297,0.001000,357.084957
7,1.307942,1.081981,0.958833,0.079820,0.757541,0.091633,0.336738,0.164181,0.001000,357.081839
8,1.286379,1.016379,0.912614,0.074213,0.753557,0.313034,0.257398,0.298002,0.001000,357.050643
9,1.269026,1.041651,0.928927,0.074402,0.758110,0.130905,0.382409,0.221603,0.001000,357.296903
10,1.258564,1.009965,1.067131,0.094818,0.712294,0.120945,0.591961,0.352655,0.001000,357.185003
11,1.246211,1.044531,1.037390,0.085847,0.647695,0.117245,0.548086,0.306133,0.001000,357.202806
12,1.236744,0.986530,0.901719,0.073396,0.766648,0.098463,0.392610,0.216824,0.001000,357.156935
13,1.228957,0.996329,1.014432,0.088769,0.743882,0.126067,0.602609,0.347493,0.001000,357.218337
14,1.220972,1.004842,0.940934,0.076101,0.765225,0.107854,0.501123,0.284560,0.001000,357.644130
15,1.216915,0.994126,1.064841,0.095037,0.663916,0.132897,0.525323,0.318542,0.001000,357.249322
16,1.210374,0.966801,0.936168,0.076588,0.774047,0.110131,0.522233,0.292123,0.001000,357.311182
17,1.206822,0.962012,0.938846,0.076683,0.768071,0.097610,0.438823,0.200698,0.001000,357.215186
18,1.203693,0.988042,0.952226,0.078205,0.770063,0.106147,0.500290,0.260346,0.001000,357.375438
19,1.198907,0.972616,0.967728,0.080559,0.763233,0.105578,0.529922,0.269889,0.001000,357.360148
20,1.195323,0.960356,0.939256,0.077620,0.757826,0.133182,0.636937,0.369059,0.001000,357.276237
21,1.192803,0.968277,0.921456,0.073675,0.765225,0.094195,0.407412,0.210905,0.001000,357.243996
22,1.190983,0.974561,0.890658,0.071124,0.777746,0.111838,0.520909,0.298631,0.001000,357.550667
23,1.190018,0.981479,0.932831,0.075388,0.761810,0.088219,0.313886,0.141104,0.001000,357.195058
24,1.188189,0.971727,0.923969,0.074001,0.762379,0.092203,0.368192,0.188913,0.001000,357.288010
25,1.186631,0.970344,1.145501,0.110441,0.668754,0.146272,0.551445,0.305407,0.001000,357.188481
26,1.184022,0.936554,0.925955,0.074901,0.784861,0.114684,0.551662,0.295882,0.001000,357.117432
27,1.183592,0.979113,0.894836,0.070494,0.765225,0.120660,0.462928,0.261107,0.001000,357.156616
28,1.181093,0.936856,0.931067,0.075564,0.778031,0.119806,0.612393,0.341132,0.001000,357.071976
29,1.180768,0.948261,0.899518,0.072434,0.767786,0.157371,0.614339,0.355321,0.001000,373.928203
