epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.623919,198.653168,0.861456,0.078605,0.745304,0.697211,0.055975,0.181819,0.001000,722.770785
2,1.327327,0.994156,0.759258,0.069577,0.753557,0.666192,0.217960,0.350001,0.001000,711.448566
3,1.153326,0.993259,0.902409,0.079644,0.746443,0.739044,0.049256,0.119548,0.001000,706.041550
4,1.049365,0.903973,0.895684,0.084947,0.722538,0.245020,0.420054,0.330483,0.001000,710.371525
5,0.969404,0.912558,0.833857,0.075592,0.748719,0.717416,0.139138,0.252242,0.001000,707.459693
6,0.916938,1.049884,0.792171,0.077407,0.719693,0.394707,0.447043,0.445930,0.001000,709.954428
7,0.869643,0.896630,0.800634,0.069074,0.762379,0.743597,0.310015,0.381098,0.001000,707.922540
8,0.842164,0.828152,0.714413,0.063281,0.767217,0.736198,0.301614,0.408621,0.001000,709.025815
9,0.817973,0.764169,0.697973,0.059098,0.774047,0.726807,0.462339,0.515081,0.001000,709.140705
10,0.797714,0.801047,1.339699,0.160944,0.437109,0.146841,0.279964,0.246398,0.001000,722.482781
