epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.621648,98.135162,0.915368,0.086118,0.682413,0.324986,0.312538,0.261936,0.001000,443.773395
2,1.331415,1.203024,0.857181,0.086790,0.723961,0.257826,0.390805,0.324922,0.001000,434.629318
3,1.155273,1.086835,1.064766,0.087268,0.746727,0.742459,0.021829,0.052219,0.001000,435.176764
4,1.043012,0.909828,0.887661,0.077423,0.753273,0.715424,0.132020,0.183771,0.001000,435.622378
5,0.970208,0.896892,0.870375,0.087597,0.701195,0.329254,0.442796,0.391760,0.001000,435.713940
6,0.914229,1.001604,0.828031,0.073249,0.758964,0.742174,0.184000,0.270416,0.001000,435.651278
7,0.873926,1.011683,0.729838,0.063255,0.766932,0.566875,0.448281,0.469723,0.001000,435.835495
8,0.839860,0.837285,0.704012,0.061900,0.771201,0.707740,0.392396,0.478620,0.001000,435.961069
9,0.811289,0.817130,0.752669,0.062959,0.762094,0.680137,0.539076,0.544364,0.001000,435.985641
10,0.799404,0.794084,0.808119,0.065835,0.734206,0.521343,0.576752,0.570547,0.001000,436.198655
11,0.781499,0.786461,0.691740,0.058838,0.782869,0.721400,0.470696,0.525215,0.001000,435.958794
12,0.771986,0.794280,0.709149,0.063169,0.771770,0.542971,0.563821,0.570683,0.001000,436.022921
13,0.757938,0.790938,0.814276,0.076822,0.702618,0.409505,0.441832,0.454459,0.001000,435.921076
14,0.742989,0.723533,0.747398,0.069739,0.756972,0.420319,0.564300,0.518143,0.001000,435.735582
15,0.739630,0.704530,0.676608,0.056703,0.780876,0.659647,0.576454,0.602123,0.001000,435.795307
16,0.727816,0.719504,0.740642,0.064854,0.769209,0.746443,0.307745,0.387637,0.001000,435.857450
17,0.717753,0.766711,0.671448,0.056788,0.788275,0.745020,0.478361,0.522667,0.001000,436.005081
18,0.715913,0.723245,0.682453,0.056743,0.782869,0.749858,0.453381,0.530218,0.001000,435.983606
19,0.706389,0.675259,0.653953,0.056137,0.790552,0.624644,0.584656,0.619380,0.001000,436.094249
20,0.699176,0.706000,0.694866,0.056641,0.780592,0.684974,0.524379,0.557564,0.001000,436.118271
21,0.696318,0.774024,0.649374,0.055449,0.786283,0.699488,0.570663,0.620578,0.001000,436.112631
22,0.688602,0.731177,0.651042,0.054396,0.792544,0.761525,0.504248,0.574756,0.001000,436.044201
23,0.683410,0.709549,0.697442,0.058901,0.782584,0.761810,0.437597,0.503085,0.001000,436.028288
24,0.679938,0.676043,0.665632,0.054747,0.797951,0.752419,0.487718,0.532096,0.001000,436.031339
25,0.673598,0.691259,0.618107,0.051672,0.798236,0.707740,0.577181,0.614627,0.001000,436.169779
26,0.670336,0.664753,0.631175,0.053661,0.790552,0.750711,0.475347,0.562362,0.001000,435.995763
27,0.664701,0.706034,0.636244,0.053207,0.791121,0.751850,0.535131,0.590760,0.001000,436.648598
28,0.661555,0.703822,0.621298,0.051552,0.795105,0.678145,0.601377,0.650900,0.001000,437.245723
29,0.656678,0.672144,0.618715,0.051279,0.799089,0.678714,0.611962,0.635694,0.001000,443.669063
30,0.656479,0.644728,0.637723,0.053293,0.796813,0.758110,0.504141,0.572304,0.001000,436.747986
31,0.653492,0.646285,0.718878,0.059561,0.787137,0.766363,0.450914,0.514422,0.001000,436.456701
32,0.650778,0.663032,0.653870,0.054208,0.791975,0.729937,0.579001,0.626424,0.001000,436.425248
33,0.647885,0.670943,0.663035,0.055208,0.790552,0.764656,0.509480,0.566183,0.001000,436.443204
34,0.647077,0.642443,0.690508,0.057758,0.788275,0.762094,0.430558,0.492456,0.001000,436.312953
35,0.642881,0.700619,0.681957,0.058691,0.783438,0.532442,0.629782,0.600943,0.001000,436.222317
36,0.641159,0.652702,0.612842,0.050052,0.805919,0.703472,0.609991,0.625378,0.001000,436.034976
37,0.642503,0.644160,0.623235,0.051701,0.794536,0.666477,0.628685,0.652272,0.001000,436.176782
38,0.638222,0.675115,0.680063,0.058200,0.788560,0.564883,0.646456,0.629703,0.001000,436.030797
39,0.634341,0.666100,0.686682,0.059806,0.778600,0.619806,0.612982,0.629267,0.001000,435.749141
40,0.632789,0.643160,0.684606,0.058255,0.784861,0.760672,0.415605,0.500362,0.001000,435.800752
41,0.634080,0.661424,0.621590,0.051238,0.802504,0.660785,0.640103,0.657183,0.001000,435.942163
42,0.630162,0.648909,0.626654,0.052211,0.800512,0.740467,0.548296,0.589068,0.001000,435.829828
43,0.628471,0.618887,0.614434,0.049804,0.803927,0.765225,0.579877,0.614421,0.001000,435.856816
44,0.627460,0.626815,0.862852,0.086338,0.699772,0.369380,0.519243,0.496801,0.001000,436.078888
45,0.627728,0.638800,0.609992,0.049117,0.803358,0.751281,0.616889,0.660122,0.001000,436.122280
46,0.623940,0.640401,0.673132,0.057816,0.788275,0.548947,0.623718,0.608243,0.001000,435.897104
47,0.626279,0.639640,0.699235,0.059117,0.787422,0.770916,0.414859,0.490398,0.001000,435.987447
48,0.626095,0.616756,0.587522,0.046941,0.810188,0.741036,0.601624,0.668696,0.001000,435.984780
49,0.623375,0.617402,0.675147,0.054852,0.798236,0.767217,0.535146,0.570725,0.001000,435.957049
50,0.622027,0.632509,0.607513,0.048907,0.810188,0.763233,0.608407,0.655354,0.001000,435.997837
51,0.620574,0.612332,0.610886,0.049900,0.800228,0.741605,0.606746,0.648775,0.001000,436.038106
52,0.622013,0.621587,0.595650,0.048977,0.804212,0.739613,0.601137,0.653033,0.001000,436.528363
53,0.617118,0.610526,0.600194,0.049383,0.803643,0.727376,0.629599,0.665281,0.001000,436.366700
54,0.618490,0.621547,0.601408,0.049429,0.805635,0.732214,0.615199,0.653813,0.001000,452.084144
55,0.619542,0.614862,0.620623,0.049623,0.808196,0.777177,0.612302,0.642574,0.001000,482.985036
56,0.617399,0.629731,0.629054,0.050657,0.799089,0.749004,0.580675,0.624605,0.001000,450.968410
57,0.616111,0.615600,0.623969,0.052825,0.795674,0.763802,0.490245,0.568712,0.001000,436.253848
58,0.615055,0.627501,0.585575,0.046830,0.808480,0.737336,0.637637,0.680067,0.001000,436.115702
59,0.616296,0.643576,0.612071,0.050691,0.797951,0.759249,0.583252,0.634587,0.001000,435.952894
60,0.613461,0.613553,0.580020,0.047331,0.810757,0.741890,0.617409,0.649341,0.001000,435.978232
61,0.611630,0.614290,0.625293,0.051165,0.798805,0.745589,0.587537,0.629294,0.001000,436.021670
62,0.614563,0.633299,0.600958,0.047783,0.811326,0.752134,0.634532,0.667037,0.001000,436.175652
63,0.610882,0.613338,0.590447,0.047989,0.811042,0.721685,0.615113,0.649878,0.001000,435.987896
64,0.610424,0.594327,0.603176,0.049008,0.805350,0.722823,0.623169,0.664625,0.001000,436.274699
65,0.610828,0.639142,0.804078,0.075728,0.718270,0.455037,0.551382,0.537891,0.001000,436.307959
66,0.610978,0.637430,0.618301,0.049410,0.810188,0.779738,0.583567,0.623615,0.001000,436.349553
67,0.607883,0.622479,0.603748,0.047314,0.810757,0.745589,0.629344,0.653872,0.001000,436.318366
68,0.610035,0.595097,0.615766,0.049715,0.803643,0.765794,0.560478,0.620155,0.001000,436.133375
69,0.608042,0.590336,0.587670,0.047184,0.813318,0.739328,0.643243,0.667675,0.001000,435.999741
70,0.606099,0.596676,0.709291,0.064489,0.765509,0.533011,0.599516,0.596532,0.001000,436.075118
71,0.607179,0.601388,0.644216,0.051509,0.800512,0.774331,0.581280,0.620548,0.001000,436.074276
72,0.607030,0.615507,0.589289,0.047443,0.812464,0.743312,0.635404,0.655778,0.001000,435.981123
73,0.607114,0.634176,0.595432,0.047394,0.812749,0.765794,0.597433,0.646031,0.001000,436.038996
74,0.604433,0.619299,0.606080,0.050333,0.803643,0.721969,0.649806,0.669959,0.001000,436.135748
75,0.608978,0.603911,0.631305,0.053163,0.787991,0.643142,0.629583,0.665670,0.001000,436.157144
76,0.605296,0.599364,0.590100,0.048436,0.807627,0.735344,0.592876,0.651739,0.001000,436.382893
77,0.601104,0.600140,0.580627,0.046709,0.806488,0.751850,0.615823,0.682382,0.001000,436.167773
78,0.605454,0.583302,0.583948,0.047101,0.808765,0.719124,0.639624,0.686218,0.001000,436.427331
79,0.604125,0.590106,0.616831,0.049952,0.805350,0.667046,0.649541,0.655195,0.001000,436.482480
80,0.603940,0.608530,0.588769,0.047212,0.811326,0.742459,0.651556,0.684000,0.001000,436.601956
81,0.604391,0.622896,0.594467,0.047716,0.810188,0.764940,0.617563,0.663640,0.001000,436.385120
82,0.601428,0.625914,0.646404,0.054739,0.793113,0.622937,0.639411,0.643304,0.001000,436.404230
83,0.601628,0.591767,0.591841,0.047081,0.812749,0.697211,0.675657,0.691959,0.001000,436.393034
