epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.775594,3.644886,1.082386,0.119723,0.539271,0.138019,0.231931,0.184681,0.010000,593.162438
2,1.654661,0.923839,1.794366,0.221654,0.202903,0.133466,0.066369,0.089830,0.010000,583.388490
3,1.617610,0.957780,0.918140,0.080558,0.745874,0.728515,0.069492,0.158673,0.010000,591.492336
4,1.591439,0.939703,0.775908,0.072570,0.742743,0.525896,0.378872,0.404906,0.010000,485.315553
5,1.570391,0.968427,1.373112,0.167675,0.422595,0.170176,0.220411,0.196209,0.010000,445.936551
6,1.550202,0.916772,0.759550,0.069515,0.743028,0.534149,0.391543,0.421261,0.010000,428.767091
7,1.534248,0.897829,0.736681,0.065877,0.760102,0.689528,0.323163,0.415326,0.010000,429.896048
8,1.518066,0.887716,0.751639,0.067512,0.762094,0.702334,0.291293,0.389777,0.010000,466.921579
9,1.501803,0.859829,0.724022,0.065710,0.758964,0.671030,0.384767,0.457597,0.010000,465.730457
10,1.489279,0.817868,0.727496,0.066539,0.758395,0.680137,0.335769,0.434781,0.010000,428.540604
11,1.471414,0.856942,0.702877,0.061389,0.773478,0.672168,0.433236,0.491639,0.010000,426.064232
12,1.458868,0.876092,1.330620,0.147362,0.431417,0.192089,0.243512,0.257595,0.010000,427.561229
13,1.447035,0.811106,0.709718,0.063219,0.766363,0.708310,0.362859,0.464715,0.010000,432.747278
14,1.430690,0.811135,0.726435,0.064118,0.761810,0.700341,0.374807,0.445064,0.010000,428.578960
15,1.415953,0.850883,0.884690,0.087078,0.681559,0.414058,0.467769,0.440087,0.010000,430.495128
16,1.400559,0.864203,0.804324,0.076358,0.707740,0.443654,0.477260,0.473121,0.010000,431.742493
17,1.388999,0.731567,0.699956,0.059982,0.774047,0.714286,0.422321,0.491047,0.010000,429.546342
18,1.373492,0.722271,0.734121,0.063670,0.773762,0.738759,0.383941,0.432849,0.010000,461.591501
19,1.360237,0.790484,1.279436,0.140855,0.472965,0.215709,0.273661,0.292727,0.010000,436.778263
20,1.351791,0.748935,0.861768,0.086486,0.700057,0.438247,0.470181,0.463250,0.010000,432.253917
21,1.336691,0.715082,0.722651,0.062199,0.775470,0.746727,0.410185,0.473868,0.010000,467.361019
22,1.327155,0.762971,0.647572,0.054902,0.787422,0.658509,0.576677,0.610440,0.010000,522.679570
23,1.317511,0.707773,0.643372,0.053852,0.790837,0.681559,0.567685,0.599523,0.010000,489.162826
24,1.306008,0.703825,0.652391,0.055177,0.787991,0.737052,0.497156,0.560450,0.010000,500.631431
25,1.297106,0.672567,0.675147,0.057126,0.784576,0.731645,0.480126,0.537047,0.010000,485.684775
26,1.289977,0.679478,0.678670,0.056727,0.787706,0.750142,0.469914,0.531787,0.010000,469.829679
27,1.277736,0.677678,0.639834,0.054844,0.787137,0.716278,0.544808,0.601637,0.010000,475.423783
28,1.270202,0.691409,0.644758,0.054670,0.791406,0.643711,0.596240,0.625940,0.010000,464.007247
29,1.262801,0.716850,0.635171,0.053878,0.787137,0.651394,0.597228,0.619492,0.010000,454.786944
30,1.251570,0.662294,0.680384,0.057550,0.781446,0.757826,0.446345,0.532620,0.010000,442.430700
31,1.244531,0.645872,0.657781,0.056219,0.787991,0.604439,0.580271,0.584507,0.010000,539.140669
32,1.235394,0.654056,0.654883,0.056516,0.781730,0.685544,0.566240,0.616820,0.010000,586.010756
33,1.228052,0.658253,0.771756,0.063318,0.777746,0.754411,0.393829,0.442072,0.010000,592.375544
34,1.223510,0.654575,0.638777,0.053463,0.796244,0.628628,0.621872,0.631467,0.010000,598.723101
35,1.211452,0.660098,0.616895,0.050467,0.800228,0.722538,0.598750,0.638685,0.010000,614.878440
36,1.205184,0.644930,0.628450,0.051794,0.800228,0.733637,0.576386,0.613956,0.010000,576.841188
37,1.198791,0.643217,0.669733,0.057555,0.778884,0.630051,0.596481,0.624009,0.010000,559.262128
38,1.189102,0.657026,0.637960,0.052962,0.792544,0.725953,0.588604,0.639874,0.010000,545.998658
39,1.182745,0.652479,0.618214,0.050710,0.798805,0.741605,0.575017,0.638368,0.010000,585.975292
40,1.176159,0.646887,0.625492,0.052389,0.798805,0.699203,0.548102,0.600549,0.010000,550.656184
41,1.167315,0.656739,0.629388,0.052446,0.790552,0.713432,0.588513,0.646366,0.010000,557.820973
42,1.160300,0.651415,0.728800,0.060850,0.785145,0.769209,0.427976,0.476532,0.010000,526.745730
43,1.153030,0.631857,0.649297,0.054564,0.784007,0.625213,0.609608,0.632798,0.010000,549.893425
44,1.147715,0.632868,0.711900,0.065373,0.759818,0.576551,0.567867,0.596970,0.010000,537.905211
45,1.140785,0.629119,0.619463,0.050928,0.795105,0.708310,0.600012,0.644587,0.010000,524.251866
46,1.133066,0.629213,0.853572,0.084217,0.671315,0.403529,0.475733,0.494280,0.010000,542.539542
47,1.128250,0.641546,0.630525,0.052423,0.795959,0.668754,0.620867,0.655961,0.010000,536.126671
48,1.122140,0.622575,0.661387,0.052997,0.802504,0.768071,0.541908,0.574576,0.010000,560.996928
49,1.115931,0.639539,0.626840,0.051864,0.796813,0.743312,0.578363,0.637470,0.010000,534.143108
50,1.109435,0.618857,0.606831,0.049704,0.804496,0.721685,0.627060,0.658002,0.010000,556.677094
51,1.102555,0.614296,0.605193,0.049081,0.806773,0.711155,0.616307,0.650816,0.010000,451.707308
52,1.096499,0.627468,0.623060,0.049969,0.802504,0.714286,0.619117,0.637048,0.010000,432.495861
53,1.087162,0.621351,0.688536,0.056411,0.789983,0.761525,0.509793,0.547586,0.010000,434.999719
54,1.083063,0.635584,0.658344,0.055651,0.781446,0.692373,0.602072,0.643930,0.010000,433.167636
55,1.077864,0.616498,0.625365,0.050111,0.803643,0.756118,0.612307,0.638033,0.010000,432.566920
56,1.072911,0.622593,0.649327,0.054535,0.783438,0.619806,0.611191,0.622274,0.010000,435.669166
57,1.065582,0.612706,0.810031,0.063939,0.783438,0.770916,0.399813,0.443138,0.010000,430.335691
58,1.059146,0.624309,0.625470,0.050508,0.799659,0.752419,0.568803,0.628355,0.010000,433.161617
59,1.052342,0.606264,0.683023,0.055780,0.790837,0.761525,0.525285,0.580544,0.010000,439.000735
60,1.046918,0.604171,0.725186,0.058089,0.789698,0.756118,0.531721,0.585810,0.010000,432.281163
61,1.041607,0.616125,0.663700,0.053361,0.795390,0.749573,0.562006,0.591939,0.010000,436.146565
62,1.034884,0.616379,0.628083,0.050855,0.803927,0.760956,0.579391,0.623238,0.010000,436.651934
63,1.031702,0.601963,0.626270,0.050807,0.804496,0.743597,0.564303,0.611175,0.010000,434.791943
64,1.025114,0.600691,0.650836,0.053738,0.789129,0.733068,0.601226,0.656982,0.010000,431.225698
65,1.022205,0.600553,0.629154,0.050906,0.799374,0.663062,0.647348,0.658636,0.010000,433.125865
66,1.015273,0.629270,0.622895,0.050404,0.802504,0.683267,0.647533,0.659872,0.010000,435.594134
67,1.008671,0.605313,0.615644,0.048665,0.810188,0.714001,0.638300,0.655517,0.010000,437.272501
68,1.003648,0.586127,0.611374,0.048675,0.805065,0.724530,0.662401,0.690403,0.010000,436.335367
69,0.999993,0.618618,0.706649,0.060843,0.761525,0.571144,0.581881,0.585264,0.010000,433.314932
70,0.994989,0.606226,0.613174,0.050672,0.801651,0.673022,0.649344,0.669166,0.010000,435.824743
71,0.988075,0.578649,0.608848,0.050074,0.803358,0.690950,0.632823,0.662072,0.010000,440.246583
72,0.983203,0.595900,0.626681,0.050174,0.807911,0.759533,0.563540,0.610651,0.010000,443.706840
73,0.978813,0.618243,0.600743,0.048824,0.805635,0.700911,0.632721,0.653901,0.010000,437.865361
74,0.971792,0.603643,0.634247,0.052599,0.789983,0.734206,0.619167,0.657431,0.010000,434.116688
75,0.967835,0.591464,0.667650,0.053716,0.796528,0.765509,0.563098,0.612433,0.010000,438.752851
76,0.964318,0.601626,0.625698,0.050542,0.806204,0.760387,0.573811,0.614217,0.010000,436.628740
77,0.957536,0.587610,0.618957,0.049910,0.796813,0.706033,0.641681,0.685842,0.010000,437.385253
78,0.953489,0.583394,0.609674,0.049527,0.804212,0.752988,0.577246,0.630590,0.010000,436.309594
79,0.947220,0.581422,0.610265,0.049384,0.801935,0.699772,0.634202,0.674586,0.010000,434.423652
80,0.945385,0.580182,0.604562,0.048969,0.799943,0.750142,0.622339,0.681674,0.010000,436.137056
81,0.939472,0.566577,0.615808,0.048962,0.807342,0.739613,0.604092,0.649952,0.010000,436.993446
82,0.934150,0.595053,0.604718,0.048859,0.810757,0.721969,0.661923,0.682692,0.010000,438.724228
83,0.930452,0.577783,0.653739,0.053194,0.800512,0.778884,0.537103,0.583021,0.010000,436.452200
84,0.927474,0.577777,0.585251,0.046419,0.811895,0.730222,0.653619,0.687449,0.010000,435.537793
85,0.920222,0.567895,0.618048,0.050085,0.797097,0.716562,0.626652,0.665065,0.010000,437.248093
86,0.914834,0.574348,0.631202,0.051279,0.804496,0.661355,0.645813,0.672347,0.010000,435.670264
87,0.910675,0.579788,0.617544,0.048811,0.805350,0.752988,0.629730,0.673451,0.010000,432.808024
88,0.907224,0.595204,0.633454,0.051848,0.795390,0.734206,0.623479,0.664411,0.010000,438.972281
89,0.901815,0.578170,0.622038,0.048596,0.809903,0.766363,0.606547,0.652446,0.010000,437.949846
90,0.895514,0.573790,0.597218,0.046686,0.811042,0.739044,0.631889,0.677327,0.010000,427.310599
91,0.892660,0.580311,0.637287,0.050623,0.804212,0.750427,0.592139,0.628031,0.010000,427.686099
92,0.889536,0.582213,0.660201,0.055812,0.778600,0.633751,0.605420,0.626720,0.010000,427.214906
93,0.883864,0.564410,0.679615,0.052121,0.804496,0.772339,0.569702,0.607607,0.010000,438.465200
94,0.881823,0.568007,0.644203,0.051159,0.800797,0.766932,0.570669,0.632898,0.010000,445.273585
95,0.876880,0.562302,0.621325,0.047928,0.809619,0.763517,0.640205,0.680028,0.010000,445.674546
96,0.872911,0.567192,0.614000,0.048931,0.799659,0.725953,0.632173,0.674129,0.010000,445.691858
97,0.868756,0.567300,0.611266,0.048252,0.809334,0.732214,0.642025,0.674950,0.010000,445.570876
98,0.864200,0.560449,0.616171,0.048307,0.805635,0.749573,0.634156,0.673330,0.010000,445.824446
99,0.858088,0.578638,0.659750,0.055085,0.793682,0.613830,0.613232,0.616427,0.010000,446.149897
100,0.853879,0.564115,0.626753,0.049813,0.807627,0.772055,0.573750,0.629300,0.010000,446.332546
1,0.823950,0.492075,0.590442,0.045753,0.814172,0.757541,0.657035,0.691076,0.001000,431.182821
2,0.815411,0.483579,0.585268,0.045673,0.812749,0.747581,0.670000,0.702289,0.001000,419.761060
3,0.809228,0.479678,0.592333,0.045897,0.814741,0.760387,0.654972,0.689039,0.001000,419.662321
4,0.805660,0.476298,0.592548,0.046021,0.820148,0.759249,0.666455,0.687816,0.001000,422.388082
5,0.805472,0.476297,0.587488,0.044482,0.820717,0.763517,0.673988,0.702113,0.001000,422.461279
6,0.801810,0.473802,0.592721,0.045802,0.813034,0.758964,0.657708,0.698356,0.001000,422.062701
7,0.802254,0.474546,0.610499,0.047467,0.811326,0.745874,0.664219,0.682463,0.001000,421.822915
8,0.796409,0.469189,0.606241,0.045867,0.815879,0.758680,0.668742,0.702207,0.001000,421.842514
9,0.799237,0.472569,0.607343,0.046763,0.811611,0.763233,0.657013,0.688916,0.001000,422.260006
10,0.795504,0.469782,0.599361,0.045574,0.821286,0.756403,0.676504,0.696226,0.001000,422.002866
11,0.797492,0.471473,0.596142,0.045357,0.819863,0.775185,0.675229,0.702249,0.001000,422.170700
12,0.793208,0.468735,0.599670,0.045778,0.817018,0.760102,0.669525,0.689861,0.001000,421.932815
13,0.789650,0.464544,0.602860,0.045911,0.815879,0.764087,0.674458,0.706500,0.001000,422.144186
14,0.792500,0.467273,0.603516,0.045940,0.818441,0.757257,0.676102,0.692400,0.001000,421.724123
15,0.791878,0.467532,0.595106,0.045364,0.816164,0.755265,0.663197,0.699880,0.001000,421.609703
16,0.788344,0.464586,0.597392,0.046047,0.813603,0.754696,0.660085,0.696064,0.001000,421.214533
17,0.788472,0.466083,0.600132,0.046300,0.815310,0.756688,0.665583,0.687319,0.001000,421.333405
18,0.786625,0.465403,0.608255,0.046209,0.811611,0.745874,0.664700,0.701812,0.001000,420.955087
19,0.785006,0.463945,0.614643,0.046766,0.812749,0.762948,0.656813,0.692920,0.001000,421.117737
20,0.784393,0.461938,0.606269,0.046786,0.807342,0.747866,0.653886,0.696012,0.001000,420.868314
21,0.783066,0.461098,0.619305,0.046573,0.815879,0.770916,0.655644,0.693145,0.001000,420.961469
22,0.781796,0.460761,0.606049,0.045416,0.815310,0.757541,0.689427,0.712842,0.001000,421.073925
23,0.780310,0.462254,0.625751,0.047798,0.805635,0.744735,0.663136,0.695818,0.001000,421.324877
24,0.779206,0.460188,0.621199,0.047385,0.811895,0.747297,0.667253,0.690120,0.001000,420.822234
25,0.776085,0.457153,0.611153,0.045997,0.818441,0.761810,0.665952,0.685550,0.001000,420.900495
26,0.776621,0.458613,0.618259,0.045910,0.819294,0.772339,0.662153,0.691571,0.001000,420.923346
27,0.775228,0.458139,0.612129,0.046183,0.813318,0.760102,0.669618,0.696318,0.001000,420.954605
28,0.774299,0.456283,0.622489,0.046848,0.815595,0.756688,0.681045,0.696503,0.001000,420.869952
29,0.770774,0.453221,0.627658,0.047070,0.817302,0.765794,0.662819,0.686663,0.001000,420.869826
30,0.772580,0.457501,0.615489,0.046140,0.813318,0.754696,0.672872,0.697718,0.001000,421.084210
31,0.770242,0.455652,0.635744,0.048573,0.804496,0.738475,0.662486,0.688233,0.001000,421.187350
32,0.769284,0.453144,0.620697,0.046522,0.808480,0.758110,0.656431,0.689287,0.001000,421.264340
33,0.766965,0.450868,0.627277,0.047008,0.812464,0.761525,0.671189,0.698563,0.001000,420.791553
34,0.768326,0.453761,0.626003,0.046445,0.814172,0.767501,0.657215,0.688226,0.001000,420.850396
35,0.763291,0.450979,0.622962,0.047570,0.812180,0.738475,0.670690,0.695486,0.001000,420.771425
36,0.764713,0.450958,0.632687,0.047244,0.813318,0.744735,0.674328,0.697683,0.001000,420.832496
37,0.763603,0.450090,0.642226,0.048022,0.810188,0.767786,0.652835,0.689635,0.001000,421.751522
38,0.758662,0.446770,0.631410,0.047377,0.811611,0.763802,0.659774,0.694449,0.001000,420.851231
39,0.760035,0.450045,0.628062,0.047405,0.809334,0.744166,0.676689,0.694353,0.001000,421.703389
40,0.757972,0.445396,0.631238,0.047497,0.806488,0.750996,0.658569,0.688711,0.001000,420.355808
41,0.753962,0.445416,0.636493,0.046796,0.814172,0.765509,0.666879,0.695801,0.001000,420.579436
42,0.755555,0.443825,0.646441,0.048497,0.810472,0.751565,0.651339,0.678466,0.001000,421.325775
43,0.753571,0.443359,0.645294,0.047914,0.814741,0.764940,0.650662,0.672679,0.001000,420.720431
44,0.755702,0.447110,0.639699,0.047668,0.809050,0.766648,0.645380,0.677825,0.001000,420.304360
