epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.644047,0.863249,1.479277,0.801202,0.741605,0.611269,0.214140,0.303780,0.001000,0.072324,371.353205
2,1.372318,0.788627,1.247126,0.748308,0.754696,0.595902,0.233985,0.364045,0.001000,0.067349,309.471605
3,1.195597,0.760586,1.115212,0.736155,0.754980,0.699203,0.215279,0.365389,0.001000,0.067601,309.884599
4,1.077322,0.740369,1.050852,0.750812,0.758964,0.675583,0.274541,0.377002,0.001000,0.067961,309.891468
5,0.998273,0.726573,0.970331,0.723769,0.759818,0.608139,0.421409,0.497147,0.001000,0.068228,309.839300
6,0.937117,0.709993,0.918810,0.708915,0.763802,0.695504,0.407636,0.493350,0.001000,0.068366,309.877187
7,0.892650,0.696268,0.880514,0.696346,0.772624,0.681275,0.427334,0.500122,0.001000,0.068531,310.109476
8,0.858614,0.684635,0.877881,0.712846,0.761241,0.622652,0.469198,0.526055,0.001000,0.068610,310.116816
9,0.827135,0.670153,0.817487,0.667726,0.782015,0.657940,0.543495,0.566445,0.001000,0.068594,310.574583
10,0.813703,0.669487,0.825466,0.686306,0.777746,0.609562,0.539415,0.559441,0.001000,0.068647,310.068418
11,0.796447,0.662413,0.801153,0.672959,0.781161,0.715139,0.469316,0.519301,0.001000,0.068635,311.263614
12,0.780796,0.656564,0.778892,0.658565,0.780023,0.633466,0.553259,0.588525,0.001000,0.068756,311.596753
13,0.767366,0.651272,0.770783,0.657828,0.786568,0.670746,0.530129,0.583573,0.001000,0.068667,311.322581
14,0.752854,0.643791,0.758082,0.652537,0.790268,0.675299,0.554675,0.598012,0.001000,0.068614,310.569024
15,0.748034,0.644826,0.755663,0.655407,0.787422,0.721116,0.514389,0.567955,0.001000,0.068684,310.603205
16,0.734813,0.637517,0.733141,0.638742,0.793682,0.678145,0.533632,0.592582,0.001000,0.068640,310.970014
17,0.724178,0.632231,0.724073,0.634615,0.793113,0.701195,0.584000,0.624511,0.001000,0.068672,310.125900
18,0.721621,0.634144,0.730079,0.644705,0.788560,0.739044,0.526856,0.585776,0.001000,0.068638,310.034587
19,0.713013,0.629623,0.721266,0.639383,0.789983,0.726522,0.546007,0.600698,0.001000,0.068672,310.196315
20,0.705201,0.625309,0.716929,0.639115,0.791406,0.683552,0.572600,0.611801,0.001000,0.068673,310.299654
21,0.698322,0.621978,0.711391,0.636564,0.791975,0.723677,0.570713,0.630721,0.001000,0.068633,310.967666
22,0.693535,0.620142,0.692945,0.621029,0.795959,0.731360,0.543075,0.615878,0.001000,0.068660,310.294588
23,0.687502,0.617146,0.696428,0.627503,0.796528,0.678998,0.598135,0.626920,0.001000,0.067975,310.182988
24,0.683945,0.616329,0.706608,0.640180,0.799089,0.713147,0.566407,0.601557,0.001000,0.067688,309.811762
25,0.680007,0.614359,0.692277,0.627765,0.796244,0.713432,0.569909,0.615706,0.001000,0.067563,310.056936
26,0.676530,0.613142,0.683701,0.621242,0.801081,0.736767,0.552583,0.604245,0.001000,0.067647,310.037118
27,0.670595,0.609009,0.678749,0.618106,0.803073,0.735060,0.602723,0.631817,0.001000,0.067650,309.804670
28,0.666424,0.606697,0.669074,0.610254,0.802504,0.717131,0.602933,0.656700,0.001000,0.067633,310.329625
29,0.664936,0.606858,0.661470,0.604146,0.804496,0.704326,0.616655,0.646364,0.001000,0.067596,310.198714
30,0.662586,0.605997,0.657466,0.601730,0.804496,0.727376,0.602811,0.643085,0.001000,0.067578,310.411186
31,0.658673,0.603465,0.672094,0.617380,0.795674,0.743028,0.538193,0.620852,0.001000,0.067551,310.528709
32,0.653842,0.599725,0.668401,0.614857,0.800512,0.723677,0.592344,0.639491,0.001000,0.067548,310.622280
33,0.653064,0.600096,0.662495,0.610035,0.802220,0.713147,0.609168,0.645105,0.001000,0.067532,310.713374
34,0.650929,0.598947,0.654442,0.603065,0.804496,0.738190,0.613076,0.656479,0.001000,0.067526,310.698144
35,0.649546,0.598530,0.655157,0.604479,0.799943,0.702049,0.623984,0.651454,0.001000,0.067545,310.314492
36,0.646595,0.596349,0.661381,0.611506,0.807342,0.721969,0.608292,0.628761,0.001000,0.067525,310.508863
37,0.646934,0.597249,0.654033,0.604667,0.807627,0.733921,0.606405,0.640602,0.001000,0.067898,310.968498
38,0.644488,0.595359,0.651757,0.602928,0.802789,0.730222,0.600859,0.655112,0.001000,0.068724,310.099425
39,0.640037,0.591574,0.654300,0.606074,0.806204,0.746158,0.617856,0.664729,0.001000,0.068858,310.961981
40,0.639386,0.591394,0.653441,0.605682,0.805350,0.729937,0.578098,0.641096,0.001000,0.068900,310.648011
41,0.637970,0.590420,0.651890,0.604518,0.804212,0.696642,0.637357,0.671065,0.001000,0.068852,311.174903
42,0.634812,0.587610,0.676104,0.629080,0.799089,0.720262,0.551691,0.594587,0.001000,0.068882,310.237109
43,0.634212,0.587275,0.642623,0.595938,0.810757,0.739044,0.620616,0.651545,0.001000,0.068799,310.091320
44,0.632553,0.586070,0.640940,0.594574,0.806773,0.732214,0.629493,0.671613,0.001000,0.068695,310.041472
45,0.631885,0.585643,0.641946,0.595778,0.804212,0.715139,0.636156,0.669338,0.001000,0.068765,309.943150
46,0.628391,0.582306,0.643795,0.597776,0.806773,0.704610,0.623157,0.657277,0.001000,0.068679,310.096279
47,0.628950,0.583011,0.651453,0.605598,0.807057,0.757257,0.564142,0.618573,0.001000,0.068666,310.024582
48,0.630502,0.584660,0.632705,0.586953,0.812749,0.727092,0.646880,0.682202,0.001000,0.068657,310.088021
49,0.628479,0.582800,0.640418,0.594900,0.809903,0.740467,0.598862,0.648650,0.001000,0.068524,309.956848
50,0.626643,0.581126,0.637444,0.591959,0.806488,0.728515,0.627523,0.669740,0.001000,0.068770,310.398067
51,0.626054,0.580606,0.637236,0.591886,0.807342,0.729653,0.641254,0.679755,0.001000,0.068625,310.276582
52,0.624579,0.579342,0.644569,0.599441,0.806204,0.740751,0.612503,0.650912,0.001000,0.068687,310.276853
53,0.619648,0.574580,0.643173,0.598101,0.804781,0.733921,0.618322,0.662808,0.001000,0.068538,310.043325
54,0.620632,0.575541,0.641113,0.596052,0.809050,0.736483,0.637944,0.672683,0.001000,0.068501,309.930289
55,0.621760,0.576637,0.633869,0.588808,0.810757,0.754126,0.633054,0.672167,0.001000,0.068474,309.991520
56,0.617640,0.572608,0.632921,0.587882,0.807627,0.738190,0.628115,0.668083,0.001000,0.068440,310.389645
57,0.619287,0.574265,0.637880,0.592980,0.809334,0.757826,0.596088,0.647476,0.001000,0.068470,310.816109
58,0.617857,0.572893,0.631748,0.586820,0.807627,0.732214,0.629012,0.674880,0.001000,0.068466,309.986764
59,0.617839,0.572853,0.632718,0.587790,0.807911,0.732783,0.652105,0.683189,0.001000,0.068558,310.422750
60,0.616034,0.571147,0.627287,0.582436,0.807627,0.728799,0.642306,0.672538,0.001000,0.068704,310.542948
61,0.612027,0.567208,0.647212,0.602412,0.805350,0.731929,0.595980,0.631665,0.001000,0.068761,310.226488
62,0.614366,0.569607,0.637675,0.592945,0.808480,0.736483,0.636046,0.669066,0.001000,0.068749,309.931320
63,0.613890,0.569160,0.628176,0.583450,0.814741,0.720831,0.653323,0.671580,0.001000,0.068560,310.000096
64,0.613195,0.568450,0.629470,0.584684,0.804781,0.730791,0.631632,0.669411,0.001000,0.068806,310.044796
65,0.612336,0.567638,0.626435,0.581718,0.810472,0.727376,0.651280,0.688590,0.001000,0.068575,310.455528
66,0.611337,0.566605,0.630377,0.585664,0.815026,0.728515,0.661632,0.684673,0.001000,0.074695,311.877382
67,0.609231,0.564527,0.637648,0.592937,0.810757,0.740182,0.624446,0.668589,0.001000,0.074745,311.980185
68,0.611191,0.566496,0.644353,0.599728,0.805065,0.710871,0.657438,0.670867,0.001000,0.074576,312.001369
69,0.609676,0.565020,0.627389,0.582727,0.809619,0.735060,0.637556,0.684301,0.001000,0.074562,311.888949
