epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
1,1.769086,3.499851,1.014150,0.113003,0.606371,0.145620,0.271290,0.201187,0.010000,583.133535
2,1.648778,0.941267,0.984468,0.108259,0.641638,0.174061,0.366009,0.234810,0.010000,556.483137
3,1.611395,0.930616,0.769496,0.072367,0.732651,0.569397,0.280520,0.386698,0.010000,551.538376
4,1.586928,0.904634,1.064429,0.092987,0.738908,0.733788,0.021563,0.050147,0.010000,543.885504
5,1.563690,0.905634,0.749709,0.068176,0.753129,0.621729,0.265662,0.408245,0.010000,550.145047
6,1.542554,0.926184,1.507032,0.185514,0.357224,0.137656,0.216284,0.191754,0.010000,550.012781
7,1.526038,0.937238,0.928545,0.081620,0.744027,0.727531,0.116149,0.216281,0.010000,549.174826
8,1.510269,0.863209,0.744369,0.067716,0.753129,0.623436,0.395998,0.473561,0.010000,546.150217
9,1.495128,0.825126,0.724059,0.065672,0.755404,0.582480,0.432753,0.500967,0.010000,550.353816
10,1.481883,0.838281,1.182732,0.135619,0.465301,0.202503,0.281034,0.301532,0.010000,551.413380
11,1.469885,0.843908,0.719685,0.065558,0.756542,0.678612,0.363383,0.479077,0.010000,555.690427
12,1.452590,0.801715,0.752852,0.068236,0.760523,0.713879,0.299750,0.386909,0.010000,551.686087
13,1.439093,0.833855,0.717369,0.066123,0.752560,0.540956,0.534115,0.534698,0.010000,550.410954
14,1.426303,0.839369,0.796971,0.070666,0.757110,0.726394,0.289338,0.367214,0.010000,548.516514
15,1.409674,0.812023,0.691581,0.060813,0.764505,0.638225,0.513708,0.562037,0.010000,546.768140
16,1.394989,0.746823,0.695521,0.061890,0.763936,0.721843,0.422714,0.515184,0.010000,549.942361
17,1.382120,0.797279,0.833835,0.073085,0.757679,0.743458,0.247874,0.354077,0.010000,551.433416
18,1.368346,0.781431,1.184615,0.133298,0.550057,0.235495,0.345370,0.335858,0.010000,553.825035
19,1.355987,0.724264,1.480260,0.175075,0.415813,0.135381,0.265356,0.251934,0.010000,550.729151
20,1.341288,0.770123,0.718596,0.063926,0.765074,0.732082,0.404342,0.470705,0.010000,551.255571
21,1.333354,0.730538,0.642742,0.056402,0.782708,0.671217,0.553413,0.603421,0.010000,553.985033
22,1.320887,0.705065,0.671296,0.059015,0.778157,0.725825,0.468221,0.555792,0.010000,552.621402
23,1.308926,0.700336,0.671262,0.058212,0.777019,0.718999,0.530707,0.618692,0.010000,554.693545
24,1.296772,0.699792,0.621208,0.052824,0.792947,0.695677,0.567591,0.619071,0.010000,549.056120
25,1.289167,0.704831,0.666214,0.057766,0.779295,0.604664,0.570221,0.601600,0.010000,548.944713
26,1.279302,0.680023,0.687923,0.058092,0.782708,0.744596,0.503763,0.558075,0.010000,548.657680
27,1.267772,0.703600,0.660009,0.055511,0.781570,0.631399,0.618681,0.643130,0.010000,554.827427
28,1.259624,0.667504,0.661464,0.056717,0.781001,0.626280,0.614327,0.634412,0.010000,546.040017
29,1.252781,0.689052,0.651073,0.055214,0.784983,0.633675,0.603645,0.634734,0.010000,552.561271
30,1.242275,0.661041,0.673521,0.058371,0.779863,0.636519,0.599497,0.620238,0.010000,550.334887
31,1.232768,0.692401,0.628168,0.053295,0.793515,0.687144,0.603840,0.639551,0.010000,554.473270
32,1.228691,0.659905,0.640788,0.055224,0.785552,0.733220,0.531961,0.588748,0.010000,551.078952
33,1.217629,0.726139,0.677676,0.060934,0.769625,0.612628,0.596853,0.634131,0.010000,555.047567
34,1.209591,0.648890,0.608008,0.050332,0.800341,0.699659,0.660325,0.674900,0.010000,552.757427
