train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
0.097679,1.587143,0.041029,0.736900,0.010000,5.566787
0.033897,1.432580,0.024029,0.840700,0.010000,3.467983
0.024490,1.495337,0.020457,0.853000,0.010000,3.467227
0.020749,1.461776,0.017985,0.861800,0.010000,3.467513
0.018368,1.473063,0.016327,0.868400,0.010000,3.467701
0.016669,1.507677,0.015426,0.870800,0.010000,3.464603
0.015495,1.507287,0.014699,0.872500,0.010000,3.471054
0.014570,1.568659,0.013935,0.874000,0.010000,3.464347
0.013817,1.578707,0.013758,0.874400,0.010000,3.464239
0.013231,1.625966,0.013549,0.875200,0.010000,3.465589
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
0.097683,1.598641,0.041192,0.735100,0.010000,5.614975
0.034032,1.424229,0.024334,0.839300,0.010000,3.480950
0.024533,1.504650,0.020719,0.853100,0.010000,3.474057
0.020730,1.491600,0.018128,0.860100,0.010000,3.476168
0.018328,1.521544,0.016614,0.867000,0.010000,3.476636
0.016684,1.548754,0.015374,0.870100,0.010000,3.473713
0.015501,1.564965,0.014767,0.871800,0.010000,3.478348
0.014629,1.588818,0.014043,0.872900,0.010000,3.473871
0.013915,1.604699,0.013946,0.873900,0.010000,3.476142
0.013347,1.611348,0.013975,0.874400,0.010000,3.476066
0.012856,1.633989,0.013992,0.875600,0.010000,3.476232
0.012429,1.623072,0.014142,0.875200,0.010000,3.471913
0.012056,1.651285,0.013754,0.876100,0.010000,3.473452
0.011700,1.657127,0.013510,0.876600,0.010000,3.473134
0.011399,1.686054,0.013183,0.877300,0.010000,3.473118
0.011105,1.713319,0.013085,0.877600,0.010000,3.474800
0.010825,1.732906,0.012731,0.878400,0.010000,3.473943
0.010572,1.752514,0.012748,0.878100,0.010000,3.473143
0.010324,1.779617,0.012717,0.878800,0.010000,3.477959
0.010117,1.805926,0.012289,0.879400,0.010000,3.471715
0.009927,1.820435,0.012181,0.879200,0.010000,3.483630
0.009749,1.867792,0.011913,0.880400,0.010000,3.476556
0.009569,1.908321,0.011746,0.880000,0.010000,3.474781
0.009453,1.938720,0.011688,0.880200,0.010000,3.474857
0.008971,1.973566,0.011068,0.881100,0.001000,3.454250
0.008860,1.979714,0.011049,0.881100,0.001000,3.458817
0.008811,1.985047,0.011040,0.880900,0.001000,3.451627
0.008773,1.988620,0.011032,0.880900,0.001000,3.450866
0.008741,1.991669,0.011022,0.881100,0.001000,3.449631
0.008710,1.995257,0.011012,0.881200,0.001000,3.460064
0.008685,1.997141,0.011004,0.881300,0.001000,3.453592
0.008660,1.998169,0.010997,0.881400,0.001000,3.451013
0.008637,2.001635,0.010991,0.881400,0.001000,3.448589
0.008615,2.002835,0.010985,0.881500,0.001000,3.454628
0.008594,2.006562,0.010980,0.881500,0.001000,3.453919
0.008573,2.009084,0.010977,0.881600,0.001000,3.454608
0.008555,2.012306,0.010971,0.881500,0.001000,3.451006
0.008537,2.014127,0.010965,0.881500,0.001000,3.451545
0.008518,2.017109,0.010960,0.881500,0.001000,3.452649
0.008500,2.018674,0.010954,0.881500,0.001000,3.450595
0.008483,2.020721,0.010949,0.881500,0.001000,3.453500
0.008466,2.024189,0.010944,0.881700,0.001000,3.455457
0.008449,2.025751,0.010938,0.881600,0.001000,3.452815
0.008433,2.028239,0.010933,0.881500,0.001000,3.450392
0.008418,2.029937,0.010929,0.881800,0.001000,3.458427
0.008402,2.033272,0.010923,0.881900,0.001000,3.454940
0.008386,2.035669,0.010920,0.881900,0.001000,3.454972
0.008372,2.038285,0.010916,0.882000,0.001000,3.452982
0.008357,2.041192,0.010913,0.882000,0.001000,3.452235
0.008341,2.043964,0.010911,0.882000,0.001000,3.453390
