epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.990877,2.131319,2.557726,1.700887,0.323615,0.332362,0.708083,0.708173,0.001000,0.486800,146.579708
2,2.470124,1.620522,2.387785,1.546133,0.367347,0.373178,0.750727,0.727858,0.001000,0.444190,70.385087
3,2.318401,1.485846,2.286112,1.463287,0.382653,0.389213,0.788886,0.775736,0.001000,0.445872,70.450988
4,2.241568,1.429024,2.238248,1.436240,0.397230,0.404519,0.801393,0.796459,0.001000,0.446901,70.624764
5,2.164638,1.373305,2.193101,1.412982,0.435860,0.425656,0.822527,0.803526,0.001000,0.445369,70.535899
6,2.115516,1.346706,2.093088,1.335506,0.427843,0.432945,0.851549,0.842597,0.001000,0.444852,70.530908
7,2.059573,1.313345,2.088438,1.354007,0.448251,0.440962,0.839415,0.827265,0.001000,0.442790,70.350458
8,2.002839,1.279982,2.021887,1.310738,0.475948,0.477405,0.868602,0.862140,0.001000,0.444621,70.508166
9,1.952935,1.253174,1.991993,1.303733,0.478863,0.494169,0.866208,0.865469,0.001000,0.443001,70.371372
10,1.944521,1.267059,1.928944,1.262018,0.446064,0.485423,0.865743,0.866029,0.001000,0.445105,70.516671
11,1.883474,1.227444,1.893959,1.248915,0.495627,0.534257,0.888285,0.888395,0.001000,0.442215,70.558698
12,1.843733,1.209380,1.872485,1.249128,0.458455,0.523324,0.883304,0.893239,0.001000,0.442519,70.348912
13,1.817114,1.204088,1.870426,1.267603,0.511662,0.536443,0.884499,0.884910,0.001000,0.445086,70.626131
14,1.765074,1.172493,1.833743,1.251529,0.490525,0.510204,0.889029,0.886337,0.001000,0.445157,70.693943
15,1.737064,1.164763,1.797445,1.235204,0.549563,0.512391,0.893315,0.875107,0.001000,0.442113,70.490361
16,1.706565,1.153600,1.741879,1.198334,0.510933,0.524052,0.893298,0.895835,0.001000,0.444399,70.589221
17,1.690692,1.156147,1.757571,1.231479,0.481050,0.529883,0.887143,0.893956,0.001000,0.446496,70.821762
18,1.671775,1.154114,1.699553,1.190122,0.551020,0.591108,0.908300,0.911509,0.001000,0.447589,71.438460
