epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,4.537875,5.424242,3.904222,5.063608,0.293337,0.281674,0.346618,0.353688,0.001000,0.453902,240.456692
2,3.614084,4.880628,3.514570,6.052515,0.313457,0.302522,0.484863,0.488322,0.001000,0.408182,188.218420
3,2.952121,5.787726,2.905569,6.068542,0.341595,0.335326,0.607860,0.607999,0.001000,0.408409,188.764374
4,2.650373,5.833918,2.717668,6.066136,0.331973,0.329348,0.655234,0.660192,0.001000,0.407986,189.539811
5,2.458007,5.849732,2.357581,5.977174,0.351072,0.351509,0.725198,0.729289,0.001000,0.409406,205.942704
6,2.347126,5.509273,2.260770,5.232832,0.325266,0.327016,0.741860,0.742039,0.001000,0.479969,207.084333
7,2.138734,5.350854,2.209078,5.224592,0.351946,0.353258,0.751508,0.753614,0.001000,0.408504,190.396928
8,2.056994,5.307010,2.071239,5.631573,0.400496,0.391019,0.772649,0.776519,0.001000,0.408431,193.811997
9,1.939240,5.463162,2.019282,5.310758,0.359528,0.355591,0.791553,0.791238,0.001000,0.409039,193.800243
10,1.972369,5.207480,1.986082,5.417386,0.388103,0.381688,0.792157,0.792650,0.001000,0.408289,192.311313
11,1.836472,5.289615,1.862990,5.331973,0.400933,0.398163,0.805475,0.806096,0.001000,0.408438,191.725426
12,1.764048,5.219352,1.862691,5.150714,0.408514,0.403120,0.804049,0.802856,0.001000,0.408174,190.384780
13,1.743733,5.118771,1.814918,5.129868,0.404724,0.406182,0.805587,0.809007,0.001000,0.408142,189.190239
14,1.684445,5.058552,1.781297,5.360773,0.423677,0.421927,0.812494,0.815027,0.001000,0.408144,188.856600
15,1.595075,4.921951,1.752818,4.990870,0.413909,0.418428,0.808920,0.810848,0.001000,0.408180,189.918579
16,1.585844,4.876570,1.735098,4.920084,0.431550,0.426301,0.819084,0.823109,0.001000,0.408045,190.535459
17,1.575806,4.902597,1.715189,5.027448,0.431696,0.421927,0.817517,0.818895,0.001000,0.408209,189.414946
18,1.500972,4.969113,1.756086,4.854542,0.423240,0.419157,0.801860,0.804294,0.001000,0.408546,192.089131
19,1.499088,4.818158,1.655315,4.794031,0.441901,0.436944,0.822907,0.829039,0.001000,0.408455,190.527448
20,1.432241,4.784273,1.578524,5.071475,0.454731,0.455460,0.835681,0.837819,0.001000,0.408299,191.958037
21,1.369067,4.846261,1.607954,4.676075,0.450940,0.447296,0.830637,0.831155,0.001000,0.408141,190.575492
22,1.378237,4.486948,1.538659,4.881549,0.440152,0.438548,0.841307,0.843690,0.001000,0.408656,191.404766
23,1.364904,4.540075,1.529111,4.627980,0.477912,0.472080,0.833887,0.836593,0.001000,0.408470,192.389153
24,1.302696,4.611354,1.537004,5.225296,0.443796,0.442630,0.840138,0.845071,0.001000,0.408717,189.598409
25,1.359577,4.647784,1.505985,4.616029,0.460125,0.457501,0.835789,0.836858,0.001000,0.408421,189.464840
26,1.284982,4.413926,1.470507,4.411782,0.471497,0.466978,0.845349,0.848029,0.001000,0.408399,189.295971
27,1.250081,4.357596,1.462991,4.642859,0.484181,0.479370,0.842503,0.845230,0.001000,0.408266,189.903715
28,1.217545,4.272621,1.490640,4.519086,0.472664,0.465957,0.831860,0.833662,0.001000,0.408220,189.965197
29,1.192325,4.452094,1.405137,4.674795,0.491763,0.486368,0.847400,0.847854,0.001000,0.408696,191.925152
30,1.201983,4.314669,1.433908,4.607177,0.478350,0.469019,0.840159,0.843515,0.001000,0.408436,191.231868
31,1.178104,4.225353,1.425339,4.792020,0.473101,0.471060,0.840607,0.845208,0.001000,0.408328,192.721827
32,1.228998,4.297582,1.405856,4.452713,0.480974,0.480099,0.845050,0.848373,0.001000,0.408523,191.118792
33,1.146601,4.054744,1.338034,4.410554,0.496428,0.498615,0.848111,0.854498,0.001000,0.408231,189.993407
34,1.110184,4.036685,1.314657,4.246218,0.507946,0.509695,0.855104,0.859969,0.001000,0.408040,189.229049
35,1.082956,3.910997,1.347905,4.099069,0.478641,0.474851,0.851564,0.857641,0.001000,0.408234,188.926638
36,1.080357,3.775076,1.380373,3.952747,0.479953,0.474267,0.836267,0.839592,0.001000,0.408646,190.231430
37,1.058030,3.558652,1.305478,3.815895,0.508966,0.508237,0.850992,0.855826,0.001000,0.408153,189.213553
38,1.111711,3.650670,1.355093,3.765295,0.471789,0.468873,0.845122,0.848565,0.001000,0.408515,189.338419
39,1.136279,3.418454,1.364952,3.646541,0.476600,0.472664,0.836129,0.840508,0.001000,0.408104,188.354698
40,1.071903,2.821932,1.203696,2.389755,0.568742,0.562473,0.871069,0.873364,0.001000,0.408367,189.176029
41,0.983543,2.302421,1.248279,2.524890,0.558536,0.557807,0.868028,0.871427,0.001000,0.407721,188.318045
42,0.940303,2.189972,1.159545,2.348348,0.595422,0.589882,0.882087,0.885672,0.001000,0.408217,191.015933
43,0.894964,2.092876,1.124801,2.231956,0.610585,0.605919,0.890600,0.891305,0.001000,0.408383,190.268095
44,0.923657,2.085177,1.265787,2.285374,0.594693,0.587987,0.864973,0.869513,0.001000,0.408340,190.644891
45,0.983104,2.124261,1.249491,2.460491,0.579968,0.574574,0.862776,0.868754,0.001000,0.408956,192.548205
46,0.992039,2.142309,1.211980,2.263046,0.591631,0.589299,0.874289,0.880473,0.001000,0.408885,191.691043
47,0.933934,2.048103,1.204203,2.271407,0.576906,0.570491,0.876382,0.882201,0.001000,0.408022,187.796874
48,0.960711,2.010470,1.224501,2.277710,0.566409,0.561015,0.866061,0.867919,0.001000,0.407837,186.101389
49,0.917694,1.932381,1.088193,2.072603,0.626768,0.623852,0.890520,0.893669,0.001000,0.407813,186.413313
50,0.855587,1.996832,1.095059,2.158896,0.621373,0.615979,0.890370,0.891482,0.001000,0.407563,186.100136
51,0.833505,1.989386,1.083170,2.174431,0.616708,0.612772,0.887749,0.889973,0.001000,0.407592,185.306445
52,0.833934,1.963894,1.078718,2.102473,0.622394,0.615687,0.888521,0.889301,0.001000,0.407745,185.548231
