epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,4.141202,6.013591,3.740348,6.041240,0.276968,0.270408,0.314646,0.315817,0.001000,0.438038,349.761443
2,3.299268,7.486960,3.201153,7.599207,0.269679,0.265306,0.468048,0.466751,0.001000,0.401561,339.478623
3,2.976468,8.029152,2.958878,8.174961,0.301020,0.300292,0.510714,0.510967,0.001000,0.401471,327.882456
4,2.831963,7.833683,2.687018,8.316627,0.325073,0.325802,0.580422,0.580907,0.001000,0.400935,321.291518
5,2.709226,7.959116,2.690967,7.765585,0.332362,0.331633,0.567972,0.568698,0.001000,0.400855,329.973954
6,2.615293,7.999907,2.648088,8.168896,0.311224,0.311224,0.578178,0.577628,0.001000,0.401365,322.691841
7,2.532645,7.889433,2.570456,8.036097,0.322157,0.320700,0.559835,0.559528,0.001000,0.401153,327.618784
8,2.466945,7.873970,2.447310,8.128333,0.355685,0.351312,0.608990,0.608165,0.001000,0.401489,334.064522
9,2.421848,8.164518,2.529253,7.936936,0.344752,0.344752,0.571761,0.575011,0.001000,0.401604,328.828046
10,2.415877,8.119073,2.353933,8.340793,0.351312,0.352770,0.615962,0.616035,0.001000,0.400950,321.418408
11,2.296025,8.112365,2.273812,8.216165,0.362974,0.362974,0.636643,0.634379,0.001000,0.401158,348.109195
12,2.294239,8.257016,2.286615,8.315428,0.360058,0.360787,0.620371,0.619702,0.001000,0.401325,326.552680
13,2.268318,8.004616,2.224709,7.740585,0.380466,0.377551,0.632143,0.629732,0.001000,0.401850,331.989967
14,2.225809,7.659523,2.195876,7.909094,0.362245,0.362245,0.631672,0.631470,0.001000,0.401079,322.441903
15,2.149206,7.778947,2.177493,8.030844,0.378280,0.376093,0.637086,0.639262,0.001000,0.400758,322.240919
16,2.154581,7.564536,2.182468,7.675316,0.372449,0.368805,0.621503,0.621931,0.001000,0.401145,322.504973
17,2.143458,7.495687,2.097425,7.281821,0.362974,0.363703,0.640280,0.640766,0.001000,0.401037,332.812553
18,2.093923,7.197855,2.095636,7.646682,0.376093,0.376093,0.643926,0.644803,0.001000,0.401502,335.223732
19,2.060892,7.097487,2.053006,7.099817,0.394315,0.395773,0.648301,0.648842,0.001000,0.401255,323.898081
20,1.881061,5.981035,1.799530,5.845389,0.389942,0.381924,0.714250,0.715421,0.001000,0.401129,327.072954
21,1.789598,5.802734,1.870035,5.944819,0.346210,0.343294,0.694187,0.694213,0.001000,0.401363,325.179470
22,1.769492,5.539507,1.758697,5.481544,0.398688,0.394315,0.714950,0.713095,0.001000,0.401044,330.295471
23,1.681023,5.651122,1.720855,5.346891,0.413265,0.407434,0.720714,0.722627,0.001000,0.401406,323.125731
24,1.681818,5.720337,1.732488,5.641230,0.408892,0.408163,0.736220,0.738684,0.001000,0.401479,316.340647
25,1.665370,5.303774,1.665608,5.206047,0.413994,0.409621,0.753703,0.749453,0.001000,0.401345,320.008163
26,1.598575,4.941849,1.642873,4.191612,0.419096,0.416181,0.750076,0.747878,0.001000,0.401019,323.027861
27,1.108764,3.034924,1.117239,3.207833,0.528426,0.550292,0.875929,0.886452,0.001000,0.401436,327.362392
28,1.002243,2.896331,1.104526,2.930908,0.519679,0.548834,0.863535,0.875790,0.001000,0.401253,328.883853
29,0.971042,2.852511,1.056068,2.943100,0.563411,0.586735,0.882010,0.891262,0.001000,0.401409,325.527628
30,0.944738,2.750109,1.020429,2.800329,0.554665,0.576531,0.888267,0.895289,0.001000,0.401476,321.255715
31,0.972417,2.735140,1.061123,2.858823,0.536443,0.547376,0.875807,0.885073,0.001000,0.400958,312.840733
32,0.932387,2.714104,0.965699,2.768038,0.563411,0.588192,0.891387,0.898319,0.001000,0.401064,318.082379
33,0.882431,2.653644,0.994964,2.693320,0.549563,0.588192,0.886185,0.893433,0.001000,0.401180,316.864025
34,0.873916,2.626924,0.974752,2.553911,0.544461,0.559767,0.873978,0.884412,0.001000,0.401123,312.409882
35,0.880504,2.581877,1.027239,2.394138,0.561953,0.588192,0.874774,0.879391,0.001000,0.400866,318.774136
36,0.868933,2.598481,0.994638,2.505809,0.551749,0.556122,0.869673,0.876181,0.001000,0.400834,313.787294
37,0.837193,2.537374,0.924103,2.534240,0.584548,0.628280,0.891005,0.899813,0.001000,0.400862,307.930876
38,0.800877,2.449745,0.911989,2.494833,0.592566,0.641399,0.892217,0.902105,0.001000,0.400903,307.118485
39,0.784286,2.328906,0.887179,2.372649,0.533528,0.602770,0.886317,0.906561,0.001000,0.401111,312.712738
40,0.702826,2.194483,0.805150,2.294288,0.586735,0.632653,0.911696,0.925191,0.001000,0.400993,310.677592
41,0.702320,2.182434,0.850897,2.306791,0.551020,0.594752,0.899350,0.911319,0.001000,0.400881,308.642622
42,0.710771,2.170738,0.826456,2.322532,0.561224,0.623907,0.906204,0.923538,0.001000,0.401210,308.991673
43,0.647366,2.141896,0.781344,2.165949,0.592566,0.639213,0.915587,0.926834,0.001000,0.401235,303.690557
44,0.617479,2.097146,0.807969,2.203813,0.572157,0.623907,0.897297,0.915572,0.001000,0.400807,325.863788
45,0.633326,2.125352,0.762900,2.232203,0.587464,0.636297,0.910238,0.921927,0.001000,0.400638,302.162562
46,0.638325,2.146190,0.792702,2.206721,0.579446,0.631924,0.902359,0.916953,0.001000,0.400723,299.206594
47,0.612579,2.120067,0.806734,2.263007,0.567784,0.597668,0.904158,0.911964,0.001000,0.400587,301.543775
48,0.630264,2.143251,0.805549,2.255105,0.570700,0.607143,0.910639,0.921435,0.001000,0.400973,305.356378
49,0.610258,2.101952,0.765240,2.190238,0.559038,0.623178,0.908094,0.920751,0.001000,0.401018,299.469091
50,0.581557,2.074564,0.781089,2.238982,0.607872,0.643586,0.913432,0.925627,0.001000,0.400721,301.468816
51,0.551256,2.108455,0.717063,2.234020,0.592566,0.642128,0.917488,0.927435,0.001000,0.400816,301.103421
52,0.564360,2.084101,0.751494,2.170234,0.614431,0.650875,0.913997,0.924616,0.001000,0.401050,304.569222
53,0.552546,2.053871,0.682421,2.117141,0.614431,0.663994,0.922356,0.933503,0.001000,0.400160,305.661056
54,0.533562,2.047923,0.848086,2.174355,0.577988,0.589650,0.877236,0.890688,0.001000,0.400573,294.851214
55,0.582690,2.087421,0.721330,2.095560,0.619534,0.670554,0.919045,0.928438,0.001000,0.401210,298.908550
56,0.519533,2.058176,0.692414,2.156427,0.615889,0.653790,0.920702,0.931456,0.001000,0.400611,300.296004
57,0.526772,2.064502,0.749765,2.241727,0.575802,0.613703,0.907417,0.918348,0.001000,0.401318,299.742405
58,0.547537,2.069627,0.715003,2.154107,0.597668,0.633382,0.918248,0.926998,0.001000,0.400864,304.690379
1,0.483929,1.970358,0.656821,2.112784,0.624636,0.687318,0.926791,0.937969,0.000100,0.475961,183.854504
2,0.450883,1.967809,0.614374,2.131972,0.639942,0.705539,0.934572,0.945662,0.000100,0.437567,176.222825
3,0.437607,1.951859,0.617706,2.105925,0.642128,0.706268,0.931509,0.942276,0.000100,0.438259,176.481152
4,0.427215,1.946175,0.632277,2.124554,0.641399,0.702624,0.926069,0.941062,0.000100,0.438246,177.257791
5,0.415827,1.948884,0.603898,2.075810,0.642857,0.709184,0.932930,0.943046,0.000100,0.438194,177.130637
6,0.409958,1.933378,0.597322,2.113738,0.655977,0.727405,0.937723,0.948595,0.000100,0.438283,177.682411
7,0.402667,1.914151,0.598074,2.088143,0.663265,0.730321,0.931888,0.946432,0.000100,0.438342,178.619650
8,0.397057,1.917262,0.621248,2.139173,0.644315,0.706268,0.924172,0.942955,0.000100,0.437823,176.905091
9,0.391331,1.925639,0.608451,2.102861,0.653061,0.728863,0.929215,0.945681,0.000100,0.437723,177.455404
10,0.387810,1.901860,0.595196,2.121479,0.655248,0.725219,0.932194,0.945101,0.000100,0.437928,177.436568
11,0.381325,1.894286,0.599946,2.103323,0.655977,0.736880,0.930063,0.944980,0.000100,0.436780,177.302492
12,0.376266,1.898523,0.577310,2.093372,0.655977,0.728863,0.935094,0.948093,0.000100,0.437933,177.436225
13,0.374143,1.891591,0.576223,2.098388,0.664723,0.741254,0.930318,0.946670,0.000100,0.437900,177.052342
