epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.738475,1.870066,1.506017,1.656582,0.336735,0.381195,0.692782,0.704570,0.001000,0.141481,96.983409
2,1.418190,1.590199,1.347517,1.578429,0.346939,0.410350,0.764241,0.784906,0.001000,0.121722,50.993909
3,1.285515,1.538319,1.248527,1.543657,0.379009,0.439504,0.795882,0.798574,0.001000,0.121521,47.484146
4,1.190555,1.512080,1.142891,1.509219,0.372449,0.444606,0.822480,0.842155,0.001000,0.123762,45.045222
5,1.112067,1.495192,1.067104,1.481818,0.394315,0.467930,0.833779,0.855625,0.001000,0.122045,44.469883
6,1.043266,1.475515,1.008204,1.466399,0.445335,0.490525,0.845658,0.841875,0.001000,0.121854,44.576086
7,0.983872,1.457691,0.966702,1.467985,0.419825,0.484694,0.847533,0.864767,0.001000,0.121733,45.786307
8,0.940373,1.448912,0.932777,1.465039,0.367347,0.508746,0.828346,0.877748,0.001000,0.122305,45.515824
9,0.890209,1.426926,0.904686,1.456115,0.414723,0.509475,0.841296,0.874064,0.001000,0.122307,44.324710
10,0.859119,1.421198,0.857686,1.435325,0.388484,0.518950,0.838112,0.874463,0.001000,0.121316,43.755279
11,0.824143,1.409569,0.825331,1.422922,0.384111,0.537172,0.856587,0.893480,0.001000,0.122527,44.976004
12,0.791713,1.395997,0.781741,1.398059,0.466472,0.583090,0.886266,0.911411,0.001000,0.121792,45.071147
13,0.775096,1.396807,0.788723,1.420830,0.477405,0.563411,0.873336,0.894291,0.001000,0.122290,43.630910
14,0.751243,1.387028,0.777129,1.424657,0.507289,0.491254,0.866803,0.873959,0.001000,0.122166,45.007825
15,0.736667,1.385475,0.744258,1.405791,0.502915,0.575802,0.884454,0.897597,0.001000,0.122212,44.513388
16,0.718396,1.380737,0.732825,1.412595,0.504373,0.515306,0.866813,0.895060,0.001000,0.122978,45.190776
17,0.696733,1.367824,0.726088,1.413436,0.478134,0.576531,0.886023,0.909193,0.001000,0.122663,43.277333
18,0.686300,1.367426,0.708257,1.400624,0.504373,0.575802,0.889790,0.908447,0.001000,0.122184,44.104824
19,0.671741,1.361139,0.695018,1.401983,0.486880,0.618805,0.888730,0.920116,0.001000,0.122419,44.936639
20,0.661499,1.359164,0.683118,1.390513,0.489067,0.605685,0.888968,0.903543,0.001000,0.122543,44.852243
21,0.646102,1.350732,0.678080,1.391448,0.470117,0.603499,0.880122,0.914778,0.001000,0.122348,43.774632
22,0.639213,1.350538,0.672236,1.395184,0.541545,0.580904,0.899404,0.904461,0.001000,0.123063,43.339587
23,0.623789,1.343080,0.669085,1.395217,0.465015,0.551020,0.872348,0.897240,0.001000,0.122634,44.777577
24,0.620133,1.343936,0.663155,1.400725,0.445335,0.614431,0.892730,0.926087,0.001000,0.123731,44.259078
25,0.615734,1.346797,0.634801,1.378047,0.577988,0.568513,0.910240,0.905684,0.001000,0.123109,44.838190
26,0.603540,1.339116,0.638625,1.379533,0.457726,0.583090,0.879939,0.904705,0.001000,0.122960,43.935305
27,0.596098,1.336337,0.643165,1.391815,0.430029,0.605685,0.883117,0.918719,0.001000,0.123812,43.392586
28,0.594653,1.340076,0.630386,1.383698,0.440962,0.637755,0.879009,0.925751,0.001000,0.123817,41.890410
29,0.581591,1.331668,0.625161,1.385025,0.443878,0.610787,0.885269,0.921578,0.001000,0.123752,42.608756
30,0.579926,1.334359,0.628206,1.399356,0.535714,0.604227,0.902313,0.910704,0.001000,0.122992,43.414596
31,0.569431,1.328500,0.604752,1.370548,0.494898,0.668367,0.900170,0.936553,0.001000,0.123023,43.380443
32,0.566446,1.327336,0.599916,1.374188,0.502915,0.650146,0.906373,0.927390,0.001000,0.122590,49.185025
33,0.560299,1.324440,0.612877,1.386892,0.403061,0.622449,0.875267,0.923443,0.001000,0.122155,44.278799
34,0.558609,1.328540,0.603288,1.384312,0.405977,0.614431,0.870082,0.920875,0.001000,0.123409,45.271422
35,0.551096,1.324927,0.600734,1.382684,0.551020,0.630466,0.904928,0.918762,0.001000,0.123463,43.108723
36,0.548719,1.324058,0.582967,1.370934,0.561224,0.644315,0.916402,0.926418,0.001000,0.123223,44.965326
37,0.543396,1.322769,0.584102,1.378355,0.588192,0.612245,0.915569,0.916599,0.001000,0.123956,44.577739
38,0.541889,1.321481,0.583370,1.376524,0.564140,0.636297,0.911512,0.919543,0.001000,0.123111,44.291779
39,0.538323,1.320445,0.590247,1.380783,0.456268,0.657434,0.883822,0.927802,0.001000,0.123664,48.691792
40,0.539967,1.325587,0.591142,1.385364,0.586006,0.556851,0.900937,0.899148,0.001000,0.122725,43.060634
41,0.531999,1.318028,0.593821,1.395970,0.534257,0.614431,0.886082,0.914182,0.001000,0.124700,44.431521
42,0.528607,1.320722,0.564940,1.364560,0.524781,0.688047,0.904642,0.932713,0.001000,0.124338,44.757852
43,0.501656,1.291446,0.550092,1.351055,0.520408,0.719388,0.912089,0.945682,0.000100,0.123962,43.607937
44,0.492428,1.279908,0.543885,1.341814,0.535714,0.723032,0.917042,0.946824,0.000100,0.124162,44.045302
45,0.487920,1.275665,0.540295,1.335661,0.524052,0.733236,0.911499,0.950651,0.000100,0.124132,44.661107
46,0.484976,1.272799,0.540399,1.340972,0.565598,0.728134,0.918799,0.946960,0.000100,0.124018,44.021149
47,0.482360,1.272931,0.535011,1.337767,0.554665,0.733965,0.920445,0.950346,0.000100,0.124249,43.550538
48,0.480050,1.270459,0.530804,1.332316,0.521866,0.749271,0.916577,0.955346,0.000100,0.123782,44.686518
49,0.478297,1.271250,0.534284,1.340083,0.514577,0.739796,0.915018,0.951151,0.000100,0.124428,45.213319
50,0.475029,1.265277,0.535581,1.337648,0.521866,0.743440,0.911859,0.949923,0.000100,0.123567,43.630742
51,0.472997,1.266537,0.528858,1.335155,0.513848,0.755831,0.917768,0.954623,0.000100,0.124313,44.151935
52,0.472248,1.266451,0.531595,1.338489,0.524781,0.741983,0.916131,0.953316,0.000100,0.124222,44.564755
53,0.468571,1.262467,0.533892,1.345707,0.538630,0.746356,0.915149,0.950406,0.000100,0.123692,43.155618
54,0.467858,1.262415,0.533172,1.346039,0.520408,0.750000,0.915532,0.951408,0.000100,0.123475,44.645434
55,0.466058,1.262436,0.530819,1.344121,0.537901,0.752915,0.917091,0.951769,0.000100,0.123208,43.432359
56,0.463703,1.258434,0.525972,1.336322,0.549563,0.744169,0.920070,0.951088,0.000100,0.123713,44.554856
57,0.462149,1.261132,0.524959,1.337784,0.559038,0.756560,0.917465,0.956389,0.000100,0.123939,44.195268
58,0.460815,1.257622,0.528433,1.348771,0.531341,0.751458,0.916886,0.950834,0.000100,0.122796,43.413007
59,0.459109,1.256454,0.527467,1.342655,0.551749,0.758017,0.916941,0.955474,0.000100,0.123174,45.174764
60,0.456268,1.255316,0.522243,1.345868,0.543003,0.754373,0.921107,0.955382,0.000100,0.123503,44.593175
61,0.455222,1.254286,0.522631,1.336173,0.503644,0.756560,0.913875,0.952899,0.000100,0.123262,44.339100
62,0.453671,1.256346,0.522690,1.347003,0.510204,0.736152,0.916401,0.951945,0.000100,0.123308,43.598722
63,0.452129,1.255133,0.520692,1.343109,0.534257,0.750729,0.911864,0.953261,0.000100,0.123312,45.189035
64,0.451061,1.251868,0.520305,1.339608,0.534257,0.747813,0.919278,0.952492,0.000100,0.123764,44.413588
65,0.449389,1.252500,0.520804,1.353121,0.524781,0.752187,0.916902,0.953531,0.000100,0.123628,44.034354
66,0.447269,1.248787,0.513330,1.334899,0.558309,0.755831,0.924323,0.955653,0.000100,0.124348,44.036166
67,0.446611,1.250685,0.519925,1.347915,0.516035,0.755102,0.914106,0.953017,0.000100,0.124007,43.867696
68,0.445163,1.249230,0.520342,1.339905,0.522595,0.757289,0.918470,0.953263,0.000100,0.124605,44.682612
69,0.442046,1.247362,0.519387,1.346267,0.503644,0.747813,0.915182,0.952578,0.000010,0.123926,44.563269
70,0.441235,1.246642,0.520238,1.352553,0.521866,0.768222,0.911593,0.956366,0.000010,0.124012,43.558858
71,0.440856,1.245843,0.518375,1.350705,0.523324,0.750729,0.915462,0.950680,0.000010,0.124433,44.520889
72,0.440661,1.243620,0.512662,1.338936,0.529155,0.766764,0.916323,0.956123,0.000010,0.124461,44.371759
73,0.440309,1.244746,0.519193,1.347877,0.514577,0.756560,0.911182,0.949800,0.000010,0.124363,43.396969
74,0.439957,1.244894,0.515533,1.341900,0.530612,0.758017,0.914122,0.953603,0.000010,0.124427,44.940948
75,0.439527,1.244541,0.516502,1.338765,0.516764,0.750000,0.915279,0.952876,0.000010,0.124556,44.521358
76,0.439246,1.245529,0.514162,1.337253,0.530612,0.757289,0.917968,0.953783,0.000010,0.124367,43.982978
77,0.439092,1.244167,0.513685,1.340728,0.525510,0.771866,0.915343,0.954200,0.000010,0.124088,44.105922
78,0.439139,1.244601,0.514051,1.346058,0.537901,0.758017,0.916721,0.954021,0.000010,0.124959,43.883887
79,0.439096,1.245286,0.514952,1.336552,0.540816,0.758746,0.921061,0.953614,0.000001,0.124283,43.500161
80,0.438883,1.245513,0.515474,1.343079,0.525510,0.768950,0.915215,0.952767,0.000001,0.124622,44.011933
81,0.438538,1.242391,0.515313,1.340739,0.518222,0.758746,0.915138,0.954372,0.000001,0.124857,43.746949
82,0.438550,1.244001,0.509041,1.343664,0.523324,0.765306,0.917147,0.956076,0.000001,0.124299,44.643391
83,0.438496,1.245399,0.510417,1.346371,0.529883,0.771866,0.917247,0.955016,0.000001,0.124491,44.343669
84,0.438801,1.243935,0.514603,1.346324,0.518950,0.762391,0.918764,0.956089,0.000001,0.124121,45.142964
85,0.438270,1.244290,0.514531,1.343874,0.514577,0.755102,0.915108,0.953489,0.000001,0.124056,44.376815
86,0.438453,1.241949,0.520685,1.341629,0.512391,0.760933,0.907236,0.951774,0.000001,0.124250,42.830172
87,0.438616,1.243178,0.515611,1.344934,0.521137,0.752915,0.914434,0.952250,0.000001,0.123615,44.481566
88,0.438914,1.243814,0.515901,1.339620,0.518950,0.766764,0.913498,0.952434,0.000001,0.123482,42.927695
89,0.438202,1.243602,0.518598,1.344872,0.526968,0.760204,0.914726,0.951205,0.000000,0.123682,43.753586
90,0.438423,1.243742,0.515504,1.344139,0.529883,0.759475,0.916177,0.951651,0.000000,0.123377,43.032824
91,0.438134,1.243045,0.514795,1.349448,0.513848,0.773324,0.913891,0.955487,0.000000,0.124236,44.098892
92,0.438654,1.244487,0.512437,1.342644,0.525510,0.764577,0.916829,0.956487,0.000000,0.123350,43.696908
93,0.438476,1.245312,0.516594,1.351308,0.540087,0.755831,0.917369,0.954877,0.000000,0.123197,43.439413
94,0.438503,1.244882,0.520505,1.345796,0.539359,0.768950,0.917654,0.954079,0.000000,0.123415,43.555725
95,0.438076,1.242268,0.514952,1.346986,0.522595,0.759475,0.913901,0.953887,0.000000,0.123627,43.492691
96,0.438377,1.243431,0.519847,1.350700,0.523324,0.755831,0.916221,0.952806,0.000000,0.124152,44.070460
97,0.438074,1.243917,0.511609,1.338202,0.521866,0.767493,0.916792,0.952922,0.000000,0.124086,43.525090
98,0.438451,1.245145,0.515958,1.340882,0.524052,0.756560,0.916229,0.952632,0.000000,0.123388,44.155017
99,0.438330,1.243874,0.519288,1.351308,0.530612,0.757289,0.915568,0.952557,0.000000,0.124483,44.225832
100,0.438672,1.242389,0.513710,1.342498,0.533528,0.758746,0.921073,0.955122,0.000000,0.123574,43.822608
