epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.768165,1.932419,1.489302,1.602533,0.370991,0.392128,0.720405,0.720332,0.001000,0.115879,32.709386
2,1.425108,1.560735,1.362325,1.564667,0.378280,0.422741,0.765233,0.783286,0.001000,0.101747,30.122470
3,1.295225,1.503008,1.263597,1.516626,0.403790,0.418367,0.798444,0.789287,0.001000,0.110355,31.114174
4,1.202522,1.469592,1.147784,1.453465,0.422741,0.464286,0.834749,0.835409,0.001000,0.109915,31.104078
5,1.120481,1.442548,1.085828,1.441250,0.421283,0.467201,0.846325,0.849311,0.001000,0.108391,31.318529
6,1.054950,1.422590,1.047742,1.437761,0.434402,0.478134,0.829473,0.840703,0.001000,0.111866,31.120989
7,0.986667,1.388702,0.965557,1.396867,0.483965,0.493440,0.861263,0.864016,0.001000,0.112048,31.083075
8,0.935355,1.370203,0.933803,1.399624,0.420554,0.508017,0.843649,0.873360,0.001000,0.110879,31.437838
9,0.893135,1.351136,0.926013,1.412462,0.437318,0.510933,0.840338,0.855756,0.001000,0.109607,31.319212
10,0.863109,1.340548,0.844730,1.342001,0.508746,0.553207,0.872282,0.881569,0.001000,0.108972,31.443063
11,0.818342,1.313074,0.818476,1.323365,0.517493,0.540816,0.881475,0.883884,0.001000,0.109003,31.118535
12,0.774758,1.278416,0.781141,1.296018,0.521866,0.582362,0.889881,0.898501,0.001000,0.108586,31.626729
13,0.754412,1.267620,0.766136,1.292259,0.512391,0.566327,0.868694,0.878043,0.001000,0.108123,31.556308
14,0.719114,1.234287,0.737629,1.255679,0.587464,0.548105,0.901257,0.892779,0.001000,0.108413,31.492199
15,0.701163,1.220554,0.711436,1.240915,0.579446,0.586735,0.894759,0.896985,0.001000,0.108465,31.633045
16,0.678531,1.200125,0.684854,1.211706,0.594023,0.595481,0.912690,0.913131,0.001000,0.108509,31.593833
17,0.655708,1.173678,0.693131,1.234756,0.566327,0.588192,0.895290,0.906203,0.001000,0.108504,31.395231
18,0.633322,1.144450,0.665785,1.191578,0.594023,0.616618,0.904112,0.910559,0.001000,0.108535,31.451950
19,0.618587,1.121953,0.633743,1.150405,0.625364,0.628280,0.917123,0.922555,0.001000,0.108362,31.442164
20,0.602958,1.105453,0.618246,1.132118,0.610787,0.631924,0.906848,0.911478,0.001000,0.108660,31.468867
21,0.576443,1.068600,0.611645,1.117526,0.599854,0.615160,0.916764,0.920485,0.001000,0.108319,31.487675
22,0.576917,1.069323,0.619191,1.116459,0.607143,0.596939,0.914718,0.912360,0.001000,0.108506,31.421599
23,0.554757,1.036883,0.577693,1.067023,0.629738,0.638484,0.916287,0.919275,0.001000,0.108378,31.416712
24,0.537943,1.005667,0.606465,1.126622,0.541545,0.585277,0.900501,0.906317,0.001000,0.108443,31.381034
25,0.531974,0.999831,0.577805,1.068518,0.629738,0.623178,0.921245,0.917424,0.001000,0.108522,31.608443
26,0.519896,0.970386,0.577642,1.077330,0.595481,0.603499,0.906233,0.907038,0.001000,0.108325,31.510621
27,0.506308,0.952610,0.550204,1.020801,0.642857,0.653061,0.914984,0.919039,0.001000,0.108717,31.299089
28,0.489503,0.920850,0.516747,0.970349,0.668367,0.682216,0.933888,0.936754,0.001000,0.108173,31.473044
29,0.482394,0.907709,0.536763,1.005862,0.626093,0.634840,0.924661,0.927460,0.001000,0.108641,31.489784
30,0.488467,0.920721,0.516134,0.972606,0.665452,0.660350,0.933409,0.931684,0.001000,0.108643,31.385172
31,0.460196,0.863072,0.529769,1.015011,0.640671,0.658163,0.917844,0.923045,0.001000,0.108450,31.379928
32,0.473877,0.891291,0.523484,0.998214,0.639213,0.625364,0.926038,0.924299,0.001000,0.108494,31.399198
33,0.456206,0.851475,0.499496,0.932755,0.658892,0.659621,0.936391,0.938084,0.001000,0.108366,31.388256
34,0.446396,0.840157,0.521219,1.043865,0.648688,0.634111,0.926186,0.924419,0.001000,0.106620,31.269964
35,0.434956,0.815961,0.482571,0.932755,0.677843,0.669096,0.931850,0.930553,0.001000,0.108582,31.354548
36,0.427727,0.804444,0.484779,0.928458,0.680758,0.674198,0.936959,0.936781,0.001000,0.108764,31.882911
37,0.420112,0.794211,0.497292,0.998901,0.668367,0.674927,0.931090,0.932442,0.001000,0.108446,31.367182
38,0.424399,0.809695,0.491292,0.974054,0.676385,0.672012,0.931876,0.930964,0.001000,0.108703,31.464269
39,0.411523,0.768935,0.484475,0.972108,0.678571,0.682945,0.932614,0.932939,0.001000,0.108236,31.834626
40,0.408263,0.795217,0.522071,1.149281,0.610058,0.611516,0.911558,0.911716,0.001000,0.108365,31.876552
41,0.408959,0.778186,0.481794,0.995198,0.669825,0.669825,0.931193,0.931144,0.001000,0.108344,31.760807
