epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.390561,7.344082,1.193698,7.609678,0.150146,0.271866,0.405602,0.242953,0.001000,0.476244,191.073649
2,1.122867,6.604972,1.059680,5.582383,0.298105,0.263120,0.456709,0.267587,0.001000,0.437196,182.528411
3,1.027851,5.504205,0.990136,5.252450,0.258017,0.277697,0.387279,0.290733,0.001000,0.437060,181.314278
4,0.967486,5.294269,0.938328,5.501753,0.330175,0.289359,0.559361,0.309357,0.001000,0.436904,182.054160
5,0.926231,5.187119,0.903741,4.427574,0.331633,0.279155,0.563825,0.313999,0.001000,0.436861,183.064512
6,0.892763,4.868351,0.875247,5.219333,0.306122,0.264577,0.529830,0.311862,0.001000,0.436815,182.133740
7,0.866387,4.781854,0.851072,4.315559,0.308309,0.255102,0.517539,0.306139,0.001000,0.437015,181.693288
8,0.845866,4.470138,0.833342,4.640258,0.324344,0.268950,0.552607,0.321079,0.001000,0.437088,181.688619
9,0.829585,4.450818,0.819415,4.492017,0.342566,0.283528,0.588435,0.329307,0.001000,0.437158,180.496734
10,0.815986,4.366099,0.807618,4.341377,0.308309,0.253644,0.523478,0.305100,0.001000,0.437445,182.207709
11,0.806027,4.143924,0.798754,4.176345,0.334548,0.282799,0.573539,0.327242,0.001000,0.437427,182.092924
12,0.797599,4.070123,0.790054,4.115812,0.338921,0.276239,0.574394,0.328870,0.001000,0.436976,182.493157
13,0.791349,4.007564,0.785000,4.588105,0.159621,0.204082,0.313458,0.469677,0.001000,0.437103,182.504554
14,0.784834,4.624017,0.778974,4.634964,0.161079,0.233236,0.322594,0.431474,0.001000,0.436946,181.623586
15,0.780745,4.656641,0.775857,4.761157,0.161079,0.233965,0.330111,0.486539,0.001000,0.437320,182.935626
16,0.777330,4.657134,0.773694,4.757021,0.157434,0.212099,0.329001,0.472067,0.001000,0.436957,182.738857
17,0.775553,4.888111,0.772672,4.817400,0.156706,0.247813,0.310891,0.461971,0.001000,0.436950,182.287117
18,0.773557,4.870208,0.768738,5.187281,0.174198,0.182216,0.342802,0.490588,0.001000,0.436816,182.401034
19,0.771089,5.076391,0.767695,5.268203,0.139942,0.215015,0.214101,0.339191,0.001000,0.436778,183.212495
20,0.769324,5.110160,0.768706,5.274899,0.155248,0.204082,0.319502,0.471065,0.001000,0.436837,183.730067
21,0.768530,5.205587,0.765564,5.283188,0.147959,0.225219,0.277727,0.421044,0.001000,0.436742,183.956820
22,0.768170,5.233246,0.763368,5.209379,0.161079,0.227405,0.330349,0.466988,0.001000,0.436786,183.836248
23,0.765916,5.275080,0.762764,5.377664,0.164723,0.219388,0.333440,0.497000,0.001000,0.436707,183.692447
24,0.765909,5.383507,0.763637,5.399928,0.163265,0.228863,0.329591,0.481973,0.001000,0.436640,183.795387
25,0.764573,5.472041,0.761891,5.510092,0.149417,0.232507,0.303414,0.457342,0.001000,0.436911,183.813668
1,0.761897,5.499935,0.758275,5.612864,0.166910,0.247085,0.351206,0.515068,0.000100,0.476061,191.714495
2,0.760657,5.601382,0.757955,5.692517,0.163994,0.259475,0.349804,0.522600,0.000100,0.437562,182.538138
3,0.760081,5.671824,0.757483,5.718155,0.172741,0.238338,0.353492,0.522336,0.000100,0.437489,182.899160
4,0.759713,5.700274,0.757013,5.830942,0.166910,0.247813,0.344436,0.519022,0.000100,0.437369,183.266119
5,0.759143,5.773334,0.757116,5.819929,0.166181,0.255831,0.350810,0.523858,0.000100,0.437324,183.511801
6,0.758878,5.812783,0.756255,5.865805,0.174927,0.253644,0.357330,0.531591,0.000100,0.437530,184.614956
7,0.758474,5.829585,0.756444,5.870174,0.172012,0.260204,0.353667,0.529809,0.000100,0.437539,185.141272
8,0.758076,5.852958,0.756501,5.896827,0.165452,0.250000,0.350988,0.522222,0.000100,0.437455,184.862796
9,0.757753,5.877800,0.755869,5.958214,0.169096,0.252187,0.355003,0.527037,0.000100,0.437470,185.495864
10,0.757504,5.921577,0.755598,5.894063,0.169825,0.257289,0.357697,0.528194,0.000100,0.437509,185.426952
11,0.757237,5.897852,0.755752,5.993283,0.168367,0.238338,0.349323,0.526214,0.000100,0.437528,185.909176
12,0.757036,5.957464,0.755420,6.001716,0.160350,0.261662,0.352641,0.521089,0.000100,0.437480,185.890998
13,0.756654,5.987325,0.755097,6.026517,0.165452,0.252915,0.356704,0.532162,0.000100,0.437589,185.191963
14,0.756344,5.995194,0.755219,6.070864,0.158163,0.261662,0.348078,0.525982,0.000100,0.437557,185.668269
15,0.756315,6.020291,0.754977,6.116838,0.163994,0.250000,0.357242,0.536947,0.000100,0.437483,185.515401
16,0.756027,6.016750,0.754550,6.088112,0.158892,0.269679,0.354540,0.529064,0.000100,0.437370,185.912346
17,0.755923,6.034107,0.754688,6.040689,0.155248,0.276968,0.351790,0.528178,0.000100,0.437509,185.392554
18,0.755782,6.028955,0.754451,6.112822,0.167638,0.245627,0.356963,0.539844,0.000100,0.437403,185.275780
19,0.755471,6.052697,0.753831,6.114490,0.163265,0.266764,0.356618,0.536833,0.000100,0.437549,185.105248
20,0.755281,6.080025,0.754256,6.143875,0.158163,0.266035,0.349916,0.525760,0.000100,0.437603,185.825247
21,0.755174,6.082352,0.754122,6.106702,0.151603,0.265306,0.354287,0.531960,0.000100,0.437491,185.633644
22,0.755026,6.099818,0.754082,6.066177,0.156706,0.281341,0.346814,0.519799,0.000100,0.437498,185.360217
23,0.754867,6.088550,0.753857,6.161229,0.154519,0.263848,0.351064,0.531586,0.000100,0.437499,186.040465
24,0.754637,6.111031,0.753406,6.156937,0.158163,0.276239,0.352680,0.539027,0.000100,0.437508,185.987075
25,0.754466,6.123454,0.753887,6.155943,0.158892,0.263120,0.352516,0.535234,0.000100,0.437410,185.113321
26,0.754583,6.134971,0.753584,6.171829,0.156706,0.266035,0.351087,0.531861,0.000100,0.437491,185.739774
27,0.754285,6.144592,0.753520,6.190817,0.156706,0.263120,0.353243,0.537649,0.000100,0.437586,185.182561
28,0.754301,6.160766,0.752901,6.190226,0.157434,0.264577,0.363119,0.541051,0.000100,0.437484,185.203100
29,0.753959,6.154667,0.753049,6.167060,0.159621,0.276968,0.358773,0.536144,0.000100,0.437515,184.978572
30,0.753941,6.156018,0.753491,6.186771,0.160350,0.290816,0.351228,0.531274,0.000100,0.437634,185.869699
31,0.753814,6.178854,0.752757,6.225910,0.163994,0.251458,0.363352,0.547530,0.000100,0.437523,185.040876
32,0.753693,6.192955,0.753382,6.215332,0.161808,0.269679,0.357942,0.535785,0.000100,0.437493,185.565527
33,0.753548,6.210295,0.752852,6.236703,0.160350,0.262391,0.354968,0.536079,0.000100,0.437512,185.263624
