epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.601863,nan,1.516539,nan,0.097099,0.281528,-0.116463,0.626397,0.001000,0.480147,183.751567
2,1.454714,nan,1.390853,nan,0.111678,0.328036,-0.179372,0.732715,0.001000,0.431184,178.081407
3,1.338861,nan,1.287678,nan,0.111824,0.349030,-0.203781,0.768459,0.001000,0.430905,178.019597
4,1.247095,nan,1.208491,nan,0.115615,0.357049,-0.218895,0.757456,0.001000,0.431327,179.949737
5,1.171109,nan,1.139986,nan,0.111095,0.414929,-0.229081,0.783848,0.001000,0.431058,179.939470
6,1.114307,nan,1.088796,nan,0.105263,0.452253,-0.256999,0.804984,0.001000,0.431214,179.747930
7,1.064264,nan,1.045101,nan,0.121446,0.395393,-0.234102,0.811264,0.001000,0.431169,180.676818
8,1.025490,nan,1.017201,nan,0.124800,0.363318,-0.213100,0.770786,0.001000,0.431209,181.185854
9,0.995845,nan,0.979755,nan,0.117947,0.440735,-0.231295,0.839714,0.001000,0.431352,181.710884
10,0.967919,nan,0.958464,nan,0.114740,0.445692,-0.241396,0.825924,0.001000,0.431729,181.936702
11,0.943720,nan,0.935630,nan,0.127861,0.369296,-0.233982,0.805610,0.001000,0.431311,180.996991
12,0.922498,nan,0.914273,nan,0.117364,0.445692,-0.233114,0.839364,0.001000,0.431397,182.624863
13,0.902627,nan,0.898230,nan,0.116489,0.432425,-0.204913,0.835327,0.001000,0.431117,180.249508
14,0.887551,nan,0.883268,nan,0.115615,0.449628,-0.241323,0.843613,0.001000,0.431261,181.156714
15,0.873166,nan,0.875270,nan,0.091559,0.475725,-0.253652,0.825645,0.001000,0.431316,180.776143
16,0.860400,nan,0.857206,nan,0.127570,0.398892,-0.240207,0.841367,0.001000,0.431199,180.944459
17,0.848141,nan,0.847039,nan,0.113282,0.455752,-0.225687,0.841623,0.001000,0.431418,181.870094
18,0.838269,nan,0.835168,nan,0.117510,0.474413,-0.217143,0.863603,0.001000,0.431336,181.378959
19,0.827071,nan,0.829798,nan,0.128444,0.357487,-0.247535,0.836811,0.001000,0.431417,181.672085
20,0.820167,nan,0.819046,nan,0.119551,0.475580,-0.240273,0.859828,0.001000,0.431215,181.615590
21,0.811962,nan,0.810567,nan,0.116635,0.492346,-0.215305,0.871873,0.001000,0.431395,181.274448
22,0.803143,nan,0.803074,nan,0.121738,0.493075,-0.219407,0.874893,0.001000,0.431273,181.419243
23,0.799146,nan,0.799230,nan,0.125820,0.494095,-0.241555,0.859060,0.001000,0.431208,180.809791
24,0.792732,nan,0.792847,nan,0.123633,0.472955,-0.242964,0.871187,0.001000,0.431244,182.221326
25,0.787765,nan,0.786520,nan,0.123342,0.508966,-0.238989,0.876593,0.001000,0.431802,184.030553
26,0.782201,nan,0.782442,nan,0.125674,0.505321,-0.250644,0.879657,0.001000,0.431824,185.666752
27,0.777169,nan,0.779872,nan,0.116635,0.508821,-0.208018,0.858911,0.001000,0.431784,185.728908
28,0.773264,nan,0.776039,nan,0.127278,0.482432,-0.236265,0.873424,0.001000,0.431319,181.522362
29,0.770042,nan,0.772338,nan,0.120717,0.499490,-0.213566,0.879242,0.001000,0.430904,180.296900
30,0.768009,nan,0.769600,nan,0.114886,0.522379,-0.216341,0.882325,0.001000,0.431643,180.121368
31,0.763474,nan,0.764652,nan,0.121446,0.543082,-0.235787,0.883204,0.001000,0.431390,180.694412
32,0.760955,nan,0.765993,nan,0.120426,0.518880,-0.227574,0.863520,0.001000,0.431092,181.622352
33,0.759109,nan,0.762143,nan,0.122175,0.493366,-0.220489,0.873321,0.001000,0.431056,180.874876
34,0.755691,nan,0.757080,nan,0.123342,0.552413,-0.226732,0.891952,0.001000,0.431134,180.727090
