epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.545417,nan,1.402349,nan,0.107872,0.266764,-0.225583,0.640735,0.001000,0.475538,186.347504
2,1.304254,nan,1.215370,nan,0.130466,0.366618,-0.254620,0.730802,0.001000,0.436968,180.626492
3,1.152708,nan,1.098888,nan,0.126822,0.439504,-0.241104,0.787099,0.001000,0.436865,180.892745
4,1.056112,nan,1.021030,nan,0.119534,0.428571,-0.258356,0.798448,0.001000,0.436904,181.378533
5,0.991340,nan,0.964016,nan,0.135569,0.401603,-0.262115,0.775024,0.001000,0.437026,180.686103
6,0.942429,nan,0.925366,nan,0.118805,0.443149,-0.294294,0.793721,0.001000,0.436822,181.299156
7,0.907551,nan,0.887211,nan,0.138484,0.415452,-0.260297,0.821573,0.001000,0.438165,181.922072
8,0.877037,nan,0.864117,nan,0.142857,0.440962,-0.242286,0.818975,0.001000,0.436703,182.045778
9,0.853080,nan,0.843569,nan,0.134111,0.471574,-0.239726,0.856035,0.001000,0.436715,181.945832
10,0.833903,nan,0.825467,nan,0.130466,0.455539,-0.234834,0.855986,0.001000,0.436729,181.864488
11,0.816471,nan,0.812114,nan,0.134111,0.453353,-0.220233,0.849869,0.001000,0.436854,182.365829
12,0.803750,nan,0.797380,nan,0.145044,0.470117,-0.237150,0.859363,0.001000,0.436705,181.691547
13,0.791137,nan,0.789991,nan,0.142128,0.562682,-0.245133,0.902642,0.000100,0.436893,182.094445
14,0.787269,nan,0.788478,nan,0.144315,0.564140,-0.232528,0.905212,0.000100,0.436863,182.029125
15,0.784790,nan,0.786036,nan,0.143586,0.561224,-0.244567,0.908450,0.000100,0.436741,181.469234
16,0.782672,nan,0.783921,nan,0.145773,0.607872,-0.244636,0.912320,0.000100,0.436653,181.358745
17,0.780532,nan,0.782800,nan,0.143586,0.594752,-0.234454,0.906316,0.000100,0.436923,181.753269
18,0.778934,nan,0.780089,nan,0.145044,0.604956,-0.249286,0.920385,0.000100,0.436986,182.299945
19,0.776910,nan,0.778544,nan,0.145044,0.604956,-0.253168,0.917908,0.000100,0.436856,182.518129
20,0.775183,nan,0.777348,nan,0.142857,0.606414,-0.235693,0.916632,0.000100,0.436700,181.026082
21,0.773410,nan,0.776459,nan,0.142128,0.620262,-0.237377,0.918904,0.000100,0.436940,182.537632
22,0.771858,nan,0.775196,nan,0.138484,0.619534,-0.236379,0.920361,0.000100,0.436989,182.991122
23,0.770001,nan,0.773204,nan,0.143586,0.629738,-0.246408,0.931911,0.000010,0.437164,182.428599
24,0.769441,nan,0.773302,nan,0.142128,0.634840,-0.249087,0.927016,0.000010,0.436807,182.456371
25,0.768989,nan,0.773396,nan,0.141399,0.628280,-0.254803,0.924963,0.000010,0.436868,180.915571
26,0.768893,nan,0.773636,nan,0.142857,0.643586,-0.245441,0.926388,0.000010,0.436740,181.123981
27,0.768623,nan,0.773081,nan,0.142128,0.650146,-0.241396,0.927395,0.000010,0.436838,179.855917
28,0.768291,nan,0.771774,nan,0.142857,0.647230,-0.250684,0.932206,0.000010,0.436830,180.341067
29,0.768104,nan,0.771999,nan,0.141399,0.650146,-0.249308,0.931295,0.000010,0.436854,179.179746
30,0.767893,nan,0.771657,nan,0.142128,0.652332,-0.251720,0.930461,0.000010,0.436807,180.599127
