epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,0.758276,nan,0.654184,nan,0.103499,0.131924,0.021957,0.002896,0.001000,0.490902,145.780362
2,0.635925,nan,0.531232,nan,0.174927,0.117347,0.006267,0.052161,0.001000,0.377981,99.600235
3,0.543290,nan,0.441645,nan,0.131195,0.132653,0.002498,0.054362,0.001000,0.380902,99.642137
4,0.463588,nan,0.332074,nan,0.185131,0.139213,-0.019783,0.109918,0.001000,0.383610,117.641887
5,0.403225,nan,0.445019,nan,0.156706,0.102770,0.012455,-0.050655,0.001000,0.381215,126.822619
6,0.360012,nan,0.329324,nan,0.139213,0.131195,0.041361,0.011715,0.001000,0.381475,102.513602
7,0.315807,nan,0.289846,nan,0.077988,0.134840,0.026889,0.001438,0.001000,0.381622,100.558959
8,0.297441,nan,0.280339,nan,0.117347,0.137026,0.019457,0.001864,0.001000,0.381366,100.190126
9,0.266434,nan,0.256646,nan,0.123907,0.136297,0.025649,0.000000,0.001000,0.381594,100.401798
10,0.244463,nan,0.232095,nan,0.122449,0.136297,0.023369,0.000000,0.001000,0.381448,100.747056
11,0.221382,nan,0.210460,nan,0.115160,0.139213,0.024213,0.000374,0.001000,0.381781,100.996550
12,0.193309,nan,0.193595,nan,0.125364,0.139942,0.028164,0.004435,0.001000,0.381888,101.491416
13,0.196576,nan,0.213836,nan,0.117347,0.127551,0.015876,-0.022271,0.001000,0.381413,126.481548
14,0.196702,nan,0.286534,nan,0.125364,0.099854,-0.046997,-0.083430,0.001000,0.380550,115.395318
15,0.178256,nan,0.096567,nan,0.148688,0.154519,0.046172,0.040364,0.001000,0.378330,101.163345
16,0.159096,nan,0.143753,nan,0.139942,0.146501,0.047374,0.005795,0.001000,0.381479,101.040365
17,0.146226,nan,0.140086,nan,0.134111,0.138484,0.016011,0.000712,0.001000,0.381430,101.060483
18,0.135042,nan,0.108867,nan,0.146501,0.155248,0.020307,0.012356,0.001000,0.381542,101.098227
19,0.124064,nan,-0.006741,nan,0.170554,0.196793,0.148931,0.148171,0.001000,0.381676,101.136826
20,0.111571,nan,0.071152,nan,0.140671,0.164723,0.046059,0.041149,0.001000,0.381614,101.112493
21,0.101904,nan,0.083579,nan,0.131924,0.142128,0.017497,0.018619,0.001000,0.381951,102.075593
22,0.096669,nan,-0.019210,nan,0.142857,0.197522,0.115862,0.121524,0.001000,0.380728,119.935954
