epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.995383,nan,1.560640,nan,0.123633,0.222481,-0.080906,0.506161,0.001000,0.089601,133.170556
2,1.412870,nan,1.358547,nan,0.150751,0.285319,0.290398,0.608610,0.001000,0.077158,131.931918
3,1.254827,nan,1.242566,nan,0.122904,0.343782,0.185571,0.677780,0.001000,0.077118,131.440883
4,1.176206,nan,1.184396,nan,0.145648,0.350634,0.361822,0.710437,0.001000,0.077274,132.037639
5,1.134923,nan,1.111739,nan,0.136755,0.363901,0.267081,0.753906,0.001000,0.077144,131.775222
6,1.080838,nan,1.090117,nan,0.128590,0.381980,0.177994,0.766019,0.001000,0.076919,132.122232
7,1.041108,nan,1.056929,nan,0.151480,0.360694,0.234695,0.777861,0.001000,0.077256,132.677692
8,1.018322,nan,1.029135,nan,0.159498,0.350780,0.282655,0.793095,0.001000,0.077177,132.852789
9,0.995616,nan,0.991084,nan,0.171454,0.377752,0.476959,0.816363,0.001000,0.077126,132.837637
10,0.965543,nan,0.987493,nan,0.155416,0.407202,0.327765,0.808092,0.001000,0.077267,133.067020
11,0.942740,nan,0.956709,nan,0.179035,0.395830,0.540700,0.820384,0.001000,0.077183,132.983441
12,0.919184,nan,0.931144,nan,0.182971,0.413034,0.516615,0.830100,0.001000,0.077307,132.825545
13,0.895664,nan,0.916676,nan,0.191719,0.407202,0.597330,0.833612,0.001000,0.077130,132.871873
14,0.880442,nan,0.901943,nan,0.194489,0.404578,0.609755,0.836391,0.001000,0.077035,132.861705
15,0.851826,nan,0.900638,nan,0.166642,0.435486,0.388882,0.827136,0.001000,0.077074,133.039520
16,0.839513,nan,0.885982,nan,0.203528,0.378627,0.568599,0.828057,0.001000,0.077301,132.902869
17,0.826919,nan,0.846334,nan,0.197551,0.447296,0.525478,0.849227,0.001000,0.077065,133.086906
18,0.805625,nan,0.844131,nan,0.198134,0.439277,0.516412,0.844248,0.001000,0.077119,132.934996
19,0.783968,nan,0.824832,nan,0.208923,0.410993,0.549465,0.850024,0.001000,0.077217,133.008890
20,0.766170,nan,0.804466,nan,0.197259,0.469602,0.447117,0.855679,0.001000,0.077061,132.884626
21,0.746284,nan,0.800927,nan,0.180930,0.470477,0.407336,0.847350,0.001000,0.077377,133.178972
22,0.737040,nan,0.782257,nan,0.202216,0.449482,0.409770,0.854382,0.001000,0.077121,132.920802
23,0.716717,nan,0.765856,nan,0.193906,0.476746,0.366793,0.854361,0.001000,0.077287,132.986881
24,0.701333,nan,0.761205,nan,0.181951,0.453419,0.514232,0.848276,0.001000,0.077176,133.086300
25,0.693043,nan,0.734894,nan,0.205861,0.486660,0.453235,0.863688,0.001000,0.077297,133.184477
26,0.674301,nan,0.729819,nan,0.207902,0.472372,0.464975,0.853380,0.001000,0.077163,132.997904
27,0.656804,nan,0.699825,nan,0.224231,0.493950,0.417857,0.872953,0.001000,0.076874,132.880700
28,0.644644,nan,0.695968,nan,0.206007,0.501677,0.371922,0.865311,0.001000,0.077347,132.920642
29,0.629985,nan,0.679386,nan,0.214317,0.504009,0.342976,0.872530,0.001000,0.077300,133.051294
30,0.622214,nan,0.689037,nan,0.209797,0.474559,0.331229,0.852928,0.001000,0.077298,133.320421
31,0.609947,nan,0.669299,nan,0.202362,0.488847,0.302300,0.857297,0.001000,0.077194,133.049498
32,0.592141,nan,0.648833,nan,0.215046,0.509695,0.308647,0.870370,0.001000,0.077155,133.208731
33,0.578418,nan,0.630293,nan,0.215192,0.514798,0.413103,0.875848,0.001000,0.077285,133.175170
34,0.567194,nan,0.629864,nan,0.223356,0.489138,0.464439,0.868987,0.001000,0.077157,133.364053
35,0.563210,nan,0.619166,nan,0.212713,0.518151,0.478484,0.870487,0.001000,0.077356,133.414473
36,0.552276,nan,0.614479,nan,0.212567,0.523254,0.469372,0.868783,0.001000,0.077461,133.284823
37,0.545786,nan,0.606776,nan,0.207756,0.506196,0.274698,0.866310,0.001000,0.077356,133.238628
38,0.531643,nan,0.582480,nan,0.222773,0.499781,0.230851,0.878191,0.001000,0.077190,133.587660
39,0.517567,nan,0.572062,nan,0.221169,0.529523,0.360276,0.878797,0.001000,0.077345,133.297313
40,0.502276,nan,0.555154,nan,0.219128,0.532585,0.243570,0.885540,0.001000,0.077275,133.634359
41,0.505467,nan,0.566492,nan,0.207027,0.521067,0.211344,0.868035,0.001000,0.077571,131.213175
42,0.496484,nan,0.540404,nan,0.219274,0.537396,0.406670,0.883788,0.001000,0.077655,130.860758
43,0.473138,nan,0.528538,nan,0.226418,0.548185,0.303608,0.888447,0.001000,0.077675,130.838468
