epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,1.688941,nan,1.259223,nan,0.134111,0.287172,-0.046956,0.661954,0.001000,0.476310,177.902995
2,1.225397,nan,1.138647,nan,0.116618,0.365889,-0.243707,0.737471,0.001000,0.437915,169.591125
3,1.119877,nan,1.102860,nan,0.117347,0.397230,-0.232637,0.764471,0.001000,0.437227,170.453291
4,1.063149,nan,1.058923,nan,0.132653,0.384111,-0.217946,0.782095,0.001000,0.437625,171.009165
5,1.020734,nan,1.032383,nan,0.120262,0.395044,-0.244480,0.788000,0.001000,0.436720,170.892756
6,0.989581,nan,0.977255,nan,0.130466,0.438776,-0.241072,0.815385,0.001000,0.437906,171.319156
7,0.948130,nan,0.947769,nan,0.134111,0.414723,-0.241620,0.825445,0.001000,0.437921,171.017065
8,0.921009,nan,0.918419,nan,0.124636,0.430029,-0.242989,0.823219,0.001000,0.436908,170.529351
9,0.883072,nan,0.895143,nan,0.128280,0.465015,-0.251467,0.841965,0.001000,0.438098,171.464365
10,0.856836,nan,0.864375,nan,0.138484,0.429300,-0.225928,0.848995,0.001000,0.436922,169.824284
11,0.828851,nan,0.853467,nan,0.140671,0.424927,-0.227173,0.833097,0.001000,0.437828,170.568509
12,0.796764,nan,0.810158,nan,0.126093,0.484694,-0.257155,0.852851,0.001000,0.437776,170.986357
13,0.772982,nan,0.782407,nan,0.134111,0.481050,-0.243364,0.870852,0.001000,0.437595,171.284189
14,0.745808,nan,0.771738,nan,0.136297,0.433673,-0.214018,0.854924,0.001000,0.438077,171.542496
15,0.722908,nan,0.742139,nan,0.119534,0.503644,-0.248686,0.862364,0.001000,0.438005,171.121396
16,0.698007,nan,0.721976,nan,0.135569,0.479592,-0.238828,0.865590,0.001000,0.438018,171.589974
17,0.667781,nan,0.685417,nan,0.137755,0.491254,-0.209147,0.879269,0.001000,0.438094,171.335040
18,0.647553,nan,0.660428,nan,0.150875,0.477405,-0.199829,0.878856,0.001000,0.438034,171.293447
19,0.627032,nan,0.650754,nan,0.139213,0.510933,-0.231507,0.875964,0.001000,0.437892,171.611520
20,0.600140,nan,0.636708,nan,0.143586,0.500000,-0.189633,0.873790,0.001000,0.437668,171.573227
21,0.585807,nan,0.600648,nan,0.142857,0.537172,-0.135007,0.886557,0.001000,0.438093,171.731062
22,0.569968,nan,0.588285,nan,0.139213,0.520408,-0.230911,0.883772,0.001000,0.437677,171.376989
23,0.549181,nan,0.573939,nan,0.147230,0.540816,-0.200267,0.884786,0.001000,0.437974,171.764111
24,0.526419,nan,0.557387,nan,0.142857,0.567784,-0.212345,0.884854,0.001000,0.437788,171.433258
25,0.511767,nan,0.549712,nan,0.126822,0.508746,-0.214879,0.871563,0.001000,0.437147,171.015446
26,0.494102,nan,0.525327,nan,0.144315,0.536443,-0.219441,0.890209,0.001000,0.437032,171.735296
27,0.475436,nan,0.496286,nan,0.145773,0.536443,-0.200527,0.898569,0.001000,0.438113,171.501238
28,0.463433,nan,0.499340,nan,0.147959,0.520408,-0.202937,0.877022,0.001000,0.438093,171.357507
29,0.449074,nan,0.494616,nan,0.132653,0.524052,-0.141705,0.879703,0.001000,0.437189,171.434844
30,0.441924,nan,0.463344,nan,0.139213,0.559767,-0.222789,0.885944,0.001000,0.437816,171.291976
31,0.425651,nan,0.455862,nan,0.134840,0.554665,-0.201469,0.889585,0.001000,0.437891,172.037879
32,0.409984,nan,0.432853,nan,0.149417,0.522595,-0.187447,0.892536,0.001000,0.437827,171.401465
33,0.390403,nan,0.424989,nan,0.139213,0.552478,-0.207968,0.892046,0.001000,0.438046,171.749334
34,0.385812,nan,0.415029,nan,0.146501,0.565598,-0.184745,0.896707,0.001000,0.437413,171.713851
35,0.374002,nan,0.403244,nan,0.134840,0.548105,-0.188152,0.887692,0.001000,0.437689,171.254239
36,0.367112,nan,0.398289,nan,0.137026,0.545190,-0.184221,0.883311,0.001000,0.437957,171.483997
37,0.352667,nan,0.378019,nan,0.150146,0.573615,-0.209968,0.896562,0.001000,0.437372,171.033252
38,0.342859,nan,0.369021,nan,0.136297,0.563411,-0.226622,0.892735,0.001000,0.437979,171.464363
39,0.332343,nan,0.363954,nan,0.140671,0.559767,-0.173277,0.901219,0.001000,0.437794,171.057900
40,0.319301,nan,0.359241,nan,0.146501,0.585277,-0.215160,0.900581,0.001000,0.438179,171.155853
41,0.307058,nan,0.340890,nan,0.149417,0.516035,-0.125248,0.893207,0.001000,0.438026,171.486331
42,0.302363,nan,0.335987,nan,0.145044,0.571429,-0.197989,0.903007,0.001000,0.437007,170.889124
43,0.298290,nan,0.329091,nan,0.140671,0.586735,-0.237321,0.902819,0.001000,0.438358,171.799026
44,0.284315,nan,0.322812,nan,0.144315,0.590379,-0.216507,0.909737,0.001000,0.436858,171.238692
45,0.284056,nan,0.313784,nan,0.144315,0.587464,-0.192022,0.903906,0.001000,0.437737,171.119744
46,0.272068,nan,0.301298,nan,0.136297,0.576531,-0.219848,0.901763,0.001000,0.438050,171.299191
47,0.270430,nan,0.302996,nan,0.143586,0.597668,-0.226533,0.908604,0.001000,0.436732,171.080846
48,0.266698,nan,0.295372,nan,0.137026,0.577259,-0.189292,0.905986,0.001000,0.438122,171.356363
49,0.258971,nan,0.287208,nan,0.148688,0.585277,-0.235374,0.909075,0.001000,0.438042,171.011558
50,0.246077,nan,0.272376,nan,0.140671,0.611516,-0.192506,0.914021,0.001000,0.438189,171.654520
51,0.240061,nan,0.277866,nan,0.147230,0.570700,-0.207681,0.902200,0.001000,0.438002,172.219570
52,0.245811,nan,0.266855,nan,0.145773,0.599125,-0.242487,0.913271,0.001000,0.437615,171.680546
53,0.227943,nan,0.269932,nan,0.145773,0.580175,-0.239225,0.904481,0.001000,0.436791,172.402157
54,0.231522,nan,0.266706,nan,0.145044,0.581633,-0.222527,0.897173,0.001000,0.437891,171.024460
55,0.234005,nan,0.266232,nan,0.142857,0.559767,-0.225660,0.902035,0.001000,0.438201,171.565748
56,0.217613,nan,0.254267,nan,0.142128,0.620991,-0.178123,0.907990,0.001000,0.438069,171.727340
57,0.216510,nan,0.246733,nan,0.145773,0.594023,-0.222445,0.911615,0.001000,0.436877,171.875762
58,0.211842,nan,0.248020,nan,0.137755,0.584548,-0.159571,0.905890,0.001000,0.436530,172.070275
59,0.216060,nan,0.249636,nan,0.144315,0.616618,-0.209207,0.910922,0.001000,0.436446,171.124612
60,0.210600,nan,0.244711,nan,0.145773,0.594023,-0.130364,0.906287,0.001000,0.437974,172.249531
61,0.220536,nan,0.237699,nan,0.143586,0.592566,-0.137219,0.913668,0.001000,0.438044,171.764390
62,0.208298,nan,0.237743,nan,0.142857,0.611516,-0.187107,0.912733,0.001000,0.438099,172.016325
63,0.195380,nan,0.225407,nan,0.148688,0.635569,-0.136651,0.919522,0.001000,0.438124,171.689351
64,0.181192,nan,0.212213,nan,0.146501,0.651603,-0.110929,0.921217,0.001000,0.437963,171.716944
65,0.177059,nan,0.217112,nan,0.145044,0.632653,-0.154377,0.915211,0.001000,0.438192,172.034136
66,0.184468,nan,0.215961,nan,0.137755,0.579446,-0.009550,0.912854,0.001000,0.437969,171.259320
67,0.194280,nan,0.232227,nan,0.142857,0.562682,-0.101842,0.898151,0.001000,0.437978,171.708087
68,0.185742,nan,0.209022,nan,0.145773,0.629738,-0.089831,0.919576,0.001000,0.438032,171.366481
69,0.177972,nan,0.213942,nan,0.144315,0.610058,-0.060833,0.911318,0.001000,0.438125,172.165272
70,0.190653,nan,0.203687,nan,0.142128,0.641399,-0.089820,0.922630,0.001000,0.437438,171.722051
71,0.178150,nan,0.201711,nan,0.139213,0.625364,-0.107215,0.923489,0.001000,0.438112,172.242045
72,0.167813,nan,0.194438,nan,0.143586,0.629009,-0.013340,0.928006,0.001000,0.437859,172.313097
73,0.166820,nan,0.198911,nan,0.140671,0.620991,-0.098972,0.919374,0.001000,0.437922,172.164846
74,0.158081,nan,0.176838,nan,0.145773,0.671283,-0.006329,0.934669,0.001000,0.436395,171.945231
75,0.152299,nan,0.178735,nan,0.139942,0.655248,-0.073618,0.929092,0.001000,0.437968,171.698830
76,0.162776,nan,0.190539,nan,0.141399,0.625364,0.007737,0.919419,0.001000,0.437984,171.709512
77,0.160899,nan,0.187914,nan,0.139213,0.603499,0.022148,0.910462,0.001000,0.437882,171.833602
78,0.151967,nan,0.181365,nan,0.144315,0.637026,0.005882,0.927192,0.001000,0.437140,171.261507
79,0.151519,nan,0.183555,nan,0.145044,0.581633,0.098400,0.912770,0.001000,0.437592,171.943863
80,0.167507,nan,0.199294,nan,0.146501,0.630466,-0.014830,0.912360,0.001000,0.436516,171.930422
1,0.144321,nan,0.173014,nan,0.145044,0.687318,-0.006451,0.934062,0.000100,0.475688,177.808952
2,0.136071,nan,0.166027,nan,0.147230,0.694606,-0.010209,0.942023,0.000100,0.436448,170.192222
3,0.131552,nan,0.165029,nan,0.145773,0.698251,-0.001988,0.940045,0.000100,0.437634,170.490163
4,0.127932,nan,0.161154,nan,0.147230,0.715743,0.020481,0.942383,0.000100,0.437924,170.751204
5,0.125534,nan,0.158052,nan,0.146501,0.704082,0.035774,0.939819,0.000100,0.438017,171.571979
6,0.123046,nan,0.155498,nan,0.145044,0.707726,0.031289,0.940916,0.000100,0.436903,171.591057
7,0.120207,nan,0.152201,nan,0.145773,0.710641,0.036473,0.944117,0.000100,0.438113,171.024197
8,0.117782,nan,0.152879,nan,0.144315,0.723032,0.040640,0.943126,0.000100,0.437905,171.582136
9,0.115643,nan,0.154009,nan,0.148688,0.711370,0.053000,0.938072,0.000100,0.438002,171.087118
10,0.113733,nan,0.148134,nan,0.146501,0.745627,0.025832,0.946542,0.000100,0.437405,171.714665
11,0.111560,nan,0.146283,nan,0.146501,0.724490,0.052478,0.944308,0.000100,0.437591,171.461413
12,0.109261,nan,0.146346,nan,0.146501,0.723032,0.046979,0.943084,0.000100,0.437980,171.249792
13,0.108146,nan,0.141371,nan,0.149417,0.726676,0.051868,0.948279,0.000100,0.437963,171.978419
14,0.106027,nan,0.142087,nan,0.146501,0.741254,0.075326,0.948087,0.000100,0.437789,170.939478
15,0.104083,nan,0.138186,nan,0.147959,0.727405,0.065972,0.947070,0.000100,0.437946,171.512602
16,0.102213,nan,0.143264,nan,0.148688,0.753644,0.064252,0.945250,0.000100,0.437768,171.284906
17,0.100898,nan,0.138221,nan,0.148688,0.723032,0.055437,0.943670,0.000100,0.436586,170.783336
18,0.099468,nan,0.136369,nan,0.148688,0.742711,0.081616,0.947320,0.000100,0.437106,171.545103
19,0.098061,nan,0.134519,nan,0.145773,0.748542,0.069390,0.948664,0.000100,0.438025,171.161498
20,0.096772,nan,0.134886,nan,0.147959,0.745627,0.076471,0.947478,0.000100,0.437919,171.254306
21,0.094965,nan,0.133427,nan,0.146501,0.744169,0.101097,0.946750,0.000100,0.436489,170.871141
22,0.093369,nan,0.130280,nan,0.148688,0.755831,0.109895,0.948493,0.000100,0.437857,170.896811
23,0.091788,nan,0.129994,nan,0.153061,0.751458,0.097502,0.948278,0.000100,0.438067,171.576646
24,0.090703,nan,0.127466,nan,0.150875,0.761662,0.127316,0.950469,0.000100,0.437476,170.824251
25,0.089688,nan,0.130690,nan,0.148688,0.750729,0.109101,0.949266,0.000100,0.437219,170.970407
26,0.088478,nan,0.125888,nan,0.151603,0.755102,0.102389,0.951433,0.000100,0.436603,170.930240
27,0.087346,nan,0.126715,nan,0.149417,0.751458,0.103796,0.950415,0.000100,0.437710,170.972304
28,0.086178,nan,0.124142,nan,0.149417,0.750729,0.112950,0.949902,0.000100,0.437910,171.789409
29,0.084843,nan,0.123815,nan,0.147230,0.752915,0.126946,0.951810,0.000100,0.437770,171.015541
30,0.083701,nan,0.125603,nan,0.147230,0.758017,0.105415,0.945374,0.000100,0.436821,171.028666
31,0.082561,nan,0.123624,nan,0.150875,0.752187,0.151817,0.948562,0.000100,0.437593,171.299730
32,0.081643,nan,0.120722,nan,0.149417,0.751458,0.115544,0.950058,0.000100,0.437652,171.142637
