epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,0.832751,nan,0.906918,nan,0.120991,0.109329,-0.034199,-0.086963,0.000100,0.550040,82.826686
2,0.816606,nan,0.833534,nan,0.143586,0.075802,-0.006986,-0.013784,0.000100,0.440707,75.475269
3,0.806154,nan,0.849013,nan,0.105685,0.166910,-0.095275,-0.026738,0.000100,0.445039,75.693631
4,0.791147,nan,0.844382,nan,0.104956,0.147959,-0.079788,-0.040895,0.000100,0.444810,76.052862
5,0.779694,nan,0.833429,nan,0.118076,0.092566,-0.000028,-0.053513,0.000100,0.444979,76.567373
6,0.767123,nan,0.716616,nan,0.099125,0.123907,-0.039746,0.065702,0.000100,0.445633,76.584583
7,0.752713,nan,0.738844,nan,0.120991,0.115160,-0.042385,0.008875,0.000100,0.443597,75.987476
8,0.747116,nan,0.747417,nan,0.106414,0.142857,-0.022457,0.032280,0.000100,0.439937,76.373491
9,0.733053,nan,0.660748,nan,0.121720,0.099854,-0.029519,0.053582,0.000100,0.441692,76.183016
10,0.725729,nan,0.697571,nan,0.112974,0.110787,-0.043980,0.035737,0.000100,0.444507,77.108265
11,0.715324,nan,0.644735,nan,0.130466,0.100583,-0.039524,0.062904,0.000100,0.444811,76.978794
12,0.701786,nan,0.686063,nan,0.111516,0.112245,-0.033099,0.042263,0.000100,0.445114,77.028103
13,0.694852,nan,0.633342,nan,0.131924,0.099125,-0.009054,0.061757,0.000100,0.441225,77.109893
14,0.682631,nan,0.630298,nan,0.115160,0.122449,-0.032798,0.061258,0.000100,0.438504,76.068424
15,0.677113,nan,0.523289,nan,0.104227,0.155248,-0.071892,0.186043,0.000100,0.440787,76.768141
16,0.665170,nan,0.658894,nan,0.114431,0.119534,-0.074729,0.030856,0.000100,0.443686,76.890511
17,0.660812,nan,0.601867,nan,0.102770,0.112974,-0.096740,0.067222,0.000100,0.446836,77.083150
18,0.650437,nan,0.473683,nan,0.103499,0.135569,-0.103179,0.208955,0.000100,0.444415,77.191482
19,0.639359,nan,0.471886,nan,0.115889,0.132653,-0.066435,0.201810,0.000100,0.444956,77.151037
20,0.632331,nan,0.547617,nan,0.104956,0.121720,-0.089547,0.132642,0.000100,0.443744,77.087324
21,0.620017,nan,0.466290,nan,0.129738,0.129738,-0.008341,0.156029,0.000100,0.442987,76.398095
22,0.611726,nan,0.515387,nan,0.107872,0.172741,-0.083686,0.140380,0.000100,0.438131,76.626881
23,0.604206,nan,0.455036,nan,0.145773,0.139213,0.018406,0.146947,0.000100,0.441274,76.609569
24,0.599899,nan,0.401479,nan,0.117347,0.164723,0.001447,0.254814,0.000100,0.443425,77.598389
25,0.589011,nan,0.414259,nan,0.106414,0.172741,-0.033633,0.204356,0.000100,0.444743,77.074366
26,0.579593,nan,0.411999,nan,0.123178,0.164723,-0.002425,0.207080,0.000100,0.443860,77.317639
27,0.578321,nan,0.398330,nan,0.102041,0.146501,-0.014084,0.203982,0.000100,0.444634,77.570469
28,0.568297,nan,0.400259,nan,0.111516,0.151603,-0.054112,0.214628,0.000100,0.444500,77.294721
29,0.559695,nan,0.496411,nan,0.123178,0.142857,-0.039047,0.091345,0.000100,0.442405,76.418878
30,0.553807,nan,0.400308,nan,0.123907,0.152332,-0.040865,0.191301,0.000100,0.440914,76.677405
31,0.546397,nan,0.377967,nan,0.096939,0.182216,-0.038267,0.214161,0.000100,0.441398,76.802455
32,0.541802,nan,0.311611,nan,0.122449,0.180029,-0.012618,0.285600,0.000100,0.444557,77.170123
33,0.535928,nan,0.349214,nan,0.118076,0.173469,-0.033932,0.222733,0.000100,0.443443,77.473634
34,0.526902,nan,0.443620,nan,0.107872,0.096210,-0.029509,0.146982,0.000100,0.442062,77.077245
35,0.529910,nan,0.443809,nan,0.128280,0.102041,0.001678,0.093062,0.000100,0.439721,77.611499
36,0.518052,nan,0.332485,nan,0.116618,0.155977,-0.023850,0.232335,0.000100,0.439950,77.603565
37,0.508226,nan,0.343852,nan,0.108601,0.168367,-0.002393,0.203005,0.000100,0.443738,77.495130
38,0.505062,nan,0.306430,nan,0.102041,0.173469,0.006821,0.253164,0.000100,0.440216,76.673125
39,0.496613,nan,0.340677,nan,0.112245,0.166910,-0.000449,0.200774,0.000100,0.440284,76.410629
40,0.491899,nan,0.314510,nan,0.115889,0.142128,-0.053385,0.232474,0.000100,0.439367,76.581920
41,0.483493,nan,0.336324,nan,0.093294,0.163994,-0.014213,0.188538,0.000100,0.439419,77.355239
42,0.480450,nan,0.284887,nan,0.100583,0.173469,-0.044974,0.247800,0.000100,0.439419,77.241964
43,0.474987,nan,0.393751,nan,0.120991,0.131195,-0.036699,0.111445,0.000100,0.442749,77.533520
44,0.468381,nan,0.384010,nan,0.116618,0.145044,-0.035592,0.138114,0.000100,0.443616,77.662856
45,0.465304,nan,0.261107,nan,0.092566,0.172741,-0.064771,0.270681,0.000100,0.442871,77.496573
46,0.467034,nan,0.329027,nan,0.119534,0.117347,-0.008547,0.169612,0.000100,0.442648,77.361573
47,0.457062,nan,0.223932,nan,0.134840,0.158163,-0.051324,0.270443,0.000100,0.443082,77.644077
48,0.453975,nan,0.271044,nan,0.088921,0.156706,-0.005080,0.253840,0.000100,0.441374,76.742584
49,0.447117,nan,0.164680,nan,0.101312,0.189504,-0.031592,0.374312,0.000100,0.440504,76.515219
50,0.442313,nan,0.175483,nan,0.094752,0.194606,-0.023485,0.336740,0.000100,0.442572,76.555186
