epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,0.622506,nan,0.520295,nan,0.119168,0.212869,0.057038,0.384001,0.001000,0.540002,376.195722
2,0.445742,nan,0.397142,nan,0.094771,0.229977,-0.171369,0.520381,0.001000,0.400628,388.038701
3,0.335579,nan,0.288565,nan,0.082329,0.324456,-0.262753,0.642723,0.001000,0.401643,366.793220
4,0.245611,nan,0.242345,nan,0.104199,0.285673,-0.203888,0.650858,0.001000,0.401040,366.262516
5,0.192355,nan,0.178337,nan,0.107504,0.324164,-0.201484,0.697989,0.001000,0.401358,369.907856
6,0.132885,nan,0.114773,nan,0.114697,0.334273,-0.214533,0.746261,0.001000,0.400614,374.060914
7,0.081995,nan,0.073463,nan,0.106143,0.356823,-0.237229,0.763624,0.001000,0.401333,370.309923
8,0.036854,nan,0.053055,nan,0.091952,0.393663,-0.262445,0.751046,0.001000,0.401309,372.497972
9,0.007629,nan,0.008264,nan,0.111781,0.388219,-0.232342,0.774328,0.001000,0.399567,366.721234
10,-0.021313,nan,-0.011728,nan,0.106143,0.398911,-0.240417,0.765221,0.001000,0.399799,364.931511
11,-0.060698,nan,-0.054303,nan,0.111878,0.389774,-0.219193,0.800481,0.001000,0.401636,372.697821
12,-0.089470,nan,-0.074278,nan,0.116155,0.398134,-0.219737,0.792176,0.001000,0.400456,364.877015
13,-0.114133,nan,-0.088320,nan,0.118196,0.366349,-0.214159,0.782741,0.001000,0.400845,368.864968
14,-0.126854,nan,-0.096696,nan,0.097395,0.415144,-0.221214,0.766381,0.001000,0.401906,365.483880
15,-0.147850,nan,-0.138161,nan,0.114502,0.367807,-0.235734,0.802562,0.001000,0.401085,364.365881
16,-0.174084,nan,-0.151049,nan,0.109740,0.432640,-0.225644,0.798814,0.001000,0.401438,369.381936
17,-0.196846,nan,-0.168122,nan,0.102935,0.420684,-0.202080,0.801071,0.001000,0.401923,369.050764
18,-0.213358,nan,-0.189075,nan,0.113044,0.417379,-0.240966,0.808577,0.001000,0.401428,363.923660
19,-0.232542,nan,-0.214259,nan,0.118002,0.419129,-0.238811,0.827893,0.001000,0.401869,364.664885
20,-0.251500,nan,-0.222190,nan,0.118779,0.416893,-0.226841,0.816394,0.001000,0.400877,364.448525
21,-0.262426,nan,-0.239019,nan,0.114697,0.440319,-0.243349,0.826818,0.001000,0.401114,370.782658
22,-0.280267,nan,-0.253814,nan,0.117516,0.446442,-0.221880,0.829445,0.001000,0.399992,363.050209
23,-0.292116,nan,-0.264126,nan,0.119654,0.413103,-0.230715,0.827091,0.001000,0.400390,367.700278
24,-0.299120,nan,-0.269512,nan,0.111781,0.433709,-0.239539,0.819324,0.001000,0.400312,363.256509
25,-0.310517,nan,-0.287395,nan,0.120723,0.415630,-0.227771,0.831520,0.001000,0.401114,361.833740
26,-0.327434,nan,-0.294221,nan,0.114405,0.449261,-0.237037,0.827721,0.001000,0.401853,366.947231
27,-0.336803,nan,-0.306966,nan,0.116058,0.426808,-0.224939,0.836217,0.001000,0.401545,361.990332
28,-0.350450,nan,-0.317295,nan,0.111586,0.462772,-0.235697,0.839153,0.001000,0.401637,359.092859
29,-0.358874,nan,-0.328111,nan,0.116835,0.458495,-0.236675,0.842138,0.001000,0.401457,358.892805
30,-0.369988,nan,-0.336581,nan,0.114211,0.469187,-0.243326,0.841234,0.001000,0.401939,368.631878
31,-0.380399,nan,-0.346663,nan,0.121306,0.462772,-0.231434,0.847072,0.001000,0.401564,365.822937
32,-0.389356,nan,-0.355357,nan,0.118293,0.474242,-0.249032,0.848154,0.001000,0.400526,351.413939
33,-0.393766,nan,-0.356249,nan,0.111003,0.460245,-0.251613,0.839100,0.001000,0.400576,353.608202
34,-0.396923,nan,-0.362885,nan,0.114988,0.469868,-0.211330,0.837256,0.001000,0.400243,327.375626
35,-0.408260,nan,-0.378891,nan,0.119168,0.477449,-0.224115,0.855273,0.001000,0.400372,273.728035
36,-0.416302,nan,-0.384757,nan,0.111392,0.478810,-0.236576,0.857535,0.001000,0.401208,338.364384
37,-0.428236,nan,-0.392447,nan,0.117516,0.481143,-0.230590,0.858174,0.001000,0.400526,341.781974
38,-0.436865,nan,-0.399108,nan,0.119946,0.507387,-0.221343,0.859377,0.001000,0.401458,373.628359
39,-0.438265,nan,-0.395866,nan,0.121015,0.418351,-0.222392,0.842805,0.001000,0.402062,380.343642
40,-0.441545,nan,-0.407008,nan,0.117904,0.469673,-0.217124,0.852014,0.001000,0.401140,363.777960
41,-0.451639,nan,-0.412261,nan,0.118682,0.502138,-0.232904,0.855517,0.001000,0.400406,385.144943
42,-0.456252,nan,-0.418029,nan,0.123931,0.479102,-0.229868,0.853349,0.001000,0.400919,272.868776
43,-0.461852,nan,-0.419084,nan,0.124028,0.476866,-0.226114,0.848433,0.001000,0.400064,304.823468
44,-0.467448,nan,-0.416813,nan,0.118974,0.467341,-0.207223,0.836084,0.001000,0.401030,319.424991
45,-0.470964,nan,-0.432371,nan,0.116835,0.483573,-0.210022,0.857547,0.001000,0.401900,360.669001
46,-0.479126,nan,-0.436454,nan,0.117418,0.490086,-0.219068,0.856511,0.001000,0.401974,318.017858
47,-0.483532,nan,-0.442323,nan,0.119071,0.490474,-0.213095,0.860167,0.001000,0.401472,318.508121
48,-0.486769,nan,-0.441409,nan,0.117516,0.485323,-0.206665,0.849611,0.001000,0.401236,308.900542
49,-0.492061,nan,-0.449367,nan,0.121501,0.484351,-0.217278,0.859334,0.001000,0.401269,365.179696
50,-0.497824,nan,-0.452535,nan,0.124222,0.458787,-0.231216,0.856611,0.001000,0.401222,359.351656
51,-0.497586,nan,-0.452042,nan,0.118779,0.492030,-0.207630,0.846521,0.001000,0.401599,296.613712
52,-0.499085,nan,-0.460199,nan,0.122376,0.494848,-0.227567,0.858363,0.001000,0.401530,265.943534
53,-0.508214,nan,-0.464517,nan,0.120432,0.506804,-0.212546,0.860255,0.001000,0.400086,339.884001
54,-0.511930,nan,-0.470023,nan,0.118196,0.507096,-0.216324,0.864310,0.001000,0.401322,375.907933
55,-0.515342,nan,-0.472064,nan,0.118002,0.485031,-0.207681,0.862373,0.001000,0.401863,262.480440
56,-0.515324,nan,-0.473214,nan,0.124514,0.480949,-0.234824,0.859508,0.001000,0.401377,310.196568
57,-0.520738,nan,-0.480316,nan,0.117224,0.518371,-0.218622,0.868169,0.001000,0.401286,303.729368
58,-0.525414,nan,-0.479569,nan,0.115766,0.512344,-0.203154,0.860229,0.001000,0.400965,263.645248
59,-0.523973,nan,-0.481098,nan,0.117030,0.490669,-0.213244,0.857538,0.001000,0.401170,314.439230
60,-0.521132,nan,-0.485028,nan,0.117224,0.513997,-0.210903,0.861280,0.001000,0.401617,356.932489
61,-0.529181,nan,-0.485709,nan,0.117030,0.491155,-0.209871,0.859602,0.001000,0.400603,402.588537
62,-0.536009,nan,-0.494904,nan,0.119654,0.515941,-0.217804,0.870423,0.001000,0.401450,305.606015
63,-0.541169,nan,-0.498275,nan,0.121987,0.538491,-0.229249,0.872384,0.001000,0.401488,259.459162
64,-0.546830,nan,-0.502871,nan,0.120820,0.535381,-0.223750,0.875004,0.001000,0.401254,330.248123
65,-0.548343,nan,-0.505929,nan,0.118682,0.523523,-0.210266,0.874423,0.001000,0.400471,355.539502
66,-0.550441,nan,-0.504007,nan,0.122181,0.537325,-0.237504,0.868009,0.001000,0.400649,255.298033
67,-0.552996,nan,-0.509055,nan,0.120723,0.513705,-0.225511,0.871922,0.001000,0.401101,322.821974
68,-0.551453,nan,-0.502311,nan,0.116252,0.499417,-0.231814,0.855097,0.001000,0.399597,308.209685
69,-0.539368,nan,-0.498363,nan,0.111878,0.475505,-0.192028,0.846536,0.001000,0.400812,259.580767
70,-0.534125,nan,-0.501852,nan,0.119460,0.510109,-0.219051,0.853858,0.001000,0.401077,322.121297
71,-0.534685,nan,-0.501092,nan,0.124611,0.470937,-0.229543,0.853282,0.001000,0.401210,362.956892
72,-0.542534,nan,-0.511920,nan,0.122473,0.517593,-0.227159,0.870199,0.001000,0.401065,363.502617
73,-0.552910,nan,-0.513672,nan,0.120918,0.499417,-0.213148,0.868346,0.001000,0.400113,294.636346
74,-0.559089,nan,-0.519478,nan,0.121598,0.531979,-0.222813,0.873998,0.001000,0.401886,265.292708
75,-0.565517,nan,-0.520542,nan,0.117516,0.537714,-0.203518,0.870193,0.001000,0.399465,345.261126
76,-0.568783,nan,-0.529387,nan,0.120918,0.550156,-0.225475,0.882044,0.001000,0.401623,280.473210
77,-0.573907,nan,-0.529930,nan,0.121306,0.568915,-0.224528,0.881475,0.001000,0.401451,274.269800
78,-0.576297,nan,-0.531708,nan,0.118876,0.557057,-0.218856,0.880495,0.001000,0.400141,340.031804
79,-0.578134,nan,-0.530312,nan,0.117224,0.520801,-0.204456,0.872774,0.001000,0.401798,355.310746
80,-0.579752,nan,-0.535588,nan,0.120820,0.561431,-0.215308,0.879049,0.001000,0.400533,257.949250
1,-0.583983,nan,-0.541925,nan,0.122570,0.578538,-0.226688,0.888954,0.000100,0.560207,402.588521
2,-0.586756,nan,-0.542729,nan,0.121598,0.583981,-0.221940,0.891747,0.000100,0.430375,263.710895
3,-0.588616,nan,-0.544290,nan,0.120820,0.584176,-0.216190,0.891959,0.000100,0.430706,263.196876
4,-0.589873,nan,-0.543260,nan,0.120529,0.590591,-0.215346,0.889781,0.000100,0.430529,262.927868
5,-0.590702,nan,-0.544387,nan,0.121890,0.588744,-0.221123,0.891225,0.000100,0.430341,264.254190
6,-0.591583,nan,-0.544989,nan,0.120529,0.593604,-0.217228,0.890258,0.000100,0.430176,265.342473
7,-0.592634,nan,-0.545868,nan,0.121792,0.599728,-0.216117,0.893402,0.000100,0.430346,265.361713
8,-0.593630,nan,-0.546868,nan,0.121404,0.593604,-0.217488,0.892147,0.000100,0.430441,265.016427
9,-0.594067,nan,-0.547428,nan,0.122570,0.580871,-0.226750,0.892921,0.000100,0.430399,265.041040
10,-0.594858,nan,-0.547239,nan,0.121404,0.597492,-0.218519,0.891312,0.000100,0.430301,265.011356
11,-0.595723,nan,-0.547856,nan,0.120043,0.599631,-0.214707,0.892388,0.000100,0.430467,264.889805
12,-0.596575,nan,-0.549797,nan,0.119460,0.602449,-0.219122,0.894522,0.000100,0.430332,264.998055
13,-0.597235,nan,-0.549937,nan,0.120918,0.602547,-0.217604,0.894110,0.000100,0.430416,264.826415
14,-0.598043,nan,-0.550618,nan,0.119946,0.597492,-0.213625,0.893226,0.000100,0.431252,264.784782
15,-0.599109,nan,-0.550247,nan,0.119557,0.599922,-0.208362,0.892050,0.000100,0.430593,264.811015
16,-0.599278,nan,-0.550956,nan,0.120626,0.590785,-0.212508,0.891748,0.000100,0.431240,264.804863
17,-0.600149,nan,-0.551577,nan,0.119654,0.592827,-0.210714,0.891034,0.000100,0.430376,264.738947
18,-0.600772,nan,-0.551617,nan,0.120626,0.595159,-0.218798,0.891443,0.000100,0.430437,264.703978
19,-0.601120,nan,-0.552903,nan,0.120626,0.595645,-0.219468,0.893584,0.000100,0.430266,264.791865
20,-0.601810,nan,-0.554027,nan,0.121890,0.595159,-0.220875,0.892716,0.000100,0.430423,264.734953
21,-0.602628,nan,-0.554504,nan,0.120432,0.595548,-0.218165,0.893001,0.000100,0.430456,264.736600
22,-0.603675,nan,-0.554591,nan,0.121112,0.595840,-0.216081,0.892467,0.000100,0.430535,264.784578
23,-0.603807,nan,-0.556265,nan,0.122376,0.598173,-0.222413,0.895505,0.000100,0.430514,264.755970
