epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.014097,nan,1.572125,nan,0.129319,0.218545,-0.023516,0.499996,0.001000,0.480220,181.158651
2,1.418262,nan,1.331289,nan,0.150605,0.312290,0.322047,0.628834,0.001000,0.431987,173.942487
3,1.254303,nan,1.253983,nan,0.146669,0.329348,0.279995,0.660053,0.001000,0.433969,174.325608
4,1.180767,nan,1.176193,nan,0.163143,0.328619,0.460670,0.718629,0.001000,0.434084,173.932251
5,1.129115,nan,1.110707,nan,0.159207,0.375711,0.426606,0.757217,0.001000,0.434355,174.651694
6,1.081966,nan,1.095129,nan,0.148564,0.382709,0.380381,0.763527,0.001000,0.433960,174.338152
7,1.040879,nan,1.052680,nan,0.165184,0.365797,0.499969,0.785337,0.001000,0.434046,174.602842
8,1.013027,nan,1.022954,nan,0.176556,0.349905,0.599179,0.798486,0.001000,0.433392,175.328459
9,0.990220,nan,0.991801,nan,0.167809,0.389707,0.540236,0.814887,0.001000,0.431507,175.034752
10,0.968859,nan,0.987349,nan,0.146085,0.419157,0.418654,0.805298,0.001000,0.434171,175.512672
11,0.954272,nan,0.950475,nan,0.161540,0.405598,0.534692,0.828423,0.001000,0.434299,175.109238
12,0.921245,nan,0.943721,nan,0.173932,0.416825,0.527158,0.822631,0.001000,0.431939,175.329703
13,0.896653,nan,0.921156,nan,0.178889,0.405453,0.584269,0.833067,0.001000,0.433377,175.012821
14,0.879430,nan,0.907034,nan,0.180347,0.396413,0.580501,0.830605,0.001000,0.433177,175.351285
15,0.857840,nan,0.900731,nan,0.165768,0.436798,0.458848,0.827569,0.001000,0.432986,175.431669
16,0.837040,nan,0.873494,nan,0.190553,0.402391,0.604243,0.835249,0.001000,0.434282,175.241268
17,0.821175,nan,0.849481,nan,0.177577,0.452981,0.497996,0.846088,0.001000,0.433449,175.494652
18,0.801213,nan,0.856102,nan,0.172912,0.433154,0.512563,0.833919,0.001000,0.433038,175.370444
19,0.791444,nan,0.834224,nan,0.203674,0.379939,0.657873,0.840950,0.001000,0.434318,175.158007
20,0.773822,nan,0.826002,nan,0.178889,0.454585,0.462289,0.839637,0.001000,0.434312,175.566822
21,0.752345,nan,0.803822,nan,0.173640,0.455897,0.478334,0.846384,0.001000,0.433652,175.212887
22,0.740610,nan,0.780541,nan,0.173640,0.444525,0.610352,0.855776,0.001000,0.432375,175.517458
23,0.719446,nan,0.766882,nan,0.167226,0.489138,0.483093,0.852783,0.001000,0.433009,175.653193
24,0.698041,nan,0.747405,nan,0.195801,0.457064,0.622959,0.862739,0.001000,0.433826,175.640213
25,0.690331,nan,0.746772,nan,0.167955,0.473684,0.442974,0.851037,0.001000,0.433842,175.702578
26,0.674194,nan,0.735604,nan,0.189240,0.467852,0.582375,0.853909,0.001000,0.432055,175.059353
27,0.662588,nan,0.715514,nan,0.171308,0.487243,0.483259,0.854571,0.001000,0.434147,175.574016
28,0.646237,nan,0.694901,nan,0.185887,0.486222,0.588912,0.865500,0.001000,0.434191,175.518919
29,0.632750,nan,0.702461,nan,0.172474,0.476308,0.342250,0.852867,0.001000,0.434220,175.636680
30,0.621272,nan,0.683184,nan,0.171308,0.490596,0.506958,0.859446,0.001000,0.433975,175.900151
31,0.614725,nan,0.675178,nan,0.181368,0.498178,0.472929,0.855612,0.001000,0.432404,175.365703
32,0.597373,nan,0.658504,nan,0.178743,0.506342,0.485312,0.860352,0.001000,0.433041,175.583985
33,0.580868,nan,0.626096,nan,0.181659,0.533605,0.540418,0.881418,0.001000,0.433932,175.213944
34,0.562095,nan,0.635488,nan,0.175827,0.529086,0.489602,0.866191,0.001000,0.433906,175.437030
35,0.559212,nan,0.627503,nan,0.186325,0.445109,0.612965,0.862689,0.001000,0.433641,175.300501
36,0.546341,nan,0.603314,nan,0.165330,0.500510,0.569295,0.874210,0.001000,0.431862,175.751709
37,0.539777,nan,0.588803,nan,0.183554,0.525733,0.442131,0.878621,0.001000,0.431793,175.459892
38,0.522595,nan,0.585484,nan,0.183409,0.480682,0.474302,0.872505,0.001000,0.433639,175.478421
39,0.517244,nan,0.580195,nan,0.188366,0.503864,0.431580,0.870510,0.001000,0.434093,175.305289
40,0.508418,nan,0.560215,nan,0.193323,0.506050,0.465209,0.880592,0.001000,0.434295,175.346971
41,0.497776,nan,0.561609,nan,0.167517,0.516256,0.397622,0.873797,0.001000,0.434351,175.257209
42,0.484515,nan,0.540133,nan,0.172037,0.539729,0.493531,0.881585,0.001000,0.433440,175.610192
43,0.479066,nan,0.541271,nan,0.176556,0.528357,0.399318,0.873598,0.001000,0.434276,175.171890
44,0.472736,nan,0.527006,nan,0.185741,0.543228,0.396704,0.883144,0.001000,0.434682,177.492441
45,0.460196,nan,0.517565,nan,0.187199,0.542062,0.417843,0.884041,0.001000,0.436990,176.362036
46,0.451574,nan,0.513945,nan,0.204111,0.488264,0.583819,0.879474,0.001000,0.432589,175.552931
47,0.448138,nan,0.512258,nan,0.182825,0.508383,0.492813,0.873833,0.001000,0.441322,180.667061
48,0.438781,nan,0.497504,nan,0.187928,0.550080,0.601100,0.881307,0.001000,0.434663,176.095313
49,0.428354,nan,0.499433,nan,0.191282,0.493512,0.585986,0.871866,0.001000,0.435445,178.063098
50,0.425871,nan,0.485806,nan,0.156583,0.500364,0.572352,0.879139,0.001000,0.438370,177.712989
51,0.418827,nan,0.477849,nan,0.165622,0.550809,0.527388,0.880961,0.001000,0.437262,177.837639
52,0.402392,nan,0.459175,nan,0.184429,0.567138,0.558468,0.891175,0.001000,0.442091,181.316818
53,0.389464,nan,0.458689,nan,0.178597,0.541478,0.581234,0.883563,0.001000,0.437066,178.424664
54,0.386578,nan,0.456481,nan,0.172328,0.517568,0.520230,0.879140,0.001000,0.434471,176.344478
55,0.382192,nan,0.451432,nan,0.182680,0.516693,0.445318,0.879416,0.001000,0.434097,175.770648
56,0.379891,nan,0.438628,nan,0.174078,0.571803,0.411084,0.886033,0.001000,0.431922,175.462357
57,0.364792,nan,0.430443,nan,0.199154,0.565097,0.372771,0.887780,0.001000,0.433106,175.828648
58,0.359877,nan,0.429529,nan,0.176994,0.518006,0.316918,0.882831,0.001000,0.433077,175.627270
59,0.355743,nan,0.415950,nan,0.162269,0.581280,0.368511,0.890063,0.001000,0.434196,176.416782
60,0.342782,nan,0.407926,nan,0.186762,0.587987,0.396014,0.894162,0.001000,0.434579,175.871836
61,0.336909,nan,0.398695,nan,0.196239,0.582446,0.558806,0.894756,0.001000,0.434243,176.334338
62,0.336898,nan,0.421074,nan,0.173057,0.528503,0.315353,0.871427,0.001000,0.434139,175.809832
63,0.350739,nan,0.406014,nan,0.175973,0.553142,0.267546,0.881144,0.001000,0.434207,175.500847
64,0.347121,nan,0.396643,nan,0.157166,0.538417,0.398345,0.886233,0.001000,0.431793,175.671604
65,0.327270,nan,0.396265,nan,0.175827,0.542062,0.372671,0.880651,0.001000,0.434229,175.341756
66,0.318142,nan,0.379983,nan,0.168975,0.561306,0.596346,0.891432,0.001000,0.432522,175.679377
67,0.311220,nan,0.376051,nan,0.181368,0.584779,0.560925,0.890178,0.001000,0.432382,175.558992
68,0.304859,nan,0.359878,nan,0.177140,0.574428,0.564972,0.903292,0.001000,0.434266,175.736394
69,0.303043,nan,0.366988,nan,0.162560,0.583175,0.566985,0.890508,0.001000,0.434304,175.633046
70,0.298216,nan,0.362490,nan,0.173640,0.603732,0.509463,0.893022,0.001000,0.434040,175.495149
71,0.293769,nan,0.359913,nan,0.191282,0.552121,0.492250,0.888590,0.001000,0.434340,174.810630
72,0.289306,nan,0.343055,nan,0.180347,0.591194,0.625352,0.901676,0.001000,0.433339,175.283398
73,0.283462,nan,0.361679,nan,0.190261,0.547310,0.434491,0.879450,0.001000,0.434051,175.706374
74,0.288704,nan,0.354581,nan,0.157749,0.566555,0.393315,0.883871,0.001000,0.434135,175.271871
75,0.282549,nan,0.338776,nan,0.182388,0.591777,0.532077,0.894837,0.001000,0.433747,175.654879
76,0.284273,nan,0.344770,nan,0.167226,0.534772,0.569506,0.886463,0.001000,0.434185,174.813789
77,0.289806,nan,0.368307,nan,0.173349,0.523254,0.631958,0.864717,0.001000,0.433475,175.238597
78,0.285329,nan,0.344858,nan,0.168246,0.561161,0.591006,0.884883,0.001000,0.434209,175.519668
79,0.272026,nan,0.324545,nan,0.164310,0.581572,0.601215,0.898822,0.001000,0.431651,175.265121
80,0.268438,nan,0.322864,nan,0.169412,0.594547,0.599561,0.895844,0.001000,0.433861,173.259732
81,0.255837,nan,0.309198,nan,0.178160,0.610293,0.614039,0.905576,0.001000,0.431582,169.695670
82,0.249504,nan,0.318845,nan,0.180493,0.557224,0.615073,0.892988,0.001000,0.433872,170.087439
83,0.245207,nan,0.296425,nan,0.177577,0.587403,0.659634,0.908420,0.001000,0.434466,171.099839
84,0.239216,nan,0.299329,nan,0.185450,0.589445,0.595550,0.902358,0.001000,0.433925,167.088944
85,0.239551,nan,0.319575,nan,0.172766,0.597317,0.595764,0.884608,0.001000,0.433197,167.364947
86,0.256818,nan,0.310980,nan,0.181513,0.559557,0.585841,0.887967,0.001000,0.434539,167.459584
87,0.258927,nan,0.319741,nan,0.199154,0.541624,0.620784,0.882702,0.001000,0.434379,166.854122
88,0.249028,nan,0.295249,nan,0.191865,0.593089,0.659357,0.901381,0.001000,0.434097,167.373792
89,0.230989,nan,0.283750,nan,0.177868,0.620644,0.616100,0.908553,0.001000,0.433397,167.358041
90,0.221108,nan,0.272830,nan,0.171745,0.608544,0.648113,0.913406,0.001000,0.433551,166.888679
91,0.217112,nan,0.281909,nan,0.167663,0.605773,0.633768,0.900728,0.001000,0.434416,167.930263
92,0.220954,nan,0.291187,nan,0.167955,0.531564,0.672384,0.891035,0.001000,0.432352,166.914769
93,0.222298,nan,0.277364,nan,0.152938,0.618312,0.589431,0.904008,0.001000,0.433610,166.676400
94,0.214631,nan,0.275019,nan,0.162706,0.590757,0.595725,0.900431,0.001000,0.433333,167.445508
95,0.216008,nan,0.266274,nan,0.180930,0.596005,0.661242,0.908013,0.001000,0.434144,166.709991
96,0.218081,nan,0.279224,nan,0.162560,0.591631,0.615296,0.894643,0.001000,0.434364,167.439691
97,0.211938,nan,0.270312,nan,0.185158,0.612480,0.632581,0.900800,0.001000,0.434235,167.002933
98,0.204945,nan,0.264100,nan,0.167517,0.601400,0.603556,0.904061,0.001000,0.432066,166.422277
99,0.199564,nan,0.258592,nan,0.171745,0.618603,0.636910,0.906882,0.001000,0.432763,168.332101
100,0.197225,nan,0.284482,nan,0.149584,0.566118,0.600466,0.880605,0.001000,0.433624,167.910847
