epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,7.035989,nan,5.460617,nan,0.120444,0.187510,-0.028510,0.077531,0.001000,0.781321,175.321133
2,4.566730,nan,4.145751,nan,0.069739,0.180058,-0.083365,0.264616,0.001000,0.443450,166.783778
3,3.843179,nan,3.744018,nan,0.074356,0.234408,-0.215144,0.426018,0.001000,0.433702,167.278351
4,3.432121,nan,3.581649,nan,0.075166,0.272639,-0.252374,0.512512,0.001000,0.438918,166.401572
5,3.294132,nan,3.554681,nan,0.088855,0.272882,-0.189560,0.495023,0.001000,0.440874,167.291424
6,3.073211,nan,3.248039,nan,0.111615,0.293941,-0.215101,0.597389,0.001000,0.441215,168.299060
7,2.810814,nan,3.201453,nan,0.123603,0.283493,-0.156640,0.605118,0.001000,0.442170,168.080599
8,2.737448,nan,3.097649,nan,0.110319,0.343998,-0.195641,0.613498,0.001000,0.443301,168.229006
9,2.636959,nan,2.949156,nan,0.126924,0.322048,-0.186346,0.655723,0.001000,0.442421,169.127507
10,2.593561,nan,2.930297,nan,0.109671,0.315082,-0.407101,0.634379,0.001000,0.441550,168.019368
11,2.434744,nan,2.718303,nan,0.121740,0.338085,-0.244025,0.686569,0.001000,0.442615,168.017008
12,2.285669,nan,2.627715,nan,0.127491,0.376073,-0.258554,0.713018,0.001000,0.440751,168.058209
13,2.076098,nan,2.647519,nan,0.134942,0.360360,-0.227197,0.727788,0.001000,0.441236,167.796900
14,2.049503,nan,2.711864,nan,0.129354,0.336060,-0.216041,0.707175,0.001000,0.442233,168.530765
15,2.010492,nan,2.572959,nan,0.128382,0.360522,-0.333570,0.713570,0.001000,0.430030,167.731352
16,2.027388,nan,2.735111,nan,0.137210,0.332253,-0.194394,0.742170,0.001000,0.443291,167.857862
17,1.931712,nan,2.518019,nan,0.135752,0.362871,-0.199181,0.739424,0.001000,0.442530,168.110997
18,1.809744,nan,2.432337,nan,0.132999,0.377855,-0.295165,0.746245,0.001000,0.441571,167.920156
19,1.666362,nan,2.437436,nan,0.137210,0.368459,-0.236785,0.758360,0.001000,0.443895,168.131619
20,1.670498,nan,2.655888,nan,0.121497,0.368459,-0.305184,0.723170,0.001000,0.441259,168.594276
21,1.694014,nan,2.470306,nan,0.129192,0.376640,-0.237244,0.751372,0.001000,0.442876,168.340873
22,1.623678,nan,2.486935,nan,0.138668,0.356877,-0.219689,0.762364,0.001000,0.440219,168.309607
23,1.658195,nan,2.593886,nan,0.130002,0.363843,-0.257046,0.719615,0.001000,0.435232,168.268346
24,1.613402,nan,2.543052,nan,0.135428,0.359145,-0.237140,0.758055,0.001000,0.436751,167.817313
25,1.555778,nan,2.421569,nan,0.139721,0.376559,-0.224817,0.772384,0.001000,0.430066,168.135410
26,1.512226,nan,2.378246,nan,0.142394,0.392921,-0.257447,0.756655,0.001000,0.442330,168.494994
