epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,3.813853,nan,2.886462,nan,0.127551,0.276239,-0.123734,0.639517,0.001000,0.475780,177.598286
2,2.516116,nan,2.396114,nan,0.110058,0.395044,-0.239261,0.742812,0.001000,0.436896,169.650580
3,2.192367,nan,2.081288,nan,0.126093,0.450437,-0.233130,0.794755,0.001000,0.437699,169.323185
4,2.002762,nan,2.002469,nan,0.129009,0.442420,-0.249913,0.814422,0.001000,0.437727,169.963561
5,1.880465,nan,1.870981,nan,0.134840,0.445335,-0.247253,0.827071,0.001000,0.437753,169.854055
6,1.802708,nan,1.804651,nan,0.129738,0.456268,-0.275591,0.835457,0.001000,0.437677,170.219128
7,1.724194,nan,1.732513,nan,0.138484,0.494169,-0.256258,0.856067,0.001000,0.438408,170.535645
8,1.628902,nan,1.641586,nan,0.137026,0.471574,-0.229007,0.871760,0.001000,0.437941,171.361482
9,1.535293,nan,1.654981,nan,0.142857,0.479592,-0.232454,0.866903,0.001000,0.437843,171.582068
10,1.495116,nan,1.577053,nan,0.127551,0.500000,-0.261009,0.859283,0.001000,0.437962,171.618848
11,1.426133,nan,1.599606,nan,0.140671,0.497813,-0.219553,0.872217,0.001000,0.437905,171.235210
12,1.376293,nan,1.442459,nan,0.144315,0.547376,-0.260893,0.887256,0.001000,0.437739,171.275552
13,1.313145,nan,1.469717,nan,0.142128,0.487609,-0.230260,0.882507,0.001000,0.437697,172.431414
14,1.272015,nan,1.470347,nan,0.146501,0.494169,-0.254552,0.878759,0.001000,0.437827,172.223087
15,1.270890,nan,1.398679,nan,0.138484,0.539359,-0.281229,0.890766,0.001000,0.438062,172.114196
16,1.223360,nan,1.307791,nan,0.139213,0.540816,-0.228994,0.903096,0.001000,0.437708,171.499347
17,1.149319,nan,1.245668,nan,0.144315,0.572886,-0.231048,0.913789,0.001000,0.436990,171.286419
18,1.124249,nan,1.234812,nan,0.145773,0.572157,-0.233105,0.902453,0.001000,0.438040,171.872418
19,1.092351,nan,1.188970,nan,0.140671,0.582362,-0.223036,0.914026,0.001000,0.437833,171.560253
20,1.037712,nan,1.290885,nan,0.131195,0.592566,-0.211654,0.891234,0.001000,0.437878,171.698909
21,1.034197,nan,1.193053,nan,0.142128,0.586735,-0.172445,0.913603,0.001000,0.437928,171.873207
22,1.008097,nan,1.126769,nan,0.146501,0.610787,-0.193242,0.922821,0.001000,0.437965,172.123838
23,0.955986,nan,1.069671,nan,0.142857,0.627551,-0.185413,0.922332,0.001000,0.437998,172.794258
24,0.965183,nan,1.134357,nan,0.143586,0.617347,-0.223421,0.910199,0.001000,0.446295,171.234374
25,0.901000,nan,1.062992,nan,0.142128,0.629009,-0.204683,0.921218,0.001000,0.436633,169.522668
26,0.882105,nan,1.025479,nan,0.144315,0.586735,-0.216994,0.906199,0.001000,0.436652,170.197683
27,0.886735,nan,1.123299,nan,0.137026,0.611516,-0.250635,0.913322,0.001000,0.438080,170.028931
28,0.861195,nan,1.056392,nan,0.145773,0.619534,-0.210087,0.920082,0.001000,0.436811,169.912447
29,0.866848,nan,1.053319,nan,0.140671,0.614431,-0.207429,0.916553,0.001000,0.438042,170.475429
30,0.864556,nan,1.038238,nan,0.140671,0.634840,-0.215119,0.919894,0.001000,0.436703,170.094957
31,0.806424,nan,0.995643,nan,0.141399,0.620262,-0.250953,0.927601,0.001000,0.438032,170.812064
32,0.824317,nan,0.977119,nan,0.149417,0.600583,-0.152017,0.921025,0.001000,0.438179,171.530811
33,0.782523,nan,0.944943,nan,0.144315,0.634840,-0.236820,0.931951,0.001000,0.437344,171.510585
34,0.781192,nan,0.917173,nan,0.142857,0.623907,-0.255518,0.926465,0.001000,0.437447,171.487055
35,0.748598,nan,0.934248,nan,0.147959,0.640671,-0.236879,0.923293,0.001000,0.438100,171.585370
36,0.736132,nan,0.905591,nan,0.141399,0.655248,-0.217914,0.931432,0.001000,0.436525,171.127958
37,0.719305,nan,0.899763,nan,0.142857,0.655977,-0.226055,0.926464,0.001000,0.438225,171.755367
38,0.696680,nan,0.966288,nan,0.143586,0.642128,-0.223775,0.921786,0.001000,0.436688,171.495819
39,0.719483,nan,0.871837,nan,0.145773,0.647959,-0.244796,0.932775,0.001000,0.436600,171.416430
40,0.721889,nan,1.025014,nan,0.144315,0.608601,-0.252817,0.921723,0.001000,0.437810,171.895102
41,0.724051,nan,0.931643,nan,0.141399,0.618076,-0.240213,0.918794,0.001000,0.437976,171.515847
42,0.722761,nan,0.859255,nan,0.146501,0.662536,-0.183348,0.934061,0.001000,0.436719,171.545250
43,0.678520,nan,0.890861,nan,0.142128,0.601312,-0.156572,0.924372,0.001000,0.438059,171.696041
44,0.643197,nan,0.827761,nan,0.145044,0.655248,-0.194810,0.937891,0.001000,0.436711,171.982871
45,0.632589,nan,0.862542,nan,0.142128,0.650146,-0.234887,0.930477,0.001000,0.436449,172.634579
46,0.621145,nan,0.849371,nan,0.143586,0.626093,-0.238747,0.920880,0.001000,0.438015,172.086733
47,0.652270,nan,0.949968,nan,0.146501,0.643586,-0.246184,0.911225,0.001000,0.438069,171.549231
48,0.690285,nan,0.823811,nan,0.142128,0.659621,-0.223732,0.933694,0.001000,0.437904,171.769569
49,0.629991,nan,0.854764,nan,0.145773,0.618076,-0.249886,0.923718,0.001000,0.436932,171.430952
50,0.601374,nan,0.789698,nan,0.143586,0.676385,-0.230717,0.936272,0.001000,0.438114,171.629447
51,0.605043,nan,0.849554,nan,0.142128,0.650875,-0.190330,0.926226,0.001000,0.437992,171.938802
52,0.615019,nan,0.795177,nan,0.143586,0.637755,-0.247815,0.925246,0.001000,0.438001,171.425306
53,0.643099,nan,0.808676,nan,0.145773,0.650875,-0.225140,0.935933,0.001000,0.437973,171.621074
54,0.598992,nan,0.797398,nan,0.144315,0.669096,-0.162479,0.924700,0.001000,0.438018,171.508835
55,0.580545,nan,0.774595,nan,0.146501,0.678571,-0.217933,0.938839,0.001000,0.436890,171.750714
56,0.585111,nan,0.807537,nan,0.145773,0.676385,-0.233034,0.931992,0.001000,0.436675,171.746777
57,0.585950,nan,0.866232,nan,0.142857,0.631924,-0.180061,0.921289,0.001000,0.437061,171.443909
58,0.608463,nan,0.780718,nan,0.142857,0.686589,-0.238198,0.939626,0.001000,0.436547,171.872840
59,0.538924,nan,0.789678,nan,0.148688,0.676385,-0.202684,0.933570,0.001000,0.437922,171.614114
1,0.497352,nan,0.691611,nan,0.147230,0.736152,-0.174457,0.949896,0.000100,0.475411,177.149456
2,0.464671,nan,0.696801,nan,0.143586,0.733965,-0.138566,0.947327,0.000100,0.436194,170.211746
3,0.451420,nan,0.671899,nan,0.145044,0.734694,-0.140121,0.949051,0.000100,0.437363,169.961471
