epoch,train_loss,train_xent,valid_loss,valid_xent,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,3.066573,4.102584,4.665157,3.504022,0.084548,0.187318,-0.065853,0.044594,0.000100,0.580489,108.141441
2,3.115742,4.015819,4.643946,3.521241,0.061953,0.092566,0.011097,-0.001196,0.000100,0.497685,100.408566
3,2.942824,4.006319,5.028922,3.230572,0.146501,0.284985,-0.003924,-0.004399,0.000100,0.490897,97.909383
4,3.027392,3.829238,4.550754,3.177702,0.085277,0.102770,0.036025,0.024208,0.000100,0.488131,96.532596
5,2.823391,3.803719,4.614305,3.230263,0.088192,0.170554,0.002796,0.071185,0.000100,0.488023,96.539727
6,2.609548,4.008034,4.830448,3.496001,0.141399,0.282070,0.002655,0.013971,0.000100,0.491033,96.135923
7,2.793906,4.704383,4.620209,4.176780,0.124636,0.161808,0.095820,0.021333,0.000100,0.487717,96.172344
8,2.569782,4.523301,4.532951,3.518252,0.127551,0.199708,0.025225,0.117854,0.000100,0.488793,96.450408
9,2.345848,4.579975,4.751679,3.730353,0.142857,0.236152,0.036331,0.008175,0.000100,0.488947,96.580501
10,2.262526,4.931365,4.887308,4.016841,0.149417,0.287172,0.029095,0.003931,0.000100,0.487923,96.508423
11,2.192820,5.337681,4.775152,4.254021,0.149417,0.260933,0.025709,0.003533,0.000100,0.489593,96.071206
12,2.126114,5.660978,4.598342,4.492558,0.126822,0.092566,0.000754,0.000286,0.000100,0.485367,95.933992
13,2.234243,5.744267,5.106959,4.654585,0.148688,0.288630,0.004500,0.000000,0.000100,0.485111,95.565909
14,2.087491,5.918343,4.927354,4.589618,0.142857,0.263120,-0.014451,-0.006301,0.000100,0.484705,95.615193
15,2.010713,6.086061,4.600597,4.925680,0.131195,0.104956,0.000141,0.010932,0.000100,0.485567,95.549554
16,2.010515,6.178989,4.579940,5.138211,0.145044,0.132653,0.050963,0.025588,0.000100,0.484951,95.734153
17,2.101846,6.162566,4.502582,4.816816,0.138484,0.116618,0.074702,0.046787,0.000100,0.483635,95.895053
18,2.012987,6.268886,4.794910,4.735290,0.153061,0.287901,0.017895,0.001006,0.000100,0.485464,96.230830
19,1.993023,6.260769,4.650069,4.823214,0.144315,0.193149,0.023829,0.005073,0.000100,0.485283,96.339426
20,1.974511,6.332345,4.589921,4.856111,0.146501,0.202624,0.052747,0.028901,0.000100,0.488149,96.597256
21,1.969869,6.393301,4.551284,4.874186,0.138484,0.138484,0.082072,0.069162,0.000100,0.490746,97.141366
22,1.941651,6.319953,4.548418,5.018358,0.143586,0.130466,0.078979,0.032133,0.000100,0.488773,97.415665
23,1.927368,6.469878,4.493504,4.964914,0.163994,0.188776,0.147596,0.085579,0.000100,0.492819,97.898676
24,1.960546,6.526648,4.613774,4.916728,0.131924,0.155248,0.084596,0.082493,0.000100,0.493957,98.262122
25,1.948023,6.481536,4.653306,5.167608,0.126822,0.102770,-0.045082,-0.014003,0.000100,0.497066,98.845153
26,1.986661,6.736056,5.393099,5.157115,0.135569,0.256560,-0.068283,-0.029025,0.000100,0.498528,98.807184
27,1.996759,6.678933,4.523708,5.030752,0.147230,0.177114,0.095046,0.063430,0.000100,0.500398,99.654008
28,1.924242,6.652682,4.500459,5.015197,0.161079,0.229592,0.137923,0.084175,0.000100,0.501589,99.584603
29,1.917798,6.574951,4.630765,5.026815,0.166910,0.237609,0.246554,0.118258,0.000100,0.503209,99.717736
30,1.903527,6.575393,4.587076,5.142361,0.143586,0.177843,0.013888,0.009745,0.000100,0.501627,99.500683
31,1.919209,6.786070,4.754068,5.068616,0.150146,0.290087,0.048416,0.008945,0.000100,0.503512,100.564080
32,1.926775,6.680671,4.702546,5.043085,0.153790,0.204082,-0.008343,-0.014208,0.000100,0.505490,100.504457
33,1.887067,6.564245,4.554240,5.149172,0.149417,0.158163,0.104228,0.043999,0.000100,0.502090,100.588879
34,1.885007,6.673706,4.608646,5.331963,0.140671,0.126093,0.022556,0.005285,0.000100,0.505320,100.581422
35,1.923050,6.858624,4.698188,5.034757,0.126093,0.093294,-0.008948,-0.004213,0.000100,0.495120,97.802638
36,1.889478,6.810976,4.452366,5.218330,0.158892,0.194606,0.128462,0.067393,0.000100,0.484945,95.805901
37,1.913133,6.698728,4.592175,5.226821,0.138484,0.145773,0.001970,0.001925,0.000100,0.483533,95.938970
38,1.908747,6.773408,4.589704,5.308904,0.139213,0.116618,0.016351,0.019159,0.000100,0.485139,95.835645
39,1.888229,6.714262,5.018745,5.202960,0.148688,0.288630,0.006299,0.002363,0.000100,0.485857,95.459442
40,1.924267,6.849301,4.645096,5.245407,0.134111,0.120262,-0.037945,-0.014067,0.000100,0.484794,95.378742
41,1.877770,6.673133,4.643450,5.122671,0.134111,0.168367,-0.010092,-0.001872,0.000100,0.485264,95.722217
42,1.898012,6.718871,4.588179,5.369627,0.134840,0.131195,-0.010169,-0.009573,0.000100,0.486765,96.115874
43,1.881737,6.925271,4.521877,5.305581,0.152332,0.167638,0.068401,0.023115,0.000100,0.486158,96.019483
44,1.858966,6.823750,4.637659,5.249432,0.139942,0.186589,0.003646,-0.000123,0.000100,0.485678,95.679663
45,1.860254,6.774545,4.569728,5.274923,0.147230,0.164723,0.034755,0.019503,0.000100,0.483036,95.630185
46,1.852789,6.856806,4.684992,5.267939,0.133382,0.205539,-0.016146,-0.007617,0.000100,0.483230,95.558480
47,1.870853,6.860298,4.553551,5.648087,0.137755,0.113703,0.057077,0.019552,0.000100,0.489149,97.634189
48,1.910012,7.125158,4.520503,5.315392,0.155977,0.211370,0.105395,0.051314,0.000100,0.490694,99.656658
49,1.866485,6.903692,4.577052,5.297188,0.145044,0.161808,0.044367,0.013285,0.000100,0.496636,101.832417
50,1.850389,6.882081,4.587707,5.592574,0.129738,0.102770,-0.014360,-0.008209,0.000100,0.490757,100.820471
51,1.845515,6.903197,4.584084,5.235474,0.155977,0.185131,0.133028,0.065829,0.000100,0.491572,100.908085
52,1.892248,6.911493,4.636301,5.257705,0.156706,0.256560,0.047991,0.025601,0.000100,0.486890,100.619807
53,1.851992,7.029185,4.799523,5.246449,0.148688,0.288630,0.026677,0.004342,0.000100,0.494872,101.234085
54,1.852636,6.905129,4.971451,5.356598,0.147959,0.288630,-0.001564,-0.000239,0.000100,0.496901,101.748273
55,1.867563,7.124437,4.602862,5.577336,0.135569,0.134840,-0.021824,-0.003111,0.000100,0.495168,101.688752
56,1.844071,6.989018,5.098738,5.444136,0.148688,0.288630,0.000000,0.000000,0.000100,0.490707,101.669837
57,1.875889,7.186767,4.561279,5.784861,0.126822,0.091837,0.000000,-0.000049,0.000100,0.494660,101.835541
58,1.839534,7.009064,4.568798,5.548154,0.142857,0.169825,-0.013978,0.006188,0.000100,0.496625,101.862417
